time,taste,environment,service,hygiene,indigestible,comments
2023-09-19,5,5,5,5,5,銅鑼灣有間親民星馬餐廳A.T.A.S，老闆是新加坡人，對菜式要求十分高，餐廳主打新加坡和馬來西亞菜式，之前已經食過佢地既人氣爆漿咖央多士和喇沙都非常正宗，相當好食，最近佢哋仲轉左新Menu，除咗保留舊有菜式之外，仲加入咗好多海鮮菜式，例如黑胡椒螃蟹、麥片老虎蝦、叄岜魔鬼魚等等，價錢相宜，而且仲有套餐優惠價，鍾意食海鮮嘅朋友真係唔可以錯過👍🏻👍🏻🦀▪️黑胡椒螃蟹$568大大隻嘅螃蟹，用上黑胡椒和豐富的牛油炒製，味道香濃，香氣四溢，黑椒醬油帶甜香，配上啖啖蟹肉，真係非常好食🦐▪️麥片老虎蝦$188老虎蝦非常爽口又彈牙，香脆的牛油麥片帶香甜，麥片就咁食口感非常香脆，用蝦肉沾上麥片，味道和口感更有層次🐷▪️咖啡骨$128豬肋骨炆得肉質有彈性有咬口，不會過腍，醬汁味道帶咖啡嘅甘香，微微甜，味道幾得意，咖啡愛好者一定鍾意🍢▪️沙爹串（四串）$68一次過可以食到幾款肉類，分別有牛、豬和雞肉，燒得唔錯，外焦肉質Juicy，伴上青瓜和洋蔥，沾上沙嗲醬，好味🍝▪️福建炒蝦麵$128材料豐富，用洋葱、雞蛋、醬油、黃面、米粉、芽菜、蝦、魷魚和片大爆炒，味道充滿蝦湯的味道，有說不出的好味🥪▪️咖椰爆醬$68單睇賣相真係要幾邪惡有幾邪惡，烘完嘅麵包塗上香濃的咖椰醬、牛油、花生醬和朱古力醬，最後在上面灑上一層厚厚既美祿粉，好味得令人難以抵擋嘅又話🥤▪️美祿爆炸$58人氣之選，整杯鋪滿美祿粉、朱古力波波和曲奇，加上煉奶的飲品，香濃朱古力味唔太甜，邪惡又好飲🍹▪️斑斕薏米水$28超級喜歡這個淡淡的斑斕味道，薏米水味道清甜，重有軟腍的薏米，健康又好飲
2023-09-02,4,4,5,4,4,"
身邊好多朋友都食過銅鑼灣既星馬菜人氣店ATAS，朋友都一致好評，我今日都決定一試。本身預咗星期五要排隊，上去嘅時候已經見到樓梯排晒隊，最後等咗20分鐘先有得入座，可見餐廳受歡迎程度。辣椒蟹配饅頭$98-辣椒蟹配饅頭呢個菜同煉乳饅頭有異曲同工之妙，饅頭炸得金黃香脆，而且更加重口味，蟹肉醬既蟹味好突出，味道有少少辣非常惹味。白雪牛油骨$128-白雪牛油骨排骨嚟講幾多肉，肉質唔鞋，沾上奶油醬別有一番風味，上面仲灑上大量椰絲，不過個人覺得偏甜。鹹蛋蘇東$138-鹹蛋蘇東蘇東即係墨魚，外皮沾滿鹹蛋醬，食落比較濕潤。魷魚通菜$98-魷魚通菜無論魷魚同通菜份量都好驚人，好似食極仲有咁🤣。通菜脆嫩，魷魚爽口，而且有大量嘅沙嗲醬，味道好正😍班蘭薏米水$28-班蘭薏米水呢排香港天氣實在太熱，薏米水可以消暑祛濕，味道唔會太甜。美祿爆炸$58
-美祿爆炸飲品上面鋪滿美祿波波，另外仲放左一片美祿脆片，朱古力味超級無敵香濃，非常滿足🥰整體而言，食物價錢親民，味道好正宗。我哋唔小心叫咗太多主食，結果太飽無叫到佢地嘅招牌甜品，下次一定會再嚟食返爆漿咖央多士😤
"
2023-08-18,5,5,5,5,5,"
傳統新加坡美食🇸🇬銅鑼灣有間好出名嘅新加坡餐廳，有好多傳統美食👍環境乾淨企理，有梳化位坐，適合三五知己黎聚餐🤗食物款式好多，而價錢都好合埋，可以一次過叫好多黎分享🥳奶油麥片老虎蝦🍤呢個係新加坡嘅傳統，好鍾意佢成隻碟都係麥片，整得好香口同埋好脆，同埋老虎蝦一齊食層次好豐富，自己都好鍾意分開食呢啲奶油麥片，脆脆地好易入口🥨奶油麥片老虎蝦鹹蛋排骨🐷排骨有好多款口味-咖啡、鹹蛋同埋白雪牛油🧈我就揀左鹹蛋味，因為新加坡好出名佢嘅鹹蛋魚皮😂呢個味道好香濃，如果鍾意鹹蛋既話一定超鍾意🍳鹹蛋排骨砂鍋豆腐🍲呢個砂鍋豆腐同平時食嘅有少少唔同，佢係用咗蛋豆腐配肉碎，醬汁會比較豐富啲砂鍋豆腐囉喏🥗呢個小食我第一次試，原來都係新加坡啲傳統小食，佢係用新鮮水果、酥脆油條同豆卜整嘅，最特別嘅係佢自製的囉喏醬，甜甜地，再配埋花生和芝麻，好惹味🥜炸魚片米粉🍜呢個粉麵係用魚湯嚟整嘅，所以味道比較濃同埋好香魚味，佢仲加咗少少白蘭地令到個味比較突出🐟會建議飲埋啲魚湯🫢炸魚片米粉咖椰爆醬🧇呢個甜品超級邪惡🤣🤣不過實在太吸引啦，一定要試😋佢用咗三層麵包夾雜咖椰醬、牛油、花生醬同埋巧克力醬，而上邊就有好多好多嘅美祿粉，層次感好豐富🥜食到舔舔脷🤤咖椰爆醬玫瑰青檸水🍸食完咁多嘢之後會建議飲返杯清涼嘅玫瑰青檸水，喺咁熱嘅天氣下非常之解渴，淡淡嘅青檸同玫瑰味唔錯🍋美禄爆炸🧋美祿飲品係我嘅至愛😍除咗有好香濃嘅美祿味之外，最鍾意嘅就係佢上邊都會有好多粒美祿，脆脆地好好飲
