time,taste,environment,service,hygiene,indigestible,comments
2023-10-13,4,4,4,4,4,"
放工跟朋友來觀塘試<AddSomeThaiRestaurant>﹐是一間在駱駝漆內的泰國菜。
食物選擇挺多，串燒、咖哩、泰式小食、炒粉麵等都有，晚市2人套餐很划算，但我們想試多點食物所以單點了。
首先最推介的是這個看起來平平無奇的泰式椰青雞湯煮娃娃菜，內裏有一些蘑菇跟椰子肉，跟平日那種米色的泰式椰汁雞湯有點不一樣，口味清淡一點，但真的能吃到椰青味，配合娃娃菜的甜味，非常好吃！
點了兩個串燒，是豬肉跟雞肉，雞肉肉質挺嫩滑，而且旁邊可以沾的沙嗲醬非常濃郁！另外點了的燒豬頸肉份量很多！
還有一個泰式炸蝦餅，雖然一碟只有兩件(每件一開二)﹐但是每件都很厚生，食下去啖啖肉，很滿足！
咖哩都可以自選紅咖哩或黃咖哩，我們想辣一點所以選了紅咖哩牛柳。它真的是牛柳，不是中式那種牛腩，而且也有很多肉在內裡。菜單上寫配了兩塊手抓餅，原來是指圓形一大塊那種為一塊，所以小籃子中其實配了很多塊。咖哩汁不算很濃稠的，偏液體一點，所以吃起來沒有那麼容易感到膩！
主食還點了一個泰式炒金邊粉，沒有叫普通配炒海鮮而選了炸軟殼蟹的，因為有咖哩所以將炸軟殼蟹沾點咖哩來吃非常不錯！
整體這間AddSomeThaiRestaurant地理位置方便，餐廳內環境也不錯，而且沒有限時，我們坐了很久都沒有趕我們走，所以很適合一班朋友來了吃飯聊聊天聚會！"
2023-09-19,5,4,4,4,4,"
我一向好喜歡食泰菜，因為喜歡它每道菜式的香料，喜歡那口味濃郁，喜歡那前中後段也會變化的味道！朋友知我鐘意食，特意介紹我去觀塘嘅【ADDSOMETHAI】，她説是泰西融合菜嘅餐廳，由泰式師父主理，那我這個泰菜愛好者必定要去試試。雖然座落喺駱駝漆大廈1座9樓，但係都無受到早前嘅駱駝漆食牌風波影響，繼續如常營業，喺觀塘返工嘅朋友可以唔使擔心！
上到去個場都相當闊落，環境寧靜，裝飾佈置都好有泰式風格！
入座之後當然係馬上望一望個餐牌，睇咗無幾耐就決定嗌個二人餐，見佢豐富得嚟又唔使點諗，一於揀佢啦！🔳椰皇椰青雞湯一開始上嘅係兩款湯水，原先以為係兩碗嘅份量，點知一上菜就見到係兩個煲嘅份量，十分有驚喜！椰皇椰青雞湯湯頭好清甜，湯料都好足，份量方面夠裝3~4碗左右，飲完成個胃都暖哂！
🔳鮮蜆海鮮冬蔭功湯第二款嘅湯水係泰菜招牌冬蔭功湯。湯料份量同雞湯一樣咁足，蝦蜆肉質好結實唔會梅，非常新鮮！海鮮配上香茅同檸檬葉等嘅香料，酸辣滋味十足，醒胃之餘仲增加食慾，為之後上嘅菜打好個底！
🔳沙爹雞肉串、沙爹豬肉串、紐西蘭牛柳粒串、招牌手打蝦餅小食拼盤8選4，難得嚟到泰菜餐廳，梗係試一試泰菜常見嘅串燒同蝦餅！雞肉、豬肉同牛柳粒嘅肉質都好厚身足料，一啖咬落去有種滿足嘅感覺。兩款醬汁分別係沙爹醬同他他醬，想惹味啲又得，清爽啲都得，得咗！
蝦餅味道都相當一流，除咗肉質飽滿，炸出嚟嘅狀況都啱啱好，做到脆口之餘又唔油膩！同樣點嗰兩個醬汁都有好唔同嘅風味。呢個小食拼盤嘅評價相當高！
🔳馬拉盞椰菜苗蔬菜方面有幾款可以揀，今次揀咗平時少食啲嘅馬拉盞椰菜苗。鹹香鮮味有呈現喺度菜上面，火候方面雖然無傳統港式大牌檔咁有「鑊氣」，但係都相當香口惹味！
🔳酥炸軟殼蟹炒黃咖喱配手抓餅主菜嗌咗兩款，呢款就係本身Menu上可以揀嘅選擇，另一款係追加嘅主菜嚟。酥炸軟殼蟹總共有兩隻，面頭嘅炸粉做得幾薄下，炸嘅火候都拿捏得好好，咬落去入面非常Juicy，而且仲帶有海水嘅鹹鮮味喺入面！
手抓餅嘅件數都算幾多，而且都唔細件，如果兩個唔係好肚餓嘅情況嘅話，配埋頭先食嘅前菜同湯水都會夠飽！
🔳泰式雜錦海鮮炒金邊粉另一款追加嘅主菜就係泰式名菜金邊粉喇！面頭海鮮料好足，大蝦墨魚仔同豆皮舖滿成道菜，側邊就有啲花生粒同青檸可以俾你撈埋落啲金邊粉嗰度，增添口感之餘又可以令成道菜清新啲！金邊粉炒得乾身，條條分明，成道菜色香味都俱存！
🔳泰‧Ｃｈａｎｇ大象梳打一開始見佢有得揀甜度，以為係特飲嚟，上到枱先知係一杯基本嘅梳打水，食泰菜解膩用。
🔳芒果糯米飯配是日雪糕(2人份)芒果糯米飯嘅硬度適中，軟糯得嚟又唔會un胃，配上甜甜的芒果同椰奶一齊食簡直係人間美味～黑白雪糕分別嘅味道係朱古力同椰香味雪糕，甜度相對上比芒果糯米飯再高一啲啲，建議食完糯米飯之後再食雪糕！
咁豐富嘅二人餐，埋單除返開人頭都係二百幾蚊，如果多啲人一齊食嘅話相信人均消費可以再平啲！【ADDSOMETHAI】算係性價比幾高嘅一間泰菜，如果去開觀塘嗰頭又食泰菜嘅話，相當推薦試試呢間餐廳！
"
2023-08-27,5,5,5,5,5,"
朋友生日當然要搵間餐廳慶祝，見到呢間泰菜又有流水又有泰國風味裝修，於是同朋友係到歡聚一晚。
椰皇椰青雞湯（⭐⭐⭐⭐⭐）唔少泰菜餐廳套餐既湯都會係一碗碗上，但餐廳既雞湯係用一個鍋上，上枱時不禁哇一聲，以筆者同朋友2人份，每人起碼飲左2-3碗。質量方面亦十分出色，湯內有好多湯料，雞件、椰子肉同香菇，令每啖都十分鮮甜。
小食拼盤（沙嗲豬肉串/沙嗲雞肉串招牌手打蝦餅/泰式素春卷）+汁燒菇串（白菌菇/香菇）（+$22）（⭐⭐⭐⭐⭐）泰國菜必不能少既拼盤，筆者同友人都食得十分暢快。沙嗲串方面，豬肉肉雞肉都燒得恰度好處，唔會燒到無既肉汁或者乾炆炆，沙嗲汁亦都好惹味。蝦餅炸得十分香脆，內裡則好彈牙，蝦味香濃。素春卷餡料亦十足，唔會因為係素食就無味。另外筆者都加左汁燒菇串，平衡一下油膩感，果然菇菌經過燒烤，令菇味更加香濃，而且咬落仍有菇菌既水份，十分回味。
招牌海鮮菠蘿炒飯（⭐⭐⭐⭐⭐）餐廳既菠蘿炒飯配搭左好多新鮮既海鮮，例如魷魚、鮮蝦、青口等等，絕對唔係得得名，而每啖都總會有海鮮既配料。另外炒飯唔會炒得太乾，筆者好喜歡餐廳炒飯個種微濕食飯粒軟糯既感覺，加上粒糕新鮮菠蘿，正。
蒜蓉炒椰菜苗（⭐⭐⭐⭐⭐）餐廳既椰菜苗炒得十分出色，唔會炒得未夠而令菜莖仍然硬綁綁，亦唔會炒得過老而令菜苗變得太淋，反而每棵都爽口惹味。加上大廚用蒜蓉，配搭泰國調味，令到筆者同朋有都食唔停。 
泰式雜錦海鮮炒金邊粉（+$80）（⭐⭐⭐⭐⭐）食泰國菜都會忍唔住食返個炒金邊粉，餐廳既金邊粉比其他泰菜舖更有彈牙感，每條都十分煙靱有嚼口。不得不提係配料用上超級大隻既蝦仁，而且配料都係滿滿的，令筆者十分欣賞餐廳絕不吝嗇的煮菜態度。
是日甜品椰汁西米糕（⭐⭐⭐⭐⭐）泰國既椰汁西米糕亦係siganature之一，唔好以為套餐甜品就求求其其，餐廳既西米糕椰味十分香濃，口感軟滑，西米則煮得粒粒通透軟熟，配搭微鹹椰漿，層次滿分。
巨峰提子益力多沙冰（+25）（⭐⭐⭐⭐💢）炎炎夏日緊係要叫返杯沙冰消暑。沙冰未飲已經聞到酸酸甜甜既巨峰提子加益力多味道，飲落味道亦十分足夠，唔會話係沙冰就令到飲品既味道淡口。
泰式芝士奶蓋奶綠（+25）（⭐⭐⭐⭐💢）估唔到泰菜餐廳都會有奶蓋飲，而且質素亦十分好。比起其他奶蓋，因為以泰式奶茶為基底，所以味道偏甜，但正正可以中和泰菜既香辣，奶蓋亦有香濃芝士味，有驚喜。
~~~~~~~~~~~~~~~~~~~~~~~~~~AddSomeThaiRestaurant觀塘開源道62號駱駝漆大廈第1座9樓D室👍地點方便👍超高性價👍泰國風味
"
2023-08-26,5,5,5,5,4,"
觀塘駱駝漆工業有著唔少小店，但想揾間坐得舒服既餐廳，#AddSomeThaiRestaurant既泰菜餐廳系一個唔錯選擇。餐廳佈置確有心思！店內燈光柔和，門口位置更有個飄流着水晶燈的小河，好有泰式風情環境。十分適合打卡呢！而且更有partyroom服務提供，好適合一班人聚會!!
✨西班牙風乾火腿肉碎生菜包第一次食泰式生菜配搭風乾火腿肉都特別，西班牙風乾火腿鹹香豐富，再加上包住D肉碎辣味好惹味🤤
✨串燒-沙爹雞肉串&牛柳粒串牛柳粒串以各種調味料烤制而成，口感嫩滑，口感一流。沙爹雞肉串肉質軟滑，肉汁滿溢，加上沙嗲醬，超惹味，絕配!!
✨馬拉盏炒通菜通菜份量之多，我哋兩個人都食唔晒!
✨酥炸軟殼蟹配炒金邊粉金邊粉即點即炒，所以上菜温度夠熱，成個金邊粉酸酸甜甜，伴碟有唔少花生碎及細個青檸檬，增加口感！好開冑！而酥炸軟殼蟹嘅殼連肉都沾滿香濃鹹蛋黃，酥脆得可成隻食落肚。
✨椰汁西米榚椰汁都好濃香，一粒粒西米，食落唔會好濟，甜道亦岩岩好😋😋
✨沙灘小子&西貢少女整餐味道同服務很好，菜式選擇多，好系觀塘區性價比高！
#AddSomeThaiRestaurant 📌觀塘開源道62號駱駝漆大廈第1座9樓D室
"
2023-08-11,4,5,5,5,5,"
今日想食泰菜, 選擇了觀塘AddSomeThaiRestaurant,一家泰西融合菜餐廳.
餐廳裝飾有泰國風味,地方寬敞舒適, 
燈光柔和, 座位多.
座位旁有流水彩色浮波,帶來活躍動感, 打卡一流.
另設有VIP房.  大群聚會最好.
 店員安排我們座位, 隨即送上暖開水,餐牌,服務好好.
我們點餐了, 二人套餐$388.  豐富抵食,每項也有有自選食品,  頭盤:四選二, 小食:八選四, 主菜:五選一,小炒四選一,追加飲品也有優惠.  方便易選.  
飲品加$25, 我點了 桑格妮亞, 西班牙特飲,冰凍清涼,有水果粒, 帶點紅酒味,不錯.   朋友那一杯熱檸檬蜜只加 $15, 好清甜. 
桑格妮亞(西班牙特飲),杯熱楟檬蜜頭盤: 我們揀了沙律 和 湯.泰式鮮蝦青木瓜沙律, 十分鐘送到,  有大蝦四隻,配上青木瓜, 芽菜,沙律醋,好醒胃. 
泰式鮮蝦青木瓜沙律椰皇椰青雞湯, 用鐵鍋仔上檯, 夠熱. 
椰皇椰青雞湯
湯頭帶濃濃椰香味,湯料足,有雞粒,菇菌,清甜好味. 
四款小食合成一碟拼盤,   即叫即燒, 熱騰騰,賣相吸引, 有燒紐西蘭牛柳粒串,沙爹豬肉串, 一支骨雞翼,炸蝦餅,  仲伴有炸蝦片,沙律菜, 及多款醬汁. 
小食拼盤:有燒紐西蘭牛柳粒串,沙爹豬肉串,一支骨雞翼,炸蝦餅,伴有炸蝦片,沙律菜,及醬汁.一支骨雞翼有 四件,炸得好香脆, 雞肉嫰滑, 調味正. 燒紐西蘭牛柳粒串,  牛味濃, 有炭燒香氣, 燒得冇過火.  沙爹豬肉串, 辛香開胃.
手打蝦餅, 彈牙爽口, 點些酸辣醬汁更好味.  炸蝦片極香脆好食.   
主菜五選一: 酥炸軟殼蟹炒黃咖喱配手抓餅 咖哩軟殼蟹用鐵鍋仔盛載, 手抓餅用竹籮擺放.  
軟殼蟹炸得香,不用剝殼, 啖啖肉,外脆內軟又多汁, 浸有香濃黃咖哩, 超級好味.
手抓餅有六塊, 上檯仍暖.  點黃咖喱汁好食到吾停口
小炒:  蒜蓉芥蘭, 芥蘭嫩綠,蒜香味濃, 夠鑊氣.
追加一款, 經典炭燒豬頸肉, 伴有沙律菜及自家製醬汁.
經典炭燒豬頸肉
豬頸肉,份量足. 燒得夠香, 肉質稔甜, 調味適中,入口細滑,好滿意！
甜品:  芒果糯米飯芒果搭上糯米飯,芒果夠鮮甜, 糯米飯軟糯滑口. 雲呢拿雪糕可口綿滑. 這個甜品組合非常好.
甜品:芒果糯米飯AddSomeThaiRestaurant,價錢中等,食物款式多選擇, 夠,新風味,值得推介!
"
6天前,5,5,5,5,5,"
朋友仔介紹駱駝漆有間泰國菜AddSomeThaiRestaurant，泰色裝修，金光閃閃，非常地道❤️❤️❤️AddSomeThai❤️❤️❤️人均消費大約$200yummyyummy 黃咖喱咸蛋軟殼蟹配蒜蓉包咖喱汁加了雞蛋非常惹味，咖喱味道好濃郁，同軟殼蟹蟹融合埋一齊，好入味！廚師非常細心，已分開六小碟，份量足夠6人食用。
泰國椰青雞湯娃娃菜濃郁的椰奶湯底和香氣四溢的泰式香料。娃娃菜爽脆的口感🤤🤤🤤
多重香草煎羊架肉質嫩滑又多汁，每一口也帶來滿滿的滿足感🤘🏻
芝士焗扇貝新鮮的扇貝本身帶有淡淡的海鮮甜味，芝士為這道菜增添了濃郁的奶酪風味。芝士的融化和焗烤過程中的烤香，每一口都充滿了濃郁、奶酪和海鮮的美味。這個組合讓人難以抗拒，令人回味無窮。
椰青鮮蜆雜錦海鮮冬蔭功青甜海鮮配秘制冬蔭功🫶🏻🫶🏻🫶🏻
"
2023-11-16,5,5,5,5,4,"
