time,taste,environment,service,hygiene,indigestible,comments
2023-10-24,2,2,1,3,1,"
餐廳位于觀塘迅達工業大廈2樓，用餐當日為公眾假期，不能于大廈正門進入，需于旁邊的殘舊停車場進入，工廈停車場環境確實令我不安，惟已訂位不想臨時更改地點。見前幾篇食評，半自助午餐都係百幾蚊一位，一坐低見餐牌先發覺中伏，完全唔係呢會事，都坐低左就冇辦法。觀塘區200幾蚊一位午餐算貴，所謂自助部份只有一張枱，提供沙律、凍腸、餐湯、三款小蛋糕，後來發現有凍蝦、凍海螺及凍青口，雪糕需另行付款。我同朋友分別點了蒲燒鰻魚海膽忌廉汁扁意粉及韓式柚子蜜山椒板燒雞扒。
蒲燒鰻魚海膽忌廉汁扁意粉完全食唔到海膽味，橙色忌廉汁好稀，似湯汁，扁意粉味道較咸，意粉麵質硬，未煮夠軟身就上碟，蒲燒鰻魚正常，配左橙色忌廉汁的鰻魚更咸，以女生份量黎睇尚可接受。
蒲燒鰻魚海膽忌廉汁扁意粉$208韓式柚子蜜山椒板燒雞扒賣相不錯，兩塊雞扒算大配紫薯，實在吸睛不少。雞扒烤得剛好，惟冇配汁，好dry ，配菜以紫薯較為特別，紫薯林滑，味道可以，份量尚算足夠。韓式柚子蜜山椒板燒雞扒$218凍蝦及凍青口味道正常，配以茄醬，凍蝦如一般急凍蝦般鮮味較少，口感仍有少許爽口彈牙。凍青口未煮夠熟，有未開口情況。凍蝦及凍青口南瓜湯冇南瓜味，溝水及湯質感較稀，且咸。沙律菜新鮮，汁醬有麻醬、醋及意大利醬三種，我選了麻醬，配沙律不錯。南瓜湯及沙律飲品我和朋友點了常温的檸茶及凍檸茶少甜少冰，冇影相，味道同茶餐廳一樣，正常。服務一般，冇乜客情況下，只幫我地加左一次水，整體味道、體驗與價錢不相配，CP值極低。
"
2023-10-18,5,4,5,5,5,"
  觀塘返工的好友約了在「BELLASHINE」吃晚餐。之前吃過這裡的牛扒造得不错！其他餐味道都合口味
環境也坐得舒適，服務好，製作認真,性價比又高。是間理想餐廳!  晚間有相當吸引的120分鐘無限任食牛扒放題，成人收 $298/位包括了時令海鮮，沙律，餐湯，精緻甜品，瑞士MOVENPICK雪糕和餐飲一杯......等等。除Menu上的主食組合：紐西蘭西冷牛扒，烤羊西冷配阿根廷青醬和柚子蜜山椒燒雞扒外。還可任點~飯，麵，小食等等。也可$348/位，升级組合有更多扒類選擇。最適合大胃之人！我們二人選了MeatLover主食组合已經足夠了。
餐飲也很多選擇，也可加錢點特飲。
還有其他不同的優惠收費。
點完餐到自助吧選自己喜歡的沙律和冷盤海鮮嚐嚐。今晚的餐湯是周打蜆湯。甜點小蛋糕，泡芙都好精緻。
週打蜆湯
湯底夠滑，足料！有蜆肉，雜菜。
冷盤海鮮~非常新鮮！爽口彈牙！吃不停的！
前菜三小點~配上蔴醬的波菜卷，多士和涼木耳等。
蝦肉質扎實爽口，青口和翡翠螺都一樣Q彈好有質素！
紐西蘭西冷牛扒與烤羊西冷
分量都十分足！
紐西蘭西冷牛扒
西冷肉質嫩滑，肉汁好豐富。
羽衣甘藍與紫薯蓉一樣甜美。
吃得非常滿足！已經很飽了！再吃甜品~瑞士Movenpick雪糕，多款口味供選擇。甜點款款都精緻又美味！
泡芙内忌廉好香滑，外層鬆軟有蛋香。
很滿足！這個放題真豐富！
"
2023-10-16,5,4,5,5,5,"
两兄弟又約食晚飯，想食西餐於是再去位於巧明街的「BellaShine亅。來到原來正推出牛扒放題餐。很有新鮮感！有點驚喜！本來都是想來鋸扒的，現在更精彩！可以品嚐更多的菜式。我們選了MeatLover120分鍾牛扒自助放題。成人每位298元/位有任點麵，飯，小食：*墨西哥辣牛肉醬扁意粉*炙燒芝士卡邦尼韓式年糕*珍珠帶子菠菜蓉意大利飯*黑松露野菌意大利飯*水煮牛肚配日式水晶粉絲*泰式冬陰功牛肉冷烏冬*脆炸薯棗*蒜味枝豆*炸薯條還有前菜，餐湯，任食自助區的各款沙律，冰鎮時令海鮮，精巧甜點，鮮果，雪糕....等。時令海鮮有；翡翠螺，藍青口，海蝦，蜆等。質素甚高！今晚餐湯是滑滑香濃的周打蜆湯。各款沙律菜都非常新鮮。翡翠螺和海蝦都好彈牙！前菜好精巧。點了西冷牛扒和羊扒都嫩滑，肉味濃郁。伴菜甘筍，紫薯蓉，羽衣甘籃，都好好味，顏色配襯得好靚令人食欲大增！Mnovenpick雪糕甜點精緻又好味！這款特濃咖啡非常香滑！吃完一杯又一杯，真的大滿足！好回味！這個牛扒放題超值！"
2023-10-05,5,4,5,4,5,"
