time,taste,environment,service,hygiene,indigestible,comments
2023-10-16,4,5,4,4,4,"星期一嘅晚上約左朋友一齊去長沙灣附近餐廳食晚飯。餐廳Boholic，同長沙灣港鐵站嘅距離都唔遠，算係幾就腳。餐廳應節佈置成萬聖節主題，餐廳唔算大，但都坐得舒服，仲預留一角佈置成打卡個，非常有心思。我地叫左二人setdinner蜜桃，巴馬火腿，水牛芝士伴白桃油醋汁擺盤好有心思，蜜桃香甜同巴馬火腿微微嘅鹹香非常之夾。沙律菜非常新鮮，水牛芝士粒淡香煙韌。手拆蟹肉蟹膏糍粑蟹肉蟹膏加上牛油果醬配米餅，配搭得宜幾好食。是日餐湯係南瓜湯，南瓜湯香甜幼滑。飲得出係好重南瓜本身嘅香甜，口感綿密，有驚喜！鹽燒琵琶蝦辣蕃茄全蛋闊麵上台就聞到好惹味，琵琶蝦蝦肉味濃，有咬口。全蛋闊麵熟度剛好，唔會有成口粉嘅感覺，麵質都幾有咬口，仲有少少蛋香味。法式紅酒燴紐西蘭羊膝羊膝肉質嫰滑，裏面羊膝肉都食到有啖香紅酒味，配上焗薯，三色椒等配菜，均衡美味，燒蕃茄更係超級juicy今次晚餐質素都唔錯，見餐廳都有下午茶，下次又可以一試~"
2023-07-20,5,5,5,5,5,"店舖位於長沙灣福榮街樓高兩層，每層都有特色裝修，以花💐🌹🥀🌺🌷🪻🌻🌼為主題，感覺悠閒而且勁多打卡位😍，室外和廁所都可以有打卡位可見店主花了很多心思去佈置，值得一讚。👍🫶無論是嘆下午茶、午餐或晚餐都是一個不錯的選擇。💯💯💯💯💯💯餐類選擇很多有散叫也有套餐，我們就叫了一個setdinnerfortwo$628，再加$20轉了一個特級西冷牛扒蜜桃🍑巴馬火腿🥓，水牛芝士沙律伴蜜桃油醋汁一上枱外觀已經好靚好吸引，有花朵🌼伴碟。沙律菜🥗新鮮爽脆，巴馬火腿🥓大大塊加埋甜美多汁嘅蜜桃🍑和水牛芝士🧀一起吃，好味🤤😋，配上特別嘅蜜桃油醋汁酸酸甜甜很開胃，感覺很健康！🫶💯手拆蟹肉🦀蟹膏糍粑啖啖蟹肉🦀蟹膏和三文魚子鋪滿在糍粑上面，蟹肉🦀蟹膏鹹鹹香香，而糍粑煙煙韌韌，配在一起吃感覺很特別！😍🫶💯👍南瓜湯最鍾意飲啲真材實料嘅南瓜湯，飲落有濃郁嘅南瓜味和少少薑碎🫚幾特別。😋👍香煎法式鵝肝🪿牛肝菌意大利飯意大利飯上面鋪了兩塊大大的鵝肝🪿，鵝肝🪿上面也有一朵小花🌼作點綴，感覺有啲清新。👍鵝肝🪿食落去外脆內軟，口感嫩滑而且冇平時嘅印像中咁油膩👍。牛肝菌味道融入了意大利飯中味濃，中間冇生米，口感比較稔少少，好味！😋🫶香煎澳洲草飼特級牛西冷🥩配自家製醬汁五成熟五成熟嘅牛西冷🥩煎得啱啱好，係我哋鍾意嘅口感😋👍，外脆內軟，吃落肉質嫩滑多汁好有牛味，冇血水，唔錯！🫶💯💯💯💯💯💯仲有好多唔同嘅配菜做伴碟，有翠玉瓜🥒、車厘茄🍅、幾條蘆筍、澳洲蘿蔔片🥕和小許紫薯🍠蓉，配合一齊吃減少D肥膩感！😍🫶👍😋"
2023-10-04,2,4,3,3,3,".Boholic今日lunch去左長沙灣食🙆🏻‍♀️Boholic係一間我bookmark左好耐嘅餐廳🤩………..馬來椰香喇沙吉列廣島蠔意大利飯($118)喇沙味好香濃，飯嘅份量好多，配有三隻廣島蠔，但非常厚皮（圖7），蠔嘅size過細，唔推介😭😭………..菠菜忌廉煙三文魚意大利飯($108)飯嘅份量好多，煙三文魚份量建議可以加多小小🫢，朋友評價覺得味道過淡，好濃味人士可以skip🫣………..薯條配松露蛋黃醬(setlunch+$42)上枱時好脆口，但淋得好快，配松露蛋黃醬，但松露味太淡，感覺有d孤寒，中意食薯條嘅朋友可以試下，但衝著松露味而叫嘅朋友可以唔洗試🙈🫢………..整體而言，setlunch價格介乎$108-200，包含前菜、餐湯、固定飲品免費，需加一，其實價格算ok，但食物質素、選用嘅食材有待改善🤔🙈環境係好靚嘅，平日返工食lunch係可以嘅，始終附近沒有太多相似類型嘅餐廳，小競爭……….同朋友2個人食埋單：$295以平日lunch人均147.5，區內有更多其他菜色嘅選擇🙈……….地址：Boholic(長沙灣)長沙灣福華街561號君凱豪庭地舖及1樓……….馬來椰香喇沙吉列廣島蠔意大利飯$118"
2023-06-28,5,5,4,4,5,"今日放假，特登同屋企人去highteachill下依間餐廳的鳥籠造型西式二人下午茶set好出名😆而佢既裝修佈置絕對有加分以花為主整個感覺都令人好舒服😊上層甜點：🍋檸檬撻上邊有藍莓做裝飾加分檸檬味好出色😃酸中帶甜Tiramisu咖啡味唔錯蛋糕夠軟身👍🏻綠茶馬卡龍好怕馬卡龍好甜但依個馬卡龍做得好好😍甜味適中🍰抹茶芝士蛋糕綠茶味好出充滿着綠茶香味😆上邊仲有一層果仁口感昇華🍪牛油曲奇牛油味勁香曲奇脆卜卜正呀🥳🍓士多啤梨慕絲蛋糕慕絲好滑身士多啤梨味夠香濃賣相唔錯😊下層鹹點：⭐️黑松露沙律醬炸蝦炸蝦大大隻，炸得酥脆可口⭐️巴馬火腿芝士竹炭多士依個真心驚喜成個combo味道好夾塊ham夠鹹味芝士又夠「芝」味多士好鬆脆😋⭐️大蝦魚子牛油果撻一口一件口感好正😆蝦肉夠彈牙撻皮夠鬆脆牛油果味夠出👍🏻依個teaset鹹點&甜點都做得好出色餐廳環境又好好多打卡位😍地點又方便絕對會encore🥳"
2023-06-28,4,4,4,4,4,下午時間去享受下午茶，享受生活跟朋友慢慢吃。這次去了人氣咖啡店吃下午茶，以前去過吃午餐覺得味道挺好的😆。店舖位於長沙灣福榮街，特色裝修感覺悠閒，可以慢慢打卡一波🙈。-▪︎Boholic鳥籠下午茶拼盤HKD$328這個是在兩點半下午茶時間才有的，鳥籠的TeaSet感覺挺美，可以打卡一下📸。套餐包括：咸點三款及甜點五款，附送兩杯伯爵茶。食物賣相吸引，可以慢慢享受😝。-《咸點》黑松露沙律醬炸蝦：炸蝦外脆內軟，醬汁味道濃郁巴馬火腿撻芝士竹炭多士：咸香味十足的配搭🤤大蝦魚子牛油果撻：蝦肉爽口，咸中帶微酸的組合-《甜點》馬卡龍：質感較香脆，朱古力濃厚，味道甜而不膩開心果芝士蛋糕：兩者味道濃郁而配合，蛋糕香滑提拉米蘇：蛋糕質感幼滑，口感鬆軟味道香濃士多啤梨慕絲蛋糕：入口即融像吃雪糕的口感檸檬撻：味道酸酸的挺開胃，撻皮香脆鬆化曲奇：口感鬆鬆脆挺香牛油味，配茶吃挺享受的-跟餐附送的是兩壺伯爵茶，先等待一會兒再飲，茶較味清香濃厚。感到較特別的是開心果芝士蛋糕，是較少有的口味😍，芝士蛋糕的質感較紮實，所以挺有咬感的。-
6天前,3,5,4,5,3,"長沙灣周圍係住宅，估唔到有一間咁靚嘅餐廳🤗☕️餐廳分為兩層，波希米亞風裝修好有特色擺設精緻，以白色為主調，清新舒適，座位坐得舒服🐶有少量室外位置，適合帶埋寵物一齊打卡而門口既幾個打卡位置，無論點影到咁靚✨✨秘製蘇梅蛋黃醬燒焗美國特級豬扒（$138）豬扒配上秘製蛋黃醬，味道普普通通豬扒夠厚身，食落唔鞋，但分量偏少底下仲有少量蔬菜，豐富口感✨蘋果金寶火灸焦糖蛋卷配海鹽雪糕（$78）推薦‼️軟綿綿既焦糖蛋卷，上面撒上砂糖同餅乾碎而蛋卷裡面包住肉桂蘋果同cream🍦配上海鹽雪糕，結合甜味同微咸的風味。整個甜點食完滿足之餘，都唔會太膩✨MarukyuKoyamaenMatchaLatte（$50）飲品都好打卡able‼️matcha味好濃，好飲🥰✨CharcoalMacadamiaNutCoffee（$58）注意⚠️餐廳用餐時間80min，另收加一✨推介指數：7/10"
2023-11-13,5,4,4,4,4,"店內座位算小，最後比安排到樓上座位坐，都幾安靜，但係就冇景！食物份量比想像中多，都幾好食～缺點就係要食滿$500先可以用信用卡俾錢！但係我哋食咗兩個主食兩個甜品都唔夠$500，呢條門檻好似有啲高得滯！同埋店員冇一早同我哋講，去到最尾俾錢先知，呢一點可以有啲改善！"
2023-11-12,5,5,5,5,4,"🎪Boholic(長沙灣)長沙灣福華街561號君凱豪庭地舖及1樓長沙灣區文青cafe🤍小編已多次回訪🤭質素都保持住🫶🏻入面處處都係打卡位📸食物攞盤好用心‼️店內設計走波希米亞風，配上木系色枱櫈，用餐感覺舒服👐🏻🌟法式紅酒繪紐西蘭羊膝$208羊膝燉煮得好淋，羊肉既香氣好濃郁，搭配紅酒🍷烹製，平衡左羊肉既油膩感🫶🏻配菜有薯角和綠椒紅椒等，岩晒紅酒和羊肉既愛好者😀🌟蜜桃巴馬火腿水牛芝士沙律伴白桃柚醋汁$108擺盤好似藝術品咁🤭沙律菜夠晒新鮮，蜜桃巴馬火腿和水牛芝士做主打，十分健康✅🌟冬日暖意特濃芝士火鍋$188餐廳新菜單☝️天氣開始凍啦💨係時候要食啲暖笠笠既菜式，芝士火鍋🫕都係吾錯既選擇😀配料有極級咸牛舌粒、香草焗澳洲新薯、西蘭花、鮮蝦肉、車厘茄串，仲有竹炭麵包粒🪅芝士好濃郁，幾特別👍"
2023-11-04,5,5,5,5,5,"我帶狗仔喺附近睇醫生，經過見到呢間餐廳，門前放咗幾張枱椅，環境好舒服，好靚，所以就帶埋狗仔來試吓。而家嘅天氣涼涼哋啱啱好，坐室外都可以。我哋兩個人加一隻狗，總共叫咗兩個午餐一齊share食，叫咗一個肉醬意粉，同埋一個Pizza，用手機點餐，正在努力揀飲品之際，發現原來凍水果茶係跟餐唔使加錢嘅。其他特飲仲有好多選擇。肉醬意粉上面有隻流心蛋，但我唔會太生、太流質，做到半山熟嘅效果，好好味。意粉個醬加咗配菜、調味非常好，意粉嘅質感軟硬適中，好好味。而Pizza就非常特別，個餅底係黑色嘅，上面加咗好多蛋黃醬，好靚，而且好特別，好好味。侍應服務非常好，非常熱，感覺佢哋好鍾意狗仔，好有愛心，所以下次都會再嚟幫襯。"
2023-11-02,5,5,5,,,"香港 city walk 逛断腿是很容易的事不如停下找间brunch咖啡店看人来人往刚好偶遇街角一家波西米亚风咖啡店一整店的藤椅木系，chill氛围拉满餐食按照喜好，随意点就好～"
