time,taste,environment,service,hygiene,indigestible,comments
2023-10-22,4,5,5,5,5,"呢個假日又同老婆大人去食下午茶，因為佢睇中呢個下午茶有佢鍾意嘅化妝品禮物送。下午茶喺尖沙咀凱悅酒店咖啡廳入面食，成日都覺得呢度好鬼優雅唔係好襯奔放嘅我，不過啲嘢好食就梗係冇所謂啦！今次呢個下午茶叫做耀眼秋色下午茶，入面嘅飲品竟然係有酒精嘅南瓜馬天尼，鍾意飲酒嘅我梗係要點杯嚟試吓啦！呢杯特飲係勁香濃嘅南瓜甜味，同埋酒味唔算好濃我覺得女士都飲得到。下午茶嘅鹹點有三樣後面嗰杯係酸酸香香嘅橘子醃製三文魚及吞拿魚，右手面那個好似雪糕咁嘅係慢煮鴨肉芝麻筒，同埋左手邊嗰個迷你可愛嘅係粟米炒蛋巴馬火腿脆片松露軟包。
 
呢杯橘子醃製三文魚及吞拿魚好清新，有新鮮芒果粒加埋用橘子醃嘅三文魚同埋吞拿魚口感好正。
 呢度個鬆餅口味好特別係用紅酒無花果嚟整嘅，比平時食嗰啲鬆餅多咗無花果嘅甜味，仲有少少紅酒嘅酸香味道都幾特別。甜品有五件咁多全部都好有秋天嘅感覺，好似有蜂蜜抹茶泡芙、栗子山、南瓜芝士蛋糕、朱古力紅桑子胡桃撻同埋焦糖啤梨撻。我最鍾意係個樣靚到不得了嘅南瓜芝士蛋糕，南瓜嘅甜味加埋芝士嘅鹹香食落味道幾唔錯。老婆大人除咗鍾意嗰個栗子山之外仲勁Like焦糖啤梨撻。不過今次嘅重點其實係呢套RMK潔膚底妝旅行套裝！因為食完呢個下午茶我哋準備去旅行真係食得時間啱啱好，返嚟仲可以攞張邀請咭去RMK專櫃體驗個人化眼妝或修眉服務，加加埋埋送成六佰幾蚊禮品好鬼超值，老婆大人仲有兩份添開心死佢哈哈。"
2023-07-05,5,5,5,5,5,"
-𝙃𝙮𝙖𝙩𝙩𝙍𝙚𝙜𝙚𝙣𝙘𝙮𝙏𝙎𝙏🍽️每次同朋友有大事發生就會食番個自助餐慶祝哈!生日食buffet轉左新工當然都要食buffet!近排尖沙咀凱悅酒店做緊以海膽龍蝦為主題既自助餐岩晒中意食海膽龍蝦既朋友仔☺️！餐廳環境闊落舒適食飽傾計傾到唔捨得走✨Mon-ThuDinnerBuffet($748/adult）-1個時段:6pm-10pm特色海膽菜式✨海膽豆腐:海膽差唔多有整粒豆腐咁大!甘甜清爽!✨海膽味噌炒蛋軟包多士:新鮮即叫即製廚師即席將熱辣辣蛋多士放上海膽食落口感層次豐富鮮味十足貪心既我想將整個多士都鋪滿海膽呢!✨海膽炒飯:意外既係雖然睇唔到海膽真身但食落係有勁香濃既海膽味加上有魚子鹹鮮味滿滿!✨即製海膽軍艦:海膽色澤橙橙黃黃味道甘甜質感細膩入口即溶✨巴馬臣芝士海膽闊條麵:廚師將忌廉闊條麵加上海膽汁放係整個熟成12個月既巴馬臣芝士入面撈勻食落每條闊條麵除左芝士味之外仲有沾上濃烈既海膽汁味道非常突出!平時食自助餐好少可會拎意粉食但呢個真心不錯!冰鎮海鮮區海鮮黎講都真係好多選擇源源不絕咁供應每款都係非常新鮮鱈場蟹腳肉質軟嫩多汁有海水味唔係死鹹;波士頓龍蝦鮮甜味美;青口肥美鹹鮮;翡翠螺肥厚彈牙帶有嚼勁;✨美國野生捕獲波士頓龍蝦✨越南養殖海蝦✨加拿大野生捕撈翡翠螺✨新西蘭野生捕撈青口✨阿拉斯加鱈場蟹腳✨青口／沙白蜆✨新鮮刺身及壽司熱食-包括日式/西式/中式/印度天多利/精選天婦羅/燒烤/即煎鐵板燒/即切肉眼扒/香草烤羊架/避風塘炒龍蝦鉗等等當晚個人認為最有特色既係各款龍蝦菜式全部食落都係非常新鮮肉質結實啖啖肉忍唔住都食多左幾round!中湯都係好足料飲落甘香又養生~✨即煮新鮮波士頓龍蝦✨蒜蓉辣椒牛油燒龍蝦✨日月魚湯甜品-有好多各式各樣賣相精緻既小甜品整體黎講都好多選擇又出色包括:🍨蛋糕:自家製千層酥/巴斯克芝士蛋糕🍨特色甜點:豆腐花/雪糕/芒果糯米飯/窩夫/水果等等
"
2023-05-26,4,5,4,5,4,"
可能自助餐競爭也不少，所以連凱悅這高級酒店嘅餐廳都要同OpenRice合作，訂枱有六五折優惠食中午自助餐。所以買單只是三百幾元，可算是性價比高。一直以來光顧尖沙咀凱悅都覺得不論是咖啡廳或毗鄰的Hugo出品也有一定的水準。三年疫情過去自然要去再試一試水準有沒有下降。但當然大堆頭製作的自助餐總會有一點讓人批評做得不好的地方。飲品材料咖啡或茶，還提供兩款飲品，分別是藍莓薄荷水和蜜糖薑特飲。
藍莓薄荷水
藍莓薄荷水味道和清水清水沒有分別。
蜜糖薑賓治
而蜜糖薑特飲味道偏淡，有薑味，但沒有辛辣味。凍海鮮櫃位
海鮮冷盤方面，品種不算太多。但中午自助餐有小龍蝦出現，我個人覺得已經合格了。他不可能期望有生蠔出現吧！
芝士焗龍蝦
可能因為這樣，所以每位客人都送一份芝士焗龍蝦，獨立由侍應送到枱面。不過龍蝦細隻，肉的份量較少，感覺只是吃了一啖龍蝦肉。凍肉櫃位
凍肉和芝士拼盤，貴精不貴多。沙律方面選擇亦不太多，調配好的沙律只有兩款。可能因為考慮到香港人多不重視自助餐的沙律。自助餐照樣有中湯西湯，
蕃茄忌廉湯
西湯的蕃茄湯讓我有驚喜不是常常遇上的酸味太重反而做到味道平衡的感覺。
粉葛湯
中湯是放在一個大蒸籠內。如果說是燉湯感覺只是整色整水罷了。因為肯定是煲好的湯再放音樂大碗內一併在蒸籠內。可惜湯的味道偏淡，連主角-粉葛味道也不突出。中式燒味
中式燒味味道只是一般其實不吃也罷。那泰式咖喱蝦，咖喱味道偏辣，整體吃不出下的任何味道。中式蒸魚不是我喜愛。沒有吃。不過開始自助餐不過15分鐘已經不見了不邊魚肉。
另外一樣有驚喜的是章魚大阪燒。不過天婦羅其中一款用了粗條「粟米仔」口感強差人意。燒牛肉羊肉位置
