time,taste,environment,service,hygiene,indigestible,comments
2023-11-09,4,4,4,4,4,"
.‼️❤️記得CLICK我PROFILE關注我呀❤️‼️.☕️𝗖𝗼𝗳𝗳𝗲𝗲𝗵𝗼𝘂𝘀𝗲𝗕𝗶𝘁𝗲𝘀@🌟EspressoAlchemy《👽食神大媽食西餐》⠀.💁‍♀️圖片展示美食為：TigerPrawnandThaiAsparagusSpaghertiinSpicyTomatoSauceHKD129SmokedSalmonSaladwithHomemadeLemonVinaigretteDressingHKD92Avocado,CucumberandTomatoSaladwithCheeseandHomemadeLemonVinaigretteDressingHKD88KetoMatchaCreamRollCakeHKD61HoneyEarlGreyLatteHKD43SingleOriginBrewHKD30.👽呢間人氣長期超級旺嘅分店，今日見到難得唔使排隊，即刻入去食，話晒中午時段次次都全場爆棚。起幾間分店入邊最鍾意去呢間，位置真係超方便。.☕️黎CAFE，飲品當然係重中之重啦。今次點選左最愛嘅「蜜糖伯爵茶鮮奶」同餐廳不定期更新嘅「精選單品咖啡」。前者超級濃郁，伯爵茶同鮮奶嘅結合帶出香濃嘅茶同奶香！加埋蜜糖，令味道更加甜蜜！後者酸度得宜，獨特風味帶出濃郁嘅咖啡香氣，平衡做得好好。午市幫襯，仲可以用優惠價換購，超正！HoneyEarlGreyLatte$43SingleOriginBrew$30.🍝叫咗個正餐「香煎虎蝦配蘆荀辣蕃茄汁意粉」，虎蝦有成三隻，煎得脆身好咬口，蘆荀同辣蕃茄汁意粉調味幾惹味，意粉質地亦幾彈牙。TigerPrawnandThaiAsparagusSpaghertiinSpicyTomatoSauce$129.🥗朋友仔減肥，就叫左「煙三文魚沙律」。三文魚全部捲成一朵朵花花，打卡味濃。肉質好新鮮，自家製檸檬醋醬帶出酸爽嘅風味，增添沙律嘅美味！份量好大，一定夠飽。SmokedSalmonSaladwithHomemadeLemonVinaigretteDressing$92.🥑遷就返朋友仔食清淡，我哋再一齊分一個「牛油果青瓜蕃茄沙律」，牛油果、青瓜同蕃茄嘅組合超級健康，加埋芝士同自家製檸檬醋醬，令調味提升唔怕淡茂茂。咁大碟，兩個人分剛剛好。Avocado,CucumberandTomatoSaladwithCheeseandHomemadeLemonVinaigretteDressing$88.🍰食食吓再傾吓計，又想咬下甜品，所以就再額外嗌多份「生酮宇治抹茶忌廉卷」。朋友仔超愛呢一份，因為減肥都可以食！全部材料都係生酮friendly，抹茶忌廉好滑順香濃，口感非常唔錯！KetoMatchaCreamRollCake$61.😉不過真係要避開繁忙時間啊如果唔想等位，因為好旺呀呢間分店，大家有機會都可以黎試吓。.📍尖沙咀廣東道3-27號海港城港威商場地下G104號舖📲+(852)2610-2998.‼️❤️記得CLICK我PROFILE關注我呀❤️‼️.💯最真實的美食點評❤️歡迎報料❤️.꧁𖠌ꕥ𖠌ꕥ𖠌ꕥ𖠌ꕥ𖠌ꕥ𖠌ꕥ𖠌ꕥ𖠌ꕥ𖠌꧂."
2023-10-08,5,5,5,5,5,"
這間位於尖沙咀海港城的咖啡店，是本地人氣連鎖的，本身有做精品咖啡烘焙，咖啡的質素相對有保證。
食物及飲品方面均即叫即製，除了咖啡外，還有多款特調飲品，食物亦有輕食和主食等，選擇非常之多，價錢亦公道合理。
香煎虎蝦配蘆筍辣番茄汁意粉香煎虎蝦配蘆筍辣番茄汁意粉香煎虎蝦配蘆筍辣番茄汁意粉-$129三隻爽滑彈牙的鮮虎蝦去殼去腸，煙韌彈牙的意粉掛滿酸甜帶辣的鮮蕃茄醬汁，更有少少爽脆的蘆筍添口感。
自家製香草牛肉漢堡伴黑松露沙律醬自家製香草牛肉漢堡伴黑松露沙律醬自家製香草牛肉漢堡伴黑松露沙律醬-$127厚度十足的牛肉漢堡鬆軟多汁，混有香草碎，濃郁的牛味帶淡淡清香；夾著半溶化的芝士、生洋蔥、蕃茄及生菜等經典配料；外脆內軟的漢堡包撒上白芝麻，再塗上沙律醬，帶陣陣松露飄香。
生酮意式芝士卷生酮意式芝士卷生酮意式芝士卷-$62迎合生酮國際潮流，無麩質的蛋糕很濕潤不乾巴巴，吸滿咖啡酒香，包裹著的忌廉幼滑細膩。
IcedMilkChocolate&MochaIcedMilkChocolate&MochaIcedMilkChocolate-$48特濃的朱古力帶有一粒粒朱古力碎，絲滑的鮮奶平衡膩感。Mocha-$46精緻的拉花圖案，醇厚的咖啡有著果酸香氣，搭配香甜的朱古力和順滑的鮮奶，好易入口。
"
2023-09-06,4,5,5,4,5,"
當晚，為了跟好姊妹走到西九文化區影人造北極光；所以，轉工到尖沙咀返工的好姊妹帶我食這間位於海港城港威商場地下的咖啡店 <EspressoAlchemy>，而且又順路經戲曲中心可行過去西九文化區！
平日夜晚，出奇地少食客， 反而對面芝樂門外有不少人等位！這裡環境幾舒服，亦有落地玻璃，可看到出面！少食客的關係，空間感充裕！
Menu食嘢期間，見到隔離枱叫漢堡包+薯條，幾吸引呀！第二次幫襯，發現轉了新Menu，還加入新款式美食，不排除加價？！
落單付款後，店員會給予一個號碼牌，稍後由店員送上食物！
MatchaLatte$39(Regular)抹茶的甘味適中，甘中微甜！
MatchaLatte$39EarlGreychocolate$42(Regular)甜中帶微甘，口味溫和！EarlGreychocolate$42LemonChickenBaconPanini$72其實都幾大份，烤焗後更加香，淡味的雞肉及鹹味的煙肉，兩者配搭得宜， Panini外層帶香脆，包身綿密鬆軟！
LemonChickenBaconPanini$72MatchaRollCake抹茶卷蛋$59抹茶的甘味比MatchaLatte更強烈！質感鬆軟綿綿！令人一試愛上！MatchaRollCake$59
第二次幫襯
牛油果碎蛋沙律貝果$78賣相已經給我驚喜嘞！店方不單止是將Bagel一開二，而且一開四，方便進食！原味Bagel外層香脆，包質綿密卻不失鬆軟，塗上適量的牛油之餘，亦滲出微微的蒜香，令人更開胃，牛油果碎蛋沙律以多蛋少牛油果，真材實料，粒粒蛋白，口感豐富，同時蛋白質滿載！色彩繽紛的沙律菜，包括：含鈣質及鎂的幼身苜蓿芽、新鮮爽脆的羅馬生菜、微苦的火箭菜，酸甜多汁的車厘茄...等，切段不會太細碎容易入口，配上充滿檸檬果酸的橄欖油dressing，份外醒胃！食得健康清新又有營養！不論午餐、下午茶抑或晚餐都好適合呀！牛油果碎蛋沙律貝果$78熱蜜糖伯爵茶牛奶$43Regular比我預期多份量， 可沖到到杯咖啡杯！味道清然淡雅，香滑順喉，就算混合蜜糖，只有輕微甜度，不喜歡重口味的食客應該啱口味！熱蜜糖伯爵茶牛奶$43"
2023-08-15,4,4,4,4,4,"
腸胃炎病咗幾日，日日粥水、粥水又粥水，無啖好食，所以，趁好番，今晚又喺得返一支公開飯，專登食好少少，就諗到嚟海港城嘅「EspressoAlchemy」嘆杯靚咖啡，食個意大利飯，呢度嘅出品穩打穩紮，啱我好味，最緊要啲咖啡有水準嘛。
餐廳嘅環境可以講跟商場空間連成一體，下單嘅櫃位喺較「入鋪」嘅一邊。
對開嘅另一邊就喺用餐區，地方都幾大，拱門形嘅窗框，加上波波燈，裝修上帶點歐陸風，予人感覺閒適寫意。  
基本上，印像中跟上次嚟嘅餐牌變化唔喺好大，食物方面，就包括有沙律、三文治、多士、意大利麵、意大利飯、全日早餐、漢堡、意大利三文治及甜點。而飲品方面，都喺一系列意式咖啡，以及多款特色飲品、朱古力……等等。 
選購食物採半自助形式，晌收銀處落單後，收到號碼牌，就由店員將食物送上，簡單嘅服務，卻唔收加一服務費。  
南瓜蓉配炸松子核桃碎忌廉意大利飯 $109 上一次嚟試咗佢哋嘅虎蝦車厘茄意大利飯，今次當然要揀番意大利飯，一碟意大利飯好睇到廚師嘅手勢同實力，掂唔掂你得呃。初時見佢個菜名叫南瓜蓉，以為只喺個汁底加入南瓜元素，原來唔止咁，飯面仲有好多烤南瓜肉，此外，仲有好多松子仁、核桃碎，令到整體口感豐富；而飯粒做得夠濕潤，入口米心口感煙韌，卻唔會有種「生米」嘅感覺，每口都充滿南瓜嘅清甜香味，只喺稍嫌收水多咗啲，個汁少少杰身。
南瓜蓉配炸松子核桃碎忌廉意大利飯$109南瓜蓉配炸松子核桃碎忌廉意大利飯鮮奶咖啡 $44 佢哋嘅咖啡真喺幾有水準，所以，我都揀番慣常所飲嘅鮮奶咖啡。先講個拉花，線紋細緻而對稱，雖然未算話拉到好多層，亦算喺有番咁上下，入口口感均勻，咖啡香氣醇和，又富有果仁香氣。另外，好鍾意店家啲瓦杯，厚身又有型。
鮮奶咖啡生酮竹炭黑芝麻忌廉卷 $61 曾經喺西環一間咖啡店食過生酮所做嘅蛋糕，由於喺無麩質製作，好啱有敏感問題嘅客人食，見呢度都有，今晚盡興少少，食埋個甜品先。最心水喺意大利芝士口味，不過，買晒！竹炭黑芝麻我都OK，竹炭蛋糕捲住黑芝麻忌廉，如果能加上少少裝飾，賣相就更加精美。海綿蛋糕有別平常嘅口感，喺會覺得稍稍乾啲，但仍很軟綿，中間嘅忌廉打得很柔滑，好有芝麻香氣。
生酮竹炭黑芝麻忌廉卷$61生酮竹炭黑芝麻忌廉卷
就算唔喺素食餐廳，好多餐廳都會加入少少健康菜式，例如全素菜式、無麩質、生酮飲食……等等，其實都喺一個趨勢，好做多少少著重呢方面嘅客人。今晚呢餐其實又真喺好健康，難得一支公食飯都無大魚大肉，可以食得咁健康，哈哈！
"
2023-07-02,5,4,4,5,5,"
