time,taste,environment,service,hygiene,indigestible,comments
2023-11-13,4,5,4,4,4,"
這間餐廳位於中環的核心地帶。從餐廳窗外可以望到中環半山區一帶的風景。餐廳的佈置非常浪漫，很適合情侶來消遣或朋友聚餐。我們點了兩個晚餐和伴碟。芝士黑松露多士外脆內軟，好香黑松露味。味道不錯甘筍湯依個湯清爽鮮清甜，有淡淡的甘筍味。蒜片欖油浸廣島蠔共有四隻大蠔和四塊風乾火腿。唔知係未應該一齊食🤪。蠔肉多汁。欖油裡面有檸檬，蕃茄，豆和蒜片。因為有檸檬所以很開胃。1/2非洲雞配炸薯條這個非洲雞的部位是我最喜歡的雞髀，雞髀的雞皮十分脆，獨特的香料調味充滿了濃郁的風味，旁邊有一個辣辣地的醬汁配非洲雞。炸薯條外脆內軟，量份亦很多。香烤美國安格斯肉眼扒（8oz)好大塊的肉眼扒。肉眼扒外層烤到金黃色，有肉汁和肉的質地都很鮮嫩。旁邊配很大的三色蕉和牛扒醬。SangriaRed酒上面有蘋果和香橙片。成杯酒有淡淡的果香味，口感順滑，分量十足。水果茶SignatureFreshFruitTea水果茶裏面都有蘋果和香橙片。水果茶很香甜，水果浸耐左融入水果茶就有非常濃郁的果香。這個果然是招牌飲品。重口味朱古力窩夫半份就是朱古力雪糕，朱古力醬，朱古力Oreo，朱古力brownie，朱古力moose再加上主角窩夫。啱晒喜歡朱古力嘅，我食完非常滿足。"
2023-11-08,4,5,5,5,4,"
位於中環的Espuma餐廳，以其迷人的景色和舒適的氛圍，成為這個地區最受歡迎的西餐廳之一。這家餐廳以景色而聞名，被譽為「中環最靚景餐廳」。坐落在高處，它為顧客提供了一個開揚的環境，讓陽光自然地滲透進來，給用餐體驗增添了一絲溫暖。Espuma餐廳的窗戶俯瞰著中環的美景，讓人居高臨下地欣賞著百年歷史教堂聖母無原罪教堂和禮賓府等壯麗建築。這種獨特的視角為用餐者帶來了一種特殊的感受，彷彿置身於歷史的懷抱之中。除了令人驚嘆的景色，Espuma餐廳的晚上氛圍也非常輕鬆舒適，非常適合情侶約會或與朋友聚餐。入夜後，餐廳的燈光營造出一種迷人的氛圍，讓人感到放鬆和愉悅。你可以享受著美食的同時，與摯愛的人交談，度過一個難忘的夜晚。它的美食同樣出色。這裡提供的西餐菜單精心設計，DinnerSet性價比高。今晚order左安格斯牛肉和香煎比目魚dinnerset,前菜部分的火腿沙律，多士都唔錯。安格斯牛肉5成熟，肉質juicy。甜品最欣賞朱古力窩夫，朱古力雪糕配窩夫，絕配。無論是約會還是與朋友相聚，這裡都是一個絕佳的選擇。
"
2023-11-08,4,5,5,5,5,"
位於中環的Espuma餐廳，以其壯麗的景色和美味的美食而聞名。作為「中環最靚景餐廳」，這裡提供了開揚的環境，讓下午的自然光滲透進來，為用餐體驗增添了一絲溫暖。從Espuma餐廳的窗戶望出去，你可以居高臨下地欣賞到中環的美景。百年歷史教堂聖母無原罪教堂和禮賓府等建築盡收眼底，讓你彷彿置身於歷史的懷抱之中。這種獨特的視角為用餐者帶來了一種特殊的感受，讓整個用餐體驗更加難忘。Espuma餐廳的晚上氛圍輕鬆舒適，非常適合與摯愛或朋友聚餐。環境中的燈光營造出一種迷人的氛圍，讓人感到放鬆和愉悅。你可以在這個舒適的環境中享受美食，與摯愛的人交談，度過一個難忘的夜晚。如果你喜歡海鮮，那麼比目魚是一道不容錯過的美味。這道菜選用新鮮的比目魚，經過精心烹調，保持了魚肉的鮮嫩和天然的甜味。搭配醬汁和配菜，每一口都帶給你滿滿的海味享受。總之，Espuma餐廳以其壯麗的景色和美味的美食吸引著眾多食客。這裡提供的安格斯肉眼扒、比目魚、巴馬風乾火腿季節沙律和芝士松露醬薄多士都展現了廚師們的專業和熱情。在這個輕鬆舒適的環境中，與摯愛或朋友一同享受美食，將是一個難忘的用餐體驗。"
2023-11-07,5,5,4,4,4,"中環近蘭桂坊餐廳樓上鋪選擇唔多，呢間係我嘅首選，上到去個景非常之靚，景色開陽，窗邊可以見到教堂好浪漫，居高臨下望到歷史建築同禮賓府同百年歷史教堂，個感覺好震撼。室內的氛圍亦非常舒適，環境非常之優雅，可以同朋友傾密計。1/2非洲雞配薯條非洲雞味道唔算好濃，個皮好脆口而且薄身，辣既位置都係雞皮上，雞脾肉算嫩，但雞胸位置就比較乾，仲有三色椒同薯蓉食，我比較鍾意食三色椒嘅味道，既鮮甜又容易上口，個醬有小小辣，建議唔食得太辣嘅朋友可以適可而止。薯條非常炸得啱啱好，同埋個顏色特別好睇，金黃色係燈光下特別靚，一飽口福之後還可以欣賞菜色。香烤美國安格斯肉眼牛扒，嗌咗五成熟，嚟到其實應該都已經有六至七成，切開都有粉紅粉紅嘅肉質，食落去牛肉味都算濃，入去口嫩滑多汁，口感豐富，非常JUICY,入面仲有三色椒同薯蓉食，非常豐盛亦很美味。第一次飲西班牙果酒，係因為有人講沒有西班牙的果酒就是不完整的，趁着夏天的尾巴終於一飽口福，酒精含量不算多，仲有水果食，有蘋果橙浮在表面幾有浪漫情懷。重口味朱古力窩夫真係好重口味，好濃郁的朱古力味道，窩夫鬆軟香脆，忌廉又唔會過我，入口再度爆漿，非常有誠意的甜品！"
2023-11-07,5,5,5,5,5,"
一諗到西班牙菜，有啲人以為食得一定好貴。但係位於中環M88呢間西班牙餐廳就一定係平民之選。CP值高，價錢親民，菜式還要非常好食，地點方便另外打卡也是一流。他已經成為我和朋友的指定生日打卡餐廳。也是情侶約會的一流選擇。菜式方面，非常多選擇。也包含一些fusion的菜式。如果只係想過嚟食嘅嘢絕對唔會令你失望每道菜都是在平均水平以上。10分推薦。
"
2023-11-06,4,4,4,4,4,"之前有人推薦過這家餐廳，近工作地點，就來這裡與好朋友慶祝生日。平日晚上時段來，不算太多人，不會很嘈雜，可以與朋友舒舒服服地聊天相聚，不錯。當晚同場也有人慶祝生日，他們的甜點很有心思，有一大球棉花糖，很適合女生打卡。但可惜朋友比較樸素，不太想要那個甜點。還是點些正餐比較適合他。我選了西班牙海鮮燉飯$338，加了一個蜜糖牛油粟米$48。
朋友就點了美國安格斯肉眼扒8安士$398，另加一份脆炸薯條$38。
前菜有巴馬火腿沙律、芝士松露多士、和餐湯(白湯)。火腿有幾片，很足料，一般都只有兩三片，但這個前菜有4-5片，咸香味濃。多士也很香脆，不會太膩。白湯濃郁幼滑，有些蟹肉增加口感。前菜滿意。
兩份主菜也很用心，足料，大份。很喜歡西班牙燉飯，啖啖龍蝦汁風味，燉飯的口感恰度好處，不會太稀爛，有口感。配菜的粟米很大份，牛油和蜜糖是一流的配搭，停不了口！薯條也很香脆，夠熱。
點了紅酒來配牛扒🥩，提升了味道的層次！
很滿足的一次用餐體驗，驚喜是餐廳的景觀開揚，很舒服，可以看到中環的不同建築物。
"
2023-11-06,4,4,4,4,4,"
📍Espuma中環📍好耐冇同另一半拍拖，想食啲優雅啲西餐。留意到呢一間西餐廳，除咗食物睇落好吸引，仲有靚靚景觀，好似好浪漫，於是就訂位嚟試吓！一出Lift，已經好有Feel，簡約木質風格，但又高貴優雅。裡面嘅裝修好令人好舒服。呢次坐窗旁邊，景色開揚，因為位置夠高，可以一覽中環夜景！叫咗兩個SetDinner！前菜有ParmaHam巴馬火腿沙律、芝士火腿薄多士、忌廉蟹肉湯。
主食：👍🏻龍蝦汁西班牙海鮮燉飯好足料，有魷魚、青口、帆立貝、帶子、蝦、蜆，飯粒有咬口！👍🏻香烤美國安格斯肉眼扒好有牛味嘅牛扒，叫咗五成熟，唔會太老，而且配料豐富！另外仲包一杯餐飲！心思思想食甜品，就再點咗半份重口味朱古力窩夫🧇！超足料啊！朱古力醬、朱古力雪糕、朱古力味Cream、香濃布朗尼等配料，好豐富！窩夫整得夠香脆，好食😋。
整體來講，服務態度好，晚上環境氛圍輕鬆舒適，適合拍拖或朋友聚餐！
"
2023-10-31,4,4,4,4,4,"
