time,taste,environment,service,hygiene,indigestible,comments
2023-11-15,4,5,4,4,4,"
荔枝角工廈有唔少餐廳，今次朋友帶我去億利工業中心食平民FineDining-FABKitchen,餐廳主打法國和意大利Fusion菜，環境闊落，藍色格調優雅。我哋叫左個SetDinner|$688，可以揀兩個Salad或Soup,兩個Appetizer和兩個MainCourse,仲有麵包和飲品；另外ALaCarteMenu選擇都唔少，性價比高，大力推薦！
麵包熱辣辣好香芝麻味，外脆內軟，加埋牛油更好味
SaladandSoup法國珍珠蠔周打魚湯
法國珍珠蠔周打魚湯，珍珠蠔飽滿有鮮味鮮芒果大蝦沙律
鮮芒果大蝦沙律，芒果沙律好清新，大蝦好大粒和爽口Appetizer
自家刁草醃製挪威三文魚
自家刁草醃製挪威三文魚肉質鮮嫩，油脂均勻，經過草醃製後提昇咗三文魚口感和味道
帕瑪火腿片無花果
帕瑪火腿片無花果肉質柔軟，鹹度適中，配埋無花果一齊食原來係咁夾MainCourse
法式脆皮烤鴨胸藍莓香醋醬法式脆皮烤鴨胸藍莓香醋醬
法式脆皮烤鴨胸藍莓香醋醬鴨胸肉烤至外皮酥脆，而肉質仍然keep到鮮嫩多汁，同時保留了鮮味，再配上藍莓香醋醬，令鴨胸肉味道更加突出
烤紐西蘭草飼鹿柳胡桃牛油南瓜帕瑪森芝士黑松露烤紐西蘭草飼鹿柳胡桃牛油南瓜帕瑪森芝士黑松露
烤紐西蘭草飼鹿柳胡桃牛油南瓜帕瑪森芝士黑松露草飼鹿肉比普通牛肉更嫩滑， 有細膩紋理和豐富肉汁，烤制後保持鮮嫩多汁。南瓜嘅甜味與胡桃牛油口感互相融合，增添層次感。帕瑪森芝士嘅奶香味和松露濃郁香氣，創造美妙嘅味覺體驗有機薑茶
最後點了一壺有機薑茶，大約斟到兩三杯，清清地為豐富晚餐畫上完美句號 😄
"
2023-11-14,5,4,5,5,4,"
