time,taste,environment,service,hygiene,indigestible,comments
2023-10-31,5,4,5,5,4,"
📍FireBird(銅鑼灣)📍銅鑼灣邊寧頓街13號地舖🟡日本產霜降A4和牛&厚切牛舌燒$198🟡特上牛肉串燒盛合$188🟡Firebird名物重量級火焰原隻雞腿$138🟡火山熔岩鮭魚卷$98🟡明太子伴玉子燒$48🟡LycheeFrozen$68Halloween係銅鑼灣搵餐廳，見firebird裝飾得好有氣氛，就入左去！一入去就感受到串燒誘人的香氣。即刻叫咗個特上牛肉串燒盛合，食材新鮮，調味恰到好處！特別係牛舌，口感真係非常出色。有少少脆口，又有彈牙質感！正！Firebird的名物——重量級火焰原隻雞腿，真係一道讓人驚艷嘅菜式。火焰一燃起，好引人注目，味道濃郁，雞肉多汁，而且份量十足！火山熔岩鮭魚卷係一個值得一試的選擇。鮭魚肉質鮮嫩，芝士同其他配料都配搭得好好，令人回味無窮。明太子伴玉子燒的玉子燒又暖又滑，真係令人愛不釋手！最後叫咗杯清涼的飲品LycheeFrozen以荔枝為主，清新爽口，好岩食串燒飲！Firebird菜式好有獨特風味，特別係✨火焰原隻雞腿✨火山熔岩鮭魚卷都係非常推薦。如果想食日本風味特色美食，可以黎食下！"
2023-10-24,4,4,4,4,4,"
𖠿銅鑼灣——FireBird銅鑼灣邊寧頓街13號地舖𓏸FireBird名物重量級火焰原隻雞腿|$138𓏸火山熔岩鮭魚卷|$98𓏸鰻魚4點盛合|$188𓏸脆炸軟殼蟹天婦羅|$78𓏸自家製免治雞肉棒（配鮮蛋黃）|$38𓏸LavaFlow|$78𓏸冰火日本甜薯雪糕|$68𖧷有加一  ‧˚₊៸៸*･゜適合多人聚會的居酒屋゜･*餐廳有分為吧枱及梳化座位梳化座位十分闊落，是可以容納10人以上的而且梳化區域相對上比較隱蔽，個人認為多人聚會挺合適～Menu有多樣菜式，選擇困難症患者會難以選擇xdd現在是萬聖節主題，餐廳都播放着萬聖節歌單，有興趣可以和朋友過來相聚吃個晚飯
‧˚₊៸៸𓏸FireBird名物重量級火焰原隻雞腿|$138店名既然是叫Firebird，那雞肉料理應該是不敗吧？！原隻雞腿放上枱時便十分吸引，店員先灑上酒後點火十分打卡able，待火焰熄滅後，店員便貼心地把原隻雞腿剪開雞肉十分軟滑，不柴！但調味上比較重口味
