time,taste,environment,service,hygiene,indigestible,comments
2023-10-12,5,5,4,4,4,"
差不多每一次來GrindSize下層的位置都是滿滿的，如果大夥兒聚會是推薦在上層，我特別喜歡這裏因為跟外面女人街形成強烈的對比，真的很「香港」！文青風的咖啡店有很多，但是能夠維持食物質素的真的是少數，餐牌定時會有更新，常常來都有驚喜，創新的菜式配搭出奇地好，亂點也不會踩雷，除了之前吃過的不是飲品.檸檬茶，熱食餐點朋友也是讚不絕口WeekdayLunchset蝦頭油大蝦意粉$88
超級濃郁的蝦汁鮮味十足，意粉質感屬於比較乾身，所以更惹味，最重要的口感可以保持煙靭，味道不錯海膽汁帶子意大利飯$98
完全是被「海膽汁」吸引，海膽加上忌廉的醬汁味道不錯，煎香了的帶子幾嫩滑，配上意大利飯真的幾好吃，食完好飽肚麻辣奶油蜆$58
這裏的麻辣超好吃，每粒蜆都肥嘟嘟，真的10分推薦，lunchtime仲可以優惠價加配，誠意推介茘枝玫瑰咖啡soda
真果味，超大粒荔枝咖啡都很有特色，例如這款荔枝玫瑰果味十足，加上碳酸的清爽口感，不會有負擔另一杯飲品有少少似焦糖燉蛋嘅咖啡
放心味道不會太甜
—————————————————GRINDSIZE(旺角)旺角通菜街10號地舖—————————————————⠀⠀⠀⠀⠀⠀⠀⠀⠀#hkfoodie#hkfood#hkfoodblogger#hkfoodpic#hkfoodstagram#foodie#foodporn#foodphotography#foodgasm#hkinfluencer#食好西#香港美食#hkiger#旺角美食#cafe餐廳#grindsize@grindsize___🥇Follow@eathkgirls#eathkgirls#食港女
"
2023-10-09,5,5,5,5,5,"
GRINDSIZE，位於旺角通菜街，一間設計好特別既Cafe，門口咁吸晴既霓虹燈牌「#窮撚賣咖啡」一定會留意到佢✨下層優雅好靚加咖啡製作區，二樓Chill爆感覺英式傢俬，好舒服好有feel😙Hea住飲啡既好地方，加埋fushion小食、主食🤩先飲杯咖啡，有好多特色咖啡，#湯力咖啡、蘋果咖啡等，揀左青青青瓜咖啡，因唔想飲奶所以個base要左Americano，青瓜超refreshing😳對於唔太鍾意甜既人，青瓜咖啡係好清新好light既選擇😎柚子大蝦沙律酸甜薑醋汁，好靚既賣相，大蝦真係大隻，煎到好香，彈牙好味🍤沙律菜既配搭好好，個汁好特別，酸甜得黎又夠light👍🏻青青青瓜咖啡柚子大蝦沙律酸甜薑醋汁大蝦蟹肉明太籽西班牙蛋餅，西班牙蛋餅一向好正，上枱見到超厚，好吸引😎一刀切落去，啲蛋汁真係流晒出嚟，超超超多汁❤️入面既蟹肉加埋明太籽同滑蛋，好豐富既口感，好好味🥳相當唔錯既西班牙蛋餅😆蟹肉明太籽西班牙蛋餅咖啡咁正，食物咁好味，環境仲無得輸✨真係只此一家🏅必到！
"
2023-09-26,4,5,5,4,4,"
