time,taste,environment,service,hygiene,indigestible,comments
2023-11-06,4,5,5,4,4,"
Thisisaspecialtyrestaurantandhadthepleasureoftryingavarietyofdeliciousdishes.Herearemythoughtsonthesefoods.👨‍🍳FirstupistheRoastedBlackPig.Thisdishwasabsolutelystunning.Theblackpigwasroastedtoperfection,withacrispyskinandtender,juicymeatthatwasfullofdelightfulporkflavors.🐷🐷TheSquidInkSalmonpizzaisanotherstandoutdish.Thefreshandtendersalmonwascoatedinsquidink,creatingauniqueanddeliciouscombinationofflavorsandtextures.🍕🍕🍕TheCoconutFrappeisarefreshingdrinkthatcombinesthefragranttasteofcoconutwithacool,icytexture,offeringatrulydelightfulexperience.🤞🏼🏆TheBananaChocolateMilkshakeisarichandcreamybeveragethatcombinestheflavorsofbananaandchocolateinasmoothandindulgentblend.🤓💕Lastly,theMangosorbetisaclassicsummertreat,withthesweetnessofmangoandtherefreshingtasteofice,creatingadelightfulcombinationthatwillleaveyouwantingmore.😘♥️"
2023-10-14,5,5,4,5,4,"
   今晚與表妹再到這間「GoodDayBadDayMamaDay」人氣餐廳用膳。餐廳環境充滿玩味氣氛輕鬆，更重要是食物味道有水準是間玩得出色的餐廳！我們坐在窗旁位置看着街景感到相當寫意舒服。
印刷精美全新Menu菜式飲品名稱字句設計一樣咁攪笑盞鬼！
還發現有些餐調整了價格比以前還更抵食！我們先點了一個海鮮冷盤附送白酒兩杯組合，Chill一Chill先！Seafoodplatter$298(海鲜拼盆) 附送兩杯白酒
Seafoodplattar$298海鮮呈現閃爍，非常新鮮！青口，海蝦和波士頓龍蝦啖啖肉彈牙有糕，味道鮮甜！
翡翠螺肉質爽彈！
磯煮鮑魚夠入味，口感嫩滑相當不錯！
對這個海鮮冷盤整體很滿意，抵食！食海鮮飲白飲酒相當愜意！
 小食~SalmonTartare$88三文魚牛油果莎莎
SalmonTartare$88
這個小食味道也很美味！脆片酥脆與口感軟滑的粒狀三文魚和牛油果好匹配。
 SquidRings$69(普遍到無得普通嘅炸魷圈)
SquidRings$69
外脆內爽沾點沙律醬多滋味。BlackTrufflePortobelloMushoom$124(黑松露雜菌意大利粉)
BlackTrufflePortobelloMushoom$124
意粉質地煙韌有口感，份量適中的醬汁柔滑滿滿松露香氣。吃完意粉~感到滋味又滿足！
"
2023-10-08,4,4,4,4,4,"
又係出糧既大好日子,梗係要對自己好D,一直都想同朋友去玩味十足既gooddaybaddaymamaday度打下卡,唔單止佈置搞鬼,餐單名都好有卓頭,睇到會自然笑左^^
芝士龍蝦意大利扁面充滿霸氣既大大只龍蝦,好窝心起埋原條龍蝦肉,忍唔住wow左出聲,打卡一流,龍蝦肉超厚身,肉質爽口彈牙,仲鮮甜可口,扁意粉軟硬適中,配合海量既芝士忌廉,令意粉更creamy.入面有有好多菇菇同粒粒龍蝦肉,超級好食!
蟹gogo甲羅燒龍蝦汁燉飯蟹盖裝滿蟹go,成啖食,鮮味係口度大爆發,滿足感爆燈,珍珠米好煙韌,每粒飯都索晒龍蝦汁既精華,又有菇菇,蟹肉,一級棒!
放心無咩杏仁味好香的杏仁焦糖薰綠茶個名又真係改得好好,杏仁味唔會太霸道,杏仁同焦糖既化學反感好特別,非常清甜,好好飲,消滯一流!
夏日熱辣辣,好熱好熱降溫椰子沙冰賣相好靚,一大球tiffanyblue既海鹽雪糕,椰子味超濃郁,沙冰好幼細順滑,好飲到飛起!
集玩味,好味於一身既餐廳,滿足視覺,仲滿足埋個胃,又可以瘋狂打卡,真係好值得再去.
"
2023-09-24,4,4,5,4,5,"
👩‍🔬MamaDay又一玩味傑作，GoodDayBadDayMamaDay是間位於尖沙咀的趣怪搞鬼樓上Cafe。將幽默融合於藝術風中，以各界名人為設計靈感，環境充滿創意和色彩🎨今次晚餐時段，點了Àlacarte:🦐🍸冰鎮海鮮盤連兩杯白酒(Hk$298)海鮮盤有波士頓龍蝦X2、虎蝦x4、翡翠螺x2、磯煮鮑魚x2、青口x4，全部海鮮都新鮮彈牙，原隻龍蝦更視覺震撼，配上白酒更顯鮮甜。食到中段都keep住冰鎮～🍟!!!!薯薯薯薯薯……條Large(Hk$69)這款小食有大/小size。有三款口味：原味、明太子和芝士粉。今次揀咗芝士粉，唔使自己shake都超均勻，鹹香十足超入味🍕點解個個都叫軟殼蟹比薩(Hk$145)呢款pizza已經回購幾次了，因為我大愛菠蘿和千島醬pizza😋手工餅皮脆薄，原隻酥脆軟殼蟹放於pizza中間，超開胃🦀🍚單拼黑毛豬叉燒蛋包飯(Hk$138)這碟港、日Fusion叉燒飯非常銷魂，配上嫩口牛油滑蛋及超出預期份量的叉燒🍰原味紐約芝士蛋糕(Hk$68)有多款味道選擇：日式柚子、荔枝芒果、紅豆、焙茶等，蛋糕帶有酸忌廉味，質地幼滑食物多花款，年輕男店員服務亦貼心有禮，真係GoodDayBadDayMamaDay都要嚟食返餐(Allsubjectto10%servicecharge)"
2023-09-22,4,4,4,4,4,"
GooddayBadday係Mamaday嘅姊妹店，風格都係行搞鬼路線，由餐牌嘅菜式名到餐廳裝修、佈置都盡顯港式幽默感🤪
美利堅合眾國草飼牛扒沙律$168草飼牛肉雖然比較瘦同少啲油脂，但係都好juicy，伴碟除咗沙律之外，仲有2塊大蝦片同1碗迷你芝麻烏冬
