time,taste,environment,service,hygiene,indigestible,comments
2023-09-10,5,4,5,5,4,"
今晚我選了GreenOrange和朋友吃了頓簡單的晚餐慶祝生日。這家餐廳提供了一系列精緻的西餐料理，質量都不錯。
首先，他們的紅酒選擇很豐富，我點了他們的housewine，口感順滑，帶有細膩的果香，非常適合搭配餐前小食。
生蠔是他們的招牌菜之一，我嚐到了三種不同的生蠔：聖馬田、銀堡和吉拉多。法國聖馬田生蠔以其鮮美的口感和獨特的風味而受到世界各地美食愛好者的喜愛。今晚吃到的聖馬田生蠔帶著清新爽脆，口感creamy絲滑。銀堡生蠔鮮甜多汁，口感平均，質量很穩定。吉拉多生蠔則有著濃郁的蠔味，入口後餘韻綿長，給人留下深刻的印象。
接下來是煙三文魚雜菜沙律，他們使用了新鮮的煙三文魚和各種蔬菜。柚子汁的加入讓這道沙律更清新，酸甜的滋味讓人胃口大開。
接著是虎蝦海鮮湯，這道湯以帶子、青口和虎蝦為主要材料，湯汁鮮美濃郁，各種海鮮的風味融合在一起，非常味美。
如果你喜歡蟹肉，他們的煙燻蟹肉蟹籽黃金意大利飯絕對是你不容錯過的選擇。這道菜以煙燻的蟹肉和蟹籽作為主要配料，搭配上大啡菇、本菇和蟹黃，顏色奪目，味道豐富，口感鮮美。
當然，他們的西冷牛排也是一道不可錯過的主菜。牛排燒得恰到好處，外酥內嫩，肉質鮮嫩多汁，給人一種滿足感。最後來點甜品。菠蘿雪葩和啤梨蘋果金寶。雪葩清爽香甜，非常適合作為結束一餐的甜品。而啤梨蘋果金寶則是口感鬆脆可口，雲呢拿雪糕搭配著啤梨和蘋果的酸甜風味，給人一種滿足的感覺。
總括來說，GreenOrange是一家提供精緻西餐料理的餐廳。他們的食物口味獨特，質量穩定，菜單選擇多樣，適合喜愛西餐的人士品嚐。
"
2023-08-09,5,4,4,4,4,"
當日中午幾乎全場滿座，幸好我們事前已預約。
📍位置：上環站A2出口，轉右邊直行，走大約一分鐘到，在兩餸飯的前面商業大樓。
🏠環境：門口處有個酒櫃和吧台，室內面積不大，近窗口是一排寶藍色梳發配黑色布枱，
天花掛有時尚簡約的燈飾，
牆身掛有油畫🖼️，座位安排較密，整體算舒適，氣氛不錯，很適合情侶約會、朋友聚會。
🤵🏻服務：人手下單，收取加一。
🍽️午市：
提供七款套餐，
包有餐包、餐湯、
沙律和餐飲。
🍞是日餐包：🧈牛油蒜蓉包🍞，烘得乾身，蒜香脆口。
🥣是日餐湯：
🍄蘑菇忌廉湯，味道濃郁，質感稠密。
🍸是日餐飲：凍🍋檸茶和咖啡☕️
法式西班牙黑毛豬鞍$258
🐽法式西班牙黑毛豬鞍$258
法式西班牙黑毛豬鞍$258
份量適中，
法式西班牙黑毛豬鞍$258
🐷豬扒大塊厚身，表面煎香，
法式西班牙黑毛豬鞍$258
肉質結實較乾身😄，如果加點醬汁會更好吃😉，伴有蕃薯蓉、露荀和蕃茄仔，清新爽口😚。
慢煮8安士鮮紐西蘭肉眼牛扒配阿根廷青醬$268
🐮慢煮8安士鮮紐西蘭肉眼牛扒配阿根廷青醬$268
慢煮8安士鮮紐西蘭肉眼牛扒配阿根廷青醬$268
🥩肉眼扒大塊厚身，表層十分焦香，
慢煮8安士鮮紐西蘭肉眼牛扒配阿根廷青醬$268
切開就看到完美的五成熟😍，
慢煮8安士鮮紐西蘭肉眼牛扒配阿根廷青醬$268
入口有濃郁帶炭烤香氣☺️，軟韌口感又多汁🤤，肥瘦兼備，
慢煮8安士鮮紐西蘭肉眼牛扒配阿根廷青醬$268
有著油脂化開的甜美，蘸上阿根廷青醬平衡膩感🥰，伴菜更有軟綿的焗薯及蘆筍。
"
2023-08-03,4,4,5,4,4,"
今晚我哋黎到咗上環嘅""Greenorange""餐廳，嚟試試佢哋嘅意大利菜同甜品。呢間餐廳既環境好舒服，服務員態度都好友善，仲有意大利Fusion菜😋意式煙三文魚雜菜沙律4.1/5⭐️新鮮嘅煙三文魚配上多款蔬菜，口感豐富，每一啖都感覺得到海洋嘅清新同蔬菜嘅爽脆。三文魚煙燻得恰到好處，配沙律醬更顯美味。是日餐湯-海鮮濃湯4.2/5⭐️呢個海鮮濃湯令人驚喜，湯底鮮美，份量充足，海鮮湯煮得恰到好處，味道濃郁。鳳尾蝦明太子忌廉汁扁意粉4.3/5⭐️忌廉汁配上明太子，味道十分濃郁，扁意粉煮得恰到好處，鳳尾蝦新鮮彈牙。整體來說是一道值得推薦的主菜。慢煮美國頂級西冷牛扒4.5/5⭐️呢道菜真係令人忍不住讚好，牛扒煮得非常嫩滑，燒烤得剛剛好，搭配上特製的醬汁，大推😋。Applecrumble3.9/5⭐️甜品部分，Applecrumble的味道相當出色，蘋果煮得剛好，配上酥麵包屑，甜度適中，唯一美中不足就係呢啲麵包屑唔太脆。Pineapplesorbet4.2/5⭐️另一款甜品Pineapplesorbet味道清新，鳳梨的酸甜與冰涼的口感結合得恰到好處，特别適合夏天食用。紅酒4/5⭐️最後，我哋點了紅酒來搭配晚餐，酒體醇厚，果味豐富，與食物搭配得很好。總括黎講，Greenorange算係一次唔錯的用餐體驗，各種菜式都準備得十分用心，無論是主菜還是甜品，都值得一試👍🏼"
2023-06-28,5,5,5,4,4,"
這間位於上環的高級西餐廳，主打意大利Fusion菜，餐廳裝修時尚簡約又舒適，而且氣氛不錯，好適合情侶約會、朋友聚會。.🥖餐包餐包微暖，而且口感鬆軟，點上橄欖油、醋更美味。
.🦪生蠔拼盤$358/6pcs拼盤有齊三款新鮮又美味的生蠔，包括：法國吉拉多、愛爾蘭聖馬田、西班牙銀堡，有淡至濃味。吉拉多較肥美，口感結實，充滿海水咸香；聖馬田口感清爽，充滿餘韻；而銀堡則咸香均衡。
.🥣燒虎蝦海鮮濃湯$108用上龍蝦加鮮魚濃湯烹調而成，口感順滑，入面重有大大隻虎蝦，還有北海道柱貝和青口，鮮味十足。
.🍚帶子蘆筍米蘭燉意大利飯$228意大利飯很香濃，而且粒粒分明，每粒都吸收了香濃的醬汁，還有4粒北海道帶子，每粒都雪白嫩滑，口感彈牙。
.🥩慢煮鮮紐西蘭特選肉眼牛扒$275肉眼扒份量不少，而且油花均勻，牛味香濃，肉質嫩滑，配上特色阿根廷青醬，令味道更提升。伴碟還有充滿牛油香的烤新薯和蘆筍，剛好中和了油膩感。
.🥥椰子雪葩&🍑蜜桃雪葩各$78用上日本椰子和蜜桃整成，口感幼滑，而且充滿果香，是夏日透心涼之選。
.🍸Mimosa$108氣泡酒配上橙汁，口感清爽，而且易於入口。.🥤Cola$28唔飲酒的，都有其他飲品可選擇。
"
5天前,5,5,4,4,4,"
為了想吃意菜而找到這間餐廳，餐廳環境十分浪漫而且寧靜，特別適合情侶，相信臨近情人節聖誕節會很旺。餐牌：紅酒：容易入口，配牛肉很棒。餐包：有原味和黑芝麻口味。黑毛豬凱撒沙律：很驚喜黑毛豬火腿不會死咸，十分咸香，配以極新鮮脆卜卜生菜，絕配。虎蝦海鮮湯：整個湯充滿着濃厚蝦膏味，不會咸，所以帶點辣調起味道。很細心是剝了蝦殼，方便進食，而且裡面還有帶子、青口、蝦肉都是新鮮彈牙，不是霉的。蒜香煙肉露荀炒意大利麵：意大利麵好吃的秘訣最決於煮麵的時間控制，這軟硬度完全做到，露荀清甜爽脆。本來會以為有煙肉會是很咸，原來這是香肉味而不咸的煙肉，感覺是自家製煙肉。紐西蘭肉眼牛扒：肉眼扒可見肉質細嫩，無筋不韌，沒有放太多黑椒粒，吃到原汁原味。蘋果雪芭：是非常清新、原味蘋果的蘋果雪芭，就像吃原個無添加的冷凍蘋果。雪芭放在一個超級冰凍的凍櫃存放，吃到最後都還未溶，仍然能吃到雪芭沙冰的口感。椰子雪芭：跟蘋果雪芭一樣以原材料做外型，用椰子殼盛著椰子雪芭吃起來特別有風味，每啖都十分濃縮、香醇順口的椰香味。"
2023-11-16,5,5,5,5,5,"
