time,taste,environment,service,hygiene,indigestible,comments
2023-10-13,5,5,5,5,5,"
幾年前佢初開之時吃過一次午巿定食，嗰陣都覺得幾不錯，今次再嚟叫散點，試下其他嘢。辣酒凍風螺$88螺好大粒，彈牙煙韌又入味，微辣惹味，好開胃辣酒凍風螺芥辣八爪魚$48芥辣味溫和不嗆鼻，八爪魚有咬口，份量多，吃極都仲有伊比利亞豬$98豬肉肥瘦均勻，有淡淡橡果香，沒有豬騷味，肉質結實，入口不油不膩一夜干雞扒$78一夜干魚比較多見，雞扒做出嚟效果都唔錯，經醃漬、風乾，雞扒不會過咸，仍有肉汁，肉質滑嫩，雞皮風乾得不錯，薄而香芝士御好燒$98有啲似大阪燒，不過好食啲同埋個底煎得好脆口，細細塊食完不會滯南非鮑魚$98鮑魚用鐵板燒得香香的，內裏仍然水潤有彈性，鮑魚味濃日本原隻活帆立貝$148雖然帆立貝細細隻，但勝在煎得香而鮮嫩，有鮮味，有咬口，好彈牙松葉蟹肉海膽炒飯$188用日本飯粒炒得粒粒分明，保留日本米嘅煙韌感，松葉蟹肉一大舊，毫不吝嗇，飯中有陣陣海膽香氣甜品提子水晶麻薯及提子卷蛋雖然叫嘅野樣樣細細份，但食食下都勁飽，而且坐吧枱睇住師傅整，視覺味覺嘅享受。
"
2023-09-18,5,5,5,5,5,"
去銅鑼灣睇戲🍿️支持香港夜繽紛，睇完戲之後去咗隔離登龍街，從前夜夜笙歌，喜歡登龍街的酒吧氣氛。
HungryMonkey霓虹光管招牌，很吸引眼球，室內輕快音樂，酒吧感覺，節拍強勁，配搭美酒海鮮特別興奮。
頭盤沙律天氣熱，坐低食返個冰凍的蕃茄蒜子沙律，很開胃的前菜。
芥辣八爪魚冷盤小食，芥辣刺激，八爪魚軟糯口感，很好吃！
辣酒凍風螺辣酒凍風螺麻辣味道非常濃郁，入味均勻，口感香嫩多汁，再配以多種辣酒口味，食落層次豐富。
檸檬🍋威士忌割水餐廳以鐵板燒著稱，酒是一項非常吸引人的選擇。無論是午餐還是晚餐，他們都提供多種美酒供客人選擇。檸檬🍋威士忌割水，HighBall之中最清新。
海膽溶岩魚餅外型allblack,賣相好特別的海膽溶岩魚餅🍥外皮香脆，海膽溶岩製成的流心，再配上特調的魚餅口感，新鮮熱辣，清爽酥脆，讓人一口接一口，佐酒一流。
南非鮑魚香煎高級南非鮑魚，經香煎的南非鮑魚，口感豐實，鮮嫩多汁，淋上師傅特製醬汁來品嚐，味道顯得更濃郁，複雜而強烈的鮮味，毫不油膩，確是美味！
芝士御好燒餐廳招牌菜芝士御好燒，可以品嚐到芝士🧀️香味，一塊如此優質的御好燒，價錢實在是太超值了。有幸品嚐到這道席前鐵板燒，師傅精心準備的美食。質地鬆軟，香甜綿滑的蛋香加持，十分軟稔，很適合我口味，絕對能滿足芝士愛好者的味蕾。
白鱔令人驚喜的是白鱔，鮮嫩多汁也很肥美，大大件的白鱔，入口帶些肉汁，口味相當不錯。簡單調味令白鱔鮮甜味更突出，口感香嫩。
魚香焦香平衡，淋上特製醬汁，正是日本高級居酒屋般的味道，外皮酥脆，口感豐富。煎過後依然保持美味，整體一絕！
朱古力炸彈日本蛋卷最後又點少得甜品呢？是他們出色的朱古力炸彈，能感受到濃厚的朱古力風情。
