time,taste,environment,service,hygiene,indigestible,comments
2023-11-09,5,5,5,5,4,"被精緻cocktail吸引，bookmark左呢間餐廳好一段時間，前排終於搵到晚去chill下！🍸✨❣️坐近bar檯成晚都睇住調配cocktail，每杯cocktail都好精緻，好似藝術品咁✨（cocktail名都好特別！）❣️可以望到海景chill，仲有戶外位置，係約朋友傾計好地方！❣️個人幾鍾意呢到嘅主菜，用心製作，味道幾好✨TomYumCoconutScallopCarpaccio$128
TomYumCoconutScallopCarpaccio$128-用上北海道刺身帶子，配上好香口creamy嘅冬蔭公汁同清新泰式herbs，感覺refreshing🐟HamachiCeviche$128
HamachiCeviche$128-片片厚切彈口幾新鮮，肉質有油脂香，再點上酸酸地嘅柚子汁，味道更昇華🌟MassamanCurryRisottowithSeaUrchinandHokkaidoScallop$208（推介！）
MassamanCurryRisottowithSeaUrchinandHokkaidoScallop$208MassamanCurryRisottowithSeaUrchinandHokkaidoScallop$208-真係好特別，咖哩texture幾creamy，味道有d辣同惹味，配上淋香risotto撈上菇，啖啖滋味-用上刺身級帶子，微微煎香過，幾有水準🦞ThaiLobsterSauceStrozzapretiPastawithLobsterTail$268
ThaiLobsterSauceStrozzapretiPastawithLobsterTail$268ThaiLobsterSauceStrozzapretiPastawithLobsterTail$268-雖然話係lobstertail，但都幾多龍蝦肉。龍蝦尾熟度剛好，彈口新鮮。pasta係長身通粉類，撈上幾濃味lobstersauce，菇同番茄仔，味道幾好！🐤Pissedmeoff$128
Pissedmeoff-係vodka加上passionfruit，好清新、順滑、易入口又夠可愛🐤🍸Coffee,teaorme?$128
Coffee,teaorme?$128-Whiskey配上烏龍茶、soda水、配搭好特別！真係guessit’snevertoogreedytotakeall😆😆😆下次再約朋友來chill過☺️"
2023-10-19,4,5,4,4,4,"
同朋友期待已久嘅約會🤣我哋揀咗好hit嘅泰菜酒吧餐廳餐廳位處大廈20樓坐攞超靚海景🌅仲可以坐喺天台chill住歎靚view不過是日天有不測之風雲🌧️我哋就揀咗坐bar枱睇調酒師表演🥂🍹KABOOMSharingPlatter($248)
KABOOMSharingPlatter$248我哋嗌咗個小食拼盤  入面有5款小食每樣各4件 2-3人share嚟食都得!
KABOOMSharingPlatter$248包括有外皮炸得好鬆脆嘅單骨雞翼🤤仲有泰式豬肉串、泰式魚餅、酥脆香口嘅網紙春卷、口感彈牙嘅蝦棗
DeepSeaTacos($138)
DeepSeaTacos$138賣相非常吸引😍😍每件taco入面都有三文魚籽、大大舊蝦肉、仲有生菜絲、青瓜粒等超多料而且食落味道非常清新一啲都唔heavy🤤打破咗我對tacos嘅印象😆
DeepSeaTacos$138GrilledGaiYangChicken($238)
GrilledGaiYangChicken$238哇一上碟就嚇親🤣係超大隻嘅燒春雞🍗以泰式醬汁醃製而成味道夠晒惹味另外我都好鍾意伴碟嘅手抓餅比一般嘅香脆得多超級好食😍
GrilledGaiYangChicken$238OvenBakedSambalStingray($268)
OvenBakedSambalStingray$268我哋都係第一次食魔鬼魚估唔到肉質咁嫩滑加上叄巴醬之後食落完全冇魚腥味 就連唔愛食魚嘅我都覺得好食👍🏻
OvenBakedSambalStingray$268嚟到呢度當然不得不試下啲cocktails啦🍸Coffee,TeaorMe?($128)
Coffee,TeaorMe?$128賣相好靚🥃仲放咗塊香甜嘅餅乾以Whisky做base加上黑糖梅酒、烏龍茶同梳打水飲落酒味不算太濃好啱女仔飲
Coffee,TeaorMe?$128DamnPissedoff($128)
DamnPissedoff$128呢款cocktail賣相非常特別 用一個類似浴缸🛁嘅容器盛起仲加埋泡泡再加一隻小鴨做裝飾夠晒可愛😝入面係Vodka做base再加入熱情果糖漿、菠蘿汁🍍味道偏甜酒味較輕 
"
2023-08-28,5,5,4,4,4,"
位於尖沙咀大子集團中心頂樓的Kaboom，是一家高質的泰菜酒吧餐廳，佔地兩層包括了天台位置，兩層都能夠飽覽維港景色，裝潢以木系為主充滿泰式風情，每層均設有酒吧吧檯，是一個非常合適和朋友把酒談天或品嘗美食的地方。
餐牌備有多款酒類飲品。多款雞尾酒🍹各有特色而且名字非常有創意😆。
🍹INeedToKeepFit!(Rum,AppleYogurt,LimeJuiceandCucumberSyrup)非常清新，甜度適中
🧉EveryDayFeelsLikeAMonday!(Gin,Prosecco,BlueCuracaoLiqueur,JapaneseYuzuJuicewithGreenAppleFlavour)酒味較輕，果汁味較突出，適合女士
兩個人點了個sharingplatter，份量非常多足夠四人亨用！每一款都是非常出色味美，再配合3款不同口味的醬汁，絕對是必點推介👍🏻🍱KABOOMSharingPlatter(Porkskewers,chickenwings,Thaifishcakes,nettedspringrollsandprawnjujube)
另外還點了一個tacos小食，蝦肉爽口彈牙，配合不同蔬菜和秘製醬汁，入口清新不膩且juicy，美味極了！🌮DeepSeaTacos(Peeledshrimps,lettuce,cucumber,pickledonionswithThaidressing)
主菜職員推介了烤春雞，是餐廳的招牌菜之一，雞肉香咊濃郁，而配菜亦同樣出色👍🏻🍗GrilledGaiYangChicken(GrilledchickenmarinatedinThaidressing,seasonalvegetablesandroti)
另外還點了RibEye，10oz份量非常大份，牛扒烤得剛好，外面焦香而內裡仍然肉汁豐富幼嫩。🥩GrilledPrimeRibEyeSteak(10oz)(Primeribeyesteak,seasonalvegetablesandThaichillisauce)
"
2023-08-21,5,4,4,4,,"
