time,taste,environment,service,hygiene,indigestible,comments
2023-10-28,5,5,5,5,4,"
聽說前文華東方大廚在這裡當主廚，特意慕名而來，果然沒有失望店內風格低調復古，但酒櫃和水晶吊燈亮麗奪目，環境有情調，適合與朋友聊天的氣氛季節時令生蠔$68@法國生蠔非常鮮甜，海水味帶出層次感，蠔肉飽滿，好吃焦糖法國鵝肝撻$88@熱辣辣牛油香氣撲鼻，切下去很酥脆，牛油味+蛋香味和鵝肝非常配合，甜甜咸咸的口感，推介我們另外點了2份lunchset，每位$338蝶豆花木魚清湯鯛魚刺身將檸檬汁加入清湯後，由紫色變成粉紅色，酸酸甜甜，很香檸檬味，鯛魚刺身很新鮮，是很清新開胃的前菜自家製蟹餅配檸檬忌廉汁蟹餅外層香脆，炸得薄身香口，裡面超多蟹肉非常足料，加上醬汁調味，超好吃，推介是日餐湯：洋蔥湯配芝士多士濃郁的洋蔥湯，每口都是軟綿的洋蔥絲，配上拉絲芝士多士，雙重享受法式龍蝦湯+$40上台看到拉花已覺得很漂亮，攪拌後嘗一口，龍蝦味非常濃，喝得出是用蝦頭煮出來的濃香，湯裡有帶子粒增加口感，正海膽扁意粉除了混在意粉中的海膽，意粉上亦放了足料的海膽和金箔，海膽很鮮甜，忌廉意粉口感濕潤creamy，軟硬度適中，海膽和意粉很合拍，必吃的item美國安格斯肉眼扒+$80點了5成熟，肉質粉嫩，充滿牛肉香味，口感軟冧，好吃，旁邊的配菜，包括三種薯蓉都有調味過，非常精緻餐飲：白酒+$28吃法國菜總覺得需要配酒，白酒入口不苦澀，帶點果香和點點甜味，配法國菜正適合是日甜品：Tiramisu口感順滑，咖啡味很香，不會太甜，令人非常滿足的甜品甜品：美女與野獸+$48上菜時先用玻璃罐罩着，內裏充滿煙霧，打開後原來是美麗的玫瑰花，非常有心思的一道甜品，玫瑰花用蓮蓉製成，不會太甜，賞心悅目，為今餐畫下完美的句號除了味覺上的盛宴，每款菜式都擺盤精緻，連配菜都很有心思製作，完全滿足色香味俱全，令人覺得物有所值的隱世法國菜"
2023-10-24,5,5,5,4,4,"
今日同媽媽再訪太和中心呢間法式餐廳，Lunchset價錢好親民，$338起，有齊前菜、餐湯、主菜、甜品同飲品～
碟豆花木魚清湯鯛魚刺身-賣相精緻，加入檸檬汁後紫藍色蝶豆花湯變紅色好靚-鯛魚肉質鮮美，配上木魚清湯味道清新清甜
碟豆花木魚清湯鯛魚刺身自家製蟹餅配檸檬忌廉汁-外皮炸到金黃色好香脆，粉漿厚薄適中-裏裏外外都超多絲絲蟹肉-配埋特製檸檬忌廉汁好開胃
自家製蟹餅配檸檬忌廉汁法式洋蔥湯-將洋蔥炒香配上自家調製高湯，食到一絲絲洋蔥嘅口感-芝士焗多士好香脆，仲可以浸埋落湯食
法式洋蔥湯法式龍蝦湯（+$40）-忌廉拉花賣相好精緻-龍蝦湯味道香濃濃郁唔會太鹹，濃稠度適中
法式龍蝦湯慢煮西班牙黑毛豬鞍焦糖蘋果-豬鞍好厚身，肉質細嫩，肥瘦適中，煎得幾香，慢煮嘅方法可以鎖住肉汁唔會老
慢煮西班牙黑毛豬鞍焦糖蘋果-焦糖蘋果酸酸甜甜，清新解膩，配豬鞍好夾-仲有香脆薯絲，三色薯蓉等配菜
慢煮西班牙黑毛豬鞍焦糖蘋果法式香料烤龍蝦尾海鮮洋薏米飯（+$80）-擺碟好精緻，好似藝術品一樣
法式香料烤龍蝦尾海鮮洋薏米飯-龍蝦尾肉質彈牙，啖啖肉好新鮮，火候啱啱好，焗得好香又唔會焗得太乾，啱啱好可以鎖住肉汁-香煎帶子好厚身，好鮮味-洋薏米飯有少少爽脆，比普通意大利飯更有口感，更健康，龍蝦醬汁均勻包住每一粒飯，入口香濃
法式香料烤龍蝦尾海鮮洋薏米飯美女與野獸（+$48）賣相吸引，打開玻璃罩會有煙霧，視覺效果一流，裏面嘅玫瑰花好精緻，係玫瑰花豆蓉，甜度適中~
美女與野獸Tiramisu質感creamy，咖啡蛋糕同忌廉嘅比例啱啱好，甜度適中~
Tiramisu 食法國菜梗係要配返杯酒嚟飲，唔識飲酒嘅朋友仲可以叫佢哋嘅mocktail試吓~PinkLady$118/SexyonTree$98-兩款王牌signaturemocktail,顏色好夢幻，上面個番梘波波爆開嘅時候會煙霧離漫，打卡一流-PinkLady：酸酸甜甜嘅荔枝梳打，好開胃-SexyonTree：白桃味，味道香甜
Pink Lady整體食物質素高質穩定，賣相精緻吸引，食物新鮮即製，熱食上碟都係熱辣辣～Lunchset相當抵食，通常食Finedining到最怕食唔飽，呢間餐廳嘅份量可以食到好飽～服務態度細心有禮，廚師會因應客人食嘢嘅速度上菜，環境舒適～
"
2023-10-14,5,5,4,4,4,"
朋友之前生日黎食過話好食，今日特意黎試下😊餐廳私隱度高，係門外係望唔到裡面，我哋行下行下就行過左😂😂😂.
Setlunch$338🍽️前菜-波特酒釀葡萄.法式鵝肝凍酒釀葡萄清香味甜，鵝肝凍幼滑亦好香鵝肝味，好食🤤.
🍴餐湯-法式龍蝦湯(+$40）龍蝦湯既味道鮮甜濃郁，好creamy.
