time,taste,environment,service,hygiene,indigestible,comments
2023-11-01,4,4,3,4,1,"
同朋友響呢間餐廳食晚餐。整體不過不失，唔算好抵食，以咁嘅價錢有好多其他選擇。
我地最後叫左兩隻法國生蠔，都幾大隻，加檸檬汁提鮮，令到成個生蠔鮮味出曬黎👍👍炭燒紐西蘭羊鞍，7成岩岩好，帶油光而且肉嫩多汁，感覺唔會太騷，朋友平時唔太食羊都覺得可以入口。湯有點失望，$128湯分量十分少很細碗。另外重叫咗蕃茄海鮮意粉，蕃茄醬混合青口鱿魚等，幾有咬感，甘甜鮮味。食物質素不錯，但整體分量價錢不太吸引，性價比不高，未必會再食。"
2023-10-19,5,4,5,5,5,"
LABEATRestaurantandBar今日去左呢間位於旺角彌敦道T.0.P.商場既西餐廳。無論環境，食物質素同服務態度，都係我覺得感覺滿意既地方，當然味道十分出色！叫左個二人晚餐，套餐包括頭盤、主菜、甜品、飲品。今日既湯係‘’黑松露蘑菇湯‘’菇菌味十足。蘑菇沒有被完全磨碎，細味下仍保留一定口感，濃郁菇菌超好飲。另外‘’西班牙黑毛豬火腿卷蜜瓜‘’味道鹹香，蜜瓜相伴，質感十分豐富。味道：5/5環境：4.5/5服務：5/5衛生：5/5抵食：4/5人均消費：HK$694(晚餐)
Dinner set$695"
2023-10-17,3,4,3,4,3,"
今晚本身好開心間咁靚嘅餐廳，去到嘅時候見到門面室內及室外環境都唔錯，覺得真係好適合聚會或慶祝🍾️。之後遇上店內一名職員心情就開始咗變化，由帶位開始就覺得佢嘅眼神、笑容都令到人唔係好舒服，並且感到奇怪，因為可能佢喺呢間舖頭入邊最特別嘅一位店員😖之後都唔敢、亦唔希望問佢問題或者點餐或者尋求幫助。當天晚上鋪面另外兩位同事各方面都相當友善、相當正常，亦都好耐心咁解答我哋嘅問題👍🏻👍🏻。食物方面都正常，可惜當日唔夠時間試埋佢嘅甜品。
炭燒美國黑豚豬鞍"
2023-09-22,3,4,1,4,1,"
