time,taste,environment,service,hygiene,indigestible,comments
2023-09-20,4,4,4,4,4,"
這家在尖沙咀區内經營多年以高格調及食譜創意作招來的西餐廳，前時全面裝修，内部煥然一新，以TiffanyBlue藍色作主體配上白色主題牆，凸顯典雅品味👏侍應安排座位後送上迎賓贈飲(welcomedrink),以伏特加酒，梳打水，紅茶作雞尾酒底，清新香甜😋迎賓贈飲麵包再配上加州白餐酒(sauvignonblanc)，正好搭趁海鮮菜式👏白餐酒頭盤(starter)法國生蠔及魚子醬(四隻)，富生蠔鮮味，爽甜可口，入口有重海水味😋生蠔及魚子醬頭盤(appetizer)傳統手工薄切澳洲和牛生牛肉片，鮮嫩和牛切得薄薄配上味濃(parmesan)巴馬臣硬芝士，入口軟滑甘香，配白餐酒正😋澳洲和牛生牛肉片火烤半熟北海道帆立貝及白松露油，帆立貝鮮嫩，醬汁味道適中，無肥膩感😋火烤半熟帆立貝湯法國青蘆筍湯，绵滑味甘，青蘆筍有嚼感，配上鲜嫩帶子更增味道😋青蘆筍湯主菜西班牙紅蝦海膽意大利麵，珍寶级尺碼大紅蝦，刺身式食法，配搭鮮味海膽及彈牙意大利麵，色香味口感俱全，席間我最欣賞的一道菜式😋紅蝦海膽意大利麵甜品芒果青甘檸蛋糕，芒果蓉鋪在餅面，混合酸酸青甘檸味，令整頓西餐有個好總结👏芒果青甘檸蛋糕"
2023-07-24,5,5,5,5,4,"
尖沙咀這間LabEat好耐之前試過一次，一直念念不忘，近排裝修咗：環境更加靚，於同同老公過嚟重溫一下😍環境淺藍色為主調，配酒櫃很有格調，樓底好高，坐起上來好舒服😌空間感足揀左二人餐，菜式非常之豐富
配上兩杯house🍷一紅一白🍸試下先又唔錯喎Starter新鮮生蠔🦪法國生蠔口感非常爽脆、鮮甜！而且好肥美，要分兩三口先至食得哂
海膽魚子醬多士矜貴食材混合又點會唔好食😏😏海膽甘甜多士脆香
法國鵪鶉髀簡單配搭薯角，鵪鶉嘅表皮嘅油脂滲落薯仔度更加甘香😋😋熱溶法國流心芝士沙律🥗店員即場一舊芝士🧀️落到沙律當中，多左份甘香黑舞茸菇湯舞茸菇好香菇味，濃稠10足，食完有啲飽肚😜
意大利蕃茄湯燴海鮮用料非常足，青口、蝦🦐魷魚，與濃濃的海鮮配上番茄清甜10分唔錯👍澳洲肉眼300g剛好五成熟，牛味相當濃郁而且肉眼牛味比起其他部位更加濃，真係一件好扒😋😋西班牙八爪魚紅蝦頭燴意大利飯上台很有驚喜，長長的八爪魚🐙意大利飯吸曬紅黑嘅鮮甜正！
季節時令創作甜品甜品香🍊入讚，酸酸甜甜，夏天就適合，而且賣相仲好靚添
菜色驚喜由頭帶到落尾店員服務嘅超級好，非常不錯
"
2023-07-21,4,4,4,4,4,"
LabEat位於尖沙咀店，新裝修之後地方更勝之前，全店以海藍色為主題，座位寬敞舒適，燈光柔和，非常之有情調，情侶或朋友相聚都非常適合💕💕💕.坐低先安排每位客人一杯welcomedrink,賣相同味道非常好，而且好夠凍，非常消暑。之後再付上餐包，麵包保持溫度，入口非常香脆，中間香軟💞.之後可以慢慢開始點餐，選擇都好多，我地就揀啲最想食嘅😆😆.Starter:🔺Urchin&CaviarToast$136海膽魚子醬多士，海膽非常新鮮鮮味，配上矜貴魚子醬，放係香脆多士上面，入口就是滿足😌.Main:🔺IbericoPorkRack$388西班牙黑毛豬豬鞍，配薯角x豬鞍份量非大同厚身，沒有酥味，燒得熟度剛剛好，肉質不乾柴，非常鮮嫩Juicy，肉味濃郁，而且份量頗大👍🏻😍食嘅時候沾上少少芥末醬、蘋果醬或者岩鹽，味道更加提升😎.🔺LinguineCarbonara黑松露卡邦尼扁意粉，醬汁掛醬，蛋黃醬非常香濃，加入少炒煙肉🥓，黑松露香氣跟煙肉咸香，味道層次非常突出💞.🔺ChocolateCaramelMousse焦糖朱古力蛋糕，朱古力好常香濃，但又不會過甜，外皮是棒子脆皮及棒子粒，配上朱古Mousse及底層海棉蛋糕，令人一試便愛上😍.🍹RoyalSangria🍹RoyalFizz賣相精緻吸引，味道不錯💞"
2023-07-17,5,5,5,5,5,"
[LABEATRestaurant&Bar]接近開店9年嘅LabEat尖沙咀店最近翻新咗，整間餐廳非常有格調，以tiffanyblue顏色為主調，令人感覺好舒服💙。✿Welcomedrink🍹一入座餐廳每人奉送一杯Sangria，甜甜地作為餐前酒好不錯💖。Starter✿ToastwithSeaUrchin&Caviar$68海膽好鮮甜而不腥，表面鋪上魚子醬，配上微微烤脆麵包食，口感好豐富，推介要點😋。✿OctopusBlackInkRisotto$298Risotto好特別，一半蕃茄味，另一半墨魚汁味，煮得剛好，具顆粒感🍚。八爪魚🐙爽口彈牙，好新鮮。Main✿USPrimeRibEyeSteak🥩🥩(400g）$568美國🇺🇸prime級肉眼扒，400g好有份量，足夠2-3人食用，牛肉味濃，5成熟入口juicy🤤，可配鹽/芥末醬食。✿64%ChocolateCaramelMoussewithFlourlessChocolateCake$118選用64%黑朱古力🍫，甜度適中，外皮香脆，入口慕絲順滑，仲有🌰榛子果實，好有咬口。✿MangoKalamansiJellywithAlmondDacquoise$128呢款蛋糕擺盤好有心思，中層有青檸啫喱，配搭芒果蛋糕🥭，味道清新。✿Lovesong$128✿TropicalPunch$88Mango,OrangeJuice,PineappleJuice餐廳有唔少Mocktail/Cocktail選擇，啱晒同朋友邊食邊飲。LoveSong以接骨木花&Gin為主調，入口清爽；TropicalPunch用上不同果汁沖製而成，啱哂炎炎夏日飲🍍🍊🥭。總結🫦訂座時Remark咗朋友生日，餐廳送咗款生日甜品，非常貼心🥰🥰。整間餐廳環境坐得舒服，食物新鮮有質素，絕對係食西餐嘅好選擇🍽️。✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿LABEATRestaurant&Bar地址:尖沙咀金巴利道87-89號僑豐大廈地下1-2號舖電話:28331976✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿✿
"
2023-07-12,5,4,4,4,,"
位於佐敦附近的一間簡潔明亮西餐廳，距離佐敦地鐵站以及尖沙咀地鐵8分鐘步程，屬於內街比較靜的地段。薄荷綠色清新的牆身，酒水吧枱的部份以一面牆身裝滿了不同的酒瓶裝飾，從裝修上看得細緻用心的環境格調，而每一個卡位都自成一格，沙發也很舒服，適合相約朋友交談用餐。我同朋友分別叫咗兩份三道菜的套餐：
水牛芝士番茄沙律炎熱嘅天氣真係會冇咁開胃，而水牛芝士的香濃滋味，配埋新鮮沙律菜，成個人即刻refresh左🤭
牛油果及蛋黃醬因為真係好鍾意食牛油果，單牛油果切片擺盤上已看得出都好用心，配合埋蛋黃醬增加風味口感，濃而不膩！
