time,taste,environment,service,hygiene,indigestible,comments
2023-10-28,5,5,5,5,5,"
🥩旺角韓式無煙燒肉放題🥩出去旺角行街買野，經過朗豪坊見到呢間燒肉放題好吸引😍之前經過一次已經想去食了，可惜無時間~今日終於比我食到😋我地今日叫左SupremeSet（$298），價錢相當實惠，包含咗牛肉拼盤，牛肩肉，牛五花，厚切牛舌，首爾牛肋條，西冷，牛板腱，廣島蠔，蜆等等🍽岩哂一班牛魔王😈除左以上燒肉，仲有一個自助bar檯，有幾款韓式前菜，炸薯條🍟炸雞塊，同埋朱古力蛋糕仔🍫食材方面幾新鮮❤️我自已都另外叫多左幾碟🤣地點位於旺角朗豪坊，好方便👍餐廳設計得好乾淨光猛☀️而且個感覺好似實驗室咁，裝修風格令人耳目一新！連飲品樽都設計成三角燒杯形狀，好得意❤️呢間餐廳最值得讚既係，佢個燒烤爐有抽風系統，所以唔會好大油煙味，食完燒肉都無人聞得出呀😏佢地而家仲有一個四周年夾波波遊戲🤹‍♀️大家可以玩遊戲，有機會贏得1折優惠！Lab10@lab10.hk地址：旺角朗豪坊10樓26號鋪
"
2023-10-18,4,4,4,4,4,"
最中意就係燒燒燒，但係成日都好怕燒到成身味🥺呢間有唔少ᴛᴇsᴛᴛᴜʙᴇ做裝飾又主打成無煙燒肉就啱哂我啦🙈
