time,taste,environment,service,hygiene,indigestible,comments
2023-07-27,4,4,4,4,5,"📍LostStarsLivehouseBar&Eatery🎗📍大角咀𝗧𝗮𝗶𝗞𝗼𝗸𝗧𝘀𝘂𝗶•利得街11號利奥坊一期地下506號舖〔Followmeoninstagram@sikbaobaola!^^〕-《LostStars》是一家「寓音樂表演於餐飲」的音樂酒吧餐廳星期五、六、日晚上，都會與不同的本地音樂人歌手合作，帶來高質素的音樂表演平常中午也有提供套餐；而週末下午也有提供weekendbrunch，最適合睡到自然醒之後來一頓寫意的brunch～
-已經是第二次weekendbrunch時段來訪，餐牌好像有不同了！套餐包括前菜、主食、甜點、飲品，有$98、$138、$168三個價位選擇，其中也可以升級至不同菜式豐儉由人，滿划算！還可以在這裡聽著柔和的音樂、聊聊天，舒服的度過一個中午～❤️我們點了一些要加錢升級的菜式，最後人均約$200，份量豐富得晚餐也不用吃了XD-Starter.番茄莎莎配芝士玉米片Nachoswithcheese&tomatosalsa小吃份量小小的，惹味又開胃
番茄莎莎配芝士玉米片
.炸牛油果條Avocadofries罪惡感沒那麼高的炸物🤣
炸牛油果條
•Main.煙燻三文魚班尼迪蛋英式鬆餅SmokedsalmoneggsBenedict常見的brunch品項！水波蛋熟度剛好，往中間切一切，即溢出流心蛋黃，好治癒！煙三文魚份量都很慷慨！
煙燻三文魚班尼迪蛋英式鬆餅
.香芒魚柳配北非小米沙律Pan-friedfishfilletwithmangoandcouscous原來魚柳跟芒果這麼搭！味道酸甜，加點清新感配上蔬菜、couscous沙拉，整體來說十分輕盈
香芒魚柳配北非小米沙律
•Dessert.巴斯克焦香芝士蛋糕Basqueburntcheesecake巴斯克焦香芝士蛋糕
.意式冰淇淋咖啡AffogatoAffogato
•Drink.Mocha(Iced/Hot)MochaMocha"
2023-06-22,4,4,3,4,4,"
