time,taste,environment,service,hygiene,indigestible,comments
2023-09-26,4,4,4,3,4,"
之前都有黎lemonde食下lunch…雖然呢度無乜view…但勝在呢度環境同裝修唔錯又坐得舒服…最緊要食物質素有保證。今次就同朋友黎食下dinner。呢度dinner價錢比lunch貴少少啦…不過包既野多左…其實幾合理dinnerset就包左頭盤…湯…main…甜品同飲品洋蔥湯個樣就好傳統…有芝士同麵包浮面…好多洋蔥…個湯帶少少洋蔥甜味…呢度個湯鹹味啱啱好…同埋好夠熱。龍蝦湯呢個湯好濃…店員話都用左好多蝦頭蝦殼blend埋去煮個湯…蝦味濃郁。夠creamy又滑呢度個餐包都好好味…熱辣辣…微脆…片舊牛油送湯一流鯷魚車厘茄沙律用料新鮮蟹沙律酥皮撻呢個好味喎…蟹肉都幾慷慨…個酥皮好鬆化加拿大豬鞍呢度個豬鞍燒得啱啱好…外面微焦…切開仲好粉嫩。個蜜桃汁酸酸甜甜…平衡番。side有grill左薯菜仲有mashed紫薯…望都覺得靚熟成阿根廷西冷一望咁靚仔就知好味…外面焦脆…medium啱啱好…熟成左肉味特別濃…肉質唔錯。值得試下食完仲有個飯後甜咁…朱古力蛋糕配笨哪哪食物質素…環境同服務都好好…價錢合理。係一間可以翻兜既餐廳"
2023-09-01,5,5,5,5,5,"
今次慶祝朋友生日發現左依間隱世法國菜，地方闊落，復古裝潢，由法國藍帶大廚開設，招牌有油封鴨脾、黑毛豬扒、紅酒燉牛膝等，用親民價就嘆到高質法國菜～
——蟹沙律酥皮撻(跟餐)蟹味濃到我依家都仲記得😂冇諗過細細地一舊撻，塞左超多蟹肉勁鮮味蟹沙律酥皮撻——法式洋蔥湯(跟餐)完全係洋蔥嘅精華!!!炒煮到洋葱香甜味出哂黎，濃稠豐盈，精緻好味
法式洋蔥湯——法國生牛肉他他$128他他加上蛋黃同白露旬，撈埋食帶出牛肉香氣，一啲都唔腥，連薄脆多士一齊食多重口感
