time,taste,environment,service,hygiene,indigestible,comments
2023-10-29,3,4,4,3,3,"
今日同Friend黎到呢間樓上鋪的LittlefreshCafe,環境細細但佈置得幾有氣氛。我地揀左兩個SetDinner,令每個主菜都包田園沙律或是日餐湯，餐飲可以加錢再Order.田園沙律：是日餐湯係洋蔥牛肉湯。不過同朋友都唔太食牛，決定揀個清新啲嘅沙律前菜。沙律酸酸甜甜的，感覺幾清新。主菜一就嗌左1號是日精選：香草慢煮雞胸配迷迭香莎莎（$198）慢煮雞賣相幾好。雞肉全熟，慢慢切開細啖咬。香草味都幾濃，係偏重味的主食。欣賞西蘭花配菜有另外再煎過，蕃茄汁都好juicy,幾用心。另一個係5號：蟹子忌廉汁蟹肉燴意大利飯（$178）呢個飯食落味道唔錯。蟹肉幾有鮮味，加上份量都ok的蟹籽增加口感。米飯索曬啲忌廉汁，幾有嚼口。飲品我地就想揀番啲light啲嘅。本身想嗌檸檬蜜桃水果茶（加$28），最後嚟咗兩杯都係雜果水果茶，都係一種緣份😆冇咩所謂～Lipton紅茶包的味道都幾濃，食飽飽暖下肚😋"
2023-09-14,5,5,5,5,5,"聽朋友講旺角登打士街有間樓上隱世Cafeandrestaurant食物唔錯，今日一於跟佢上去試一試搭𨋢上到18樓一出就見到入口，餐廳以黑色做主調，環境唔算好大，但就盡用哂每一寸空間。牆身掛左呢幅日落🌄水彩畫，休閒感覺出哂黎睇完menu,兩隻餓魔都係覺得叫setdinner先滿足到我地既「黑洞」點知落單5分鐘後已經即刻上到菜，店員好有效率呀前菜田園沙律🥗：新鮮沙律菜配蕃茄粒，加埋沙律醋一齊食，幾開胃洋蔥雜菌湯配法包🥖：重洋蔥味，夾包食唔錯法式香煎盲鰽魚配檸檬香草汁$218上菜一刻已經索到魚油香味，魚柳煎到外皮脆，魚肉仍然鎖到肉汁檸檬香草汁fresh得黎又可以去到魚腥味特別一提，餐廳所有薯蓉用鮮馬鈴薯🥔即叫即打，所以完全食唔到糊口感火魔醉蜆$88睇相見到隻隻蜆打開哂，其實上菜一刻店員已精心用火槍加入白酒表演左一場火燒醉蜆除左眼球上有振撼感，食落每隻蜆都大大舊肉，味鮮甜，後勁仲有酒香拿破崙鮮海蝦燴意大利扁面$168擺盤用心，幾隻海蝦眼仔碌碌望實我，肉質爽脆；醬汁係開胃茄汁，扁意粉🍝煮到軟硬適中，食到底層仲有雜菌菇，口感豐富水果茶水蜜桃🍑、雜果水果茶，以為係純茶包水果茶，點知咁有誠意放左水果，好驚喜"
2023-08-09,5,4,5,4,4,"
又一間值得留個正評嘅好餐廳! 食之前好驚訝咁多好評,食之後一啲都唔覺得意外!
逐一點評下啲食物~
蒜蓉包好香脆鬆化，好似威化餅，如果struggle叫沙律定湯，叫餐湯就好襯個包，變咗忌廉湯味包
個湯香濃幼滑，有啲紅蘿蔔粒
首選推介火魔蜆,鍾意食海鮮/打卡嘅(正是本人XD)一定要試! 
蜆肉大大粒，唔係得個殼，最重要係有打卡效果！蜆如其名，火燒個下型到呢，即時變左高級五星餐廳嘅格局！唔錯唔錯蒜蓉味好重，又冇乜沙，仲比埋個兜仔同鉗方便夾+放殼
杯嘢飲都好正🤩一來消暑，二嚟唔會太冰凍，似smoothie多過沙冰，又似甜品
杯熱朱古力放咗一陣，可能因為個cream凍，所以個面個層好快就變室溫，好處係即時可以入口，都幾香，唔會太甜
飯好食過出面啲啲意大利飯，我覺得係aboveaverage嘅
薯蓉食到有少少薯塊，可以再壓碎啲。鴨髀鹹鹹地，最好就係襯返薯蓉同嘢飲，啲肉一扯就斷，好淋，未至於火腿乾咁乾，但又有啲似風乾肉片沙律🥗地點有啲難搵，要係條小巷轉入去，餐廳環境昏暗，望到藍天到入黑個感覺都幾正！
好多時我都未必會encore，畢竟有好多餐廳想試，但呢間我會再同其他朋友來食！
"
2023-07-03,5,5,5,5,5,"
我親愛的老師(既學生們)終於考完試啦😻作為無限改卷既慰勞同放暑假既前奏，梗係要食餐好！！！！學校係餐廳附近，接咗佢收工行埋個街街過嚟食就啱啱好😚餐廳係大廈18樓，大廈入口雖然係巷到，但都好易搵餐廳格局似cafe，但都有唔少酒類可供選擇😻Setmenu既主菜都有5款可以揀，選擇都唔少呀！當日special係油封鴨脾，不過我地都唔食鴨鵝類就冇揀到😛最後揀咗西班牙杜洛克豬肉眼扒配南瓜醬同埋芝士玫瑰汁海蝦risotto
餐飲可以免費揀汽水，唔洗額外加錢，+$4既凍飲啤酒杯size😳好抵飲
羅宋湯好好飲！好濃番茄酸香，麵包都好好食，搽咗牛油烘得好香脆，我地兩個麵包控第一時間食曬🥹
🔥火魔蜆真係有火🔥
燒個下都幾震撼，比我想像中大火🤣燒完第一時間聞到好香嘅牛油蒜味，而且隻隻蜆得好大粒，調味唔會過重仲食到蜆嘅鹹鮮味
雖然我知道正宗嘅risotto係硬硬地，但我又真係唔鍾意食硬飯🫠真係第一次食到最對味既risotto質地，唔會煮到爛曬而又有米既質感，味道酸酸甜甜有啲似西炒飯😳嘴刁老師都話呢個飯好好食
豬肉眼扒好厚身，店員話理想係8成熟，但如果我地覺得太生可以幫我地再加熱Ni～ce！我真係好怕食到好鞋既豬🫠果種纖維感真係𡁻唔落，8成熟對我嚟講剛剛好
切開肉質偏粉，冇生肉感，而且非常juicy，肉眼位置油分充足，所以好有油香特別提下個薯蓉好香好好食😳有薯仔粒好有口感
環境好舒服，我地兩個傾到唔捨得走，店員都好殷勤(好靚～咁幫我地收拾好檯面令我地坐得舒服啲，臨走仲送咗coupon比我地下次訂枱食飯有9折😻超級Nice呀"
2023-11-09,5,5,5,5,5,"
今天和朋友敘舊，在旺角想找個，Cafe食lunch。我們點了兩個setlunch。餐湯配法式麵包。這裡的餐湯不同於一般的濃郁蕃茄湯，而是散發出清香的洋蔥味道，帶來一種非常新穎的口感。這道湯搭配上法式麵包，更增添了層次感，讓整體的味道更加豐富。主菜：法式香煎雞扒薯條。這款雞扒使用特製醬汁進行煎烹，使得雞肉散發出非常惹味的香氣。薯條的外皮金黃色，炸得酥脆，咬下去時發出卜卜脆的聲音，給人一種令人愉悅的口感。另一主菜：砵酒燴牛肉飯。這道菜的汁非常特別，是廚師自己調配出來的，外面從來未吃過這種特別的醬汁。香濃的醬汁帶出了牛肉的可口味道，令人回味無窮，嘴巴嚐到後，真是食指大動。凍檸茶和美式咖啡。凍檸茶非常解渴，帶有清爽的柑橘味道，而美式咖啡則濃郁香醇。雖然不是在人來人往的商場，溫馨的佈置更勝商場華麗的佈置。"
2023-11-08,5,5,5,5,5,"
