time,taste,environment,service,hygiene,indigestible,comments
2023-11-12,5,5,5,5,4,"Lunch
看到這間「Mamaday」在OpenRice咁受歡迎，當然要約朋友週末去嚐一嚐，知道餐廳是否真的咁受歡迎。
一踏進餐廳，Mamaday的裝潢絕對是一大亮點，以復古風格為主題，讓人彷彿穿越到外地和回到過去。在這個獨特的環境中用餐，讓人感受到濃厚的復古玩味濃氛圍，未開餐之前當然要不斷影相打卡啦。
餐廳除了裝飾得意之外，連餐牌的用字都非常搞鬼。食物種類多元化，落單時記得不用怕羞，直接講菜式的全名，食飯都要搞笑一下吧。
●唔好抱咁大期望蒲燒鰻魚蛋包飯（升級原條鰻魚）雖然餐廳說「唔好抱咁大期望」，但我覺得這道菜真的是色香味俱全，非常高質。原條蒲燒鰻魚經過獨特的烹調方式，肉質鮮嫩多汁，搭配濃濃的蛋包飯的口感更是絕佳每一口都能品味到鰻魚的獨特風味，用料上乘且豐富，絕無偷工減料。
唔好抱咁大期望蒲燒鰻魚蛋包飯唔好抱咁大期望蒲燒鰻魚蛋包飯●美利堅合眾國草飼牛扒這道菜展現了Mamaday對於食材的高要求。餐廳採用美利堅合眾國（美國）的草飼牛肉，肉質鮮嫩，口感豐富，絕不乾柴。再搭配上一些香草和調味料，讓牛肉的風味更加突出。想不到的是，餐廳還配上芝麻烏冬、蝦片和沙津作伴菜，芝麻烏冬味道一流，誠意十足，絕對推介。
美利堅合眾國草飼牛扒美利堅合眾國草飼牛扒美利堅合眾國草飼牛扒●墨仔薄餅配海鮮莎莎墨西哥脆餅的酥脆配上海鮮莎莎，味道簡直是香甜絕配。另外，海鮮包括有帶子、海蝦和蟹腳，海鮮都是經調味炒過，非常惹味。一份小食可以嚐到多種味道，值得一試。
墨仔薄餅配海鮮莎莎墨仔薄餅配海鮮莎莎●花生醬咖啡沙冰想飲重口味的咖啡，花生醬咖啡沙冰絕對能滿足你的味蕾。Mamaday將花生醬和咖啡完美結合在一起，口感豐富且令人驚喜，每一口都能品味到濃郁的花生醬和咖啡的香氣。
花生醬咖啡沙冰●Cappuccino即使是一杯普通的Cappuccino，咖啡香氣都是非常濃郁，奶泡豐富細膩，絕對不會馬虎。
Cappuccino
以為Mamaday只是一間玩味濃的餐廳？那說真的錯晒了，在味道、環境各方面都是做得很有心機。難怪餐廳長期位於人氣榜之中，絕對合理！
"
2023-10-30,5,5,4,5,5,"
玩味餐廳最適合我呢個大細路同埋古靈精怪嘅#虎牙天唔止裝修非常特別，連餐廳嘅菜品名都別樹一格美利堅合眾國草飼肉眼扒🥩草飼牛以草為主，低脂不油膩👍要咗7成熟，讓肉質保持嫩滑的同時，配上兩大塊脆脆的蝦🦐片，大小朋友都話正除此之外，還有清新的芝麻醬烏冬和沙律。芝麻醬配上彈牙烏冬帶著濃郁的香氣，清新鮮甜的芒果沙律則為整道菜增添了一抹清爽的風味。真心無乜驚喜大啡菇黑松露意大利扁麵🍝其實非常驚喜，黑松露落得非常豪爽，🍄散發出濃郁的黑松露香氣，搭配豐富的大啡菇，口感豐富鮮嫩。麵條煮得剛好，彈牙有嚼勁。每一口都充滿了迷人的黑松露風味，讓人陶醉其中，絕對是美味的極致享受。避風塘炸雞翼🍗外皮酥脆香辣，內裡肉質鮮嫩多汁。吃下一口，辣味與香氣迸發，讓人欲罷不能。絕對是下酒絕佳選擇！原味薯條🍟呢個經典配菜要做得好味，並不容易但係呢度做得超正，不油不膩，香香脆脆，食到唔停口🤤非一般一般檸檬果皮烏龍茶沙冰🍹（簡稱檸茶）其實檸檬茶沙冰一杯，比平常嘅檸檬茶甜瞓覺少，但係又多咗一陣清新嘅果皮味，要來食炸嘢解渴一流🫶傳統Mojito🍸清爽薄荷，酸甜搭配，綠意盎然。
"
2023-10-20,5,5,4,5,5,"
【Mamaday】麻麻地系列一向都講求玩味，由店名、到舖頭嘅裝修、以致餐牌上面嘅菜式，全部都非常搞鬼過癮。好多都要係香港長大嘅「陀地」，先至可以明白到箇中的精髓。餐廳位於尖沙咀加連威老道，地點夠曬方便。上星期就同朋友行完街到呢度開一餐。先嚟一個《白酒忌廉藍青口》，$188一個青口連2杯白酒，和朋友邊吃邊飲最適合不過。冰凍的白酒，帶點微酸，同時亦滲透著一點果香。輕輕淺嚐，為朋友帶來一點點微醺，配合美食，錦上添花。至於白酒忌廉藍青口，肉質嬌嫩，不會過火喉，同時亦有海水鹹鮮。忌廉汁既有牛油香氣，同時亦有炒香的洋蔥粒，額外增添了爽口的口感，作為前菜小食，以及佐酒，適合過。另外亦點選了一個《明太子薯薯薯薯條》，明太子本身帶有鹹鮮，同時帶有微微的辛辣。薯條厚切，上枱熱辣辣，外層酥脆，裏面綿密，配上明太子醬，味道層次更加昇華。另外亦叫咗一個有香港特色的《避風塘雞翼》，避風塘風味揉合香蒜、黑胡椒及辣椒等重口味香料製成，爆蒜香口，而且帶有點辛辣，非常惹味。 除咗食物之外，呢度嘅飲品設計上同樣都非常之有特式。呢一杯《花生醬咖啡沙冰》，一睇個名就想嗌。平時都飲過FxxGxx的花生醬奶昔，總會被那一陣花生醬香氣所吸引，今次仲要夾埋咖啡和沙冰，可謂三重享受。另一杯《非一般一般檸檬果皮烏龍茶沙冰》，入口清爽，冰凍非常，別適合熱辣辣嘅天氣。比起港式檸檬茶的那種澀得起的感覺，多了一份烏龍茶的清香。讚～整體嚟講，呢一間餐廳可以用搞鬼、高質、過癮嚟形容，喜歡港式感覺，必定要嚟試下同打卡。"
2023-10-04,5,5,5,5,5,"
這是一家很型格的西餐廳，打卡位很多，很多細節可以看到老闆的品味和細節。菜單也做得很特別，中文菜名很搞笑，很符合年輕人的口味，難怪離開時不到1點，餐廳已經基本滿座，食客的平均年齡不超過30歲。
放心無乜杏仁味的杏仁焦糖熏綠茶$46個名好長，確實無乜杏仁味，焦糖味特出些，甜絲絲的。
污糟的椰奶$46餐單已註明200ml，味道很經典，椰奶和咖啡味都非常濃，朋友非常中意綠光蓋頂的八爪魚先生$72分量啱啱好，厚切的新鮮八爪魚上蓋青醬，與海葡萄一起食，層次豐富。
可能會失望溫泉蛋明太子意大利扁麵$125真嘅沒有失望咯，非常creamy，明太子的小小辣味又比較解膩，扁麵很彈牙，值得一試。
美利堅合眾國草飼牛肉$178講真，呢個有驚喜。好大一碟，已經覺得好抵，牛扒7成熟，好軟嫩和juicy。搭配芒果沙律、木魚花烏冬、蝦片，好豐盛。
想食紫薯蛋糕，但沒有準備好，所以叫左“今日咩心情”🤣，原來係椰子芝士蛋糕，我估用左軟芝士，令到個蛋糕好滑。蛋糕上仲有個牌寫mumsaidIamtoofat。食完先見到，好鬼搞笑。
"
2023-09-26,5,5,5,5,4,"
[#caloriefoodie尖沙咀]•𝙾𝙼𝙶𝙼𝚊𝚖𝚊𝚍𝚊𝚢•🐿-​充滿玩味嘅尖沙咀樓上西式Cafe—𝙼𝚊𝚖𝚊𝚍𝚊𝚢間唔中就會回訪一次裝修靚Menu有心思✨
而且野食都有水準!!至少去咗幾次都無食過伏野!!推薦!!想喺尖沙咀搵間坐得舒服又可以打下卡嘅餐廳📸-🍳唔好抱咁大期望蒲燒饅魚蛋包飯💰$138+💰$28升級原條蒲燒饅魚🆙
份量多到有啲嚇親原條蒲燒饅魚上碟視覺效果滿分💯蒲燒饅魚底下就係大大碟蛋包飯飯粒本身就有醬汁味就算食到最後一啖飯都仲有鰻魚可以食升級好抵食!!-​🦀有蟹GO又有蟹肉的蟹蟹蟹意大利扁麵💰$145
好香蟹膏味嘅意大利扁麵蟹膏味係呢碟嘅重點!!配上蟹鉗肉、蟹柳、蟹肉、蟹籽真係全部蟹蟹蟹-​🍑德國水蜜桃花茶💰$56
含水蜜桃、蘋果、菠蘿、洋甘菊、太陽花瓣、檸檬香桃木花茶可選凍或熱味道清香甜甜地食飽後可以解解膩-🍵放心唔係好甜既抹茶沙冰💰$56
夏天超透心涼飲料!!啜到最後仲有成舊冰未融😹-📍尖沙咀加連威老道29號信基商業中心2樓
-#caloriefoodie
"
2023-11-13,4,5,5,4,4,"
「OMGMamaDay」位於尖沙咀加連威老道29號信基商業中心2樓，揸車嘅就推薦泊對面咪錶。呢間西餐店裝修格局幾得意，帶小朋友都算係唔錯嘅選擇！今次晚市介紹👇點解個個都點軟殼蟹pizza『夠香夠脆又唔腥，推介👍』蜜汁香茅豬頸肉『普普通通好過冇！』mojito&尤達人的體液『都係咁唔算差！』手工紫薯窩夫『食之無味』揸車出入：👍👍帶小朋友：👍👍👍👍食物質素：👍👍👍👍環境舒適：👍👍👍👍CP值...😋：👍👍👍彩蛋：尖沙咀西餐嚟講呢間都算幾特別又食得下，一般既西餐食到悶悶地，絕對值得考慮嚟試下！"
2023-11-09,4,4,4,4,4,"
第一次到訪Mamaday系列餐廳裝修色彩繽紛搞怪好有活力🤭餐牌選擇都超級多總有款啱你野食高質又大份啱曬大家share食💓.▪️唔好抱咁大期望蒲燒鰻魚蛋包飯$135▫️升級原條鰻魚+$28▪️普通到無得再普通嘅炸魷魚圈$72▪️點解個個都叫軟殼蟹比薩㗎（仲要有菠蘿）$145▪️唔甜的紫薯蛋糕$68▪️宇治抹茶澀澀地$48▪️香蕉朱古力奶昔$56.必點鰻魚蛋包飯升級原條鰻魚賣相好吸引鰻魚大大條多肉無骨食落好方便😋另外推薦紫薯芝士蛋糕芝士味濃郁微甜好健康解油膩💗"
2023-11-08,5,4,4,4,4,"
星期日訓到自然醒，出左尖沙咀食午餐，去完龍城買野，直接過對面的OMGMamaday醫肚。
裝修好有特色，尤其餐牌上的菜名，睇得出有花過心思。午飯時間陸續多人，好不熱鬧。
豆腐豆腐豆腐咖啡大大一球豆腐雪糕，豆腐味好濃郁。咖啡香醇，兩者出黎的味道有驚喜。
牛油果沙冰口感係杰撻撻的欣賞其恰到好處的甜度，淡淡牛油果味，亦有奶香，口感順滑creamy。
普通到無得再普通嘅炸魷魚圈炸得香脆，食落又唔會滿口油。魷魚彈牙新鮮，點少少沙律醬已經好夠。星期六要食啲煎炸物才有放假的意思。
唔好抱咁大期望蒲燒鰻魚蛋包飯升級了全條鰻魚，所以鰻魚份量都幾巨型。鰻魚肉質肥美，蛋包飯用上了珍珠米，所以更有口感。雞蛋用上了日本蛋，所以蛋味好濃。最滿意係成個飯蒲汁夠多，好好送飯！
有蟹Go又有蟹肉的蟹蟹蟹意大利扁麵滿滿的蟹子食落卜卜脆，但估唔到蟹肉都好多。意粉煮得濕潤，質地彈牙有咬口，好食！仲有蟹柳和蟹鉗，真係成碟都係蟹，百零蚊的價錢，絕對滿意了！
雖是cafe形成的設計，但出品絕不比西餐差，而且價錢實惠，份量足，值得黎試下。
"
2023-11-07,5,5,5,5,5,"
Mamaday而家越開越多分店，尖沙咀同一條街都有兩間，OMGMamaday，之前食過唔錯，又坐得舒服～～我最欣賞呢度嘅係心思，無論係餐廳佈置定係菜單設計上，都好留意細節，原來啲菜名就知😂✨綠光蓋頂的八爪魚先生$76其實係青醬八爪魚🐙八爪魚以薄切形式上，食落爽口，青醬又可以提鮮，另外配上沙律菜同海葡萄，更加fresh✨點解個個都叫軟殼蟹比薩架$138原隻軟殼蟹係pizza中間，好震撼。pizza係我鍾意嘅薄批，食落好鬆脆，配料有蟹柳同菠蘿，加上用咗千島醬，非常開胃✨美利堅合眾國草飼肉眼扒$178肉眼扒得全熟同7成熟揀我哋揀咗7成😂熟度拿捏恰到好處，肉眼扒肉味香濃，都幾軟腍，我朋友話呢個價錢性價比十足～另外啲side都幾多，配上鮮果沙律、炸蝦片同日式芝麻醬烏冬，相當豐富另外仲帶咗杯薑味latte，飲落去幾順口，薑味唔會太濃烈，啱啱好!!
"
2023-11-06,5,5,5,5,5,"成日聽D朋友推薦呢間好有gimmick，玩味十足嘅餐廳，但一直都無試過，今日放假咁啱同朋友出尖沙咀Shopping，決定要去朝聖一下~
餐廳裝修果然夠曬特別，好Colourful好有個性，睇得出好用心去佈置，每個角落都有好多得意特色野睇，例如插畫、有趣嘅語錄、印花碗碟等等，餐廳好多細節都盡顯心思，尤其係份Menu，好有創意，
而食物味道同質素亦係水平之上，CP值高，環境亦好舒服，好啱成班朋友嚟打卡chill下，非常推薦大家！
.💎$48明太子薯薯薯薯薯......條(細)
新鮮炸起嘅厚切薯條，熱辣辣，外脆內軟，配埋鹹香微辣嘅明太子，味道好有層次～.💎$72記住，期望愈大，失望愈大...雞翼(蜜糖芥末味)
份量好足嘅單骨雞翼，炸到外脆內嫩，味道香辣，加埋D蜜糖芥末醬，食落好惹味！.💎$145有蟹GO又有蟹肉的蟹蟹蟹意大利扁麵
呢兜意粉真係名副其實，全部都係蟹！意粉面頭有兩隻蟹鉗，鮮甜嘅蟹肉、蟹籽、蟹柳，仲有香濃嘅蟹膏撈曬喺個意粉到，超香蟹味，好滿足！.💎$145點解個個都叫軟殼蟹比薩架(仲要有菠蘿)
pizza餅底夾咗薯蓉、芝士，同千島醬、菠蘿好夾，食落酸甜開胃，而原隻軟殼蟹炸得好香口，仲食到好多蟹肉，口感好豐富～.💎$90是是但但Waffle(Oreo味)
估唔到有4大塊waffle咁多，Waffle加入咗朱古力碎，配埋Oreo雪糕好夾，甜度適中，仲配咗好多Oreo餅碎，食多都唔會膩.💎$42污糟的椰奶(常溫)望落好靚，有漸層，未飲已聞到好香，飲落咖啡味好濃，口感亦好滑順！"
2023-11-06,5,5,5,5,5,"
今天下班，與YanYan來個突如其來的飯局。我們相約在尖沙咀的OMGMamaday食西餐。餐廳燈光偏暗，適合情侶密友聊天食飯。環境佈局特色有格調，餐牌的菜式名稱亦特別，用了港式口語作菜名。連加一服務費，人均消費大約$260綠光蓋頂的八爪魚先生$72一送到面前，就見到綠油油的伴碟菜，八爪魚上面的醬汁都是綠色調配。八爪魚口感煙靭有彈性，厚薄適中，入口咀嚼鮮味鮮味清甜。記住希望越大，失望越大，蜜糖芥末雞翼$72外皮炸得鬆脆可口，微辣，刺激食慾。肉質正常，不老不硬。香酥小食。可能會失望溫泉蛋明太子意大利扁麵$125意大利扁麵份量都算多，每一條都包裹着明太子醬，稍為將溫泉蛋攪拌，就變成另一個味道。蟹柳乾身蟹味濃，風味佳。
好似既鹹蛋牛油果蟹肉比薩咩叫減肥$145賣相吸引，有蟹鉗鋪在Pizza上面，加上熱騰騰的Pizza，富有鹹蛋香，牛油果和蟹肉比例頗多，每一口都食到蟹肉，滋味。士多啤梨奶昔$56士多啤梨奶昔，不太甜，清涼美味。"
2023-11-05,5,4,4,4,4,"
🧑🏻‍🍳位於尖沙咀一間樓上Cafe，色彩繽紛嘅裝修同埋擺設，每一個裝飾都充滿創意，餐牌都非常搞笑，玩味十足，有種好隨心好舒服嘅感覺，幾岩同朋友試下，飲品種類比較多，下午茶去飲杯野都可以~
—————————————————————🍴海龍皇比薩($268)Pizza中間大大隻龍蝦頭好吸引，龍蝦肉放到pizza上面，龍蝦肉配上酸酸甜甜嘅千島醬幾開胃，龍蝦頭入面嘅膏都可以食㗎！😋美味指數:9/10—————————————————————🍴記住期望愈大失望愈大..雞翼-避風塘口味($72)佢個餸菜名就係咁長。雞翼先半煎炸再加炸蒜，雞翼唔太黐到炸蒜同埋可以再多啲就好，口味微辣而唔滯，正正常常嘅雞翼，美中不足嘅係雞翼唔夠熱😋美味指數:6.5/10
—————————————————————🍴73.5%朱古力最好味($48)上到枱即刻俾個杯吸引到，係好懷舊嘅碗，有再灑一層朱古力粉喺面令朱古力味更濃，味道唔會太甜，不過嚟到嘅熱朱古力係暖暖地嘅。鍾意朱古力嘅朋友都可以一試。😋美味指數:7/10
