time,taste,environment,service,hygiene,indigestible,comments
2023-10-30,4,4,4,4,4,"
今次已經係我第n次黎銅鑼灣既Mokumoku食串燒，雖然啲人轉哂，但好彩今次啲食物都冇令我失望。我哋叫咗3點刺身盛、牛蒡、槍魷魚、西功牙夾心肉、豬腩脂串、豬頭肉串、蒜芯豬肉卷同雞翼串。3點刺身盛4.1/5⭐️刺身有三文魚、帶子、同甜蝦，三款都幾新鮮，每一片都切得都算厚，入口都甜，唔錯，可試。牛蒡漬物3.9/5⭐️牛蒡漬物一直係我既最愛，又健康，餸酒又一流，非常開胃。雖然今次牛蒡有啲渣，但還好，可接受。燒槍魷魚4.2/5⭐️槍魷魚燒得恰到好處，外皮微焦，內裡鮮嫩。魷魚的鮮味很突出，帶有微妙的彈牙口感，令人回味😋西功牙夾心肉4.3/5⭐️西功牙夾心肉賣相吸引，味道更加出色。肉質鮮嫩多汁，雖然只係落左鹽去燒，但西班牙豬就係唔同啲，鹽已經帶出豬肉香味，好食😋豬腩脂串3.1/5⭐️豬腩脂串燒得好脆，脂肪部分融化在口中，但真係好肥膩，食左2塊就濟左，下次未必再叫，但如果你喜歡豬腩或豬肥膏，絕對可一試。豬頭肉串4.1/5⭐️豬頭肉串燒得香脆，豬頭肉的細嫩部位燒得啱啱好，燒過後更顯美味，是一道令人滿足的串燒選擇。蒜芯豬肉卷:4.2/5⭐️蒜芯豬肉卷包裹著鮮嫩的豬肉和蒜芯，入口豐富多汁。蒜芯的香氣與豬肉的鮮味相互融合，帶來獨特的風味，可試😋雞翼串:4.5/5⭐️雞翼串燒每次都有點，今次都唔例外，都係燒得香嫩多汁，肉質鮮美。每一口都帶來豐富的肉汁和雞肉的風味，絕對要試😋"
2023-08-31,5,4,4,5,4,"
這間居酒屋位於銅鑼灣，主打日式串燒，專門搜羅不同的豚肉。店內環境寬敞舒適，裝修以簡約的日系木板為主，擺放不同的毛公仔及日本海報等，如置身日本居酒屋一樣。前菜前菜-$32水果番茄酸甜可口特別醒胃。
明太子沙律明太子沙律-$48一粒粒明太子富鹹香，入口爽脆富彈性，好清新。
刺身盛三款刺身盛三款-$168四片雪白肉厚的帆立貝純淨甘甜；兩隻肥美的赤蝦爽口有彈性，淡淡的甜味，口感軟綿；四片細嫩鮮美的三文魚甘腴肥美。
槍魷魚槍魷魚-$188鮮嫩的槍魷魚比起一般的墨魚或魷魚，有著更鮮甜的海水味，入口柔中帶韌。
西班牙黑豚豬頸肉西班牙黑豚豬頸肉-$38/1黑毛豬豐富的油花分佈平均，豬頸肉質感脆爽嫩滑，充滿肉汁，油而不膩。
露筍豬肉卷露筍豬肉卷-$38/1脆嫩的綠蘆筍好清爽，包裹著肥美的豬肉添油香。
豚肉鵪鶉蛋卷豚肉鵪鶉蛋卷-$36/1一串有三粒圓潤的鵪鶉蛋咬開軟滑帶鹹香，香脆的豚肉添油香。
雞翼串雞翼串-$38/1一串兩隻肥美飽滿的雞中翼外脆內軟，雪白的雞肉嫩滑多汁。
雞軟骨串雞軟骨串-$28/1爽脆的雞軟骨有肉有軟骨，好惹味。
日本長蔥日本長蔥-$28/1比一般的蔥多帶了點甜味，更有些味噌調味。
