time,taste,environment,service,hygiene,indigestible,comments
2023-10-22,5,4,4,5,4,"
餐廳位置就腳，鄰近港鐵地鐵站。環境也相當寬敞舒適，裝潢以航海為主調，所以平日也喜歡跟同事一起聚餐。
封門牛柳羽衣甘藍沙律
封門牛柳經過熟成的特殊技法，高火燒焗，外層焦脆，口感焦香內裏極其嫩滑，入口軟嫩。搭配新鮮的羽衣甘藍和牛油果，蔬菜的清脆，牛油果的絲滑與肉的鮮嫩相互呼應，帶來絕妙的口感平衡。沙律醬汁的酸甜香辣，為整道沙律增添了層次感。黃金焗生蠔
芝士醬及卡疆醬焗生蠔，2種口味，各有特色，芝士軟糯，卡疆惹味，配合生蠔，天衣無縫。日式煎銀鱈魚配白麵豉忌廉汁
銀鱈魚煎至金黃酥脆，肉質鮮嫩多汁，帶有淡淡的海洋風味。白麵豉忌廉汁濃稠順滑，口感豐富，散發出微妙的日式麵豉香氣，與魚肉相得益彰。這道菜的味道層次豐富，結合了日式的精緻與深沉，絕對不會失望。虎蝦香蒜橄欖油扁意粉虎蝦肉爽鮮甜多汁，搭配橄欖油和香蒜的香氣，散發出誘人的風味。意粉的口感彈牙豐潤，與虎蝦完美融合，帶來絕妙的口感享受。此外，這道菜的賣相也相當精緻，意粉與虎蝦交織在一起，色澤鮮亮，擺盤精心，讓人食指大動。"
2023-10-18,5,5,5,5,5,"
對於打工仔黎講，天都未光，起身果刻到底有邊個會有心理準備返工？
就像任四周千百呎巨浪，沒法子撐到對面岸…我亦唔例外，
我每日迫地鐵果陣都會默念，但求內心既安慰，
繼而收工食餐好d叫做好好安慰自己，觀穹蒼…👇🏻
📌SignatureSeafood·ComboBag-  ▪️Captain’s·Combo-$398船長拼盤海鮮袋$398▫️呢到一定係最出名係海鮮shakeshake袋，佢地有幾個選擇，我就揀左呢個「船長·拼盤」，當中包括海蜆、青口、海蝦、粟米、豬肉香腸、新薯仔，份量絕對夠兩人share，個醬汁都有得揀，
船長拼盤海鮮袋$398我揀左「招牌卡疆蒜蓉汁」，每樣海鮮都沾滿辣勁，份外惹味；而且餐廳好貼心，會有手套、濕紙巾、圍巾，保證食完都乾手淨腳，抵讚！船長拼盤海鮮袋$398📌Appetizers- ▪️Louisiana·CrabCake-$148路易斯安娜蟹餅$148▫️前菜就揀左呢個人氣「路易斯安娜·蟹餅」，成個蟹餅都係大量蟹肉堆砌，一咬落啖啖肉好滿足，面頭加左d千島醬調味，
路易斯安娜蟹餅$148帶出更豐富甜味，唔錯。
路易斯安娜蟹餅$148📌Main·Dish-▪️InkRisotto·Cuttlefish&Octopus-$168墨汁意大利燴飯墨魚八爪魚$168▫️主菜嗌左個「墨汁意大利燴飯·墨魚·八爪魚」，墨汁入口相當濃香，而且飯粒中食到粒粒墨魚肉，口感煙韌之中帶點爽彈，好正；
墨汁意大利燴飯墨魚八爪魚$168面頭仲有好多隻八爪魚仔，好鮮甜爽口，抵食程度近乎爆燈！墨汁意大利燴飯墨魚八爪魚$168📌Dessert- ▪️Tiramisu-$88提拉米蘇$88▫️最後甜品「提拉米蘇」亦有驚喜，口感幼滑得黎，啖啖食到濃厚酒香，面頭鋪滿可可粉，味道甘香，
提拉米蘇$88多種層次夾埋一齊，真係食唔停口！
Tiramisu$88"
2023-08-19,5,5,4,4,4,"
終於完成工作既星期五，係時候需要食好西來慰勞自己一下。HappyFriday…Let’sGettheParty❤️吃海鮮飲白酒的一個晚上，推介位於灣仔利東街《TheCaptainHouse》以海鮮為主，深信耳熟能詳。
TheCrab的牆磚或枱布完全是有格調，樓高兩層的關係，不同區域都有很多打卡地方，絕對是Chill&Relax的地方。餐牌上有2人SetforDinner$798有前菜、主菜、湯、意粉、白酒或紅酒等。
Soup有兩款湯包括有黑松露野菌忌廉湯·龍蝦湯，前者忌廉湯味強烈並配有松露香好Creamy，後者有龍蝦湯熱騰騰底下沒有半點猩味，內含龍蝦仔滿有口感。
Appetizer小食有幾款選擇，個人都是鍾情路易斯安那蟹餅，蟹餅滿滿蟹肉的味道，令人無法抗拒的感覺。
SetforDinner$798海鮮配上白酒其實真係一個唔錯的選擇，有多款海鮮任你揀包括有：海蝦、馬尼拉蜆、小龍蝦、翡翠螺、藍青口、海蜆、原隻去頭魷魚等，另外有四種的醬汁選擇。
常中我選擇了Mussel&Prawn&Squid，另外醬汁有LemonGarlicButter，一上桌相當吸晴，店員將袋中的海鮮搖動下醬汁立即變得均勻，吃落去海鮮吸入檸檬蒜蓉牛油汁，入味無比。底層更有薯仔及司華力腸都幾飽肚。
PastaorRitsotto溫泉蛋肉醬扁意粉頂層的蛋串破後呈流心的效果，絕對地慘入沾滿肉醬的扁意粉，滿滿口感不錯。
"
2023-08-02,5,5,5,5,5,"
灣仔返工多年，成日經過Mr.CrabbyTheCaptain’sHouse，我都好想試，不過就冇咩朋友陪我食海鮮。咁啱有個朋友係中環過嚟探我，於是決定同佢放工一齊喺呢度食晚飯。發現海鮮非常新鮮，感覺就像在海鮮船上即捕即食，甚有驚喜。呢日我哋叫咗二人餐($798)🚤🛥️：首先要選海鮮拼盤/主菜。上得海鮮船，無理由唔食海鮮，所以我哋揀了海蝦(8隻)、翡翠螺(6隻)和小墨魚仔(8隻)。因為海鮮都放係大膠袋，所以最特別係侍應將海鮮拼盤上檯時，會以shakeshake薯條方式，將海鮮與醬料調勻。所有海鮮本身都很新鮮，食落海蝦肉質鮮嫩多汁，翡翠螺肉質彈牙清甜，小墨魚仔口感柔軟，配上Cajun醬汁，味道一流。🦞🐙🦪然後湯都可以揀兩碗，所以我哋龍蝦湯、黑松露野菌忌廉湯各選一碗。龍蝦湯味道鮮美濃郁，十分惹味。至於黑松露野菌忌廉湯口感豐富，非常香濃，配埋意式蕃茄包，認真一流！🫕🫕小食前菜都可從脆炸薯條、脆炸雞翼、芝士蟹肉焗意大利燒烤菇、路易斯安那蟹餅(+$10)和法式煮青口(+$30)度揀。我哋叫咗蒜香蜜糖汁嘅脆炸雞翼。雞翼外皮酥脆，蒜香蜜糖汁的比例恰到好處，蒜香和蜜糖等調味料的使用得宜，不會過度影響炸雞翼的原味。🐥🐥至於Pasta/Risotto，我哋+$30揀咗香煎大頭蝦冬陰功意大利燴飯。大頭蝦肉質鮮美，意大利燴飯的米粒與冬陰功湯汁搭配得宜，非常開胃。🍛🍛本身個餐跟兩杯HouseWine，但同朋友少飲酒，所以每人加$38叫了MadMe，非常清新解暑🍹🍹Mr.CrabbyTheCaptain'sHouse地址：灣仔莊士敦道74-78號一樓及地下C號舖
"
2023-07-16,4,4,5,5,4,"
-Mr.CrabByTheCaptain’sHouse-☑️Address:ShopC,G/F-1/F,74-78JohnstonRoad,WanChai📞PhoneNumber:23288511/93813596(WhatsApp)這裏最出名的是手搖海鮮袋，首先揀自己鍾意食嘅海鮮，我哋揀咗海蝦、馬尼拉蜆及原隻去頭魷魚這三款海鮮，選取檸檬蒜蓉牛油汁。手搖海鮮袋的新穎烹調方式和優質的海鮮選擇令人印象深刻，而醬汁能融合了酸甜和鹹香，加強了海鮮的新鮮口感。我們揀選了一個二人套餐，還點了蒜香蜜糖汁雞翼、新英格蘭白酒海蜆扁意粉，黑松露忌野菌忌廉湯及龍蝦湯，飲品就簡單的點了菠蘿汁及gingerale。雞翼外皮烤得酥脆，內肉則保持著多汁的口感，並且淋上了甜而不膩的蜜糖汁，十分美味；而鮮美的海蜆搭配了酒香四溢的白酒汁，讓人食指大動。另外，兩款湯及飲品都以其獨特的風味提供了完美的口感平衡，使我們的餐點更加完美。
"
5天前,4,4,5,4,4,"
灣仔莊士敦道都算係食店一級戰區。看似選擇很多，但真正好食又好坐嘅就比較少。今日經朋友介紹去咗呢間，無論食物同裝修都感覺好唔錯。西班牙烤章魚章魚焦香感很好，有嚼勁。重點係薯蓉。很美式風格的重牛肉口味。好滿足，唯一覺得如果可以再熱d，香氣會更足。海膽多士海膽與章魚的搭配坊間比較少見。海膽不算頂級，但勝在性價比很高。如牛奶的滑順配上有口感的章魚，很有趣的搭配。海膽帶子闊條麵大推薦，手工麵條，口感很好，淋上熱騰騰的海膽奶油醬，一絕。麵體都好沾汁，愛海膽的人一定要試試。招牌手工蟹肉漢堡好足料，蟹肉橫流的感覺，就滿滿的滿足感。總體來說，很好的用餐體驗，人均400左右的價格，係灣仔呢個質素黎講，都好合理，期待下次再試其他菜色。
"
2023-11-13,4,5,5,5,4,"
西班牙烤章魚：經典tapas，墊底嘅薯蓉反而係我嘅至愛，又creamy又有油香海膽吐司：爽口嘅魷魚刺身配搭香甜嘅海膽，加埋微酸嘅sauce，很得我心海膽醬帶子扁意粉：鹹香嘅海膽醬，煎得剛剛好juicy嘅帶子，重有手製，充滿蛋香嘅扁意粉，好滿足最後係crabmeatburger：不愧係招牌，中間嘅蟹肉漢堡好足料，漢堡包皮烤過，好脆好香兩杯cocktail：BlackoutafterSunrise同埋原味嘅Mojito，微醺，很好feel是晚大滿足
西班牙烤章魚"
2023-11-07,4,4,4,4,4,"
