time,taste,environment,service,hygiene,indigestible,comments
2023-09-14,3,4,3,4,3,"
聽人介紹呢間韓國菜好正宗，得香港有分店，好多人都讚不絕口，就帶b🐷去試下先，7點鐘小編係gulu個到㩒左飛，上到去啱啱過左一張，即刻同店員講聲，佢哋話下張比翻😼😼。但我地都等左20分鐘先有位，等既過程我望到入面有幅鎖頭牆，有情侶留喺度既印記同回憶，又有食客即影即有既裝飾。我哋嗌左一份炸雞同辣豆腐烏冬仲有野飲😃。醬油同甜辣無骨炸雞🍗$2083.5/5除咗炸雞仲有大量薯條薯角薯格伴碟，呢個一份既份量係無gxxbxx既一份炸雞量🤭，入面得7件大少少既雞肉，有啲炸粉過厚，咁多伴菜係咪想塞飽個胃。但味道黎講幾好，好開胃既甜辣汁，肉汁鮮甜，仲幾嫩滑🤓。伴菜係落咗甜甜地既粉所以食落有甜絲絲既味道☺️。$208辣豆腐湯烏冬🍲$1983.5/5滿滿既紅油以為會好辣，但飲落又唔係😜，仲幾鮮甜喎，又唔會好鹹。入面有5塊厚切豆腐、蝦仁、魷魚、蜆肉、豬肉片、金菇、菇類、烏冬。不過每樣都好少，韓式辣醬湯既味道我諗可以餸飯食😂。$198$48$38地點:位於尖沙咀搵食位厚福街尾餐廳大廈H8既17樓，繁忙時間預等lift有排等。環境:入面燈光昏暗，但有吊燈黃燈裝飾，加上飲下酒幾chill既感覺。坐位之間距離足夠，保持私隱度。價錢:$250人頭費，性價比一般，炸雞份量比較少，無乜食過肉咁😂😂。但尖沙咀係咁上下落樓。服務:韓國人做店員，我哋要用英文溝通😂。但如果佢哋細心一點會就主動提供碗同湯匙🥄而唔洗我哋提。
"
2023-09-06,5,4,5,5,4,"
好耐冇食過韓國嘢，今日就去左都幾出名嘅outdark食韓國炸雞。今日選擇咗喺尖沙咀H8分店，非常方便。記得好耐之前都食過一次，但已經太耐冇嚟，但依稀記得佢嘅甜辣炸雞幾好食。
裝修非常別緻，一入門口見到一片鎖牆，幾特別。燈光比較昏暗，有些少吊燈點綴，幾有格調。
我哋一行兩個人點兩個主菜已經非常夠食。甜辣炸雞$198
炸雞炸得非常香脆，外面裹上甜辣醬，味道比較甜，不會太辣。
雞肉非常嫩滑，內有雞汁，好好食。一盤炸雞會配上香脆薯格和粗薯，薯格上面應該灑了一些芝士奶酪粉，多了一陣香氣。我們更加了$28多了三條甜薯芝士條，有很強勁的拉絲效果，芝士味道唔算濃郁，但加上甜薯，有清新香甜效果。辣豆腐湯烏冬$198
店主會用一個爐一直預熱住，所以熱辣辣好正，配料非常多，有魷魚仔，海蜆，豆腐，冬菇，豬肉，金菇，蝦等等。
湯底小辣好惹味。一鍋份量都有好多，兩個人都夠食。
西柚梳打$38
好多氣，西柚味道好出，非常清新。最後兩個人食，大約$500埋單，耐唔中食一餐都唔錯！
"
2023-09-06,5,4,4,4,4,"
🌕Hello我係Moon🌕又來到我最鍾意嘅韓國餐廳啦！😍間唔中都會好想食韓國嘢食，🤩可能係聽得行團歌太多，教導成日都心思思想食韓國嘢！🤭
今次嚟到尖沙咀呢間Outdark，😌講真每次想食韓國嘢都會過嚟呢度食！😶因為依度嘅嘢食性價比幾高，🤩而且佢嘅食物質素都好穩定！🤭
一坐低就嗌咗一個忌廉海鮮鍋，😆依個忌廉海鮮鍋等候嘅時間會耐啲，😌但係佢嘅水準真係好高！😚忌廉嘅味道好香海鮮嘅部份都唔少！😋忌廉海鮮鍋忌廉海鮮鍋佢仲有我最鍾意嘅炸魷魚，😎咬落好香脆加埋小小嘅忌廉醬一齊食，😏奶香嘅味道真係令人感到滿足！😝
忌廉海鮮鍋忌廉海鮮鍋如果想食麵嘅話，🥰可以揀炸醬麵又或者係海鮮辣炒麵！😋我揀咗海鮮辣炒麵，😛其實佢嘅辣度，😌我都接受到，😝夏天食返啲辣嘢真係夠晒過癮！🤓
海鮮辣炒麵海鮮辣炒麵依個海鮮辣炒麵嘅份量都幾足夠分享，😳麵條比較有韌性！😎所以都有一定嘅口感！🥸海鮮嘅部份有蝦有青口等等，🤩確實唔錯！😤
海鮮辣炒麵🌕最後MoonMoon都幾滿意依間韓國餐廳，餐廳佈置好有氣氛，食物水準依然都係咁穩定，咁高質，下次再嚟過！🌕
"
2023-06-26,5,5,5,5,5,"
這間人氣韓國餐廳來自韓國釜山，位於尖沙咀厚福街，主打正宗的韓式料理。店內環境相當有氣氛，掛上不少星星吊燈及情侶鎖牆，充滿打卡感。
食物及飲品均即叫即製，部份食材更使用韓國直送的，盡量保留當地風味。
半份炸雞(香蒜蜜糖炸雞)半份炸雞(香蒜蜜糖炸雞)半份炸雞(香蒜蜜糖炸雞)-$138除了原味，還有四款口味。金黃酥脆的炸雞肥美飽滿，特別使用韓國雞肉，咬開雪白的雞肉嫩滑多汁且毫不油膩，均勻染上香甜的香蒜蜜糖汁，更有外脆內軟的薯角、薯格及薯條，非常豐富。
GrilledRiceCake(6pcs)GrilledRiceCake(6pcs)GrilledRiceCake(6pcs)+$20煙煙韌韌的年糕，彈牙而不黏牙，有一半帶有韓式辣醬的香氣。
SweetPotatoCheeseStirck(3pcs)SweetPotatoCheeseStirck(3pcs)+$28酥脆的炸芝士條，加入香甜的蕃薯蓉很軟糯，帶微微拉芝效果。
豬肉炒粉絲豬肉炒粉絲豬肉炒粉絲-$93韓國豬肉片鬆軟且鮮美，晶瑩剔透的粉絲滲透肉汁及香濃的麻油，清爽又充滿彈性，更有三色椒、洋蔥、香菇及木耳等野菜。
烤牛肉飯捲烤牛肉飯捲烤牛肉飯捲-$88傳統韓式飯卷，韓國米飯質感更黏身，帶有麻油及芝麻香氣，鹹香味較濃郁，包裹著滿滿的牛肉、蛋卷、青瓜、醃蘿蔔、紅蘿蔔等等，再撒上黑白芝麻粒和淋上沙律醬。
BlueberryOutdarkYogurtBlueberryOutdarkYogurt-$48酸酸甜甜的乳酪綿密細緻，充滿奶香之餘，更有大量新鮮的藍莓肉，充滿莓香。
芒果梳打芒果梳打-$38顏色層次分明的梳打，有著清爽的梳打水碳酸氣泡，底部更有香甜的芒果肉，加上檸檬片及薄荷葉，口感好清新、輕盈。
"
6天前,5,5,4,4,4,"
同朋友去開尖沙咀行街🛍️一人6行·4大2BB就嚟左依間來自韓國超人氣嘅炸雞餐廳🇰🇷朋友已經食過幾次，都話性價比好高😊店內環境闊落乾淨，而且裝飾都好有心機，有鎖鑰牆和燈飾🌟勁有氣氛～心情即刻放鬆哂❤️🌟雙拼炸雞加脆薯王依個真係必叫之選❤️炸雞外脆內軟，肉汁鮮嫩🤤蒜香超級惹味，甜辣醬汁開胃之選，不會太辣😋食完一件又想再食多件✨薯條同薯格簡直係冇得輸✌🏻DIY飯團依個DIY飯團真係小朋友大愛之選❤️蟹子可分開另上，店內亦貼心附上手套。小朋友自己用手手搓成波波球😊又有得玩，又有得食🤭大人就可以專心傾偈炭豚飯卷超級足料，而且包得好好👍🏻唔會散開哂，豚肉烤得非常香🤤酸蘿蔔唔會太酸太甜，食完依碟仲想再叫多碟牛卷試下🤗蜜桃梳打蜜桃味正常唔算太甜，加埋梳打好爽呀🤩"
2023-11-08,5,4,4,4,5,"
約了大學同學食飯，為了方便大家，選了尖沙咀，記得好耐之前食過旺角分店，印象不錯，所以就揀呢間啦星期日生意不錯，坐無虛席，裝修都幾浪漫今次叫了串串魚糕鍋，芝士炒雞，泡菜餅，原本叫了牛肉飯卷，但因為漏單，唔等了🤣串串魚糕鍋都幾大鍋，份量都唔少，有gas爐煲住，幾啱冬天食，感覺食完會暖笠笠🥰芝士炒雞，好睇又好食，超多芝士，配料都多，有蛋，泡菜，紫菜飯，又係有gas爐，突然間覺得張枱好細😂，首先要加熱融化芝士，之後店員會過來將雞肉同芝士混在一起，份量都幾多，幾滿足泡菜餅都不錯，值得叫雖然我哋唔係食炸雞，但係啤酒唔少得，見到hoegaargen做特價，188for6，98for3，最後都係叫左9支，盡興而歸韓國菜來說，呢間都係唔錯既選擇👍
"
2023-10-20,5,5,5,5,4,"
