time,taste,environment,service,hygiene,indigestible,comments
2023-11-10,5,5,5,4,4,"
西班牙美食飲食文化～～Tapas～～西班牙🇪🇸無論大街小巷都有Tapas的蹤影⋯⋯在西班牙非常出名⋯⋯而且係西班牙嘅飲食文化的重要菜系⋯⋯西班牙會將Tapas放在餐廳嘅枱面，任由客人品嚐！呢種文化受大眾接納，而且食客非常享受！一邊品嚐特色的菜餚！一邊用眼睛去享受美食、美酒🍷⋯⋯CroquetasdePumpkinBlueCrabMeat炸西班牙南瓜蟹肉可樂餅餡料包括馬鈴薯、螃蟹肉、洋蔥、材料非常豐富，⋯⋯可樂餅外層炸得非常香脆...綿密口感！淋上少許茄汁點綴，帶出了鮮味！酥脆綿蜜，口感豐富！ChickenPopcorn爆谷雞粒配七味沙律醬醬雞粒外層炸得非常香脆，內裏保留肉！份量一啲都唔似Tapas⋯⋯份量十足！配以自家製的七味沙律醬😋味道立刻提升⋯⋯FrenchFries炸薯條，松露蛋黃醬薯條粗條形⋯⋯份量十足，而且外層非常香脆⋯⋯頂層灑滿芝士碎⋯⋯😋配以松露蛋黃醬⋯⋯Yummy⋯⋯來一杯冰凍嘅啤酒解膩😎😎⋯⋯餐廳氣氛一流⋯⋯服務又好⋯⋯門口仲有個corner位好有feel😎
"
2023-11-10,5,5,4,5,4,"
西班牙菜最大嘅特色就係融🈴！引進咗亞洲、美洲等等的殖民地😋各色嘅香料⋯⋯這間西班牙餐廳融入了亞洲元素的fusiontapas！Tapas及飲品為西班牙菜一個重要元素⋯⋯飲食嘅文化！
餐廳西班牙🇪🇸情調甚濃⋯⋯而且食物都非常正宗！每樣細細碟，可以試好多款！🥰而且服務質素仲好好添☺️店員不停幫我們添水！Gambas
西班牙色的蒜蓉蝦⋯⋯大蝦帶有蒜蓉香氣，又有大蝦鮮，但係又有非常濃烈嘅蒜蓉香氣⋯⋯換上大量嘅海鮮汁！非常鮮味！湯汁鮮味無比！我哋仲飲晒添！😋Tortilla
其實蛋餅有兩款⋯⋯一款就係全素菜另一款西班牙的軟臘肉腸😋我哋當然選擇有呢個😋⋯⋯蛋餅非常豐富，而且仲有大量嘅芝士！有洋蔥同薯仔配搭大量嘅肉腸！超好味🤤⋯⋯份量好大，而且味道濃郁！配紅酒飲就最好不過啦！🥰Housewine
西班牙紅酒入口充滿果香！酸度低！單寧也較厚重⋯⋯🥰
"
2023-10-20,5,5,4,5,5,"
去完西班牙旅行，都好掛住西班牙的美食，但想搵正宗西班牙菜都不容易，今次跟朋友在炮台山試到了正宗西班牙菜，還有比西班牙更好吃的燒乳豬，一定要與朋友再次到訪。炸西班牙火腿可樂餅🌟CroquetasdeJamon表面炸到金黃香脆，內餡充滿奶油味的可樂餅，加了西班牙火腿嘅鹹香味啱啱好。
椰菜花西班牙蛋餅🌟CauliflowerTortilla用椰菜花、薯仔、蛋煎成的蛋餅，加了沙律醬和茄汁調味，每一口都充滿口感，是健康素食之選。西班牙燒乳豬,青蘋果茸,燒新薯🌟ROJOSucklingPigwithApplePuree,NewPotato雖然要等半個鐘，但都好值得試嘅燒乳豬！豬皮燒到好脆，仲脆過酒樓的中式乳豬，醃完嘅咸味好恰到好處，不用再沾醬調味，油脂同肉的比例適中，再吃一口青蘋果茸還可以化解油膩感。西班牙肉桂油條,朱古力醬,雪糕🌟ChurroswithChocolateDip,Ice-Cream這間餐廳的西班牙油條很正宗，不是一般加糖霜在表面，而是加配了一碟黑朱古力醬，每沾一口都有濃濃的朱古力香，不會太甜，甜品愛好者一定要叫！
"
2023-07-28,5,5,5,5,5,"
最近工作繁忙，為了追趕今個月尾報數的工作，已經很久沒有約朋友吃飯了。有見今天過了一個小Deadline，特別約好朋友來一個HappyFriday，及時行樂。ROJO位於砲台山木星街，從天后地鐵站出口出發不用五分鐘便到，地點十分方便，適合中環灣仔朋友放工嚟嘆一嘆。 
Tapas是西班牙飲食文化的重要一環，我們一行2人叫了FusionTapas和主菜互相分享。 
番茄銀魚柳多士(⭐⭐⭐⭐💢) 多士輕輕烤熱過，吃起來脆口，配上甜甜酸酸的蕃茄肉和點點鹹香的銀魚仔，作為前菜一流。
