time,taste,environment,service,hygiene,indigestible,comments
2023-11-05,5,5,5,5,5,"
記得訂咗枱先好嚟呀！咪就無位坐嫁啦！銅鑼灣呢間隱世高質西班牙餐廳，餐廳內嘅燈光柔和得嚟又帶啲昏暗，浪漫有格調嘅感覺先嚟就係餐前包，係蕃茄香草包，口感香脆。再嚟就係炸到外層鬆脆嘅[炸黑松露芝士薯球$88]口感綿密嘅薯球，搭配黑松露香氣同濃郁嘅芝士，好特別嘅小食另外仲叫咗獨特口感風味嘅[炭燒秘製羊肉頸串$148]食落唔會有羊羶味，味道濃郁，口感柔軟，唧埋檸檬汁令味道更佳西班牙蛋餅好好食[傳統西班牙蛋餅配風乾火腿$78]內餡有洋葱、馬鈴薯，厚厚嘅蛋餅，食落口感鬆軟又足料，配埋帶鹹香味嘅風乾火腿真係好大盤，熱辣辣香噴噴嘅[黑毛豬西班牙飯$228]2個人食差啲食唔哂，每一口都食到檸檬香味，黑毛豬份量多，口感鮮嫩，記得要撈勻啲配料一齊食，配合底部微微焦香嘅飯焦，口感更佳甜品就揀咗[朱古力心太軟$88]冰冰凍凍嘅雲呢拿雪糕配上流心嘅朱古力心太軟，朱古力味香濃，中間配埋水果雜莓[傳統西班牙焦糖布丁$88]濃濃嘅蛋香中散發著牛奶香醇，味道甜甜，口感細膩柔滑，焦糖嘅獨特甜蜜氣息叫咗兩款熱茶系列嘅飲品[EarlGreyTea$38]及[GingerandLemongrassTea$38]
"
2023-10-22,4,4,4,4,4,"
成日上網都見到人哋介紹呢間西班牙餐廳今日約埋閨蜜黎試吓星期三夜晚七點已經坐滿8成，8點已經fullhouse，建議預先book枱
餐廳燈光柔和，好有情調，員工都好Nice，介紹左好多Todayspecial同signaturedish
首先送上餐前麵包烤得香脆嘅多士，配橄欖油及黑醋小黑板有列出當日特別菜式，
我哋order咗蜆肉，蜆肉鮮甜肥美，配上酸甜帶少辣嘅醬汁，好開胃，呢個醬汁沾麵包都好好味
傳統西班牙烤乳豬，配蘋果蓉醬，車厘子醬，酸酸甜甜，減低油膩感呢個烤乳豬皮薄香脆，肉質非常嫩滑，夾雜少少油脂，口感層次豐富味噌蟹膏西班牙飯呢個非常推薦，好啱我口味
將西班牙兩飯釀入蟹蓋，上面鋪上滿滿嘅味噌蟹膏同魚子，呢個配搭好特別，鮮味特出HappyHour仲有優惠，Allhousewhitewine/redwine/Prosecco$180perbottle咁抵飲，我地都叫咗一枝🍾🥂西班牙油條，充滿玉桂香味非常鬆脆，配搭砂糖及朱古力醬好好味
"
2023-09-22,4,5,4,4,4,"
Saborsa雖然係銅鑼灣樓上舖，但今晚係星期二也fullhouse，所以建議最好預早訂定枱，餐廳柔和又帶點昏暗的燈光，令餐廳充滿浪漫之氣氛！💕💕
MainsRoastedSucklingPig“SegoviaStyle”BrandyApplePurée,SherryPorkSauce(傳統西班牙烤乳豬配慢煮蘋果蓉、些利酒烤豬汁)($238) -乳豬皮薄又脆，肉就腍但不乾身，蘸上酸甜的蘋果蓉一齊食，有助減去油膩。
SpecialCrabYolk(味噌蟹膏西班牙飯)($228) -非常之有特色，蟹膏補滿整個蟹蓋，上面仲放了三文魚子，提議將蟹膏、三文魚子同飯攪云一齊食，提升味道之餘又口感豐富！值得推薦！👍👍
HandCraftPasta/PaellaFourCheeseLunettewSpicyTomatoSauce(四重芝士意大利雲吞配辣味蕃茄醬)($168) -雲吞被辣汁蕃茄醬掩蓋曬，雲吞饀料係軟心芝士，雲吞加埋咁rich的醬汁，非常邪惡的一道菜式！👻👻DessertsSaborsaTiramisu(提拉米蘇)($88) -單是外貌已經很加分了，口感細膩飽滿，咖啡味香濃，酒味也較重，愛酒人士必試！
"
2023-08-31,5,5,5,5,5,"
很喜歡吃西班牙菜，網上看到這間西班牙餐廳的評價不錯，我又蠢蠢欲動，今天暑假最後一天，就帶囡囡去試試這間西班牙餐廳。餐廳在三樓，電梯門一打開，「Sabrosa」搶眼地映入眼簾。餐廳裝修很雅致，在昏黃的燈光下給人一種很悠閒寫意的感覺。每枱都有兩盞枱燈，營造出relax、優雅的氣氛。店員送上餐包，普通的西班牙麵包沾上黑醋汁，已經非常好味。店員還介紹了是日海鮮Special，我們選了蟹膏蟹蓋飯。蟹蓋內釀滿了飯粒，飯粒上有濃郁的蟹膏，賣相十分吸引。蟹膏濃厚的味道裹着飯粒，口感豐富，令我們吃個不停。前菜是羽衣甘藍沙律。沙律內有羽衣甘藍、黑毛豬火腿、水牛芝士、桃和蕃茄，配以紅酒油醋。羽衣甘藍非常脆爽，黑毛豬火腿和水牛芝士的甜咸香味中和了羽衣甘藍微苦的風味，配著紅酒油醋，甜甜酸酸的，呈現出平衡的口感和豐富的口味，非常開胃。我們還點了細份西班牙烤乳豬。乳豬肉質細嫩，醃製的香料和調味料很入味。乳豬的外皮酥脆，配搭著兩款醬汁：蘋果蓉和些利酒烤豬汁，沾上醬汁吃，中和了不少油膩感，實在太好味了！最後是四重芝士意大利雲吞配辣味蕃茄醬。四種不同的芝士填充著粒粒意大利雲吞，上面搭配著辣味蕃茄醬，十分惹味。四重芝士很香，搭配著辣味蕃茄醬的酸辣香氣，我們兩個芝士怪，當然又把它吃光了。總括而言，這次「西班牙美食之旅」令兩母女捧住個肚離開。妹妹成功入坑，也愛上了西班牙菜。"
2023-08-31,5,4,4,4,5,"
出地鐵後在渣甸街入，餐廳環境昏暗，好有氣氛。有餐前麵包，焗到脆脆地，點橄欖油食。傳統西班牙烤乳豬|$238想不到乳豬肉可以咁腍，腍到可以撕開，乳豬皮薄脆，皮下沒有一層肥膏，配慢煮蘋果蓉醬、Sherryporksauce，同酸甜的蘋果蓉好夾。
西班牙色炸薯仔蛋配黑毛豬火腿|$148黑毛豬下面有炸薯仔同蛋，薯仔夠蓉，蛋半熟，撈埋一齊食幾正，另一邊有粟米粒、藜麥、火箭菜組成的沙律，感覺好健康。CrabYolk|$228蟹殼上有蟹膏、蟹籽，幾吸引，一客兩件，要把蟹殼內的飯同蟹膏撈勻食，鹹味適中。
提拉米蘇|$88幾大杯tiramisu，用酥餅砌了個心型般，底下的蛋糕浸了咖啡，有少少濕而且好濃味。服務好，侍應不停主動加水。
"
2023-11-12,5,5,5,5,4,"
西班牙菜喺香港唔算好多，亦都唔少，但做得好味嘅就一定唔多，今日就嚟試下呢間喺銅鑼灣嘅SABROSA.食西班牙菜其中一款重點嘅小食就係青椒仔，呢間鋪都算做得唔錯，用少少鹽加埋橄欖油，烤香青椒表面而裡面亦保持水份。另一款我最愛嘅小食就係辣味蒜油蝦，食到蝦嘅爽彈甜之外，蒜油嘅味親大大提升蝦嘅香味，配襯埋少少香辣更加惹味。除左呢啲基本小食，仲叫左佢嘅蕃茄醬自家制肉丸，蕃茄醬濃，肉丸唔會好易散，好味。仲有個炸多春魚，炸得香脆肉脆，配埋熱情果醬一流。食西班牙餐有時真係食多幾個TAPAS都飽😆主食方面，我地叫左傳統卡邦尼意粉同西班牙海鮮飯，全部都好好味，不過就掛住食冇影了🤣🤣🤣
"
2023-11-07,4,4,4,4,4,"
有D餐廳你食過覺得唔錯嘅，就會久唔久再去，”測試”一下佢嘅食物出品質素有無下跌，呢間係其中一間。
未開始點菜，侍應送上香脆多士作為歡迎小食，可加少少黑醋及橄欖油伴食。
食住睇餐牌，發現好似有D轉咗新菜式，咁就試下有邊款岩食先
只睇呢兩種食材配搭，感覺相當健康有益，講緊嘅係羽衣甘藍牛油果沙律($98)。上枱時先知仲有風乾火腿舖面，豐富咗份量及賣相。
