time,taste,environment,service,hygiene,indigestible,comments
2023-10-19,5,4,4,4,4,"
近排我哋去咗一間尖沙咀居酒屋專食串燒同埋飲清酒環境都唔錯唔知嘢食好唔好食呢😚👅荔枝豚肉卷$36呢個幾特別食落甜甜地荔枝味都幾出😆👅蔥豬腩肉$36豬腩肉燒得幾香🤤油脂豐富👅鳥腳根$48呢個部位第一次食口感同雞軟骨差唔多😝唔錯👅自家製免治雞肉軟骨$55女小編每次食串燒都一定會叫😍雞肉軟骨串軟腍得嚟又有少少咬口點埋蛋漿一齊食一流🤩👅雞皮紫蘇蝦卷$58蝦都幾彈牙食落紫蘇葉味幾出👅鵝肝$118鵝肝煎得幾香幾厚身😋咬落去入口即溶👅汁燒牛肋$68呢個醬汁好正牛肋都唔韌好食😍👅厚切牛脷芯$78呢個都好推介‼️牛脷真係幾厚切食落幾爽彈👅西京燒銀鱈魚$188食落都唔錯銀鱈魚食落冇骨質地軟滑唔會燒得好乾😙👅海膽松葉蟹蓋甲羅燒$138呢個蟹味濃郁再配落梳打餅一齊食好邪惡😛👅越之鶴清酒（720毫升）$888清酒飲落甘甘地唔會太甜🤓👅雞軟肉$36👅皮蛋芫荽豚肉卷$36👅芝士年糕$48👅冷稻庭烏冬$68👅牛丼$118總括嚟講呢間居酒屋嘅串燒都唔錯環境幾好啱晒一班朋友嚟食飯大家可以嚟一試呀🥰😋好味：8.27/10🤑價錢：7.68/10🤗服務：7.89/10😝環境：7.78/10😚衞生：7.85/10🤩整體：8.16/10"
2023-10-16,5,5,5,5,4,"
識我嘅人都知我嘅血係由酒造成😂😂一見到門口個酒字，衝入去實無死！🍶🎏🎌早前bookmark咗呢間型格現代居酒屋，餐廳主打高質日式串燒，裝潢型格有個性，以時尚嘅餐桌配搭具日本風味的木門及竹簾，帶出現代居酒屋及日本文化，亦為店內增添不少打卡元素，食飯＋打卡一流！🇯🇵🍶🍶酒： 侍應推介左我飲降雨大吟釀辛口之餘，唔會好甜，襯濃味嘅串燒啱啱好前菜：🦀蟹膏豆腐-蟹膏新鮮，豆腐夠滑🍣三文魚南蠻漬（secretmenu)-職員同我講係期間限定所以Menu冇嘅。呢個三文魚係用洋蔥汁熟成，喺出面好少見，洋蔥汁同三文魚嘅鮮甜好夾，如果大家見到一定要點，好特別！🥬胡麻菠菜蟹肉沙律-入邊加咗腐皮，為成個沙律增添左甜味，配搭好新鮮，值得一試！串燒：🐓雞心-最緊要係燒得唔硬，火候啱啱好！⭐️雞皮紫蘇蝦卷-雖然係食緊雞皮，但係配上紫蘇葉，即刻令雞皮嘅香提鮮，配埋蝦滑嘅嫩滑，一啲都唔膩，而且雞皮同蝦滑都好彈牙，組合十分新鮮，創意度方面我比滿分💯⭐️自家製免治雞肉軟骨-去居酒屋點可以唔叫免治雞肉串呢？免治雞肉串，除咗食雞肉串嘅餡料，最重要係蛋！呢度用嘅但都係要日本嚟，好新鮮之餘，蛋香超濃郁，同雞肉串夾埋好想嗌一碗飯！⭐️厚切牛脷-我去食串燒，基本上係必食牛脷，呢度嘅牛脷真係好厚，最勁係佢一啲都唔韌，而且好腍，十分推介大家去食！⭐️大漠燒羊皮-羊腩煲嘅羊皮就食得多，但係串燒嘅羊皮真係好少食，聽落好似好肥，但係羊皮加上七味粉，燒出嚟好香真係好難抗拒🥦蔬菜串燒拼盤（燒翠玉瓜、燒粟米、燒秋葵）燒粟米係必食，啲粟米好甜！燒海鮮🦪燒馬刀背（聖旨）-新鮮⭐️燒南非鮑魚-新鮮，食鮑魚，最緊要食佢煙靭度，呢度燒嘅南非鮑魚燒得好彈牙，一啲都唔韌，好想再叫多一隻！⭐️海膽松葉蟹蓋甲羅燒-香濃嘅海膽同埋蟹膏，經過燒烤之後，十分之濃郁新鮮，再配上海苔脆餅，軟林林嘅海膽蟹膏加上脆餅，口感有層次，脆餅令蟹膏，鹹味減低，整體感覺10分balance！甜品🍧有好多款新鮮水果雪芭可以選擇🍍老實講，我都有選擇困難症最後，喺椰子🥥、桃🍑同菠蘿🍍雪芭之中，我揀咗菠蘿雪芭🍍，鮮果雪芭真係好Refreshing，強烈建議大家食完咁多油膩嘅串燒，食返個雪芭解膩！聽講呢度平日係fullHouse，大家記得去之前要book位呀! 
"
2023-10-08,5,5,4,4,4,"
Foodrating:8.5/10⭐️——————————————————FOOD:-厚切牛脷芯$78厚厚嘅牛脷一啲都唔蘇，食落仲口感一流-自家制免治雞肉軟骨$55(🔥superrecommended)滿滿既雞軟骨棒點佢個秘製醬汁同雞蛋，好正～-紐西蘭羊架$78羊味夠得黎又冇蘇味，一咬落去仲好juicy-時令龍蝦$1XX(🔥superrecommended)龍蝦好有鮮味，口感彈牙，值得一試-三文魚燒飯團$42飯團表面燒到脆卜卜，入面仲有好多三文魚粒，口感豐富-雞軟骨$36(🔥recommended)岩岩炸起既雞軟骨，正～-荔枝豚肉卷$36(🔥recommended)燒得啱啱好嘅豚肉包住好甜嘅荔枝，咬落去又係勁多汁-翠肉瓜$28正常嘅翠玉瓜串，冇comment😆——————————————————#nicefoodnl油尖旺
"
2023-09-30,1,3,2,3,1,"
之前睇openrice見啲人寫到幾好,點知又中伏,裝修望落去感覺ok,服務態度就同今時今日嘅普通餐廳水平一樣唔好有太高期望,其實真係見慣不怪!Meun內串燒同其他食物款式好多,每款要叫兩串亦都不是問題但係最緊要好味同有味道,牛比較好啲，豬和雞完全冇味，全晚淨係食七味粉味道，價錢與食物水準不相符，當然咁樣寫完係唔會再去幫襯，好味串燒真係咁難呢我可以話這店係一間冇水準嘅串燒店,平平無奇唔好浪費quota!
"
2023-09-13,4,4,4,4,4,"
Thismodernyakitoribarspecialisesinskewerswithrarepartsofchickenthatarebestpairedwiththeircarefullyselectedsakes!🍶Pic1️⃣:𝗠𝗶𝗻𝗰𝗲𝗱𝗖𝗵𝗶𝗰𝗸𝗲𝗻𝘄𝗶𝘁𝗵𝗝𝗼𝗶𝗻𝘁𝗦𝗼𝗳𝘁𝗯𝗼𝗻𝗲/自家製免治雞肉軟骨-$55hkd🍳🐓—Prettygood!Themeatballwaswellmarinatedandhadagoodcrunchtoittoo.Could’vedonewithabitmoretaresauceformoreflavourthough!Pic2️⃣:𝗕𝗲𝗲𝗳𝗥𝗶𝗯𝘀/汁燒牛肋-$68hkd🐄—Superaromaticandgrilledtoperfection.Thebeefwastendertoo.Pic3️⃣:𝗕𝗲𝗲𝗳𝗧𝗼𝗻𝗴𝘂𝗲𝗖𝗲𝗻𝘁𝗿𝗲𝗖𝘂𝘁/厚切牛脷芯-$78hkd🐮—Sogood!Reallywellseasonedandthebeeftonguewastenderwithanicechewtoittoo.Pic4️⃣:𝗖𝗼𝗿𝗻/粟米-$28hkd🌽—Nicelygrilled,superbutteryanddelicioustoo!Pic5️⃣:𝗘𝗴𝗴𝗽𝗹𝗮𝗻𝘁/茄子-$28hkd🍆—Lovedthemisoteriyakiglazeonittogiveitthatsubtlesweetnessandnuttyaromatoitwhengrilled.Pic6️⃣:𝗖𝗵𝗶𝗰𝗸𝗲𝗻𝘄𝗶𝘁𝗵𝗟𝗼𝗻𝗴𝗢𝗻𝗶𝗼𝗻/蔥雞-$38hkd🐓—Chickenwastenderandjuicybutlackedseasoning.Thelongonionwasreallytastythough.Pic7️⃣:𝗣𝗿𝗮𝘄𝗻𝘄𝗿𝗮𝗽𝗽𝗲𝗱𝘄𝗶𝘁𝗵𝗖𝗵𝗶𝗰𝗸𝗲𝗻𝘀𝗸𝗶𝗻&𝗣𝗲𝗿𝗶𝗹𝗹𝗮/雞皮紫蘇蝦卷-$58hkd🦐—Auniquepickhereanddefinitelyrecommendtryingthisout!Thecombinationofthecrispychickenskinandfreshprawnwassotasty.Lovedthecrunchthishadandthefragrantflavourscomingfromtheperillatoo.Pic8️⃣:𝗖𝗵𝗶𝗰𝗸𝗲𝗻𝗕𝗿𝗼𝘁𝗵𝗨𝗱𝗼𝗻/自家製清雞湯熱稻庭烏冬-$78hkd🍲—Greatcarboptionifyou’relookingforsomethingtofillyouup.Thebrothisrich,flavourfulandhasaromatichintofgingertoit.Theudonwaswellcooked,leavingitniceandchewy.Pic9️⃣:𝗖𝗵𝗶𝗰𝗸𝗲𝗻𝗟𝗶𝘃𝗲𝗿,𝗝𝗮𝗽𝗮𝗻𝗲𝘀𝗲𝗜𝘇𝗮𝗸𝗮𝘆𝗮𝗖𝗵𝗲𝗲𝘀𝗲𝗠𝗼𝗰𝗵𝗶,𝗣𝗼𝗿𝗸𝗕𝗲𝗹𝗹𝘆𝘄𝗶𝘁𝗵𝗟𝗼𝗻𝗴𝗢𝗻𝗶𝗼𝗻&𝗚𝗿𝗶𝗹𝗹𝗲𝗱𝗥𝗶𝗰𝗲𝗕𝗮𝗹𝗹/雞肝，芝士年糕，蔥豬腩肉，燒飯團-$36,$48,$38&$38hkd🍙🐷🧀—Chickenliverwassuperflavourful.Lovedthecheesemochiasitwassochewyandcheesy,butthinkitcould’vedonewithabitmoretimeonthegrilltogiveitthatcrispyexterior.Theporkbellyhadtheperfectratiooffattinesstoitandagoodchewaswell.Thegrilledriceballwasdelicious,withanicesavouryandsmokyprofiletoit.Pic🔟:𝗪𝗮𝗿𝗮𝗯𝗶𝗠𝗼𝗰𝗵𝗶/蕨餅—Dessertonthehouseandagoodwaytoend.Thewarabimochiwaschewyandnotoverlysweet.
"
2023-08-30,4,4,4,4,4,"
❀SAKEH#尖沙咀❀❗️尖沙咀出色燒鳥店$118鵝肝大份至癲❗️——————————————————位於尖沙咀寶軒酒店地下及1樓，主打高質日式串燒🍢大部份食材都來自日本產地，魚類亦係每日空運到港，味道非常新鮮😆裝修充滿古代日式風情，有木門、竹簾、日式紙傘、燈籠等。
.✷𝑀𝑒𝓃𝓊✷☞雞皮$36☞雞心$36☞雞肝$36☞雞腎$72☞雞軟骨$36☞自家制免治雞肉軟骨$55☞雞頸肉$36☞燒雞軟尾$48燒雞當然係必食之選✨無論係罕見或是常見嘅部位均一應俱全。推薦爽口嘅雞腎、大大條肉質實在，混雜左香脆雞軟骨嘅免治雞肉串、以及非常香口油脂較重嘅燒雞軟尾🥰
