time,taste,environment,service,hygiene,indigestible,comments
2023-11-16,4,5,5,4,4,"
今日天氣涼爽，由將軍澳站行去澳南海岸的MontereyPlace特別舒服。之後在商場地下的SouelmateCafe韓國餐廳食飯。*餐廳裝修雅致，牆上有大型壁畫，座位寬闊，其中兩張大枱是韆鞦椅，深受小朋友歡迎。*見到餐牌上的「秋日期間限定」幾吸引，一於捉緊秋天尾巴叫了兩款韓式海鮮和甜品。*🏅ShakeShake香濃泡菜海鮮桶（$398）海鮮桶自己shake完之後自己倒到鍋中，自己動手份外滋味。海鮮新鮮，種類豐富，有大蝦、扇貝、青口、魷魚和螺，配料有年糕、韓國魚片、薯仔、粟米和西蘭花。最好味是泡菜醬汁，辣辣地，香濃鮮美。
Shake shake 香濃泡菜海鮮筒$398🏅芝士泡菜焗生蠔（$128）生蠔新鮮，加入了爽脆泡菜和拉絲芝士後，口感豐富，很惹味。
芝士泡菜焗生蠔$128🏅黑芝麻麻糬窩夫配豆腐雪糕（$88）窩夫的外層烤得很脆，中間的麻糬較少不大特出，配甜糯的蜜紅豆和豆漿味的豆腐雪糕，不會太甜，很美味。整個造型像隻珍珠蚌，有心思。
黑芝麻麻糬窩夫配豆腐雪糕$88🏅洛神花冰極熊西柚白桃梳打（$48）🏅藍蝶花冰極熊柑桔梳打（$48）兩杯飲品都是打卡之選，顏色美麗，冰極熊可愛。味道方面更是驚喜，清爽夠味，好好飲。
$48"
2023-11-14,5,5,5,5,4,"
介紹返💁🏻‍♀️。。🇰🇷韓式Cafe在將軍澳🇰🇷。Seoulmate。MONTEREYPlace地下G25B-G26A號舖。SeoulBIG芝士雪花蜂蜜炸雞髀拼柚子炸雞跟蕃薯條。年糕SeoulBIGSnowyCheese&HoneyFriedChickenThigh。YuzaChicken。SweetPotato&RiceCake。HKD188+10%泡菜煙三文魚他他配酥炸脆球SmokedSalmon&KimchiTartareinCrispyBalls。HKD88+10%藍蝶花冰極熊柑桔梳打ButterflyPeaIcyBearonCitrusSoda。HKD48+10%芒果香橙梳打Mango&OrangeSoda。HKD46+10%黑芝麻麻糬窩夫配豆腐雪糕BlackSesameMochiWafflewithTofuIce-cream。HKD88+10%🤫唔知大家Foodie朋友仔有冇好似我咁遇到以下嘅情況呢🤔就係自從我身邊嘅朋友同事知道我對飲食好有興趣兼且仲開咗呢個Account同大家開心Share自己嘅美食日記之後..突然之間四方八面嘅親戚朋友都好有興趣同你介紹佢近排食咗啲咩好嘢..然後叫你快啲去食吓再出Post咁樣🤭🤫今日想介紹嘅呢一間Seoulmate都已經喺將軍澳海濱嗰啲高級住宅度屹立咗好幾年㗎啦..但係一路都冇話提起勁想入去試吓..直至到尋日有位同係住喺將軍澳嘅朋友仔放假..話想約我LunchTime出嚟聚一聚兼且帶我去試間佢覺得幾好食好值得推介嘅餐廳俾我出Post咁話喎😏～原來係講緊呢一間😊🤫Seoulmate以淺木色配米色作非常之休閒嘅設計..座位都闊落舒適..近落地玻璃窗嗰邊仲有兩張大枱係有木嘅吊椅..然後場邊嘅壁畫顏色艷麗..真係打卡一流🤫嘢食方面..我哋兩個人叫咗佢哋啱啱新出秋日限定嘅勁大炸雞髀拼柚子炸雞..隻炸雞髀真係大得好交關😲同我塊面差唔多大..而且炸得非常之香脆..食落口索索聲..但係入邊嘅雞肉Keep住Juicy..旁邊嘅柚子汁炸雞塊亦都相當嫩滑可口..最緊要係柚子汁酸甜剛剛好..It’sSoYummy😋差啲唔記得跟雞仲有炸咗嘅韓式年糕同埋番薯條..炸香咗嘅韓式年糕煙煙韌韌好有咬口..然後番薯條都唔會話炸得太過油膩..成件事熱氣得嚟又忍唔住一嚿一嚿放入口🤪🤫由於雞髀份量真係幾多..我哋又好想嗌個甜品食吓..所以除咗雞髀之外就叫咗個Appetiser..呢個係我人生第一次唔抗拒食Kimchi嘅小食～佢就係泡菜煙三文魚他他炸波波..配呢個炸波波..碟嘅中間有一碟白色嘅醬汁..雖然我唔知佢係乜嘢..但係食落有啲似淡口嘅SourCream..混埋落去Kimchi煙三文魚他他嗰度完全可以中和咗泡菜嗰種辣味..再加上煙三文魚香濃嘅味道..呢個配搭非常出色..味道多層次連口感都多層次..呢個前菜有啲令我諗起尼泊爾小食PaniPuri..即刻成件事Fusion晒高級晒咁樣🤭🤫然後講明係打卡Cafe就梗係要叫返啲相當打卡嘅飲品試吓啦..我就叫咗超得意勁可愛嘅IcyBearonCitrusSoda..隻冰熊仔真係好過癮㗎..仲要係紫色咁靚..講真心..佢真熊靚過上鏡🧸..我仲以為呢隻冰嘅熊仔只會喺打邊爐嘅時候出現嘅添..估唔到而家應用落飲品嗰度都一樣咁正..當然嗰種紫色係冇乜味道嘅蝶豆花所製造而成..然後成杯嘢飲嘅味道就係柑橘梳打啦..柑橘梳打酸甜調配得非常之好..配埋熱氣嘅炸雞簡直係解渴又提神..呢個非常推介女士們試一試佢..至於朋友仔就揀咗外表平實啲嘅芒果香橙梳打..佢話芒果味好出色..甜甜地亦都非常之清爽🤫最後嘅重點..就係將我哋餵到超級飽嘅秋日系列黑芝麻麻糬窩夫..呢個甜品有驚喜喎😍芝麻味真係好香好出色..麻糬窩夫烤焗嘅時間非常到位..脆邊但係內裏鬆軟煙靭..配埋好濃郁豆腐味嘅豆腐雪同埋旁邊大量嘅紅豆真係一流嘅配搭🤫最後都要讚吓Seoulmate呢邊嘅服務都幾唔錯..安排入座速度都好快..然後亦都係寵物友善嘅餐廳..見佢咁近我屋企..等我Mark低佢做常幫襯餐廳先☺️。。翻兜指數：🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️（5個🙆🏻‍♀️為翻兜爆燈）。。
"
2023-10-02,5,5,5,5,5,"煙霧瀰漫烏卒卒火山章魚蟹肉明太子炒飯
