time,taste,environment,service,hygiene,indigestible,comments
2023-11-04,3,4,4,4,4,"
餐廳有大幅宣海報又有座地宣傳版宣傳10元一隻法國生蠔，又幾抵，午市套餐又有八折優惠，一於入去食個晏歎生蠔。雖然生蠔平，不過都係叫左半打試過先，好食先再要。生蠔外型有大有細，望落去都似樣，至少有肉食。蠔味偏淡，加點海鮮醬同吃才有點味道，感覺係新鮮。最後試過覺得普普通通，過口癮算了，所以沒有再要。明白一分錢一分貨，質量可以，10蚊真係抵食。兩個人每人叫份午餐是日餐湯係忌廉蘑菇湯，湯底稠密，蘑菇香味濃郁，口感綿滑。餐包暖暖地都好味。是日沙律係雞胸什菜沙律，沙律菜好爽，醬汁酸酸甜甜，食落幾開胃，雞胸有兩片，唔係好鞋。燒美國10oz平鐵牛扒配薯菜，牛扒有兩件，易切易食冇筋，切開後睇到肉色粉粉的，賣相唔錯，但入口感到冇味道，肉味不足，醬汁都係淡口，問待應要碟芥辣，點左先覺夠味。薯仔，南瓜也煮得唔夠淋，口感偏硬，牛油粟米就軟硬適中。藍青口配辣蕃茄汁意大利粉，藍青口的肉軟軟綿綿又幾好食，意大利粉就偏硬身，醬汁濃郁有蕃茄味唔係好辣，不過味道偏鹹。兩個主食一個淡一個鹹，我哋覺得唔係太好食。結尾飲杯咖啡，味道都係一般般，唯一可讚杯牛奶係暖嘅，加落咖啡都唔會令咖啡變凍。
生蠔生蠔忌廉蘑菇湯雞胸什菜沙律燒美國10oz平鐵牛扒配薯菜$178燒美國10oz平鐵牛扒藍青口配辣蕃茄汁意大利粉$118藍青口熱咖啡"
2023-11-15,5,5,4,4,4,"
餐廳設計寬敞有格調，坐得舒服，空間夠寧靜野食整體確係唔錯👍🏻性價比高，燒雞嫩滑，個龍蝦🦞煎得好香另外，多謝店員嘅小驚喜🎁送上一幅珍貴嘅即影即有媽媽表示很喜歡❤️"
2023-11-01,4,3,3,3,4,"
朋友知道小妹我鍾情生蠔🦪🦪🦪，於是推介荃灣有間西餐廳，佢地嘅生蠔最近做緊優惠，而且質素唔差，小妹我當然要去試試看😚😚😚Today'sSpecial~FrenchOysters$10/each🌟🌟🌟法國生蠔，口感爽口清新，海水味濃，非常新鮮，加上優惠價每隻$10，cp值超高💯💯💯炸燒烤汁雞翼配藍芝士汁(6隻)$78雞翼炸到金黃色，皮脆內嫩，惹味炸日本甜蕃薯條$62日本蕃薯條帶甜味，薯條粗身，香脆可口蟹肉蛋黃忌廉汁大通粉$188蟹肉絲，濃郁蛋黃忌廉汁，配上大通粉，creamy，有口感餐廳用膳環境舒適，服務員友善有禮，食物質素高、味道好，價錢親民，性價比高FrenchOysters炸燒烤汁雞翼配藍芝士汁炸日本甜蕃薯條蟹肉蛋黃忌廉汁大通粉"
2023-10-26,4,5,4,,,"
荃灣各商場有許多大型西餐廳，我今次選這間地點很旺，內有裝修佈置，感到有質素。食物方面，蟹肉大通粉味道鮮甜，可試試。雞翼用特別胡椒炸焗的，好好味！法國生蠔味道很好，也是好的starter。Waiters都好好禮貌也及時換上新碟。下次去荃灣，幫襯會吃多牛扒的。今次味道好啱我呢！"
2023-10-16,2,4,4,4,2,"
平日的午市十二點半，餐廳食客少。叫了兩個主菜，再加半打生蠔。上菜速度都快，前菜同生蠔都未食完，主菜也來了。二人給了四人座位，寬敞而整枱面都是食物也可以慢慢食。湯，仍是令人滿意，色澤吸引，香味濃郁。沙律，仍然新鮮。生蠔，只是$10一隻，每人限最多叫半打。我哋先叫半打來看。今次洗得淨，沒有蠔殼，不是肥美類型。感覺算新鮮，有海水味，但欠鮮甜。主菜漢堡飽薯條，薯條炸得剛好，薯味飽滿。漢堡飽料都不錯，但水/汁份多🤔，食到一半，底的飽都濕得變淋了。另一主菜軟殼蟹意粉，意大利粉質地剛好，我喜歡硬一點的。所以媽媽嫌不夠軟。軟殼蟹不會炸得過硬，份量足。唯多吃兩口，就覺得調味鹹了。最後喝返杯咖啡，賣相吸引，味道一般，沒有咖啡的香氣。
"
2023-10-09,3,4,3,4,3,"
今次有點失望，平時吃午餐都很滿意。豈料晚餐比午餐貴，質數還要差些，而區內西餐都薄有名氣。主菜烤羊鵝肝份量小，肉質一般，如果不是同友人慶祝生日一定不會去叫羊，通常主菜跟多一個食物（鵝肝）都心知不妙，兩樣都強差人意。鵝肝沒煎香，很瘦；羊不夠嫩滑。另外，下單時職員話食物不會一次過上齊，結果意粉跟羊一起上桌而因為要食羊先，意粉蛋黃汁變得杰身而變得不好吃，食時都凍了，根本沒有下一round,知道食物是share好應該先後才上菜吧。
"
2023-09-24,5,5,5,,,"
準時入座。上餐都算十分快服務一流食完一道都會即時收碟及換碟。每人限六隻的十元生蠔十分抵食。意粉及其他沙律躉前菜份量十足。甜品的心太軟，恰到好處溫度。飲品種類選擇繁多
"
2023-09-21,5,4,4,4,3,"
theoystersdidn'ttastequiteliketheotherfrenchonesIusuallyhave,butthemealoverallwasbetterthanexpected,chickensaladwasarealsurprisewithtenderchickenbreastandappetizingdressing,theapplecubesgarnishwasdefinitelyaplus,themashedpotatoassidetotheporkwaspleasinglysmoothwhichmadeusemptytheplate
"
2023-09-21,1,1,1,,,"
這餐廳真的還想經營下去的嗎？1.點了二人晚餐主菜豬肋骨和牛扒，豬肋骨用刀切不開，又乾又柴，只有甜醬味；牛扒，落單7成熟，上到枱變了全熟。於是向侍應反映意見，沒有回應，只點點頭便草草了事。2.經openrice訂位時見到晚餐有8折，買單時waitress說個餐已是折實價，所以沒有額外折扣，我無語了。
"
2023-09-18,4,5,5,5,4,"
第一印象係生蠔好抵食，間唔中會有做緊10蚊一隻既優惠雖然我冇叫過，但每次黎都見到其他枱多數會叫羊膝不得了，煮到入口化開，用叉輕輕一括就離骨，唔會好大羊臊味，醬汁都香濃，鋪底既薏米都好好食，連我本身唔食薏米都想食多兩啖意大利飯都好食，不過個人覺得如果米可以再生返少少同米既比例高啲就好，配料可以少啲。蝦都新鮮爽口菜單定期會換，希望之後會再有羊膝"
2023-09-08,5,5,5,5,4,"
好嘅飯腳最緊要係咩？係夾呀！你身邊可能會有好朋友又話減肥又話戒口唔會陪你食刺身生蠔，但我身邊總有幾個口味啱Key嘅好朋友！今次我哋揀咗荃灣SolHouseOysterBarandRestaurant唔使問一坐低即叫：「兩打生蠔吖唔該！」用餐嘅日子係7月尾，可能未係生蠔肥美嘅季節啦，生蠔肉唔算好大，但勝在夠新鮮，食多幾隻都可以滿足我呢個生蠔控嘅胃口！烤法國羊髀柳香煎鵝肝：羊髀煎得啱啱好，肉質嫩滑，鵝肝煎到有少少脆，外脆內軟，油分又保留到，連平時唔太好鵝肝嘅我都好欣賞！其他菜式正常發揮！值得一讚嘅，係佢哋嘅服務！店員好主動過嚟斟水，同換碟！今時今日咁嘅服務態度，我非常欣賞！推介比身邊嘅朋友！生蠔迷你松葉蟹餅漢堡（2件）$128蟹肉蛋黃忌廉汁大通粉$178烤法國羊髀柳配鄉煎鵝肝，蒜蓉醬，烤美國幼蘆筍，牛仔汁$328墨西哥烤半熟吞拿魚扒凱撒沙律$138"
2023-08-25,1,3,2,5,,"
第一次有衝動寫食評，因為真係差到好嬲！週年紀念揀咗呢間餐廳，食完之後超後悔。首先講講個環境，整體都尚算可以，唔算迫，燈光同裝修都唔錯。不過服務就差咗啲，不過都係接受範圍內，睇得出啲侍應好Green，答嘢講嘢都好細聲，問佢嘢都答得好唔Firm。講講叫咗咩食先。我哋嗌咗12隻$10生蠔。生蠔以呢個價錢嚟講算唔錯，雖然細隻，但都算新鮮，性價俾都高，應該係全餐最高質嘅嘢。然後叫咗個SetDinner，湯同沙律正常發揮，前菜有兩樣，煙三文魚同蜆。煙三文魚都還好，個蜆真係搞唔掂，因為已經上咗菜一段時間，個樣都麻麻地，所以無影相。估唔到食落居然有沙，食大排檔都無呢個情況出現！同埋腥到癲，又凍晒。唔知係咪佢一下就上晒啲菜嘅關係，我連個湯都未飲完，佢已經上晒兩碟前菜。仲要有隻蜆係未開晒，食落感覺仲生生地，搞唔掂。然後就到個Main，叫咗個魚嘅意大利飯同羊架。嘩！個意大利飯都係凍嘅，啲芝士粉一舊舊咁喺啲飯入面，仲有舊魚，不得了難食到，又鞋又咸，仲好腥，煎到過晒火。個飯真係食唔落，食咗一半都無放棄咗。然後到個羊，係幾淋嘅不過完全無味，連啲蘆筍都有渣，成個體驗真係差過食快餐店。
最後係最火滾嘅甜品，我心情已經差到一個唔想再影相嘅地步！我哋加咗$40要個心太軟，同埋$40一個梨嘅芝士蛋糕。個心太軟一睇就知係叫貨嘢，完全無流心，仲要唔熱，周邊啲生果極酸。面田個芝士蛋糕好奇怪，一啲都食唔到芝士味，唔識形容，陣味就好似食緊Twinkie咁，我真係唔識欣賞。埋單成為$11XX。總之整體感覺，就係快餐店質素，快餐店服務！唔會再有下次！
"
2023-08-17,5,5,5,,,"
setlunch有8折，推薦高質牛肉的牛扒餐，三文魚煎得嫩滑搭配波菜薯蓉又好好味。少少唔滿意係我地叫咗一打$10特價生蠔，其中有2隻係唔新鮮既。打bowtie的waiter非常有禮貌，勤力主動地幫我地加水和換碟"
2023-07-23,5,5,5,5,5,"
