time,taste,environment,service,hygiene,indigestible,comments
2023-10-30,5,5,4,4,4,"
平時媽咪煮飯買餸餐餐諗食咩，都諗到頭痛😵‍💫今晚一於約媽咪出去行街shopping食飯鬆一鬆😆九龍灣淘大開咗好多新店，一於去朝聖下，行到肚餓，經過一間西餐叫SuperNormal，佢promote緊德國咸豬手，我同媽咪急不及待咁飛入去😄
環境舒適寧靜，大約有20張枱左右，裝修精緻，有個bar枱區，我地選擇小角落坐低
Menu以西餐為主，有二人餐同其他主食，媽咪話想食豬手，所以毫無懸念就選單點白酒煮法國藍青口配蒜蓉包$118
白酒煮法國藍青口配蒜蓉包|$118藍青口係myfavorite之一，睇到即點，個醬真心好味，夠香濃又唔太咸，占滿醬汁嘅蒜蓉包係👍，青口數量多又入味
照燒日本鰻魚扁意粉$152
照燒日本鰻魚扁意粉|$152條日本鰻魚真係有成隻碟咁長😮照燒汁入哂鰻魚肉到，令意粉好好味
柚子脆皮豬手$178
柚子脆皮豬手|$178本身有泰式秘制汁同柚子汁兩種選擇，但媽咪唔食辣😂所以點咗柚子味，一上菜已經好吸引，熱辣辣脆卜卜，睇到都流哂口水，另外配左個蜜糖芥末醬，好好味呀～雖然食到好飽，但都清哂碟2個人食到飽碌碌，覺得性價比高，可以下次再嚟
"
2023-09-22,5,5,5,5,5,"
