time,taste,environment,service,hygiene,indigestible,comments
2023-08-27,4,4,4,4,4,"
今日同朋友黎到位於尖沙咀嘅哩間餐廳。餐廳裝修簡約舒適，提供二人及四人座位，而且係沙發凳。座位上會提供圍裙及手套，亦有提供兜仔俾我地放海鮮殼。餐牌～🌊SignatureCombo自選海鮮拼盤$418（可選三種海鮮）海鮮拼盤可以自選三種、五種或八種海鮮，分別三個唔同既價錢，我地就揀左三種個款。🐚🐚🦐餐牌上有十多款海鮮可以選擇，我地揀左扇貝、翡翠螺同海蝦。而醬汁揀左卡薑蒜蓉汁，仲可以自己選擇辣度～店員會係我地面前幫我地shake個海鮮袋，袋入面除左三款海鮮之外，仲有腸仔、粟米同薯仔。醬汁惹味，配埋海鮮一齊食好夾，翡翠螺彈牙爽口；海蝦數量好多，亦夠新鮮；扇貝大大粒～最推薦翡翠螺👍🏻🍝香煎刺身級帶子扁意粉$198刺身級帶子真係唔講得少，大粒鮮甜，相當好食，而意粉用上青醬，旁邊仲圍上蕃茄仔～🍍🍹NanaFlowMocktail$78入面加上菠蘿汁、椰奶同香蕉，味道清新。🍓🍹StrawberryFlowMocktail$78入面加上香蕉、椰奶、士多啤梨、椰奶同菠蘿汁，味道香甜。"
2023-08-26,5,4,4,5,4,"Dinner
今天是seafoodvibes!要和男朋友仔來食這間人氣shakeshake海鮮西餐廳「TheCaptain’sHouse」。
CaptainHouse在尖沙咀厚福街即是最多餐廳聚集的食街，離地鐵站幾分鐘距離，好方便呢！行街睇戲後都好方便。
ↀ1.SignatureComboA餐廳Signature的shakeshake海鮮袋，今次先試setA可選3款海鮮。選了八爪魚仔，小墨魚仔，海蝦。配上必叫招牌CajunGarlicSauce(medium🌶️)。店員先呈上打卡海鮮袋，在面前shakeshakeshake，要把醬汁完完全全mix出來。好有風味的CajunGarlicSauce，香香辣辣的，愛辣之人必試！海鮮新鮮，加醬後好惹味而和原有海鮮味好夾。海鮮袋內更有些配菜包括原粒小薯仔、香腸、栗米，加醬後都好入味，海鮮啖啖肉而且加配菜簡直滋味無窮！
