time,taste,environment,service,hygiene,indigestible,comments
2023-07-05,4,4,5,5,5,"
MadPink牛一，舞友們為滿足其愛拍照嘅喜好，上網專登揀咗間打卡聖地「ULURU」開P慶生。
入夜後，西餐廳隱蔽於橫行嘅門口非常光猛，不易錯過。
通往一樓用餐大堂可步上梯級，或抵達時至電接線生話想搭𨋢，年輕嘅服務生都好樂意協助。
店子嘅黑白二次元主題非常獨特，梳妝台、書架、鏡框等裝飾均為平面圖，置身其中彷如進入咗童話世界入面。
室內面積寬廣，連走廊通道空間感都一樣咁足，洗手間好似通過機關門入返現實時空，都幾過癮。
生日派對被安排入座梳化靚位。
飲品餐牌共有兩頁，不過XO仔訂座前已探咗路，知悉餐廳不收分毫開瓶費，結果當然係自己帶酒啦！
嘻嘻，壽星女唔洗返工，兩口子一早就帶齊架生率先狂影兼𣈱飲一番！生日香檳！
晚市單點項目則有八頁。
最後兩頁為打卡熱選嘅靚靚甜品，其中兩款粉紅色同粉藍式嘅招牌二次元蛋糕必先預早訂定。有名你叫「MadPink」，即為粉紅而瘋狂喎，生日梗係要有粉紅色啦，做足功課嘅小肥一定唔會令佢失望嘅！
炸香脆粗直薯條配黑松露醬（$68）：歡樂時光先點咗客薯條送酒酒。薯條外脆內軟，點埋另上嘅黑松露醬即倍添芳香！
炸香脆粗直薯條配黑松露醬$68
煙三文魚露筍卷（$98）：三文魚卷一客只有三件，舞友們讚好新鮮，細佬自己唔係咁好煙燻味，所以只交由相機代食。
煙三文魚露筍卷$98酥皮焗田螺（$108）：看似為店長但不願透露身份嘅樂哥哥極力推介酥皮焗田螺，盛意拳拳一定要試啦！圓碌碌、熱辣辣嘅小食一口一件，皮層真如餸名般酥脆香口，入面嘅田螺肉軟潤彈牙，份量恰到好處，就連原本話唔食田螺嘅M王子試咗一件都話好食，咁即係掂啦，果然好介紹！
酥皮焗田螺$108阿根廷紅蝦刺身配蕃茄沙沙多士（$138）：一眾舞友緣自阿根廷探戈，因情意結關係而點黎捧捧場。金黃嘅多士底十分鬆化，蝦多士震撼地原隻大蝦連頭上，甜潤爽脆，一客兩大件其實可以四個人分享。
阿根廷紅蝦刺身配蕃茄沙沙多士$138柚子鮮蝦沙律（$78）：沙律嘅菜菜同已去殼嘅蝦仁都好爽，女仕們最欣賞混入嘅沙田柚肉好清新同個沙律汁係另上嘅，屬輕盈健美之選。
柚子鮮蝦沙律$78白酒忌廉牛油紐西蘭半殼青口配蒜蓉包（$118）：青口鮮甜香滑，一啲餲味都冇，真心覺得高質美味過某比利時連鎖店。
白酒忌廉牛油紐西蘭半殼青口配蒜蓉包$118羊扒大蝦配新薯紅酒燒汁（$238）：半生熟嘅羊肉好軟熟，開咗邊嘅大蝦明顯冇蝦多士嗰隻咁正，不過白雪雪嘅蝦肉都好爽身。
羊扒大蝦配新薯紅酒燒汁$238
香煎美國有骨豬鞍扒伴蘋果燒汁（$258）：厚厚嘅豬鞍尚算爽口，但個人覺得偏乾咗少少，肉汁未為最豐沛。
香煎美國有骨豬鞍扒伴蘋果燒汁$258
虎蝦海鮮冬陰功韓式年糕（$138）：虎蝦其實好爽彈，韓式年糕亦煙煙韌韌，不過敗筆在於調味過咸！受酒精影響下成枱人基本上係零怕醜，直接同樂哥哥反映意見，真係冇諗到佢不單意見接受，仲靜靜地加送靚靚嘅抹茶甜品，甜甜嘅心意成功擺平咗過咸嘅重口味，一眾女生都覺得誠意行動同其外表一樣低調得可愛！
虎蝦海鮮冬陰功韓式年糕$138富士芝櫻祭-丸久小山園抹茶Tiramisu（$118）：呈富士山形嘅抹茶味Tiramisu外表吸睛，頂面座鳥居菂薂尤甚，微甜嘅糕身軟綿且夠潤，抹茶味芳香怡神，混埋綑邊嘅朱古力泥直令口感更有層次！
富士芝櫻祭-丸久小山園抹茶Tiramisu$118粉紅色ULURU二次元立體夢幻蛋糕（$138）：招牌蛋糕嘅平面設計勁襯牆上嘅手繪壁畫，粉紅色玫瑰味厚層忌廉下嘅海綿蛋糕夾入甜甜嘅荔枝同紅莓，甜度剛剛好，感激師傅特意寫上祝福字句！
粉紅色ULURU二次元立體夢幻蛋糕$138粉紅色ULURU二次元立體夢幻蛋糕$138夢-森の家（$128）：甜品嘅蘑菇造型實在逼真，取名為「森林之家」不禁令人聯想起藍精靈嘅蘑菇屋，喺二次元嘅背景下尤其趣緻夢幻！蘑菇外層乃濃甜脆脆嘅白朱古力，一層一層一層的剝開，驚喜更陸續有來！蘑菇頭入面原來係香軟嘅士多啤梨慕絲包住件蛋糕，菇柄竟然塞滿士多啤梨果蓉同果醬，連同大大粒士多啤梨及朱古力泥食落去又一啲都唔覺溜，細緻精妙得連一向咀刁嘅M王子都食個不停，讚口不絕，確真難得！
夢-森の家$128夢-森の家$128
花見（$98）：樂哥哥細心提點玫瑰啫喱檸檬撻內含杏仁，小肥即只准睇唔准食。
花見$98
灣仔打卡熱店「ULURU」光鮮開揚，輕鬆幽閒，服務生親切幽默，黑白嘅二維空間與鮮美奪目嘅魔幻甜品將二次元主題發揮得淋漓盡致！價格不高、免收開瓶費、細心體貼之情等有心舉動足以令壽星MadPink及舞友們樂在其中，讚嘆不已，有心食肆絕對值得支持！
"
2023-06-02,5,5,5,5,5,"
今日同老公去灣仔電腦商場買嘢，然後就捐窿捐罅，去左間型格樓上cafe食晚飯。
Cafe在1樓，地方闊落好大，裝修以黑白為主，牆上全部都係手繪壁畫，充滿藝術感。
餐牌好多嘢食，老公叫左兩個set，一杯特飲同cocktail，另外叫左兩個甜品。
餐湯及餐包：餐湯係蘑菇薯仔湯，食到粒粒薯仔，好咬口。餐包係多士，好脆，上面仲有紅桑子乾。
阿根廷紅蝦刺身配蕃茄莎莎多士：紅蝦刺身大隻帶鮮味，蕃茄莎莎酸酸地，配埋多士味道都幾夾，幾好。
酥炸軟殼蟹忌廉意大利飯：軟殼蟹剛炸起，好熱，鬆脆。意大利飯夠creamy，入口有三色椒同洋蔥，甜甜地，幾爽口。
特式燒肉拼盤：拼盤有肉眼、豬柳、雞扒同香腸，全部都好大塊好厚，食落去juicy，一D都唔韌，另外仲配埋粗薯條，份量超多，係食肉獸之選。
嚕嚕米森之家：呢度甜品好靚，打卡一流。紅色蘑菇好sharp，旁邊仲有紅莓、藍莓同花花做裝飾，切開裡面係蛋榚，蛋榚仲有酸酸嘅紅莓醬，真係食得又睇得。
富士芝櫻祭-丸久小山園抹茶tiramisu：同樣係打卡之選，見到佢就掛住日本，好似山上面有個神社咁。抹茶味道濃，tiramisu夠滑，整體唔太甜，唔錯。
TiramisuCoffee(右)：老公話估唔到咁大杯，入口飲到好濃expresso味道，亦有淡淡朱古力味，唔甜，幾好。YinYuenMartini(左)：呢杯cocktail有vodka同咖啡酒味道，易口入，奶油味重，呢個係我鐘意嘅味道。
"
