time,taste,environment,service,hygiene,indigestible,comments
2023-08-28,5,4,4,4,5,"
有了小朋友後，好難可以夫婦二人去食嘢，今日終於可以有個空檔出嚟，當然要食最好味炸雞，我哋必選這間韓國正宗好味炸雞。💋這間環境還是一樣舒服寬敞，好明亮好有自己的空間；服務員會帶客人入坐，之後就可以用QRcode點嘢食，好方便！這裡大部分客人都是青年人，我哋都變成年青了🤣🤣🤣今次食見到餐牌多了一些菜式，下午茶更有7折優惠，好抵食！我哋當然都想食多啲不同菜餚，不過選擇太多又太吸引，所以最後點了一些包含了不同食材的菜色🤩🤩🤩1.夏威夷阿努哈
夏威夷阿努哈夏威夷阿努哈夏威夷阿努哈夏威夷阿努哈個名好特別，是否像夏威夷一樣火辣辣？內容都好多款，好適合分享！包括了：必點炸雞（4件）、椰絲蝦、洋蔥圈、粟米炸雞好脆卜卜，雞的肉汁豐富又香滑，外皮有少少辣粉，好香口好滋味，有雞髀、雞全翼同雞胸，正！粟米燒得唔乾又甜又嫩；椰絲蝦外脆內蝦肉爽口，微微椰絲味拌著蝦；洋蔥圈外脆內面洋蔥多汁好食，是我哋食過的洋蔥圈中出色的一個！2.紳士辣醬炒年糕
紳士辣醬炒年糕紳士辣醬炒年糕紳士辣醬炒年糕有紳士及淑女的炒年糕，分別是用芝士還是香草，我哋今次選擇了香草，年糕彈牙煙韌入味，份量都好多，更有魚糕片3.朱古力雪冰
朱古力雪冰朱古力雪冰本身想食蜜瓜味道的，可惜已經售罄；我哋最後選了朱古力，雪冰好凍口感好好，上面有朱古力脆脆餅、朱古力條及忌廉，唔會太甜，剛剛好！食完透心涼！4.飲品
我哋點了生薑茶及藍橙荔枝梳打生薑茶（好溫暖又保身，好香薑味有薑絲，微甜好舒服）藍橙荔枝梳打（好靚，天藍色的好特別，藍色配橙色好柔和，唔會好甜，微微橙及荔枝味，好鍾意❤️）
"
2023-07-27,5,5,5,5,5,"里間我bookmark咗好耐，想食好耐!!!今晚終於有機會啦！上到去8點都仲要等位，爆哂場，好誇張!!好多後生仔🤣蜜桃乳酪粉炸雞$138里間炸雞必食㗎!!佢係炸雞出身，有骨or無骨!不過有骨份量太大，食唔哂😝就試咗無骨!!仲配埋炸蕃薯條添🤤蜜桃乳酪粉個味好特別，平時好少食到!!甜甜地，不過本身個炸雞都好出色!!所以我反而係俾炸雞surprise到🤣好juicy!!而且好入味👍🏼韓式牛肉蛋卷$128超好食！主要因為上面個醬🤣不過入面啲芝士都係勁拉絲，可以拉到我企起身都仲接到！而且比較少見係牛肉咼入面，好特別!!不過熱食係比較好食嘅，我最尾食就無之前咁好食lu🤣
滷水五花腩$288好正!!超多五花腩，舊舊都有明顯幾層肉㗎🤤可以配蒜配生菜，辣醬，蝦仔食！不過蝦仔有啲太咸，所以我最後就剩係配生菜同辣醬都夠哂!佢地好有心用熱水蒸住啲腩仔，令佢keep住都係好juicy!魚介湯鍋$238一班朋友必點!!好多好多魚糕串，仲要係唔同種類㗎😝魚介湯好鮮味又咸咸地，煮個菜金菇菇一流呀！朱古力雪冰$88好濃味，好似飲緊朱古力奶咁！入口即溶㗎😚share就啱啱好！！！
"
2023-06-21,5,5,5,5,5,"
同老公去咗食韓國嘢，係兆萬中心11樓，好近我哋食完返去工作。Weekday平日去食Lunch好抵有全單7折優惠👍🏻💛紫菜手抓飯💛呢個飯可以自己搓，老公負責搓整得都唔錯呀個飯質地啱啱好又粒粒分明，塊芝士係精粹，加入去D飯暖暖的到漸溶後，個飯團咬落去好香好好味。紫菜手抓飯💛八爪魚沙律💛我好鍾意食八爪魚，呢個沙律八爪魚好多，沙律個汁幾好味，吃完好開胃。八爪魚沙律💛陸軍部隊鍋（牛肉）💛因為老公想清清地，我哋揀咗醬油味湯底呢個鍋材料都豐富，除咗最上面有好多燒牛肉，仲有幾款唔同嘅菇類，韓式年糕、蘿蔔、蛋豆腐等，最後仲加配個辛辣麵，食完超級滿足☺️陸軍部隊鍋- 牛肉💚飲品：💚🍹蝶豆花青瓜梳打🍹玫瑰蜜桃果茶杯梳打顏色超級靚，飲落去幾好飲有好香嘅青瓜味又唔會太甜。
其實佢哋個Menu有好多選擇，我哋好多樣嘢都想試但無奈肚皮有限😜我之前同朋友來食過佢地炸雞都好正，同埋好掛住佢哋個甜品雪冰，不過今日去時未有供應，唯有下次再來食啦😉
"
2023-06-07,5,5,4,5,4,"
旺角Top1韓式炸雞+部隊鍋一個月之內第二次回訪！因為體驗能真的很不錯，餐廳位於旺角兆萬中心位置方便，真真正正的過江龍，融合傳統韓式與現代西方風格，裝修以明亮的淺木色為主，背景音樂都是K-Pop，環境及氣氛都唔錯第一次臨時決定去係因為知道中午時間有折扣，而且唔需要等好耐，星期一至五都有七折，午市連星期六日都有九折，除咗韓式炸雞之外，仲有牛排、部隊鍋及韓式小食，就算朋友唔食辣都有好多選擇，整體用餐體驗都唔錯，幾適合一大班朋友聚會重點係炸雞係由韓國空運到港，而且用上獨門的方式醃製，外皮真的非常酥脆，而且份量好多，而且啖啖肉好滿足，比起平時適當的炸雞肉質更嫩，推薦！天國的榮耀
作為無肉不歡的食肉獸，估唔到安格斯肉眼都做得幾出色，以石燒方式加熱，肉質幾軟腍仲有格仔紋理好加分，邊位微微焦香！炒雜菜帶佢蒜香，口味好香濃韓式部隊鍋
