time,taste,environment,service,hygiene,indigestible,comments
2023-10-20,5,5,5,5,5,"
鐘意食日本野，又點會唔食鐵板燒？想食鐵板燒又要食得正宗，咁就要搵間由日本藉主廚坐鎮鐵板燒餐廳店內裝修用上水泥色與和風木系配搭，樓底非常高，極大的玻璃令到餐廳空間感十足，用餐環境一流餐廳以鐵板燒套餐為主，如果能夠坐到吧枱位置，仲可以近距離觀賞廚師即席烹調各種新鮮食材除左大熱吧枱位置之外，仲有普通座位及私人包廂，坐位寬闊舒適，情侶用餐定一大班朋友慢慢享受高質的鐵板燒都非常適合另外店員服務殷勤有禮，每道菜都會用心介紹食材及品嘗方法，值得一讚
食物方面:三日月一人前鐵板燒餐前菜三小點：有牛蒡、麻醬豆腐及煙燻雞肉刺身，豆腐口感嫩滑加上麻醬簡單美味，雞肉刺身帶有濃郁煙燻味，配上檸檬片感覺清新開胃無花果沙律:無花果、沙律菜、青豆、車厘茄、蛋白碎再配上柚子汁，酸酸甜甜，開胃又清新既沙律
帆立貝:帆立貝大大粒，味道鮮甜彈牙，再用菠菜墊底，配搭一流
帝王虎蝦(二選一):超大隻的帝王虎蝦拆殼起肉，蝦肉爽口彈牙，再配上用蝦膏煮成醬汁，啖啖都充滿虎蝦味，再加上精緻既擺盤，藝術品一樣
深海野生白鱈魚(二選一):魚肉潔白厚實有彈性，外皮煎得香脆，肉質嫩滑細膩，配上法式蔬菜、白蜆汁及香草汁，味道香滑美味
紐西蘭肉眼扒(三選一主食):選擇了五成熟，肉質嫩滑，味道濃郁，沾上少少海鹽能夠提升牛肉的肉味，另配有蘿蔔茸酸汁、自家製麵豉汁及芝麻醬，如果覺得唔夠味，仲可以沾上不同的醬汁食出其他的味道
鹿兒島黑毛豬肩(三選一主食):豬肩肉用慢熟熟成，之後再輕輕煎煮，肉質鮮嫩，沾上少少海鹽都夠曬惹味
鐵板燒日本野菜:會跟主食作為配菜一同上碟，有露筍、香菇、南瓜、蓮藕及蒜片，野菜新鮮爽甜，炸蒜片配主食肉一起食味道香口茶碗蒸:蒸蛋非常嫩滑，加入黑松露油、三文魚籽、木耳絲、蔥粒，味道清甜有蛋香，帶有淡淡既黑松露味
味噌湯:湯味濃郁，昆布加麵豉簡單調味，去膩暖肚鐵板炒飯:加入大量櫻花蝦、白飯魚、木魚碎，炒飯炒得粒粒分明，炒飯加入梅汁，味道帶少少梅酸味，夠曬惹味，另外仲跟左鰹魚湯汁，可以食到一半加入鰹魚湯汁變成茶漬飯，一飯兩食有兩種味道
