time,taste,environment,service,hygiene,indigestible,comments
2023-11-09,5,4,4,4,4,"
終於食到呢間bookark左2-3年嘅餐廳～幾年前已經聽過佢出名朱古力同靚靚擺盤，今次終於食到！🍋檸檬牛油蜆$98
好大粒嘅蜆同埋肉質新鮮兼無沙😋啲蜆其實好重牛油味，如果檸檬味可以突出少少會更加好😚🦐自家製冬蔭功虎蝦闊條麵$158
所有野都好有冬蔭功味😍係嗰種好惹味又唔會太辣嘅冬蔭功～基本上每條麵麵都好入味，然後嗰兩隻虎蝦都係一樣，肉質結實又唔腥，真係幾好食🥰🐣自家製芥末洋蔥醬炸雞窩夫$148
呢個超級超級大份！芥末洋蔥醬加炸雞真係超match!啲炸雞係超級大舊而且係炸到好脆同無油～而waffle就係比較軟身，同炸雞一齊食就係一硬一軟，一鹹一甜咁，都幾特別！然後最鍾意係佢有好多花生，成個dish即刻勁香，所有野即刻勁match!🍫二世祖特濃朱古力$48
身為一個朱古力控，我終於試到呢個朱古力啦！呢杯朱古力真係完全唔會覺得甜，又係feellike70%-80%濃嘅朱古力～質地比較稠身～😍💚特濃宇治抹茶白朱古力奶$48
質地同上面個朱古力差唔多，都濃抹茶味，雖然唔會死甜，但都會比特濃朱古力多咗一份甜味，應該係因為佢用白朱古力整，所以相比二世祖特濃朱古力，抹茶呢個會膩少少🤏🏻自己覺得CP值都幾高，因為全部都好大份，真係會食到超級飽🙈然後樣樣野食都好高質好好食～其實真係可以encore下！"
2023-10-14,4,4,4,4,4,"
HappyFriday小編同朋友慶祝生日去左位於大角咀人氣cafe《二世祖》。餐廳環境周圍畫上油畫牆，幾有特色·🅣🅞🅢🅣🅐🅡🅣🌟柚子味雞翼
雞翼焗得香脆惹味，放上柚子汁好juicy🍊🌟檸檬牛油蜆
大大粒蜆好新鮮配上檸檬加牛油🧈好開胃😋。🅜🅐🅘🅝🅒🅞🅤🅡🅢🅔🍽🌟明太籽櫻花蝦配青瓜絲扁意粉🍝
一上碟意粉🍝滿滿青瓜🥒絲，意粉好有硬度恰到好處😍每條意粉都鋪滿明太籽櫻花蝦粒粒，入口完全好掛汁，小編推介💕🅓🅔🅢🅢🅔🅡🅣🍰🌟抹茶心太軟配雪糕
想講抹茶心太軟一切出黎好流心💚外層焗得剛剛好，唔會好厚身，抹茶流心好香濃，完全滿足晒抹茶迷🥰再配上豆腐味雪糕🍦真係好好味，小編推介💕。🅓🅡🅘🅝🅚🍷🌟宇治抹茶白朱古力奶
飲落好似食緊宇治抹茶白朱古力🍫咁入口好香濃而且口感好滑身🤤🤤🌟牛油果奶昔
飲落牛油果🥑奶昔淡香牛油果味入口好清新，口感好滑身🤭"
2023-10-13,5,5,5,5,5,"
見到IG勁多人介紹, 今日終於黎試下店員非常親切同有禮貌帶位介紹之下叫左新產品檸檬牛油蜆味令蜆變更鮮味,十分清新無左平時西餐用白汁煮既膩感蜆既數量都唔少,食完仲飲埋D湯汁
