time,taste,environment,service,hygiene,indigestible,comments
2023-11-09,4,4,4,4,4,"
今日突然想打邊爐，就約埋兩個朋友，今次想食任食，㩒㩒下就揀咗呢間《二鍋頭》，佢有雞煲、豬手煲同牛尾煲揀，因為朋友唔食牛，所以我哋最後揀咗雞煲，揀咗小辣。我哋揀埋湯底for之後打邊爐，有成10款湯底揀，花多眼亂添，最後員工推介咗鷓鴣鍋，可能因為我哋比較早到，而佢鷓鴣鍋係寫住每日限量，聽講話好似煲成4個鐘，推介我哋未試過可以試下，咁我哋就一於試下。雞煲一黎到好香，望落雞件都多，食落都幾嫩滑，好似應該可以再加，但因為一黎都唔少，所以都ok我哋已經急不及待打邊爐。即刻上鷓鴣鍋，一黎飲咗個湯先，感覺都有啲似燉湯，有少少藥膳feel，但唔會話好大陣中藥味咁嘅，感覺幾滋補，不錯。跟住打邊爐有啲食物要出去自助區攞，環境好乾淨，拎醬油調味料都好整齊好full，聽職員講啲丸類都係台灣丸來的，即刻拎啲試下，幾彈口。其他就QRcode落單，安格斯肉封門柳、安格斯牛板腱都好食，牛板腱比較腍身，封門柳就牛味重啲，最有驚喜竟然係佢碟鵝腸，我哋encore咗幾次，最後lastcall朋友仲一次過點咗5，勁大碟😂雖然好飽，但最後梗係要食埋條雪條（甜品）先完滿，佢仲有乳酪、雪糕，都幾多味揀，呢個價錢都幾抵食。二鍋頭尖沙咀漆咸道南53-55號嘉芙中心1樓#foodie#hkfoodie#hkfoodblogger#雞煲#豬手煲#牛尾煲#美食當前#食咗先講#二鍋頭#尖沙咀#嘉芙中心#任食火鍋#打邊爐"
2023-09-08,4,4,4,4,4,"
平時食火鍋都係啲大路嘅豬骨湯、麻辣湯，呢間火鍋店有養生滋補嘅鷓鴣湯飲，係全香港首間火鍋店有咁養生嘅鍋底，加$68就有得飲，推介去試吓呀！
佢地仲有3款煲任食，雞煲、黑椒豬手煲同火焰🔥牛尾煲～我哋試咗比較少食嘅豬手煲同牛尾煲，2款味道都好唔錯！
🥢香濃黑椒豬手煲豬手肉唔算好多，主要食富有骨膠原嘅彈牙豬皮，黑椒調味都幾濃味，唔食得辣記住揀唔辣或者BB辣啦～
🥢秘製火焰牛尾煲牛尾煲上枱後，店員會點火再炒一下，味道好香！牛尾啖啖肉，肉質有咬口唔韌～叫咗BB辣啱啱好，幾惹味！
