time,taste,environment,service,hygiene,indigestible,comments
2023-08-02,4,4,4,4,5,"
天氣一日熱過一日🔥😅，但係某啲朋友👷🏻‍♀️對食火鍋🔥嘅熱情從未減退過🤣，呢日同佢👷🏻‍♀️一齊喺旺角，佢👷🏻‍♀️問我去邊度食火鍋好😜，我諗一諗，就帶咗朋友👷🏻‍♀️嚟呢度開餐🤣；嘩！真係好多人夏天打邊爐😆
$268一位嘅「嚴選安格斯牛成人120分鐘火鍋放題」😋
先食「二鍋頭惹味雞煲」，上邊加有大量芫荽🌿，雞肉味道濃郁之餘又有芫荽🌿嘅清香🤩；「雞煲」都係任食，另外仲有「鴨煲」同埋「豬手煲」，不過我哋食唔到咁多嘢，所以只係要咗「雞煲」，唔好浪費🤩
湯底有8-9款可以揀，揀咗「豬骨湯底」，奶白色，裏邊已經有好多材料，當然包括豬骨，另外仲有蕃茄、粟米🌽、芫荽、香茅等😋牛肉有：安格斯牛板腱、美國🇺🇸牛胸腹、安格斯封門柳、本地鮮滑牛👍
仲食咗豬頸肉、鳳城水餃、海蜆、活海蝦🦐、鮮蝦雲吞、脆鯇魚腩、墨魚仔、脆鯇魚片、白鱔片、西班牙豬梅肉等另外，依家大熱天時都有西洋菜食👍
"
2023-11-14,5,5,5,5,5,"
📍#二鍋頭(福苑)(旺角)旺角西洋菜南街138號福苑2樓▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️今晚同朋友到訪二鍋頭食火鍋放題，呢度有得揀120分鐘火鍋😍時間都算充裕，而且仲有埋雞煲，我哋仲額外加咗$88食埋佢嘅羊腩煲😛！✨二鍋頭惹味雞煲雞煲非常惹味，上枱嘅時候店員會幫你輕輕炒一炒，啲香味出晒嚟～加上少少辣味，食唔停口啊！
✨羊腩煲冬天必食羊腩煲，羊腩冇咩羊膻味，件件肥瘦平均，羊腩煲亦有筍、腐竹等等非常吸味，加上腐乳醬，非常好食！
✨套餐B嚴選安格斯牛💰$268火鍋湯底我哋揀咗健康必選嘅蕃茄薯仔濃湯😛蕃茄同薯仔湯味道鮮甜，唔係勁假嗰種蕃茄😎呢個套餐可以已經order到唔少靚肉，#安格斯牛板腱#安格斯封門柳都係全晚MVP!!!!總共食咗六碟🙈自助區亦有唔少配料，例如：餃子、炸芋頭、三斤、多款蔬菜類，非常滿足😊除此之外，可以用QRcode落單order海鮮類、墨魚滑等等嘅食物😝我哋叫咗墨魚滑、蜆、帶子等等，質素都唔錯。😝▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️▪️
"
2023-11-05,5,5,5,5,5,"
今晚再訪任食火鍋店二鍋頭一年前嚟過，食佢嘅任食羊腩煲一試難忘一年後再嚟,，本身都擔心會質素下降，你知依家個市道...都擔心會將貨就價一試之下，個水準居然keep到喎！今次食嘅都係羊腩煲，羊腩炆得軟腍入味，其他配料應有盡有甚麼冬菇，冬筍，馬蹄，枝竹，全部各司其職，同埋食得出係一齊炆咗好耐嘅食晒個羊腩煲之後，店員會問你要唔要再加羊腩貪心嘅我地梗係想留肚試吓其他嘢啦，如果你係大胃王，食兩轉羊腩呀其實已經回本啦🤑後續嘅任食火鍋，佢有好多款唔同湯底我地揀，例如沙嗲,豬骨,芫茜皮蛋食完咁濃味嘅羊腩，我地就揀咗清清地嘅豆腐鍋
令到每種火鍋配料都食到佢地嘅原味，又唔使成餐都咁heavy，大家下次可以試下咁叫期待之後再凍啲再嚟食多餐羊腩，食完暖笠笠一定更正！
"
2023-11-04,4,4,4,4,4,"
冬天就黎到，又系食羊腩煲的季節二鍋頭系旺角中心對面，位置方便，地鐵站對出行兩步就到星期日好爆記住卜位，做緊日至四優惠，每位$88有羊腩煲食，相當抵食食完羊腩煲，可以再任叫雞煲、豬手或牛腩煲，大食妹已經七成飽就直接去打邊爐環節安格斯牛打邊爐$268一開始可以任叫雞煲、牛腩煲同豬手煲因為食完羊腩煲已經好飽，所以冇再叫打邊爐自選湯底，叫咗個蕃茄湯底不過不失自選區都有好多食材揀，最後食埋韓國雪條好perfect羊腩煲+$88超多羊腩，絕對抵食個羊腩汁好濃厚，羊腩個吃幾舊唔太入味，overall都夠入味"
2023-11-03,5,5,5,5,5,"
今日同朋友食雞煲，再次到訪旺角嘅二鍋頭～二鍋頭位置方便，係旺中附近，超易搵😛。今日食咗雞煲火鍋套餐，雞煲、羊煲、豬手煲、火鍋任食兩小時，都係二百幾蚊，好抵食！雞煲雞煲可以揀唔辣或各款辣度，任君挑選，今次我食咗bb辣。雞煲醬汁好惹味，炒過後更正，少少辣得嚟再有麻麻地嘅感覺。雞件分量多，而且啖啖肉，食得好滿足。另外，仲配有鳳爪，鳳爪吸滿雞煲醬，好好味。火鍋今次我同朋友揀咗豬骨湯。豬骨湯呈奶白色，帶點胡椒味，清清地～湯底都好多料，例如有大豬骨、紅蘿蔔、粟米等等。火鍋配料選擇好豐富，好好多丸、又有魚皮、菜、烏冬等等。我最鍾意墨魚丸同年糕。墨魚丸大大粒、好香、有咬口。年糕煮完煙煙銀銀，好軟糯～另外仲可以用qrcode落單一啲肉類、海鮮類。安格斯牛板腱食落較軟淋，油脂分佈適中。安格斯封門柳食落牛味濃啲。蜆一份都幾多，食到好鮮甜。海蝦新鮮，質地彈牙。餐廳仲有提供多款甜品同飲品，飲品選擇都幾好，有好多清熱飲品，例如竹蔗茅根等等。甜品就有雪糕同雪條～"
2023-10-27,5,4,5,4,4,"
