time,taste,environment,service,hygiene,indigestible,comments
2023-10-19,5,5,5,5,5,"
喺OpenRice見到佢做緊優惠，兩個人消費每人$200以上，就送一個火鍋湯底，要三百幾蚊一個煲。呢個優惠勁抵，所以就同朋友嚟。
$328火焰沙白蟹煲店員會上咗煲底之後，幫我哋翻炒，加入酒，點火，成件事勁好睇。最後加入湯底滾起就可以飲得個湯。我平時唔係太鍾意食芫荽嘅，就揀咗落少少芫荽，成個湯底都好鮮甜，帶有白胡椒味。天氣凍咗，飲返一碗即刻暖晒。蜆肉每隻都脹卜卜，鮮甜，冇沙勁抵讚。唔好睇隻鞋細細地，都有好多蟹膏，鮮甜，蟹肉都結實。
火焰沙白蟹煲火焰沙白蟹煲火焰沙白蟹煲$118新鮮鵝腸鵝腸唔會太肥，啱啱好。每一條都好爽口彈牙唔會有怪味。賣相都好精緻。
新鮮鵝腸$118$68香煎鵝肝墨魚丸第一次食到鵝肝丸，感覺好新奇，味道都好食。墨魚丸彈牙，食到有墨魚粒，咬開之後，入邊有鵝肝粒，估唔到兩者可以咁夾。
香煎鵝肝墨魚丸$68香煎鵝肝墨魚丸$68$68自家製黑松露蟹肉餃都係第一次食。水餃皮唔會太厚，一咬開黑松露味就湧出嚟，而且食到蟹肉絲。好有水準。
自家製黑松露蟹肉餃$68自家製黑松露蟹肉餃$68$48稻庭烏冬係真稻庭烏冬，平時喺出邊試過食到唔係稻庭烏冬，而且係成個烏冬，唔係得一半。
稻庭烏冬$48$18忌廉$18可樂
忌廉可樂$18冇諗過喺酒店入邊都食到咁高水準嘅火鍋，而且而家仲要做緊優惠，非常之驚喜。
"
2023-10-10,5,5,5,4,4,"尖沙咀有好多食店，但有時嚟嚟去去都係去大商場/厚福街食又有D悶🤨，今次無意間發現咗間向theone附近嘅火鍋店。今次呢家餐廳有d𠮩𠹌火鍋料，坊間上較少見，而且鮮味十足😋🔥火焰沙白蟹鍋($328)🦀鍋底揀咗個🦀沙白蟹鍋，一來貪佢有海鮮，二來仲有🔥火焰啱哂打卡📸沙白大隻鮮甜，蟹唔算大隻但都食到甜味。湯底嘅胡椒味重，啱哂呢個涼涼地嘅天氣。🐮招牌牛肉拼盤(大)($498)🔸本地手切牛-有咬口得嚟又易咬，牛味重🔸安格斯牛肉-安格斯牛味同油脂味都重。🔸牛柳粒-第1次用牛柳粒打邊爐，估唔到佢個牛味比安格斯更重🔸牛舌-食落爽口唔un🔸牛胸爽-油脂味重，大愛💖🔸牛心椗-第1次食，原來佢係連住牛心💖嘅血管，食落幾爽脆，唔錯。🪿招牌新鮮鵝腸($108)同平日打邊爐嘅鵝腸唔同，佢有脂肪連住，鵝腸爽口加埋D脂肪一流。呢家嘅鵝腸份量多，仲要條條都長，好抵食。🐙手打黑松露墨魚丸(半份$52)黑松露味都幾重，鐘意黑松露嘅朋友要試下。蝦米瑤柱椰菜餃(半份-$58)一入口就充斥著瑤柱味，勁香!!證明佢好足料!🥬雜菇拼盤($78)有幾款唔同菇類,份量都OK。🦐手打咸蛋黃蝦丸(半份$52)🙌大推!食落彈牙而且蝦味重，中間嘅咸蛋黃幾香。🦋秘製胡蝶腩($128)蝴蝶腩係豬連接兩邊肺葉同豬肚嘅部份，幾特別咁就試下。問咗餐廳要煮3-4分鐘，食落肉味重。🥤荔枝梳打(一榨$68)一倒出嚟嗰下已經聞到濃濃荔枝味，清甜唔係假荔枝果汁味，推薦!竹蔗茅根(一榨$68)竹蔗茅根都清甜，唔會太甜幾好。另外，當晚嘅👨店員哥哥服務好好，禮貌周到以外，仲成日幫我地換碟加水等。環境方面，餐廳亦比一般火鍋店較為清靜，座位舒服幾適合三五好友飯聚。"
2023-09-25,5,5,5,5,5,"
火焰沙白蟹鍋$328鍋中有原隻蟹、沙白、唐芹、紅蘿蔔，店員會先將食材炒熱，根據客人口味再放芫荽炒勻，落酒後點火，熊熊火焰馬上升起🔥視覺效果一流😆😆再加湯掩蓋等約數分鐘，湯滾後即可品嚐原汁原味的沙白蟹湯，湯底超清甜，唐芹和芫荽把蟹肉和沙白的鮮甜帶上另一層次🔥沙白數量幾多，大大粒冇沙帶酒香，蟹比想像中厚身，十分鮮甜🦀自家製炸魚皮$68店員叮囑襯熱食，炸魚皮熱辣辣好新鮮，入口香脆鬆化，食到魚味招牌新鮮鵝腸$108鵝腸爽嫩脆滑，鮮甜湯底令鵝腸的鵝鮮沒有被其他味道搶走，每條鵝腸闊度及長度十足，口感豐富西班牙黑毛豬$188黑毛豬油花分布平均，肉味超濃，肉質比一般豬肉片更為柔軟🐷紐西蘭羊肉片$138羊肉片肉質嫩滑，羊味濃郁之餘又不膻，愛羊人士必點🐏竹庶茅根（一榨）$68打邊爐必備飲品🥤甜度適中，感覺清涼🧊鮮蝦雲吞（8隻）$88雲吞幾大粒，蝦肉滿滿，爽口彈牙，雲吞皮也算薄🦐鱈場蟹棒$68火鍋comfortfood😂這款是口感像真．蟹柳的款式，有一絲絲的感覺，麵粉感不多出前一丁$28用上日本版出前一丁🇯🇵口感比較彈牙，食完便是打邊爐完美的句號"
2023-09-02,5,5,5,4,4,"
今日同老公去尖沙咀行街喺手機search下附近美食吾打吾撞嚟到云手工火鍋店火鍋店環境闊落空間感十足職員有禮仔細介紹湯底我哋見到火焰三椰雞鍋幾特別就揀咗呢款有驚喜火焰三椰雞鍋$328職員先炒香雞件同椰肉再加酒點火火焰雞鍋充滿視覺享受之後再注入椰皇、椰青、椰子湯湯滾後職員細心地隔走雞油湯底非常鮮甜香濃椰子湯底我哋足足一共飲左六碗雞件夠幼滑份量都足夠值得推薦美國安格斯牛肉$268安格斯牛肉肉質軟腍好有牛香手打墨魚丸$48大大粒手打墨魚丸爽口彈牙油麥菜$48皇帝菜$48稻庭烏冬$48醬油@28$56整體來說，環境闊落，服務及食物質很不錯，值得推介"
2023-09-02,5,5,5,5,4,"
