time,taste,environment,service,hygiene,indigestible,comments
4天前,4,4,4,4,4,"
餐廳：備長地點：銅鑼灣澳門逸園中心菜式：日式居酒屋餐牌：主打串燒，有多款牛羊豬肉雞蔬菜燒物，沙律，酒餚，煮物，炒物，揚物，食事等
每張枱都放有三款醬汁，包括鹽，檸檬同自家制味噌醬。
醬汁蔬菜條$28另加一蔬菜條$28坐低後就有新鮮蔬菜條，包括椰菜、紅蘿蔔、青瓜，配自家制味噌醬真係幾好食。紐西蘭羊扒每串$98另加一紐西蘭羊扒$98紐西蘭羊扒好大隻，厚肉地。我地叫左三成熟，燒得肉嫰多汁，完全唔蘇，好味道。
牛肋骨$48牛肋骨每串$48另加一牛肋骨一串好多肉，燒得脆脆地少少燶地，個醬汁好好味，肉質都好嫩。
荔枝豬肉卷$38荔枝豬肉卷每串$38另加一荔枝豬肉卷一串三件，燶面薄脆豬肉包住爆汁荔枝，食落香甜脆口，好清新。
蒲燒鰻魚$48蒲燒鰻魚每串$48另加一蒲燒鰻魚一串兩件，燒得外面少少脆，肉質都好嫩。鰻魚汁好豐富，味道少鹹。
燒蠔$48燒蠔每串$48另加一燒蠔連殼上，可揀味噌或者蔥蒜醬油，我地揀左後者。蠔好大隻，肉質鮮甜，唔會過鹹，有少少牛油香。
日本雞大腿$38日本雞大腿每串$38另加一日本雞大腿一串三件左右，好滑溜，可選鹽燒或者蜜糖芥末汁，我地揀左後者，肉質好滑溜，芥末味適中。每款串燒最少兩串起，不過某d款式可以叫單件。餐廳有吧枱，有正常枱，都有房間。用餐環境不俗。
"
2023-07-28,5,4,4,4,4,"
備長為銅鑼灣多年歷史的日式居酒屋，以串燒為主打，到訪當晚，高朋滿座，小酎幾杯，令人放鬆。 
前條 
$28
每張枱都放上蔬菜條，有椰菜、紅蘿蔔、青瓜等，配上自家制的味噌醬，能帶出蔬菜條的鮮甜爽脆。 蟹肉薯仔沙律 
$78
薯仔沙律有兩大球，混上紅蘿蔔及青瓜粒，加上蟹籽及蟹肉，沙沙的口感很甜美，薯仔的粉腍令人胃口大開。 牛舌厚切牛肋骨
牛舌厚切，肉質爽脆嫩滑有口感。牛肋骨肉味香濃，肉汁豐富。清酒煮大蜆
$108
海蜆肉質厚身，帶有天然海水味，味道鹹中帶甜，清酒湯帶出海蜆鮮甜味。免治雞肉棒 
$42
免治雞肉肉質猶如肉餅般的鬆軟，中間有軟骨粒，點上日本雞蛋與豉油，增添雞肉棒的嫩滑滋味感。 鹽燒雞翼 
$32
雞翼簡單以鹽燒，外皮香脆，內裡肉質嫩滑。 黑松露帶子荔枝豬肉卷 
帶子沒有帶殼同燒，難得沒有燒乾，加上黑松露，有燒過的幽幽香氣又有肉汁。豬肉捲上清甜多汁的茘枝，既有油香又入口爆汁。 日本雞皮白鱔
雞皮燒過十分香脆，入口亳不油膩。燒白鱔外皮香脆帶煙韌，鱔肉非常厚身，肉質鮮甜，爽口彈牙。墨魚汁炒烏冬 $118
烏冬用上墨魚汁去炒，鮮味十足，魷魚入口鮮甜彈牙，肉片加添鮮味。
"
2023-07-25,5,5,5,5,5,"
