time,taste,environment,service,hygiene,indigestible,comments
2023-07-18,5,5,5,4,4,"最近同男朋友去咗銅鑼灣嘅十下火鍋🍲呢度裝修好有心思行香港八十年代舊屋邨裝潢懷舊路線🇭🇰仲有舊式雪櫃/霓虹燈/機械人/舞獅頭做裝飾玩味十足😆聽住懷舊金曲圍爐打邊爐好有feel🫶🏻
✻滋潤木瓜蕃茄鮮魚湯、胡椒豬肚湯（鴛鴦湯底）HKD148兩款湯底都好好高質！蕃茄鮮魚湯估唔到真係有大半條煎炸過嘅魚尾！🐟魚肉嫩滑又好食😋仲好香蕃茄味🍅而胡椒豬肚湯真係好足料有好多酸菜同豬肚好重胡椒味非常惹味！
✻大刀手切本地牛頸脊（小）HKD208牛味好濃郁好正🐮大刀手切有厚度肥瘦適中份量都幾多😝點埋醬油同炸蒜一齊食好好食👍🏻
✻十下三寶滑HKD138「萬壽無疆」碟顏色鮮艷賣相好靚❤️有蝦滑、墨魚滑同埋牛筋滑！全部都好真材實料口感彈牙😆職員仲好細心幫手落三寶滑落湯底🥰
✻六合彩HKD98個名非常特別😎每樣丸有兩粒兩個人share食就啱啱好！個人最鍾意黃金麻吉同埋芝心丸🧀😚
✻米漿腸粉HKD30腸粉食得多打邊爐食腸粉都真係第一次🤣都幾得意haha不過記住唔好碌太耐如果唔係會淋晒xd
✻唐生菜HKD36✻冬瓜茶HKD48打邊爐點都要叫返碟菜同埋要叫嘢飲😆唐生菜好新鮮而且份量都唔少！🥬冬瓜茶大大壺好抵飲甜甜哋好解膩～🤍
"
2023-07-17,4,5,5,4,4,"
一早就已經bookmark左呢一間餐廳黎打邊爐，雖然今日朝早8號風球，但係都冇阻我夜晚要奔去食飯嘅決心。
👍🏻十下二人火鍋套餐一個套餐包羅萬千，已經有齊小編喜歡嘅食材。湯底可以揀選鴛鴦鍋：麻辣火鍋，滋潤木瓜蕃茄鮮魚湯，兩個紅呈呈嘅湯底，口味截然不同，蕃茄湯底好清潤，而且原條魚尾煎過後放入湯底更為鮮香，而麻辣配料相當足料，麻辣味道慢慢滲出。
✨大刀手切本地牛頸脊本地牛頸脊牛頸脊切得有厚度，紋理、雪花都好平均，食落牛味香濃，口感軟嫩。
