time,taste,environment,service,hygiene,indigestible,comments
2023-10-30,4,5,5,5,4,"
放假就係食好西的時候，同朋友食我最愛的日本料理！🤩今次食呢間位於尖沙咀的居酒屋，主打壽司、刺身、丼飯、串燒、海鮮燒物、鍋物等，全部都好高質！餐廳有好多日本的裝飾和酒瓶，一入餐廳就覺得自己去咗日本的居酒屋一樣，有很有旅行的感覺😙晚市來到也有很多捧場客！😝
"
2023-10-15,5,5,5,5,4,"
這晚來到這裡，看到水缸，於是我們叫了甲羅燒和活貝盛合，試試水產的新鮮度。蟹味噌甲羅燒$68
蟹味噌甲羅燒$68有蟹肉、蟹膏、蟹籽、鵪鶉蛋和蔥碎。每枱都設有燒烤爐，侍應在客人面前幫忙烤熟，把所有材料混合，烤熟後蟹膏鹹香，質感綿滑，記得要趁熱吃。活貝盛合$428
活貝盛合$428有帆立貝、蠔、蜆及活鮑魚。侍應幫忙烹調，只用清酒和鹽來調味，並好好掌握烹調時間，使食客可以品嘗每種食材最原始的鮮味和質感。帆立貝肉身彈牙，群邊爽口，侍應提醒要呷一點殼內的水，非常鮮甜，一定要喝。
蠔肉身較厚，柔軟滑溜，新鮮可口。蜆肉爽口，水份飽滿，味道清新。活鮑魚烹調時間恰到好處，爽口彈牙，普通調味的能享受鮑魚鮮味，以七味粉調味更為香口，各有風味。
海膽杯$168海膽杯$168享用過燒活貝，試試刺身壽司。海膽杯為自家創意料理，分上下兩層，上層有海膽、帆立貝、三文魚籽和吞拿魚蓉，下層有柚子蘿蔔漬。所有刺身都新鮮，尤其海膽，帶有白色精子，特別鮮甜。油甘魚壽司+真鯛壽司各$68油甘魚肥美油香，真鯛則肉質柔韌，味道鮮甜，和壽司醋飯一起吃，中和魚油，提升鮮味。野菜蕎麥$78
野菜蕎麥$78吃過刺身，想吃點熱烘烘的麵食。野菜和湯底鮮甜，麵條有嚼勁。熱情菠蘿燒酎$78/梅乾Highball$68外形精美，菠蘿香甜，加入忌廉，口感柔滑，適合女士們。/梅香味酸，十分開胃，感覺有助消化。雲呢拿蛋糕+綠茶蛋糕各$68
雲呢拿蛋糕是千層蛋糕，口感不錯，綠茶蛋糕茶味香濃，適合綠茶控。以上價格需另加一服務費
"
2023-09-17,5,4,3,4,2,"
