time,taste,environment,service,hygiene,indigestible,comments
2023-10-25,5,5,5,5,5,"
南越南咖啡廳NAMVIỆTNAMCAFÉ旺角彌敦道726號1樓
NamVietNam招牌金邊粉金邊粉夠爽口仲配有牛肉丸、牛肉、牛筋同油炸鬼等配料，熬製出嚟嘅湯汁非常濃郁，油炸鬼吸滿濃郁嘅牛肉湯又唔會太油膩，好出色～
越式惹味粟米條粟米分成細細一條食落非常方便，配上越式嘅風味，令人忍唔住一條接一條，惹味開胃。
NVN咖啡骨食咖啡骨嘅時候要先將咖啡淋於棉花糖上，慢慢溶化後，再配以豬軟骨同食，除咗好玩又好睇，棉花糖仲可以中和咖啡嘅苦味～特別一讚咖啡骨入味得嚟肉質軟諗，入口即溶！
惹火上身鹹檸豬頸肉店員上菜時會將豬頸肉點火，畫面夠晒吸晴，最啱用嚟打卡，豬頸肉肉質偏肥少少同時非常彈牙，但絕對唔會覺得油膩～
脆米紙薄餅脆米紙薄餅嘅味道好有特色，配料有青瓜同埋甘筍絲，加上越式香腸粒同埋千島醬，味道有層次得黎別具風味。
荔枝雲朵咖啡少少苦澀嘅咖啡味配上荔枝嘅清甜味，味道非常有層次，係好獨特嘅咖啡～
TEARSOFMERMAID呢杯雖然係有氣酒精飲品，但係味道非常易入口，飲落好清新～
"
2023-09-10,4,4,4,4,5,"
同朋友👩🏻‍🦰一齊喺旺角，諗緊食乜，諗起有一段時間冇嚟過呢間越南🇻🇳餐廳，問朋友👩🏻‍🦰越南菜🇻🇳可以嗎，佢👩🏻‍🦰話OK，咁我就帶咗朋友👩🏻‍🦰嚟呢度開餐🤣
$90「烤蔞葉雞半隻配青蘋果絛」：雞肉🐓烤得比較乾身味道好集中😋，雞皮燒到脆脆哋好香口😋，仲有啲爽脆嘅青蘋果絛🍏加添咗啲清新嘅口感😋
$78「NVN咖啡骨」：咖啡骨🐷放喺一個大咖啡杯裏邊，上邊用棉花糖冚住🤩，另外有個小壺，裏邊裝住咖啡☕️，自己將咖啡倒入大咖啡杯裏邊，棉花糖就會溶化；咖啡味☕️豬軟骨🐷味道甜甜哋幾得意😋
$68「南越蟹肉醬配脆球餅」：圓轆轆嘅脆球餅中間空心，形狀都幾得意😆，脆球餅顧名思義當然係脆卜卜🤣，自己將蟹肉醬🦀用匙羹加入脆球餅中間嚟食，幾好味😋$58「火龍芒芒蝦仁配脆蝦片(3件）」：粉紅色幾吸睛🤩，有芒果粒🥭又有紅肉火龍果粒同蝦仁🍤，配埋脆卜卜嘅蝦片，又係幾好食😋
$88「嫲嫲南越湯—招牌金邊粉」：材料有包括牛尾、牛肉丸、油條、牛肉片、牛筋、牛面珠，其中牛尾相當大嚿好多肉🤩；仲有半條吸收咗牛肉湯嘅油炸鬼都幾好味🤣；金邊粉就幾彈牙😋
$38「南越蛋咖啡☕️」：要咗2杯🤩；咖啡上邊有一層半凝固兼滑脫脫嘅蛋黃😋😋
"
2023-07-27,5,5,5,5,,"
