time,taste,environment,service,hygiene,indigestible,comments
2023-08-10,4,3,4,4,3,"
🍽️食物方面：食咗太多嘢🥩🦑🍤揀幾樣介紹🐮厚切牛舌心👅爽口彈牙肉汁豐富🇯🇵帆立貝配埋🧈蒜蓉黑松露醬🤤🫅🏻明太子油揚豆腐💟唔會乾爭爭🦁竹輪秋葵卷😋無咁滑潺潺📷打卡方面：等你影完相再教你燒🔥啲靚肉多油脂好大火staff睇唔過眼會燒埋俾你🤪🔈環境方面：靜巷小店平晚無咩人食🤔我哋坐入房仔可以睇電視📺獨立廁所要拎🔑出外面去有啲啲驚💬其他資訊：和匠日式燒肉店📍佐敦長樂街23-27號德威大廈地下3號舖‼️Openrice訂位有折
"
2023-07-20,2,3,3,3,2,"
真係好伏，諗住生日食飯，朋友話facebook見到呢間好似好正，咁就上openrice睇下啲食評同相啦～望落個個都係好評，而且影啲嘢食都幾好，咁咪book嚟試下～睇到餐牌價錢唔平，飛驒牛要成$8xx一份，朋友話生日食飯最緊要開心，唔好理價錢，但我覺得穩陣啲都係試咗普通嘢食先啦…我最鐘意飲啤酒叫個雞軟骨，點知個雞軟骨好似好多油咁，正確嚟講應該係唔夠油溫炸嗰種“立”油，呢個形容詞我都係問人，因為睇個樣似翻炸，不過冇理由會炸定係度㗎，成個場得3-4枱客人，又唔係爆場😅之後我哋就order啲肉嚟燒啦～海鮮諗住叫現成唔使辛苦自己🤣見到餐牌有兩款燒大蝦，一個係$128/隻,另一個係$158／隻，諗住賣到咁貴應該有返咁上下大細呱～點知上第一隻黃金嗰個$128／隻時，睇到我朋友想講粗口，個size係中蝦size係度扮大蝦，我都話算啦算啦～可能今日啲海鮮嚟貨唔大呢…朋友話唔大就唔好賣呢個價錢啦！好搵笨囉！過份！跟住到$158嗰隻蝦嚟到時，我朋友即時話呢隻先叫大蝦㗎嗎～不過望到個蝦頭已經黑黑哋，跟住拆開見到入面未熟晒，諗住叫佢哋拎返去再整過，之後見到啲肉係“梅”嘅，朋友話直接取消算😮‍💨真係冇下次😰
"
2023-05-03,4,4,5,4,4,"
今次約埋成班朋友去試下燒肉咁就試到多啲肉同菜式一貫嘅日式木系裝修牆身裝飾海報Menu都比較少日本嘅元素整個氣氛爭啲啲抽風做得好食完都冇成身油煙味店員有耐性解釋每款菜式燒烤秘訣同時間亦都有落手協助整體用料新鮮性價比高螢光魷魚漬$68爽口潤滑咸淡得宜好開胃明太子板尾油揚豆腐$68稍為失望整體偏乾明太子味唔算出芥辣八爪魚粒$48芥辣好過癮八瓜魚粒順滑入口燒鱈魚干$38枝豆$48不過不失好難失手既前菜美國PRIME牛小排$178肉質嫩滑肉汁飽滿紋路清晰牛舌芯(厚切)6枚限量嚴選部位$198爽口彈牙肉汁豐富豚腩肉$86脂肪比例恰到好處中和食牛肉既油膩感日本國產阿波尾雞腿肉$88比一般更鮮嫩香滑活鰻$108唔會有腥味肉燒起嚟都唔會散原條燒茄子$82蔥蒜櫻花蝦仔如果再腍啲重蒜啲會更好黃金燒大啡茄$50份量都算大芝士同大菇都燒到好香口串燒一口牛$58好有咬口一啲都唔韌串燒竹輪秋葵卷$38配搭幾特別味道就冇特別好夾串燒雞腎$38/2比預期細粒冇乜口感汁燒原隻魷魚筒$96燒得好均勻滿滿嘅醬汁可惜魷魚味欠缺軟殼蟹天婦羅$68炸得恰到好處好香口略嫌細份左少少炸雞軟骨$48份量偏多調味咸淡剛好配上沙律醬好開胃蟹肉忌廉餅$48/2外脆內滑好有口感蟹味都好香"
2023-04-12,5,5,5,5,5,"
今日與朋友經過佐敦，見到這間日本料理，門口裝修十分和風，非常吸引，因此我們就進去試試。
店舖十分廣闊，有很多座位，可能是平日，因此並沒有太多人。店舖有串燒，燒肉，及一般料理。選擇十分多，眼花撩亂，因此我們請員工推介了幾款特色食品。當中包括比較受歡迎的麻醬豆腐沙律，分量都比較多，適合2-3人～燒肉就選擇了牛魔王再現2人套餐，有三款牛肉，包括A4牛肉眼，美國prime牛小排及牛角切。同時間可以試到月日本及美國最級牛肉！！可以比較到二種牛肉的分別！日本和牛脂肪多入口即溶，而美國牛就牛味很重！兩種各有特色～再配合店舖的特製酸汁及燒汁。令味道大大提升！最重要一點係，店員會教我們燒肉，絕對不怕不懂燒而浪費高級牛肉～
除了牛肉外，我們想食海鮮就點了二隻蝦，個蝦大過我的電話！🤣識落啖啖肉，十分彈牙，很滿足！最後點多碗簡簡單單的青蔥湯烏冬，一啖烏冬一啖湯，清清淡淡暖暖的，作一個完美的句號。十分滿足的一餐"
2023-03-22,5,5,5,5,5,"
烧肉拼盘的牛🐮魔再现Set，三种肉拼一起，两个人来的话很适合点这个，两个人吃刚好！-特大缅甸大🦐！两只就能占满烤盘，是那种比较厚实有点嚼劲的口感。-厚切牛舌芯👅，据说是只保留了中后段，烤完是外脆里嫩的，咬下去就有丰富的汁水～没吃过牛舌芯的朋友可以尝尝！-原条烧茄子🍆撒了虾米在上面，不喜欢吃虾米和海鲜的朋友不要点，我朋友说有点腥，但是我自己喜欢吃海鲜所以不觉得～-日本安昙野豆腐沙律🥗经典日式沙律，酱汁是吃沙拉常用的那种芝麻酱，中规中矩的日式沙拉，吃完烧肉刚好解腻～-特饮🍸我们点了气泡水桃子🍑特饮和芒果🥭特饮，记得要搅匀～不然糖浆都堆在下面会很齁～-这家的店员不仅帮忙烤还会讲解不同肉的烤法～吃的时候可以解放双手啦哈哈
"
2023-03-20,5,5,5,5,5,"
當您步入和匠日式燒肉時，一定會被它充滿日本風格的裝潢給吸引住。從餐廳的氛圍、服務、到美食，都展現出其高雅的品味。🍴前菜✨豆腐沙律和螢光魷魚都很精緻，更是味道極佳。
✨螢光魷魚入口即化，非常鮮嫩。
✨豆腐沙律的清新口感，讓人食指大動。
🍴在燒肉方面，和匠日式燒肉提供了多款選擇，✨美國Prime牛小排、美國Prime牛角切和牛舌芯，每一道燒肉都是師傅教授技巧現點現燒，保持肉質的鮮嫩度。✨尤其是招牌牛舌芯，外面脆卜卜，但入面口感軟嫩，是我的最愛之一。
🍴軟殼蟹天婦羅和特大緬甸老虎大蝦和黑松露蒜蓉牛油日本國產帆立貝作為海鮮的選擇。✨軟殼蟹天婦羅外皮酥脆，內裡軟嫩；
✨特大緬甸老虎大蝦真係超大隻，味道100分鮮甜可口：
✨日本國產帆立貝（黑松露蒜蓉牛油）則是配上特製醬汁，美味絕頂。
和匠日式燒肉是一家非常值得品嚐的餐廳，從前菜、燒肉到海鮮，每一道菜都非常精緻，口味也十分出色。而且，服務態度也非常友善，師傅更是有耐心地教導我們燒肉的技巧，讓用餐體驗更上一層樓。如果您是對日式美食感興趣的人，一定不要錯過這家餐廳！"
2023-03-20,5,5,5,5,5,"
和匠日式燒肉是一家以🇯🇵日式燒肉為主打的餐廳，適合與親朋好友、情人約會或商務宴請。餐廳提供優質的食材，並且有經驗豐富的師傅教授燒肉技巧，絕對讓您享受到最正宗的日式燒肉風味。
在這家餐廳用餐，先點了一杯蜜桃🍑特飲特飲，口感清新，非常適合搭配燒肉。
前菜中，螢光魷魚🦑和豆腐沙律🥗，鮮嫩爽口，很適合當開胃菜。
🐮：燒肉方面選擇了三款，其中美國Prime牛小排和牛角切，口感鮮嫩多汁，經過師傅的指導，燒得非常好。牛舌芯也是一道必點的美食，切得厚實，肉質嫩滑，令人回味無窮。
軟殼蟹🦀️天婦羅香脆可口，海鮮方面的特大緬甸老虎大蝦🦐(真係有手掌咁大隻)和日本國產帆立貝(配搭黑松露蒜蓉牛油)也非常美味。總括來說-和匠是一家值得推薦回頭率極高的餐廳，食物的品質很高，師傅也非常細心地教導如何燒肉，讓人感受到專業的服務。整個用餐過程非常舒適，餐廳的氛圍也很優雅，100%享受這一次的體驗。"
