time,taste,environment,service,hygiene,indigestible,comments
2023-11-02,4,4,4,4,4,"
在寶勒巷HappyHour完去左附近搵串燒食，現時OpenRice訂座仲可享單點食物8折。
燒日本生蠔（$88/6隻）：期間限時優惠可以優惠價$88享用燒日本廣島蠔六隻，以蒜蓉燒製，蠔肉鮮甜，肉質香滑飽滿。芝士燒扇貝（$78）&燒貴妃蚌（$78）：基本試海鮮夠新鮮都一定好食，扇貝及貴妃蚌同樣厚肉，前者幼嫩多汁，以芝士焗製，creamy香口；後者以蒜蓉粉絲蒸，肉質爽滑，味道鮮甜。燒牛舌（$58）：牛舌夠厚切，肉質爽滑，亦有點脂肪，帶點油香。芝士響鈴（$26）：炸響鈴卷中間夾著流心芝士，外層香脆可口，內裡綿密帶濃郁芝士香，頗有特色。
燒菠蘿（$45）：一客共有六件，菠蘿外層帶微微焦香，內裡非常多汁，非常香甜而不帶半點酸。
勁辣魚片頭（$28）：最後見到餐牌寫住「挑戰勁辣魚片頭」，遂點左一串試下，魚片頭特別吸汁，如果辣醬夠辣真係可以幾恐怖，但呢度嘅辣椒油又未去到要挑戰嘅，加起黎都只係譚仔中辣至大辣之間，食完未必洗飲水解辣，buthavingsaidthat，其實款辣油都幾香幾惹味，都幾好食嘅，如果平時唔太食辣嘅朋友都可以挑戰下！
"
2023-11-16,3,4,5,5,4,"
消夜時間，想同朋友啤一啤🍻行經寶勒巷發現有一間營業到凌晨三點，充滿居洒屋風既串燒小店，一於入去試吓啦原來呢度每個星期每日都有唔同嘅優惠架我當晚剛好有7折優惠😍🌀燒牛舌牛舌雖然厚身，但烤得好軟滑又夠香😋🌀燒黑啤牛仔骨🌀燒芝士翠玉瓜🌀燒茄子（蒜蓉）每次食串燒必點，烤過既茄子真係特別香，配蒜蓉食係必須的，超夾既配搭👍🏻🌀鹽燒日本雞心🌀泰式燒完隻鮮魷鮮魷熟度剛剛好，但就完全似白烚😅👎🏻🌀燒蟶子（蒜蓉）呢個蟶子真係唔得👎🏻勁韌，好難咬得開overcook咗🙅🏻‍♀️🌀珍寶大扇貝（蒜蓉）扇貝好新鮮，粉絲索晒啲蒜蓉汁勁正😋🌀避風塘燒廣島生蠔生蠔鮮甜👍🏻避風塘燒真係好惹味，好食呀🥰🌀燒肉桂焦糖金菠蘿我每次食串燒都會點，因為烤咗嘅菠蘿真係好好食😋呢度烤得啱啱好，微微脆有焦糖面👍🏻🍍又甜又多汁，正呀❤️🌀稻庭烏冬豬骨湯配溫泉蛋最後share食番個烏冬大滿足，倆個人飽到捧住個肚🤣
個人非常欣賞佢哋用熱石板代替普通嘅碟，可一直keep住食物既溫度，讚👍🏻👍🏻
"
2023-11-10,5,4,5,5,5,"
<尖沙咀隱世好味串燒店>🤩天氣開始涼,就梗係想食d惹味又熱辣辣既串燒😬😎位於尖沙咀這間小店,主打海鮮&串燒,選擇種類超多,基本上你想食既都可以係呢度食到.海鮮🦞新鮮鮮甜,加埋d香蒜一齊整,更加好味.今次分別order左以下海鮮:~燒蟶子皇~燒大蜆~燒妃蚌串燒🍢就梗係必食啦,而且仲有其他特別小食可以order:~黑松露鵝肝多士~芝士響鈴~雞皮餃子~燒牛舌~燒玉桂焦糖金菠蘿🤩每一樣食物都好味,而且仲有好多特色串燒,價錢合理唔貴,絕對係性價比高👍🦞餐廳:喜膳燒🍢地址:九龍尖沙咀寶勒巷10號熱下
"
2023-11-02,4,4,4,4,4,"
❀喜膳燒#尖沙咀❀❗尖沙咀平價燒烤唔同嘅日子有唔同優惠❗——————————————————想食平價串燒嘅可以嚟到尖沙咀呢一間小店🍢有唔少新鮮海鮮串燒選擇，當然亦唔少得雞牛羊等等，每日仲有唔同嘅優惠🤩主要以中式燒法，用鹽燒、蒜蓉、椒鹽為主。.✷𝑀𝑒𝓃𝓊✷☞珍寶大扇貝$78/2☞燒蟶子皇$88☞燒妃蚌$78☞燒日本生蠔$88/6佢哋啲海鮮真係幾抵食🫢逢禮拜三扇貝有半價優惠，仲有蒜蓉同芝士口味選擇，表面仲有粉絲，好滿足！燒日本生蠔做緊六周年優惠，六隻都只係$88！全部都係大大隻，仲有大量蒜蓉，幾惹味。蟶子皇、燒妃蚌亦夠彈牙鮮甜👏🏻
.☞燒羊肩肉$58☞燒牛舌$58☞燒雞肝$34☞燒雞腎串$29肉類就正常發揮，冇海鮮咁出色🙈當中最推薦燒羊肩肉，兩條肉串加上孜然粉，好香口😆
.☞鵝肝多士$88/2鵝肝份量都唔少，仲有成兩塊，鵝肝油滲落多士度夠滋味。
.☞燒流心鵪鶉蛋$29☞菠蘿$45☞燒玉子$19菠蘿雖然相對貴啲，但係非常香甜多汁🥰鵪鶉蛋可能排咗一陣先食就熟咗少少，冇流心效果。玉子細細粒好得意，香滑偏甜，有少少乾。
.☞懷舊燒魷魚$52最後呢個原來係魷魚乾，幾重炭香，有啲咬口，但唔會太韌。
——————————————————✨整體味道:3.6/5✨環境裝修:3.7/5✨服務態度:3.9/5✨性價比:4/5✨再訪興趣:3.3/5.💞整體來講主打中式燒烤，海鮮較肉類出色，最吸引係個價錢便宜！"
2023-11-02,4,4,4,4,4,"
🌃再訪深夜食堂🍶-嚟親喜膳燒都會令我諗起日本嘅居酒屋好適合放工同朋友啤一啤🍺而且一星期入面有唔同優惠每次嚟可以試唔同嘢🥢-🐚燒蟶子皇(蒜蓉)$88🦪燒貴妃蚌(蒜蓉)$78店員介紹呢兩款海鮮係每日同街市攞貨一食就知好新鮮🥹唔需要醬汁只係加蒜蓉已經勁鮮味肉質彈牙大滿足🥳-🍞黑松露鵝肝多士$88/2件唔少燒烤店都有做鵝肝多士呢間就加埋黑松露😗一上菜個香味已經好難抗拒正呀😍-🥟雞皮餃子$68/5隻有啲驚喜嘅新推介菜式😮除咗脆卜卜嘅雞皮入面有菜同木耳惹味又有口感👍🏻-🧀燒芝士響鈴$26/2條店員特別推介話係獨家響鈴入面包咗芝士食落夠鹹香啱送酒😏-🐟燒新鮮脆皮白鱔$72🐔燒雞軟骨(鹽燒)$42/2串🐮海鹽燒皇牌牛舌$58另外嗌咗幾款串燒推薦白鱔除咗脆皮肉質都好彈牙醬汁配得幾好😚-🍍燒玉桂焦糖金菠蘿$45燒烤店甜品必揀加咗肉桂粉令菠蘿食落更甜🥰-🍻麒麟果味生啤$88/買一送一今次星期二嚟到係做緊生啤買一送一抵飲😎-📍喜膳燒尖沙咀寶勒巷10號地舖-"
2023-11-01,5,4,5,4,5,"
嚟到尖沙咀梗係要食吓串燒啦，特別佢有好多唔同部位嘅肉有勁少見嘅雞心，所以我即刻叫咗一串雞心，煙靭彈牙，味道非常之好，值得一試。另外我仲叫咗佢嘅羊肩肉，冇太重羊騷味，而且孜然味好香。而且佢亦都有得挑戰勁辣魚片頭，涼拌牛舌等特色小食，佢嘅涼拌牛舌係好香，而且少少鹹少少酸，非常之開胃。而魚片頭對我來講就辣得滯，個人麻麻哋🤣🤣佢每日都有唔同嘅折扣，例如今日係食品八折，晚市燒珍寶大扇貝$39就有，而且佢嘅扇貝非常之新鮮，粉絲亦都好入味，蒜香味好重。所以個人非常之推介食佢嘅海鮮。"
2023-10-31,5,5,5,5,5,"
𓈒𓏸⛅🍹𓂂𓈒𓏸享受這份這‬放慢時間的愜意*ೄ「燒牛舌」，牛舌烤得剛剛好，口感鮮嫩多汁，肉食愛好者的天堂！👅💥「燒白鱔」，海鮮燒烤非常鮮美！白鱔的肉爽脆大牙，，搭配炭火烤出的香氣，好味！🦞🔥「芝士燒廣島生蠔」，生蠔新鮮又大顆，烤過後再加上芝士的濃郁香味，一口咬下去真是美味到讓人無法抗拒！🧀🦪😋還有「燒豬肉串」、「沙嗲」、「燒雞軟骨」、「燒雞腎串」等等，這些燒烤都非常好吃！每一種都有獨特的風味，我真的無法選出最喜歡的一款！🍗🍢🌶️😍「芝士響鈴」好特別，一咬入去，即刻爆芝士超爽🔥😍👌✨最後還有「黑松露」、「燒粟米」、「燒茄子」和「蒜蓉手拍青瓜」等等，這些小吃都很美味，絕對值得一試！🌽🍆🧄🥒😊
"
2023-10-28,4,4,4,4,4,"
