time,taste,environment,service,hygiene,indigestible,comments
2023-11-12,5,4,4,4,4,"
相信有睇開史努比嘅post都知道史努比好少會回訪一間小店但呢間台灣嘢史努比已經系第三次回訪🤪可想而知佢有幾好食🤤雖然食過但再食嘅時候依然有驚喜🙈今次帶埋媽媽👩🏻嚟食連佢都大讚話正🤭
熔岩蛋之戀$43👍🏿熔岩蛋之戀(芝士火腿蛋餅)$43第一次食佢嘅時候就已經覺得好impressive唔系誇張食咗咁多間台式蛋餅史努比最鐘意都系呢間壹.01嘅♥️餅皮煎到微微脆口薄薄一層蛋漿包住火腿同大量mozzarellacheese夾起即刻做到拉絲嘅效果😍啖啖都充滿住軟綿綿嘅芝士🤤配上千島醬呢個組口真系冇得彈味道啱啱好會系死鹹😎食咗咁多次都系咁鐘意🤭味道:9.5/10性價比:9/10
熔岩蛋之戀$43👍🏿炸鮮奶·芋泥二文字$48其實本身史努比就冇話特別鐘意芋泥但壹.01嘅芋泥系signature咁就當然要嗌啦😛😛
脆炸鮮奶卷·古早芋泥二文字$48先講芋泥二文字外面嘅餅乾炸到脆卜卜🤪酥化得嚟唔覺油膩配上中間綿密香甜嘅芋泥餡外脆內軟口感豐富🤤媽媽👩🏻讚咗好耐🤣🤣佢比滿分架🤭
芋泥二文字炸鮮奶亦系非常香脆同坊間嘅炸鮮奶有啲唔同佢系鮮奶卷炸得夠乾身唔會好淋油👍🏿一啖咬落去啲餡bit晒出嚟😳食得出淡淡牛奶香甜口感非常之creamy而且甜得嚟唔系覺得漏😆兩款都系水準之作!!味道:9/10性價比:8.5/10
炸鮮奶👍🏿秘製厚切排骨$38記得史努比曾經彈過佢話唔夠淋同埋炸粉偏厚決定比多次機會試多次🫣份量超足切開咗做好多件炸漿厚薄適中真系有改善!而且非常香脆😚今次嘅排骨好夠淋仲有汁bit出嚟好juicy🤤用咗蜜汁去調味食落甜甜地有少少似叉燒嘅風味🤭食到最後就算凍咗啲都依然保持香脆史努比覺得好驚喜😳有種見證住佢進步嘅感覺🙈味道:9/10性價比:8.5/10
秘製厚切排骨$38秘製厚切排骨$38👍🏿芒果魯肉飯$58隔咗咁耐都冇加價🥰份量都依然系咁足魯肉肥瘦適中而且好入味😆汁水嘅份量啱啱好夠撈晒成個飯唔會太多搞到啲飯濕晒又唔會太少唔夠味👍🏿配搭清甜嘅芒果同魯肉出奇地夾🤭另外仲有啲蔬菜令整體更加fresh😆味道:8/10性價比:8/10
芒果魯肉飯$58芒果魯肉飯$58👍🏿風琴豆腐$12/1塊$20/2塊形狀真系好似口風琴好得意🤭索晒啲汁好入味甜甜地咁不過史努比唔系太鐘意個texture食落有啲似豆卜定系其實就系豆卜嚟?🤣味道:7/10性價比:8/10
風琴豆腐$20👍🏿古早紅茶(大)走甜$16(原價$33)見佢所有飲品都有50%優惠嗌翻杯無糖茶消消滯先🤭茶味香醇送台式小食真系一流😚.👍🏿古早奶茶(大)[+仙草]$18[+$5](原價$37+5）媽媽👩🏻最鐘意嘅台式飲系就系仙草奶茶😂起初覺得佢稍為甜咗啲但配鹹食嘅話佢甜甜地反而有助解下油膩史努比唔飲甜嘢冇試到👉🏿👈🏿
