time,taste,environment,service,hygiene,indigestible,comments
2023-10-22,5,5,4,4,5,"
大將主打食日式一人鍋shabushabu，最近推出左爆膏大閘蟹火鍋放題！限時150分鐘放題，除左有爆膏大閘蟹，仲有和牛胸腹眼、安格斯牛小排、Prime牛肩肉、西班牙黑毛豬同海鮮等；自助區有炸物類、蔬菜等、丸頪；甜品區仲有自家製雪糕🍦；一人鍋自選湯底，我地揀左海老濃湯完熟蕃茄同日式昆布湯！🦀爆膏大閘蟹+安格斯牛小排放題$498一入座立即送上四隻熱辣辣嘅大閘蟹；蟹仔不算大，但勝在好多蟹膏我地當日食嘅係蟹公，白色蟹膏黏口綿密，黃色蟹膏極之鮮甜！每次亦可追加兩隻大閘蟹；店員話一叫就有唔駛等！我地order左兩次嘅蟹水準一樣好味而且好快上枱！🥩每位送嘅仲有和牛胸腹眼及安格斯牛小排；和牛胸腹眼呈雪花紋理，油脂香盈，軟嫩無比；安格斯牛小排色澤亮麗，脂香而不膩！十分高質！🦞海鮮類我地點左鮮甜嘅蝦滑、大大粒沙白等。鮮味十足！🍢自助區及其他揀左鮮蝦雲吞、巨型蟹棒、新鮮蔬菜🥬等！ 🍮甜品我地揀左木槺布甸同Tiramisu，完美地作為結尾！大將(將軍澳)地址📍：將軍澳唐賢街9號PopCorn商場1樓F10號舖
"
2023-09-05,5,5,5,5,5,"
地址－大將將軍澳唐賢街9號PopCorn11樓F10號舖有日我探訪完我朋友後，我朋友介紹樓下商場有間火鍋放題好抵食，問我有冇興趣一齊食，我見自己的小肚子都開始演奏了，咁就當然有興趣啦。落到去都要排一陣隊，可見呢間餐廳都幾受居民歡迎，排到我地時，職員會先問我地要咩套餐，我地揀左中間的都可以了，再問埋湯底，就會帶我地入座，都幾貼心，唔錯。💋小食，到我地入座後，職員好細心咁介紹有咩設備咁，仲話出面有D小食，可以係湯底黎之前醫肚先，咁我地就出去拎，我就拎左D炸雞粒，玉子燒，醃蘿蔔咁，而我朋友就拎左泡菜，醃青瓜同埋中華沙律，咁我地唔敢拎太多，以免影響之後的表現，首先講下D炸物，佢D炸物炸得幾香脆，可能岩岩補充的關係，食落仲帶有一點的熱，而泡菜類食落酸酸地，幾開胃，唔錯。
💋湯底(昆布清酒大蜆湯(加$10)及花生沙嗲湯)，上到湯底後，我朋友揀左花生沙嗲湯底，呷左一口，勁濃郁，又唔會話太多花生係煲內，令到容易”痴底”，如果唔夠味的話，出面調味料處有沙嗲醬，可以自行調較，而我朋友着重健康，所以都冇作添加，而我就揀左昆布清酒大蜆湯，一上湯底已經聞到淡淡的清酒香味，一路煮，一路見證D大蜆開口，真係令人快樂，而且我呢個套餐都包左蜆，可以隨時添加，而且佢蜆肉大得黎都好鮮甜，而最重要的係冇砂，真係一隻接一接咁食，勁爽。
