time,taste,environment,service,hygiene,indigestible,comments
2023-11-09,5,5,5,5,5,"
玲瓏浮凸•花膠雞湯鍋半隻$318呢個花膠雞湯和非常抵食，出邊食半隻雞煲都差唔多要$200，呢度俾返半隻雞仲有咁多花膠，同埋佢個湯真係雞味非常濃郁。值得一提嘅係加湯都係加返花膠雞湯，所以大家可以放心盡情飲湯。店員建議係湯滾可以試吓飲下湯頭濃郁嘅湯同食吓花膠。不過小編就鍾意花膠腍啲所以會浸耐d。水滾落雞大概3至5分鐘就得，雞肉非常嫩滑！大滾友牛肉拼盤（細）$418有牛頸脊，安格斯、牛舌、牛柳粒，肉質新鮮，估唔到配花膠雞湯都咁夾😋大滾友雜菜拼盤$98呢個都係非常抵食，份量多種類都好多，有黃芽白，油麥菜，粟米，蕃茄等等！新鮮亦可以令湯底仲好味！伊比利亞橡果豬$168伊比利豬基本上差唔多好飲牛肉咁，就算唔係全熟都可以食，同埋肉味非常濃郁！呢款豬肉味香濃多汁！價錢唔貴又大份！非常推薦！手打鵝肝墨汁墨魚丸四粒$72呢個係小編其中一款好中意食嘅！首先非常彈牙，墨汁味道好香濃，咬開會有微微油脂嘅甘香，同墨汁味道互相輝映！超好味！！！自家製足料竹蔗茅根$78首先非常大支，兩個人絕對唔會出現唔夠飲嘅情況，味道唔會好甜，非常岩小編嘅口味，可以解膩，清香！！日本廣島蠔$98雖然量唔算好多，但係每隻都大大粒，同埋非常飽滿！蠔味十足非常鮮甜，絕對對得起個價錢！最後仲有個豆腐花好正，加咗啲酒同埋加啲火落去，令到啲酒可以燒溶啲黃糖
"
2023-10-29,5,4,5,4,4,"
大滾友火鍋古色古香，穿過典雅店面，古典宮廷風格調，寬濶的卡位以中式屏風隔開，加上昏黃的吊燈等，充滿復古氛圍，編織出年代情懷，期待著氣派不凡的宮廷火鍋。玲瓏浮凸・花膠雞湯鍋（半隻）318金黃色的花膠雞湯，超級足料，店員先把厚身大片的花膠剪開，再倒入雞件，慢慢熬煮，慢慢享受濃郁雞湯，啖啖充滿雞汁精華，香甜誘人。花膠口感黏糯、綿厚，充滿骨膠原。雞肉香嫰，雞皮滑溜，湯底十分滋補養顏。大滾友牛肉拼盤（細）418牛肉拼盤賣相吸引，煙霧迷漫，煙霧散開，多款雪花滿佈的牛肉，食指大動。拼盤有:牛頸脊、安格斯、牛舌、牛柳粒及牛腱等，滿足牛魔王。安格斯牛肉肥美厚身，霜降紋路，輕輕一涮，柔嫩可口，咀嚼時品嚐到豐盈肉汁，牛香迷人。牛頸脊質感綿化，吸收了濃郁雞湯，增添一份芳香，細膩肉汁散發，令人大呼過癮。牛腱油脂豐腴，牛柳粒一口size，肉質香甜鮮嫰，肉香加倍誘發，令人意猶未盡！大滾友雜菜拼盤98拼盤有生菜、娃娃菜、粟米、金菇、蕃茄及萵筍等，放在雞湯中吸鮮香，健康滋味。娃娃菜入口綿化，有暖笠笠感覺。萵筍翠綠，質感細嫩清爽，十分惹味。伊比利亞橡果豬168伊比利亞有“豬肉界和牛”的美名，以橡果育成，肉質特別鬆軟，肉汁鮮嫩豐沛，連同少許肥膏入口，咬下去軟腍，肉味濃郁，啖啖惹味。首家製足料竹蔗茅根78竹蔗水生津止渴，喝後清熱下火，加上爽口馬蹄及紅蘿蔔，適合打邊爐時清潤喉嚨。手打蟹子鮮蝦丸72手打蝦丸大顆，入口爽彈，吃到粒粒鮮味蝦肉，彈牙吸引。新鮮鮑魚98鮑魚肉感紮實，圓潤厚身，嚼勁十足，啖啖鮑魚純純鮮香，滋味停不了。
火焰豆腐花豆腐花以木桶盛上，在熊熊烈火中燃燒，閃閃藍色火焰，要手機先食!熱燙豆腐花，濃郁的豆香，洋溢淡淡酒香，醇滑輕盈，每啖滑不溜口。
"
2023-10-26,5,5,5,4,4,"
打邊爐真係一年四季都岩打🤭今日就黎左元朗打邊爐呢間餐廳都黎過幾次今次黎竟然有新湯底當然要試一試✨排骨山濃湯鍋上檯個下哇左一餐好震撼勁打卡成座山咁高既排骨同泰國見到既一樣估唔到香港打邊爐都可以見到味道冇泰國咁酸辣更易入口岩晒香港人口味排骨份量多唔好以為淨得骨頭其實肉都好多職員仲會比手套你等你更加方便食✨大滾友牛肉拼盤上檯個陣有乾冰即刻好有仙氣咁牛肉種類同份量都好多而且好新鮮牛味香濃👍🏻✨伊比利亞橡果豬豬肉好爽彈豬味濃入口有油脂香味一啲都唔臊推介👍🏻✨手打鵝肝墨汁墨魚丸呢個幾得意咬開入面有鵝肝食到鵝肝既香氣同時又有墨魚既爽彈唔錯👍🏻✨廣島蠔蠔都好新鮮而且都幾大隻一啲都唔腥✨大滾友雜菜拼盤菜好新鮮種類都好多入面有生菜油麥菜金菇木耳蓮藕萵筍條蘿蔔條岩晒心多咩都想食既朋友仔✨自家製竹筍茅根飲落好清甜打邊爐咁燥熱就可以順便降降火🤭✨出火豆腐花呢個勁打卡📸上左檯之後職員會係你面前加糖點火視覺效果十足等火熄左之後啲糖就會變左焦糖上面焦糖熱辣辣但下面係滑捋捋凍冰冰既豆腐花食完大滿足每次黎都有驚喜價錢黎講唔算平但好高質又打卡而且餐廳裝修都好有特色坐得都幾舒服岩晒同朋友仔黎打卡打邊爐🍲
"
2023-10-22,4,4,5,4,4,"
【元朗特色火鍋店🍲排骨山濃湯😋大滾友火鍋】-
天氣涼浸浸最啱打邊爐🍲今日要介紹嘅係元朗特色豪華火鍋店『大滾友火鍋』，佢嘅排骨山濃湯超足料勁吸睛👀仲有多款高質火鍋配料，大家去滾一定要黎大滾友火鍋啊😋-
火鍋店係雞地嗰頭，元朗站行幾分鐘就到🚶🏻‍♀️入面嘅裝修充滿古典中國風，服務亦都好周到👍🏻一開始會幫手洗碗筷😗食物方面，牛肉、豬肉、海鮮🐟、蔬菜🥬應用盡有😎不過價錢略貴，想食嘅朋友記得去OpenRice訂座，最低有全單⑥⑧折～-
😋排骨山濃湯⛰️$318+1湯底小編揀咗季節限定既排骨山濃湯😝一上枱超震撼😳排骨堆到成座山咁仲飄住仙氣💨湯底酸酸辣辣有啲泰式風味，飲落清爽開胃🤤而且舊排骨都好好味😋肉嫩唔柴之外仲充滿骨膠原😂不過因為太大舊食起上嚟有啲麻煩～好味指數：🌕🌕🌕🌕🌗-
😋牛肉拼盤(細)🥩$418+1呢個拼盤有❻款唔同嘅牛肉部位，包括牛腱、牛頸脊、安格斯、黃喉、牛舌同埋牛柳粒😝小編比較鍾意黃喉夠爽口，牛腱有啲筋位都好食🤤其他都好重牛味👍🏻好味指數：🌕🌕🌕🌕🌑-
😋手打鵝肝墨汁墨魚丸(四粒)🦑$72+1有鵝肝嘅丸真係第一次見😜食落爽口，入面仲有啲墨魚粒😋夠曬咬口～
好味指數：🌕🌕🌕🌕🌑-😋手打蟹籽鮮蝦丸(四粒)🦐$72+1食到一絲絲蝦肉，果然真材實料😗仲好彈牙～好味指數：🌕🌕🌕🌕🌑-
😋伊比利亞橡果豬🐷$168+1伊比利亞橡果豬🐖係西班牙黑毛豬嘅高級名稱，佢地係以食獨有嘅橡果樹見稱🌰食落肥美，肉味濃郁到滿瀉😌絕對係豬界嘅和牛級數🥇好味指數：🌕🌕🌕🌕🌘-
