time,taste,environment,service,hygiene,indigestible,comments
2023-09-14,4,4,4,4,4,"
這間天天海南雞飯位於銅鑼灣，係一間食新加坡菜式店舖，整間店外店內好有別的風格🤔，店面係以磚牆作裝飾，以中西式混和一體，尤其是以綠草作裝置好有田園味道!.天天海南雞$189呢一款係店家招牌菜天天海南雞，望著賣相都睇得吓🤔，配咗3款同醬汁，薑蓉、特製豉油、辣醬等，海南雞肉質鮮味腍嫩😋，再沾吓3款不同味道醬汁更加好食😚，海南雞下面以青瓜墊底芫茜作裝飾，食完啖啖肉食番青瓜爽甜有助解膩!.雞油飯$59/大呢一款雞油飯大大碗😮，整個雞油飯揭開蓋散發油香味😙，食入口粒粒口感軟硬恰恰好!.串串咕嚕肉$109呢一款菜式都幾特別好有特色🤔，係以整個透明樽載上枱，擺上一串串蔬果拌串以3款不同蕃茄菠蘿拌作裝飾，咕嚕肉放係中間又夠爽口冰凍口感，相當之好食又美味😋酸酸甜甜，同時整個噴出勁多煙霧夠哂吸引😲，又如藤雲駕霧真的有得睇又有得食👍!.班斕椰汁燕窩奶凍$49呢一款燕窩奶凍面放上滋潤燕窩😙，食到入口口感班斕香味同埋椰汁清甜😋，同時奶凍好香濃奶味帶點滑口!.新加坡原味豆腐花$29呢一款原味豆腐花白叨叨，豆味濃香😙軟滑，比起一般更加濃濃豆味，食到入口我覺得真的幾好食😋!.
"
2023-08-11,4,4,4,4,4,"
今日嚟到銅鑼灣食晚餐行完皇室堡記得附近有間天天海南雞飯又好耐冇食就決定食佢啦～入去坐低睇Menu好似比我上次去食多咗唔少菜式揀好咗就落單啦😗鮮大蝦冬陰功湯（4隻蝦）$139先來嘅係個湯店員喺我哋面前落四隻大蝦同埋啲配料大蝦真係好大隻同埋好新鮮👍🏻睇住佢滾左就食得～冬陰功湯酸酸辣辣好開胃大蝦鮮甜啖啖肉湯入面仲有啲菇同埋蕃茄仔好好味嘅冬陰功湯我飲咗兩碗😋鮮大蝦冬陰功湯$139黑松露墨魚蝦多士$109呢個係必點每次嚟都一定會食嘅蝦多士😍一上枱已經好香黑松露味咬落去多士好脆口黑松露味勁香墨魚打得好滑身又彈牙又唔會炸得好油膩配埋少少沙律菜平衡返真係大推👍🏻黑松露墨魚蝦多士$109天天海南雞（大份）$189主角出場啦🤩必點天天海南雞雞肉好滑雞皮都好滑配埋佢嘅醬汁真係冇得頂😋😋天天海南雞當然要配埋雞油飯啦😋雞油飯（大窩）$59超好食！佢嘅雞油飯粒粒分明雞油味超香叫咗大窩因為勁鍾意食🤣食左兩碗飯好食到停唔到口😗天天海南雞$189整體嚟講呢間天天海南雞飯真係好出色👍🏻環境舒適店員服務態度好食物質素高好有新加坡味道一定會再嚟食😌
"
2023-06-26,5,5,5,5,5,"
天天海南雞飯係一間傳統正宗新加坡過江龍米芝蓮餐廳，一次過嘗盡四間正宗新加坡經典美食店的美食。四間美食店包括：天天海南雞飯、老街坊、五十年代及超好麵。店舖分室內和露天，露天的地方有太陽傘，座位之間有大電視，室內天花板用了大量綠色植物作裝飾很清新的感覺。餐牌種類多，價錢唔貴，特色菜有：肉骨茶、鮮大蝦冬陰功湯、天天海南雞、新加坡辣椒炒膏蟹......其中兩款套餐：天天海南雞飯米芝蓮套餐和老街坊米芝蓮套餐更是超值、好味、抵食！一坐低餐廳就畀咗一個開胃生果畀我哋，係火龍果粒加少少熱情果汁，好清新！我哋叫了老街坊二人餐$498前菜：蝦皮素肉鬆凍豆腐豆腐上面鋪滿肉鬆仲有啲蝦米仔，個醬汁有微辣配合豆腐一齊吃真係好好食！小食：黑松露墨魚蝦多士蝦多士餡料十足有墨魚汁、墨魚滑膠和墨魚粒，多士上面有蝦球一隻，加上椰菜絲及日式鰹魚乾賣相十分搶眼，再淋上秘製黑松露沙律醬，吃落很有口感，多士香脆可口不肥膩！招牌菜：老街坊牛筋牛腩以新加坡秘製黑磨豉醬炆煮而成，很入味唔鹹，牛腩牛筋炆得很淋啖啖肉，入口即化！燉湯：鮮大蝦冬陰功湯上菜時用一個特色器皿盛載，湯內有一隻大蝦、草菇和車厘茄，大蝦非常新鮮啖啖肉，冬陰功湯酸酸辣辣好開胃！主食：食神魚籽菠蘿海鮮炒雞油飯一上枱就比這道菜吸引，上面鋪滿了魚籽，雞油飯裡面有很多帶子粒、蝦肉粒和鮮菠蘿粒，配合炒飯一齊吃口感更加豐富，伴諜有4片菠蘿乾可當小食吃，幾特別！蔬菜：鴛鴦菜花有西蘭花和椰菜苗兩種菜，很惹味，上面有少少脆脆嘅白飯魚仔，菜炒得很嫩食落爽脆。甜品：新加坡原味豆腐花份量大碗，豆味很香，食落很滑，甜度適中，做飯後甜品一流！"
2023-06-08,5,5,5,5,5,"
今日啱啱同朋友喺附近睇完戲，見到係晚餐時間就行過嚟呢一邊，決定試吓天天海南雞飯，天氣咁熱食返啲東南亞野，感覺好適合！蜜瓜配上百香果汁味道酸酸甜甜，很適合開胃的小食。蝦皮素肉鬆凍豆腐呢個菜好清新，豆腐凍凍地好有口感，再加上蝦皮素肉鬆配合嘅鮮味，真係一啖難忘又醒胃！鮮大蝦冬陰公湯底好香甜，蕃茄味突出，東南亞香料味唔會太濃，大蝦好新鮮，令湯嘅味道更加豐富鮮甜！斑斕椰香鱈魚個汁好鮮甜，鱈魚肉質鬆軟，好易入口，再加上椰汁斑斕嘅香氣，令我哋快啲食哂！天天海南雞果然係招牌菜式，雞肉好滑嫩，雞味濃郁，而且煮嘅時間啱啱好。加上有三款經典醬汁，分別係甜豉油薑蓉同埋酸辣汁，真係一絕！雞油飯，油飯香滑，令人食完之後都想再黎多一碗！鴛鴦菜花用熱窩上菜可保持熱度，菜花炒得好爽口，配合香脆白飯魚仔點綴口感，令人食得好開心！特製豆腐花好滑順，豆香味道都好濃郁，係個簡單而又好味嘅尾聲之選！呢間星加坡風味既餐廳味道好，環境別緻，配合服務細心，係一個值得推介嘅米芝蓮指南餐廳！"
5天前,4,5,4,3,4,"
天天喺正維園對面，從百德新街行過去幾分鐘，francfranc對面就是了。座位有室外，每張枱仲有電視，好適合秋天時候。室內都有大約20張枱，天花有好多綠色擺設。可能今晚七點前已入座，座位未坐滿，都幾有空間感。招牌推介係雞油飯，墨魚蝦多士，賽螃蟹西蘭花。賽螃蟹上面仲有重份量蟹肉，蟹子，配上雞油飯一流。南洋黃咖喱雞肉用石鍋上，夠熱辣辣，咖喱只係微辣，洋蔥薯仔煎過好香口。墨魚蝦多士嘅墨魚滑好彈牙，有趙口。雖然炸過，但唔算油膩。飲品叫咗檸檬Mojito，夠refreshing。份量都唔細。
"
2023-11-11,4,5,5,4,5,"
