time,taste,environment,service,hygiene,indigestible,comments
2023-06-28,4,4,4,4,4,"
在這區生活了這麼久，早有聽聞這間壽司店的名字，所以今次於一個多月前就預約了來這裏吃午餐。午市套餐比較經濟實惠，$780/位已包括4款刺身、料理一客、壽司8貫、海膽飯或壽司2貫。漬物：牛蒡大蒜子薑前菜：💛胡麻醬沙律正常發揮。💛生粟米好清甜、爽口帶點粉粉地的質感。💛茶碗蒸表面有白飯魚乾、蛋蒸得好滑溜，裏面有蟹柳、元貝、冬菇等，味道豐富，💙蠔好肥美，入口順滑。💙赤貝質感爽口，放在檸檬片上，味道更清新。💙深海池魚配柚子胡椒味道帶微咸、微辣。💙紫蘇花蟹肉蟹肉清甜，不用加調味已經好食，而加上一點點紫蘇花就會增添一些紫蘇葉的草本氣色。吞拿魚魚鮫汁甜，味道有點像西京燒汁，吞拿魚魚鮫肉嫩、充滿骨膠原、而中間只有一塊大骨，食的時候也很方便。壽司全部調好味：❤️北海道帆立貝鮮甜帆立貝加上檸檬皮，增添一份清新夏日的香味。❤️金線鯛屬於日本紅衫魚。❤️間八魚屬於日本鱆紅魚，味道較甜、愈近表皮位置愈爽口。❤️醬油漬赤身屬於背脊肉，質感似啫喱，味道帶一點酸。❤️中拖羅配法國魚子醬油脂分佈適中，入口嘴嚼後慢慢溶化，味道因有魚子帶微咸。❤️大拖羅用到吞拿魚近魚鮫位的肉，油脂好豐富。❤️甜蝦把甜蝦打成膠狀，沾上由幾百隻蝦頭、蝦殼熬的醬汁，再伴著脆身鱈魚片，味道同時帶有蝦及魚的鮮甜味。❤️火炙右口魚手捲壽司師傅把右口魚的兩邊都用火燒過，所以右口魚充滿油脂，入口溶化，配著脆身紫菜及壽司醋飯，剛好中和魚的油脂感。可選海膽飯或2件壽司：白海膽魚子飯白海膽是夏天才有，味道較清甜，而且會回甘，配上帶醬油味的魚子剛好。油豆腐麵豉湯吃了這麼多生冷食物來一碗麵豉湯，即時温暖腸胃。柚子啫喱柚子啫喱味道清新，表面灑上一些帶微苦澀的柚子粉，即時清洗味蕾。總括而言，整個用餐體驗是舒適的，因為店員服務親切，師傅亦把每道菜式解釋得好詳細，而且全程吃的刺生都沒有一點腥味（本人好怕腥），所以感覺不錯。
"
2023-06-15,5,4,5,4,5,"
依家日日嬌陽似火，不然就係落傾盆大雨，悶熱到無乜胃口。Father'sday到要氹爸爸開心，一於請佢入元朗食個lunchomakase順道探他朋友。餐廳嘅廚師發辦以價錢嚟講性價比唔錯，海鮮種類幾豐富夠新鮮。職員有禮貌、女主廚在上每道菜時都作詳細介紹・先付・日式芝麻醬沙律酸汁日本水雲藻白飯魚茶碗蒸>水雲藻酸爽開胃，第一次食有白飯魚嘅茶碗蒸，爸爸話味道幾新鮮蛋滑一滑・刺身四品・小長井真蠔>金箔裝飾增添豪華感，蠔肉飽滿爽身、入口creamy中有金屬味，配自家製酸汁和蔥粒突顯鮮味赤貝>新鮮赤貝被師傅猛力一拍令其神經收縮食落爽脆、爸爸話細味之下很清甜，面灑上七色芝麻更香脆松葉蟹>海水味濃、配紫蘇花食用增添香氣間八/章紅魚>近魚腩部位、魚色偏白魚味清淡肉質爽口・料理1品・燒目光魚>肉質嫩滑酥香可加入檸汁一齊食，燒過後骨也可以食，味道幾濃・壽司8貫・金線鯛/紅衫魚>肉質有彈性味道鮮香，魚皮經過處理幾爽口醬汁漬赤身>浸飽醬汁的魚肉口感似啫喱口感，是吞拿魚背脊部位味偏魚味酸濃帶子>燒得有油香，帆立貝肉一梳一梳的口感，包紫菜做成手卷食用中拖羅>口感軟滑魚味厚油份重，配法國魚子醬鮮上加鮮銀鱈魚>炙燒的北海銀鱈魚肉質柔潤魚香四溢，集香、軟、滑於一身蛇腹拖羅>係全條吞拿魚最肥美部位、油份最高點！配自家製蔥汁芝麻油降油膩感增強甜味。爸爸話第一啖已嚐到鮮甜油香又滑、醬汁清甜蝦>蝦膠好甜糯漿口，加入蝦頭蝦膏的精華煮成汁令蝦嘅味道甘香，配脆片好好味燒右口魚邊>甘香豐腴嘅部位燒過加倍香蜜、入口即溶！師傅講把滴滿魚油魚汁的醬油留下、為下道海膽丼加添鮮味海膽丼>師傅好重手落多多海膽、正！配店家製醃三文魚籽，卜卜脆鮮味之餘帶點酒香，洒上金箔、倒埋剛才的燒右口魚醬汁撈勻嚟食，爸爸話鮮味在口腔內盡情爆發、好滿足！・甜品・焙茶布甸>面頭有質地淡奶加紅豆蓉、布甸滑滑，食時一𢳂落底混和焙茶沉澱層，茶味更上一層樓金線鯛/醬汁漬赤身/中拖羅/銀鱈魚/蛇腹拖羅小長井真蠔赤貝/松葉蟹/間八海膽丼燒右口魚邊帶子蝦燒目光魚/白飯魚茶碗蒸/酸汁日本水雲藻焙茶布甸/味噌湯"
2023-05-31,5,5,5,5,4,"
📍「寿司の神」-元朗今次食食食之旅黎到元朗😌雖然宜家好多間omakase店，但係呢個位於元朗嘅「寿司の神」係omakase界嘅元老，開咗十年咁耐，梗係要嚟試吓佢嘅lunch啦☺️
