time,taste,environment,service,hygiene,indigestible,comments
2023-08-23,5,5,5,5,5,"
而家機票仲係好貴，唔使飛去泰國，九龍城都可以食到地道正宗嘅泰國菜，CP值高！
講緊嘅係小曼谷海鮮燒烤屋，侍應一般都係泰國姐姐，好似去旅行咁好有親切感。餐廳仲要有室內同埋很chill的戶外座位。
我想聽LiveBand所以揀咗冷氣室內位置。食客興致勃勃仲可以點唱添。
泰式燒豬肋骨泰式ribs配搭下片，惹味可口，飲啤酒一流！
泰式燒豬肋骨燒至金黃香脆，肉質鮮嫩多汁，新鮮熱辣出爐，咬落口感爽彈，大大條，結實清爽，配上甜辣醬汁更能增加風味。
還有我最喜歡的泰式蝦片，人氣地道小吃，特色香脆可口。
椰汁冰椰子香味濃郁，清爽冰涼，飲落令人有爽朗清新的夏天感覺。
泰式風情薄餅(泰國臘腸芝士蕃茄仔）泰式風情薄餅充滿芝士香味，泰國臘腸、芝士、蕃茄仔味濃，薄餅爽脆，外層香脆增添不少惹味。
泰式干炒海鮮米粉泰式干炒海鮮米粉加入大量海鮮配料，綿密又有口感，輕點泰式醬汁，鹹甜濃郁，海鮮味濃厚，入口惹味，突出香濃。
椰汁西米糕拼泰式千層糕椰汁西米糕內裡煙靭，泰式千層糕口感有點像年糕，味道微甜，用上椰汁作調味，再加上顏色清新，樣式靚靚，打卡又得，下一次我都會再黎食啊！
今次同朋友食咗2個鐘，服務幾好，主動換碟，又唔會趕客人走，食物質素也不錯，係一個泰菜好選擇。
"
2023-08-02,5,5,5,5,5,"
小曼谷海鮮燒烤屋琴日食唔到「聯發」去咗轉個彎食「小曼谷」，九龍城出名勁多泰國菜食，唔一定要食拒絕輪椅人士入去嘅「聯發」！呢間「小曼谷」門口都係有一級，又係出動我塊斜板嘅時候，入到去老闆娘熱情招呼我，呢度下午茶都只係$49，加小食都係$29，我哋就叫咗2個下午茶食！1.冬陰牛腩湯河粉配泰式冰奶茶$49（9.5/10）呢碗湯河係用咗冬陰功做湯底，牛腩都有7舊，每舊都好淋身，入面仲有生菜同秀珍菇，再配埋泰式奶茶就掂哂，其他泰國菜餐廳大多數泰式奶茶要加錢，呢間唔洗加，仲唔會好甜，正！😋😋😋2.泰式豬頸肉炒飯配泰式龍眼冰$49（9/10）呢碟炒飯炒得好香，炒到d飯粒粒分明，將雞同蔥一齊炒，仲有成10舊豬頸肉添，再配埋泰式龍眼冰掂哂，其他泰國菜餐廳大多數龍眼冰要加錢，呢間唔洗加，仲唔會好甜，入面仲有成約10粒龍眼肉，正！👍👍👍P.S：臨走老闆娘影咗我塊斜板相，佢話佢要幫餐廳買返一塊比其他輪椅食客方便入嚟食野，呢個行動值得讚，塊板其實唔係好貴，你哋少少改變令其他人方便d，咁先係配得起「無障礙環境」呢5個字，「無障礙」唔係口號，要大家一齊努力！2人總共價錢$98個人口味總評分：9.25/10@minibangkok地址：九龍城太子道西398號御太子地下1-3號舖Pleasefollowme🙆‍♂️@wheelchaireatinhongkong如果鍾意我嘅分享，麻煩請follow我，仲有記得Like同Share！🙏🏻🙇🏻‍♂️#小曼谷海鮮燒烤屋#泰國菜#九龍城#九龍城美食#九龍城好去處#香港美食#hkfoodie#hkfoodblogger#hkfoodpic#hkfoods#hkfoodshare#dessert#hkdessertshop#food#hkfoodstagram#hkfoodpic#hkigfood#foodiehk#yummy#delicious#foodie#hkfoodieblogger#hkfoodies#wheelchaireatinhongkong
"
