time,taste,environment,service,hygiene,indigestible,comments
2023-10-24,5,4,5,4,5,"
Duck哥🦆好耐都冇食過蒸氣火鍋，記得係5️⃣~6️⃣年同啲同事食過一間幾好食，叫小漁港，二話不說就即刻打電話去book。門面依舊、環境依舊、服務依舊，希望食物都可以依舊🥰。睇返餐牌📔，是日廚師智選套餐都只係$318/位，仲要星期一至四免加一、免茶芥、免小食(當然公眾假期除外)，咁抵😍，唔諗啦，就呢個啦😋。避風塘鮮魷$68記得呢度嘅避風塘鮮魷🦑好出色🥰，即刻叫份再回味下，魷魚🦑外層炸得十分鬆脆乾身，外脆內軟，完全唔韌，而且份量一啲都唔少，抵食😋。是日廚師智選套餐$318刺身拼盤拼盤一共有5️⃣款刺身，包括希靈魚、北寄貝、三文魚、油甘魚和馬刀貝，另外仲有每人1️⃣隻已經蒸熟嘅琵琶蝦🦐；刺身全部好新鮮，但要注意每日款式未必一樣😊；至於琵琶蝦🦐口感嫩滑，味道鮮甜，好好食😍。第2️⃣份就有聖子、花甲和蠔，同樣全部都好新鮮，鮮味十足😍。第3️⃣份係蟹，大大隻蟹🦀，店員會俾你睇完，確保隻蟹係完整後😆，就會拆去蟹蓋，蟹蓋連埋蟹膏就放落鍋底煲粥度😍；今次隻蟹蟹膏一般，但就好鮮甜，蟹腳亦非常多肉😋。最後當然就係鍋底之中一個吸收了4️⃣份精華，吸收了蟹膏蟹蓋🦀，吸收了所有精髓的一碗粥🍚，就是好味，好味到停唔到口🤤。甜品黑糖味嘅茶粿，煙煙韌韌，甜味剛好😋，完美作結🥰。總括而言，食材非常新鮮，價錢唔貴，性價比高；最後要大讚👍嘅係呢度啲店員，當晚差不多全場爆滿，店員已經非常忙碌，但仍然對每枱食客有問必答，更加教埋阿仔點拆蟹鉗和怎處理琵琶蝦，大讚🫶。
"
2023-10-18,4,2,2,3,3,"
年紀大了，同老朋友敘舊已不是落bar飲酒吹水，而是簡簡單單，搵間麻甩格局、街坊氣氛濃厚嘅餐廳食飯、發噏風一番。幾個朋友都想食原味海鮮，揀了間未試過嘅【小漁港海鮮舫鮮蒸·鮮味火鍋】。
餐廳位於太子荔枝角道舊區，以為主力做街坊生意，估唔到全餐廳滿座，而且似乎大部份都係外區客人。雖然已經提早一個多星期訂枱，但只獲編配八點後的第二輪晚飯時段。始終係30年以上的舊樓地舖，樓底很矮。枱與枱之間的空間又非常擠迫，每枱客人又多；造成室內環境非常嘈吵，直逼酒吧，只是缺少了大電視直播球賽的聲浪。吹水也要拉高嗓子，否則連同枱食飯朋友的說話內容也聽不清楚。
主打海鮮蒸鍋，香港以前又是小漁港，雖然沒有刻意打造懷舊裝修風格，四邊牆上仍然掛了很多巨大黑白炭筆風格風景畫，全部都是上世紀20至90年代的香港風情，增添一些懷舊風味。
餐廳名字中的「鮮味火鍋」有少少誤導，最低限度現時已經沒有供應港式火鍋，反而可以加錢加粥底。在蒸鍋內加入預先浸發的米粒、瑤柱、粥料及適量清水，蒸海鮮時滲出來的鮮美汁液就會一滴不漏瀉入鍋內，煮成美味海鮮粥，成為豐盛海鮮餐後的主食。見到套餐內的海鮮款式夠多，又有蒸雞及烏冬；加上上次吃海鮮蒸鍋加粥底的經驗，最終吃剩了而浪費食物，今次放棄粥底。
地舖面積算夠大，門面有足夠空間安裝大大個玻璃水缸，養殖了花竹蝦、龍蝦、瀨尿蝦、皇帝蟹等等。容易吸引客人目光，招攬生意。
有三款不同價位蒸海鮮套餐供選擇，另外還有幾款餐前佐酒小食。全部小食都係香口、油炸、惹味，典型港式大排檔或避風塘風味。
唔夠六個人，揀唔到包括阿拉斯加皇帝蟹嘅套餐，只好揀第二級嘅Parco發板餐（$398/位），如果週一至週四光顧套餐，可以免茶芥及免加一服務費。
Parco發板餐（$398/位）共有九款海鮮。全部由侍應負責席前蒸海鮮及設定蒸海鮮時間。蒸熟後，客人自助享用。
追加小吃避風塘鮮魷（$68）爽口彈牙，但避風塘椒鹽炒得唔夠惹味香口，唔夠乾身。
避風塘鮮魷$68象拔蚌刺身拼盤除了象拔蚌之外，另外還有五款刺身：三文魚、三文魚腩、油甘、帆立貝及刀貝。選用加州象拔蚌，爽脆口感及鮮味一般，有少少腥，比不上加拿大象拔蚌。勝在份量多，抵食。
象拔蚌刺身拼盤龍蝦半隻選用西澳洲龍蝦，蝦頭爆膏。龍蝦肉爽甜彈牙，配搭蒜蓉提升鮮味。龍蝦膏軟糯黏滑，味道鹹香。
西澳洲龍蝦元貝用蒜蓉、豉油及粉絲配搭清蒸。元貝大小適中，清蒸時間控制完美，入口軟身、有彈性，沒有過火而變得粗嚡硬身，保持鮮甜多汁，鮮味滿瀉。海蝦起初以為係魚缸內的花竹蝦，原來只係普通海蝦，游水花竹蝦要另外加錢單點。蝦肉尚算有鮮味，口感爽口中有點軟身；但肉質帶韌有渣。
元貝、海蝦鮑魚台灣九孔鮑魚結實煙韌有咬口，彈牙程度一般。有少許鮑魚味。海魚一件是日選用馬友去骨清蒸。肉質爽口結實。馬友本身有魚味，但魚汁唔多。
台灣九孔鮑魚、馬友貝殼類3寶：紐西蘭青口、花甲、沙白花甲及沙白味道鮮甜，但太細隻，較適合清酒煮或者豉椒炒，用來清蒸賣相唔吸引。紐西蘭青口軟滑味鮮，更加好食。
貝殼類3寶：紐西蘭青口、花甲、沙白
套餐原本係瀨尿蝦，是日沽清，改為半隻肉蟹(奄仔蟹)。奄仔蟹有稍為洗刷，但唔夠徹底，殘留了一些黑色污垢在蟹爪及蟹身之間的關節位置，稍稍影響觀感。蟹肉結實爆殼，蟹味鮮甜多汁，好食。可惜只有少許蟹膏，如果爆膏嘅話，會更美妙。
半隻肉蟹(奄仔蟹)農家四寶：南瓜、粟米、勝瓜、芋頭配搭蟲草花蒸雞烏冬墊底終於輪到蔬菜，雖然有四款，但整體份量偏少；如果多一些蔬菜，整個套餐會更健康。
農家四寶：南瓜、粟米、勝瓜、芋頭配搭蟲草花蒸雞烏冬墊底
原隻鮮雞斬碎清蒸，大概有四份一隻份量，肉質嫰滑。墊底烏冬吸收了雞汁及蔬菜汁之後，估唔到竟然很好味；如果烏冬質素好啲，口感可以更加爽口煙韌彈牙嘅話，會更加好食。
海鮮夠新鮮，算好味道。但以差不多相同價位的套餐比較，海鮮款式及級數及不上之前幫襯過的另外兩間競爭者。
"
2023-10-12,5,4,4,4,4,"
前兩日去呀媽去左太子呢間蒸氣火鍋，試完之後真係明點解會長期爆滿🤤叫左每位$318廚師發辦蒸氣海鮮餐，再額外點個粥底同小炒。成個蒸煮過程都有店員協助火候拿捏得好好。高質素，大滿足🙌🏻✨刺身拼盤呢度有刺身食其實都幾驚喜😂但質素又幾好喎。有三文魚/希靈魚/北寄貝/油甘魚腩/象拔蚌。
✨八款時令海鮮海蝦/龍蝦/扇貝/鮑魚/馬友魚/蜆/蠔/花甲好豐富🥰每款都好新鮮。特別喜歡龍蝦（厚肉又實淨之餘仲要用蒜蓉蒸，勁好味）同馬友魚（唔腥，魚肉好滑，仲要完全無骨啖啖肉）。
✨一款主食+四款時蔬蟲草花蒸雞配烏冬上芋頭/粟米/勝瓜/南瓜。個蟲草花蒸雞非常香滑，而且個烏冬係勁好食！完全索哂啲雞汁，我食到停唔到口🥹✨瑤柱排骨粥我地額外叫左個粥底，所以店員一開始就放大材料係底。我地一路食啲海鮮，啲精精神就一路滴落啲粥度。熬呀熬⋯最後個成品又綿又香濃⋯讚🥰
✨避風塘鮮魷食中菜必食🙌🏻香口！惹味！上菜後唔會腍哂！做到哂以上都抵讚喇掛？😎
"
2023-08-16,4,4,4,4,4,"想食海鮮又唔想洗做？😌去小漁港等人服侍就最好🤴🏻🫅🏻呢個價錢呢個服務真係唔話得🫶🏻一坐低就有人服侍首先野飲6款超過十幾隻味任揀一支好快手就上左刺身估唔到佢食蒸海鮮魚生都一樣咁好味😋條街出面熱辣辣食個凍盆成個人舒服左侍應姐姐提我地個Wasabi好攻鼻👃🏼食完真心正之後夾到時間啱啱好食完刺身個小食就到避風塘鮮魷🦑唔會好咸又嫩已經好滿意隨手放低埋壺茶☕️基本每樣野都會溫馨提示你一次叫我地小心壺茶好熱🍵再跟手整定個蟹蓋瑤柱豬骨粥底真係生米煮成熟飯
