time,taste,environment,service,hygiene,indigestible,comments
2023-07-10,5,5,5,5,5,"
同朋友相約吃火鍋🍲，上網搵咗呢間樓上店，見食評都幾好於是試一試，地方不是太大但座位坐得舒服，有私房菜格局，冷氣也很足夠。👍💯一坐低店員就拎左醬料架畀我哋$30，都有好多種唔同嘅選擇。👍💯火鍋店價錢合理唔貴，食物有很多選擇，有火鍋🍲、串燒🍡🍢、刺身、小吃，仲有私房菜，任君選擇總有一款啱自己。😋我們揀咗鴛鴦煲$165：血池麻辣湯（小辣）和姬松茸冬瓜湯一上枱就香到令人流口水🤤，麻辣惹味😍，冬瓜湯清甜消熱👍🫶雙拼餃子🥟$96：木耳鮮蝦雲吞西洋菜香菇餃雲吞皮薄餡靚，鮮蝦🦐大大隻新鮮爽口彈牙，水餃有很多西洋菜和香菇，食落感覺好清新，兩款餃子嘅味道都好好食！🫶😋鮮先打四寶丸$86：有墨魚丸🐙、蝦丸🦐，豬肉丸🐷，牛丸🐮四款丸全部都係新鮮手打，咬落非常彈牙，味道各有特色。👍牛三拼$268：雪花牛柳粒特尚手切牛本地手切牛三種牛肉🐮吃落都非常有牛味，特尚手切牛和本地手切牛油脂分佈平均，吃落非常嫩滑，牛柳粒灼一灼就可以吃，非常軟淋，值得推薦！👍💯💯💯💯💯💯黑豚肉片🐷$55分量多，每片豚肉🐷中間夾雜著油脂，食落唔肥膩又軟淋，好食！😋🤤👍墨魚滑🐙釀冬菇$55冬菇同墨魚滑🐙味道好夾，墨魚滑🐙爽口彈牙，鮮冬菇吸收了冬瓜湯的味道，好味。😋💯田園盛（有機）$86蔬菜份量多，有蕃茄🍎、粟米🌽、白蘿蔔片、娃娃菜和油麥菜🥬，粟米🌽超甜，蔬菜🥬🥦吸收了冬瓜湯很清甜。😍"
2023-06-19,4,4,4,4,4,"
今晚好開心食到好味嘅火鍋，上到去職員好有禮貌安排坐位後⋯⋯叫咗一個椰子清雞鍋
椰子青雞鍋$227唔好睇個湯底咁清，開始滾起嘅時候洋溢椰子味
職員話滾起之後焗2分鐘，再開火就可以慢慢品嚐雞件，我哋梗係急不及待啦⋯⋯因為真係香噴噴，雞肉嫰滑正到冇朋友個湯底好甜，不經不覺飲咗一碗😆
本地手切牛$338啲本地牛好新鮮，紅粉菲菲，薄薄一片淥一淥就食得
雙拼餃子$96木耳鮮蝦雲吞西洋菜香菇餃餃子餡料飽滿，好鍾意呢兩款餃子嘅味道，肉同菜嘅分布啱啱好
脆鯇魚片$72立立令嘅鯇魚片非常新鮮，薄薄一片，淥一淥食得，非常脆嫰
四色丸$94甜薯墨丸、松露豬肉丸、芥末蝦丸、金沙鮮牛丸呢四款丸全部都有餡，味道各有特色，全部都係手打，咬落非常彈牙，叫四款，試到佢嘅特色之處，火鍋店非常有創意
嫰滑嘅雞件配上多蒜多蔥
黃沙豬膶$55份量十足，而且真係黃沙豬膶，打邊爐我一定叫
真係好正
咁多肉類，一定要叫款菜類有機菜心苗，$39幼嫰菜心苗好甜口
自家製青檸梳打蜂蜜$68打邊爐我鍾意叫有氣飲品，呢款青檸梳打酸酸地，超解渴消暑，打邊爐最啱呢度啲職員好貼心，好有禮貌，我同朋友都食得好滿足，下次會帶屋企人過嚟品嚐"
2023-10-22,2,1,3,,,"
