time,taste,environment,service,hygiene,indigestible,comments
2023-10-29,4,5,5,4,4,"
《岩鹽日本料理》今次同大家介紹下呢間位於銅鑼灣既日式餐廳，環境舒適，有唔同日式料理，仲有釜飯晚餐指定套餐有5️⃣5️⃣折！🥗日本蕃茄沙律沙律菜非常清爽新鮮，配上酸酸甜甜既蕃茄同醬汁，真係一道好好既開胃菜🍣油甘魚腩壽司好新鮮魚味好重而且好肥美🍣帶子壽司好厚身有火炙燒過突顯帶子鮮甜味🍤雜錦天婦羅種類豐富，有蝦，茄子，蕃薯，南瓜，冬菇炸皮夠薄脆，配上蘿蔔蓉同天婦羅既汁，好味
🍢串燒盛盒有8串，分別有雞翼，冬菇，番薯仔，雞軟骨，牛舌，青椒仔，京蔥豬頸肉串等樣樣都唔錯，特別係京蔥豬頸肉串同牛舌👅雖然京蔥燶左少少，但mi左表頭果層就得
🥩燒鵝肝澳洲和牛釜飯有好多塊和牛🤭牛味好重鵝肝燒得好香感覺成碗飯高級左釜飯食到最底有飯焦🥹加少少茶落去可以做茶漬飯👍🏻一飯二食🤣
.__..__..__.🐥🐥🐥.__..__..__.環境：🐥🐥🐥🐥🐣/5服務態度：🐥🐥🐥🐥🐣/5食物質素：🐥🐥🐥🐥/5性價比：🐥🐥🐥🐥/5回頭率：🐥🐥🐥🐥/5"
2023-10-26,4,4,4,4,4,"
香港銅鑼灣日式料理
今天去銅鑼灣時代廣場逛街，晚上去了利舞臺商場找吃的，裏面有很多餐廳，看到這家餐廳門面的日式釜飯很特別，便來試了
餐牌款式很多，除了刺身、生蠔、還有串燒、燒物等，圖文並茂，
餐廳環境寬敞，昏暗環境適合飲酒，晚上也很熱鬧。
提供熱茶，另收加一服務費。香蔥吞拿魚腩蓉軍艦$62火炙左口魚邊壽司$52
這裏的魚生鮮味，可以試吓壽司拼盤、定食，指定套餐期間限定優惠，低至55折起，非常吸引串燒盛盒（8串）$128下酒菜必點：七味牛舌串、香燒雞翼串兩隻雞翼、燒雞軟骨串、合鴨大蔥串、蘑菇、肉丸、日本青椒、日本甜番薯等串燒和風牛肉釜飯$138日式古法煲仔飯，吃到最後的鍋巴可以加入味噌熱茶打開變成湯飯。
和風牛肉飯味，有太陽蛋、蘑菇、肥牛、洋蔥、青豆、紫菜等配菜加上粒粒珍珠米。重口味的朋友可以落旁邊的醬油。炸青森帶子$68有4件外脆內嫩的香口炸帶子，配合蛋黃醬，非常惹味八爪魚意大利風沙律$78泰式風味甜酸醬配彈牙的八爪魚片
"
2023-10-24,5,5,5,5,4,PeakseasonOT，一個人鼠出去嘆個晚飯。話明係嘆梗係要食得好少少，所以揀咗呢間以打工仔晚餐角度嚟講都算中高級價位嘅日本餐廳。點咗一客「燒鵝肝澳洲和牛釜飯」$168，再加一串「燒牛舌」$30同埋「汁燒墨魚串」$20。「燒鵝肝澳洲和牛釜飯」都幾有儀式感，一上菜，店員就擺低個沙漏，還漏完之後先可以打開釜飯蓋，再淋上醬汁攪勻食。呢個set仲跟幾塊魚生、麵豉湯、沙律同埋漬物。魚生有三文魚、帶子同埋一塊唔知乜嘢。味道方面坦白講，係好鮮甜新鮮嘅，可惜份量就相當有限，到喉唔到肺，唔緊要啦，個飯先係重點。打開個飯蓋熱氣騰騰嘅香味撲面而來，淋上醬汁再攪勻，個飯嘅份量足足可以𢳂出三碗，份量好鬼足，釜底仲有少少飯焦，成個飯仲混入菇呀、栗子呀，撈埋食好甘香可口。至於燒鵝肝，得一塊，好彩算厚切，而且油脂嘅香味無得頂。澳洲和牛就4-5塊，都唔薄，本身睇落以為有啲硬硬要出啲牙力，但食落發現其實幾嫩口，而且肉汁喺齒縫間滲出，幾正斗。串「燒牛舌」就好難有得輸，汁多味美爽口。串「汁燒墨魚串」就一般般喇，口感係幾滑溜嘅，不過就比較淡味。
2023-10-12,5,5,5,5,5,"
之前係旺角見到已經想食琴日去左銅鑼灣又見到就去試試😌去到門口見到餐牌寫住📣指定套餐期間限定低至55折起❗️真係好抵❣️⭕️八爪魚意大利風沙律好清新嘅前菜有驚喜😍八爪魚🐙一啲都唔韌好易咬得開醬汁酸酸辣辣好開胃而伴碟嘅青瓜🥒同椒絲仲一啲都唔馬虎誠意之作😍⭕️芒果奇異蝦卷🍤卷物一款有四舊依款芒果🥭加奇異果🥝食落好fresh配搭幾新穎🤩唔錯👍🏻⭕️軟殼蟹卷伴牛油果🥑醬而軟殼蟹依款就比較常見軟殼蟹十分脆身面頭除咗有牛油果醬仲有大量蟹籽口感相當rich💕⭕️清酒煮花甲💯分鮮甜嘅花甲加上牛油香😌花甲數量好多而且每粒十分飽滿再飲埋個湯底冇得輸👏🏻⭕️菠菜蟹肉陶板燒🦀同樣以鍋形式上底下有個火滾住🔥Keep到食物熱度菠菜同蟹肉份量好夠底層仲有啲蛋同幾舊冬菇材料豐富又健康🫶🏻⭕️松葉蟹肉釜飯🍚🗯️係門口已經見到有個釜飯station餐廳有成十款選擇每款附加茶漬及紫菜片上餐時仲有個1分鐘嘅漏斗夠鐘就可以開蓋食啦😋我地依款有蛋黃/蟹肉蟹膏/雜菇/蟹籽等等材料多到不得了底下仲有少少飯焦✌🏻係我最愛食到一半加埋茶漬食用另有風味😋
"
2023-09-02,5,5,5,5,5,"
銅鑼灣上班的朋友，推介利舞臺廣場的岩鹽日本料理，餐廳的釜飯十分受歡迎，刺身CP值也很高。香港人真係好鍾意食日本野，BlueMonday晚上8點仍然坐滿人，見到食客很多食套餐，我哋都試吓！一個價錢已經包括前菜、主食、湯、飲品/甜品，不用煩惱輕輕鬆鬆品嚐日式晚餐。日本黑豚吉列盛合定食(1人刺身）$268正式主角係日本黑豚吉列，配搭了沙律、刺身、枝豆、漬物盛合、泡菜、白飯、味噌湯。最喜歡呢個餐跟一人份刺身，新鮮甜美，帶子肥厚好味。日本黑豚吉列盛合定食外觀精美，味道美味，尤其是炸得金黃酥脆的吉列黑豚肉，肉質非常嫩滑，豐富的脂香，味道濃郁。搭配炸白身魚，非常美味，肉質鮮嫩多汁。炸蝦餅帶有獨特的烤香味，配以獨特的醬汁，增添風味。還有炸帶子令人垂涎的日本美食。定食配搭新鮮沙律、枝豆，漬物盛合、泡菜加一碗美味的日本白飯。最後再飲一碗味噌湯暖胃。凍咖啡餐飲凍咖啡，味道超級濃郁。九州魚生丼定食$268九州魚生丼定食唔好錯過新鮮的魚生片，特色在於新鮮、清爽、且充滿海洋風味，高質！味道方面，三文魚、帶子、油甘魚、赤身，質地鮮嫩，味道既鮮美又多層次。季節食材、芥末一點微辣的刺激，整體味道更加豐富。海膽、三文魚籽、甜蝦，搭配壽司飯的香氣，濃郁海膽味道，與三文魚籽的鮮味，奢華感提升。MOVENPICK雪糕套餐甜品雪糕讓人難以抗拒。"
2023-11-17,4,4,4,4,4,"
🍱日式套餐割引大放送🍱-閨蜜喺哈日族🇯🇵食飯一定揀日本嘢反正餐廳而家有指定套餐優惠低到去55折😍我當然樂意去捧場-🥚温泉蛋蟹肉胡麻豆腐沙律$58豆腐本身滑嘟嘟再用埋温泉蛋黃蛋白做醬汁滑溜口感doubleup😝-🦪清酒煮花甲$88花甲肥嘟嘟熱騰騰湯頭裏面嘅酒精已經揮發晒味道清甜仲好暖胃𠻹
-🍢串燒盛合$128醬汁免治雞肉丸🍡有雞軟骨碎口感唔錯燒雞翼嘅外皮應該燒到微焦會更香更好食最like都係䐁肉大蔥串😍有肉鮮又有油脂甘香
-🌯鰻魚忌廉芝士卷$98蛋皮外層同鰻魚幾夾芝士味就唔明顯啦-🍱和風牛肉釜飯$138牛肉片唔肥飯粒飽滿最正都係底下嗰啲飯焦食到咁上下到啲高湯入去做湯飯🥣
-🍧香桃雪葩$54-📍岩鹽日本料理銅鑼灣波斯富街99號利舞臺廣場16樓A舖"
2023-11-12,4,4,4,4,4,"
再次到訪岩鹽日本料理☺️好掛住佢哋嘅卷物•串燒和釜飯👄餐廳主打日式料理食物選擇很多👍🏻而且座位很寬敞舒適🛋先講串燒方面:雞翼|雞軟骨和雞皮都燒得很香口😍
炸青森帶子脆脆的是一個新口感🥰肉厚爽口而且味道鮮甜值得一試.ᐟ‪‪.ᐟ
鰻魚忌廉芝士卷口感很豐富滿滿的芝士很邪惡😈而清酒煮花甲清酒味濃郁🍶每啖都是花甲的鮮味🥢
不得不吃它們好出名的釜飯🍚擺盤十分精美和細心💘每款釜飯都會附上茶♡紫菜片♡漏斗⌛️上餐夠1鐘就可以開蓋食飯😆廣島蠔好大隻肥美厚肉😘放入醬油攪拌均勻就食得🤤吃到一半更可倒入茶泡飯吃🫖同樣滋味底下仲有少少飯焦一定要食埋佢😆
最後來個香桃味的雪葩這一餐吃得超滿足呢*´▽`*❣️餐廳現正進行指定套餐限定優惠💰低至55折快啲去試吓啦💗
"
2023-11-08,5,5,5,5,5,"
岩鹽位於利舞臺廣場16樓放工黎食最好，環境坐位都好舒服👍🏻👍🏻🥭🥝🦐芒果奇異蝦卷$48.00微暖炸蝦用壽司飯卷住，加上香甜芒果，芒果上加上金奇異果，再加少少蟹籽，層次感豐富，酸酸甜甜，好食👍🏻👍🏻雜錦天婦羅$98.00茄子🍆蕃薯🍠蝦🦐香菇🍄南瓜🎃麵線，炸到脆卜卜👍🏻👍🏻🍚燒鵝肝澳洲和牛釜飯$168.00朋友想食嘅釜飯，和牛柔軟到不得了，無平時和牛嘅油膩，牛肉味香噴噴，而鵝肝就香軟質感細緻，飯裡面加左支豆同粟子增加口感同甜味，混合一齊大大啖咁食，真係滿足到喊呀🥹🍅🥗日本番茄沙律$98.00蔬菜加上清新日本蕃茄👍🏻好fresh🥬木魚高湯浸翡苗$88.00豆腐皮，本菇，豆苗，木魚碎層層疊咁，用酒精加熱keepwarm，非常好食👍🏻
"
2023-11-08,4,5,4,4,5,"
喺利舞臺一向都多嘢食，岩鹽日本料理應該係之中比較抵食又坐得舒服嘅日本菜之一。近期仲有好多折扣優惠，定食套餐55折起，而且每個套餐包咗沙律、刺身、漬物、味噌湯、飯同飲品/雪糕，豐儉由人😳北海道海鮮釜飯折後$178定食套餐嘅刺身有帶子、三文魚、油甘魚各一件過吓口癮，而主角北海道海鮮釜飯一打開係有海膽、三文魚籽、蟹鉗、火灸三文魚同鰻魚等，都幾豐富☺️燒安格斯牛扒定食折後$198安格斯牛扒會預先燒到三成熟左右，然後可以自己喺鐵板上面燒到自己鍾意嘅熟度，可以配鹽或者附嘅帶甜酸味嘅燒肉汁一齊食🥩最後意想不到嘅係定食套餐嘅甜品竟然係Movenpick同Haagen-Dazs雪糕，甚至係新款嘅馬卡龍朱古力味，整體嚟講的確幾抵食🥹
"
2023-11-04,5,4,4,4,5,"
銅鑼灣🚇利舞臺廣場呢間岩鹽🇯🇵日本料理食品款式多又抵食🤩，入面地地方👍好大又多卡位🛋️，係銅鑼灣🏯日料其中一個好去處。
充滿西日風情嘅🍄黑松露日本🍅番茄伴水牛🧀芝士沙律🥗十分之清新，醬汁酸甜之間滲出🤏陣陣黑松露香，加上軟滑嘅水牛🧀芝士令人好開胃。
鰻魚柳川鍋🍲味道十分香濃，鰻魚🐟嘅鮮味滲透晒入去滑蛋🥚入面，加上洋蔥🧅同埋偏甜嘅醬汁，好啱我口味🤤！
雜錦天婦羅🍤有蝦、紫蘇葉🌱、冬菇🍄、茄子🍆、南瓜🎃同埋番薯🍠，好豐富而且脆漿👍又薄又鬆化。
串燒🔥亦都喺度其中一項主打嘅😋食品，而且價錢都好💰相宜，我哋叫咗燒牛舌👅、燒雞翼🐓同埋燒西京🐷豬頸肉串，真係高質🥰抵食。
