time,taste,environment,service,hygiene,indigestible,comments
2023-11-13,5,5,5,5,5,"
晚上跟哥再次去了銅鑼灣的川滿居吃晚餐。😍門口長這樣金湯酸菜魚(bb辣)湯底呈現出金黃色澤，口感濃郁，充滿了酸菜的酸味和魚的鮮美，是川滿居的招牌菜之一。魚肉肥美鮮嫩，湯汁濃郁，搭配上酸菜和辣椒，讓整道菜的味道更加豐富。除了魚肉外，還有豐富的菇類，增添了口感的層次感。凍檸茶(少冰走甜)凍檸茶的口感清新，帶有微微的檸檬酸味，少冰的口感更加順口。如果您喜歡微甜的飲品，可以選擇走甜的口味。片皮鴨(半隻)以烤鴨為主要食材，配以醬料、麼麼皮、青瓜和蔥等佐料，是一道非常具有特色的川菜。鴨皮烤得酥脆，肉質鮮嫩多汁，口感豐富。配上醬料和蔬菜，增添了口感的層次感。招牌香鍋(醬香，不辣)我點了午餐肉、雞軟骨、花甲、蓮藕和茄子。每一款食材都經過精心烹調，口感濃郁，香氣四溢。這道菜的份量非常豐富，適合與朋友一同分享。"
2023-09-07,5,4,5,4,4,"
趕得切坐埋最後一張卡位，侍應送上熱水，友人洗食具，我就負責點餸。食得多酸菜魚，都未試過招牌香鍋($26)，加任選五餸起炒，口味方面辣嘅有香辣/麻辣，唔辣嘅可以要醬香。超多材料選擇。今晚試吓唔辣嘅醬香，所選餸料有牛肉片($46)，牛肚($46)，魷魚鬚($46)，豬皮($36)及花菜($26)，加埋蔥段及芹菜一齊炒，成煲上。牛肉片係蔥爆牛肉果D,入口幾滑食唔到梳打粉味;而魷魚鬚就較有嚼口。點選豬皮真係無錯呀，索咗D醬香汁，入口爽口偏甜，單食或送飯都GOOD。愛上呢碟清炒萵荀絲($66)嘅香甜爽脆，唔知係咪落咗少少豬油炒，入口多一份油香但又唔係好油膩。今晚惹味之最應該係呢碟蓮藕仔炒鯛魚片($98)，見到賣相橙紅色，就知應該係辣嘅。辣味係有，但微辣且帶酸味，即係酸中帶微辣，鯛魚片無細骨，啖啖肉，用黎送飯正呀。而呢個蓮藕仔雖則有蓮藕嘅横切面，但口感似食緊荀，加埋其他甜椒同木耳一齊炒，開胃呀。特登唔食晒成碗飯，為著嘅係……………….紅糖糍粑($58)每條兩啖就搞掂，外脆內有糯米嘅軟糯，點埋D糖漿食，掂晒。侍應服務好，上菜快但可以慢慢食，呢間川菜抵有咁多支持者嘅。
"
2023-08-09,5,5,5,5,5,"
我其中一間好鍾意嘅川菜❤️京都廣場好方便裝修又靚左😘記得午市好抵食單嗌都唔貴香鍋超有水準💁🏻‍♀️幾款小菜全部都好食又有好多選擇同朋友聚會都唔錯🥳❣️籐香雞$66好特別未食過見人哋講係麻香唔辣😋我哋叫咗辣就加咗好多剁椒似係泡椒味💦🌶️雞肉唔肥都幾滑而且成份雞都好多🐣୧⃛(๑⃙⃘◡̈︎๑⃙⃘)୨⃛❣️招牌香鍋$194中辣麻辣少油豬頸肉$48花甲$48萵筍$28士豆片$22薯粉$22自選嘅香鍋超正🤩有菜有肉有海鮮可以自己配搭😎👍🏻豬頸肉爽口炒得好香🐷土豆🥔我覺得呢度整得好好食🥺萵筍係咁以清一清🤣花甲都有幾多肉再加埋個薯粉煙韌索味*ˊᵕˋ)੭主要調味出色炒得乾身又唔會好油暫時我no.1🥰🌶️❣️麻婆豆腐$66認真抵食啦😆呢碟白飯殺手麻辣咸都恰到好處💦豆腐係難得有豆味又滑幾多飯都食得曬🍚❣️紅糖糍粑$58最愛嘅中式甜品٩(๑˃̵ᴗ˂̵๑)۶°外脆內軟完全唔油🤤加上黃豆粉同黑糖蜜係完美句號🥹❣️無糖可樂$15❣️凍檸茶$18
"
2023-08-08,5,4,5,5,5,"
喺銅鑼灣廣場附近發現抵食川菜🤩 而且食物款式選擇多😆 
呢度全部野都好食~🉐🉐🉐服務又唔錯🤭 唔怪得平日夜晚都坐到8-9成滿! 見到佢嘅Lunchmenu都好平 
以後經過銅鑼灣又有好飯堂了🥳 
🔸加多寶$15🔸黃金蝦球$128🉐 蝦球外層脆皮又薄又脆滿滿的鹽蛋黃香👍🏼👍🏼
