time,taste,environment,service,hygiene,indigestible,comments
2023-11-04,5,4,5,5,5,"
假日同完仔仔去尖沙咀踢波，踢完波，順便行去佐敦渡船角一齊去食燒烤店，因為呢度好多食店都好有水準，淨係呢間川燒食完，下次一定會再嚟🌟🌟🌟1.燒珍餮大元貝：很好食😋大元貝燒烤後保持了鮮嫩的口感，搭配燒烤的香氣2.燒鮮白鱔串：這個菜品味道不錯，鱔魚肉質細軟，燒烤後更加鮮美，絕對是串燒愛好者的不錯選擇。配埋啤酒一流"
2023-10-23,4,3,3,3,3,"
渡船街入面嘅八文樓有好多間小店，今日就試下呢間串燒店環境裝修好和風，而且夠光猛、清潔青檸話梅梳打$32好特別嘅配搭，有酸度又有甜度，話梅嘅味淡，但係咁樣令成杯飲品更加清新雞軟骨$20/2串(特)好味，燒得夠乾身，調味偏淡豚肉腸拼盤$20(特)有4條算抵食，3款唔同，不過冇特別芝士脆玉瓜$20/2串(特)脆玉瓜鮮甜多汁，芝士片冇乜味道唔係紐西蘭大菇$20(特)超級鮮同多汁，大菇嘅一貫特色，唔會叫錯！用咗香草同黑椒簡單調味雞肉軟骨腸$20/2串(特)個皮硬少少，整體正常金菇肥牛卷$20(特)同樣都好多汁Juicy，見牛有啲韌，同埋本身冇乜類似照燒汁咁加落去，味道淡川味淮山$28只有兩件，不過燒得乾、脆、爽，冇諗過新鮮淮山可以咁好味，仲非常襯麻辣椒油燒雞泡魚乾呢個冇得輸，非常之香，鹹鹹甜甜啱晒餸酒，而且有厚度有咬口，好食過鱈魚乾，必點！燒海蝦蝦肉爽彈且吸收晒鹽嘅鹹味，蝦仔鮮甜，不過必須用手拆殼燒牛肉串$68/5串(特)肉偏細薄，有筋，味道太濃孜然味，肉味不足"
2023-08-08,4,4,4,4,4,"
串燒店香港有不少選擇，在渡船街已街知巷聞的「川燒」佐敦店是集結日式+四川風味的串燒店，餐廳供應的特色串燒有過百款選擇，加上食物配上獨特的四川辣味香料更加刺激味蕾🤩呢到絕對可滿足三五知己喜愛食川式串燒，又飲又食一同盡興!!🍻
川燒推介:汁燒原隻魷魚筒$98推介😋👍燒大海蝦$56/隻甲羅燒併多士$88燒日本廣島生蠔$78/2隻推介😋👍燒特濃芝士五花腩$48黑露燒腐皮溫泉玉子$36(限量供應)川香肉碎燒茄子$52推介😋👍燒特級牛仔骨$46燒鮮白鱔串$68特色小食:燒雞泡魚干$48麻辣鴨血$48燒日本雞胸軟骨串$56燒特級厚切牛脷心串$58炸麻辣雞軟骨$48燒豚肉荔枝卷串$56推介😋👍燒豚肉生菜巻$48口感清新🥙燒豬頸肉$38燒麻辣羊肉串$38香辣濃郁的調味😋必點推介👍燒日本豚肉腸拼盤$48燒油麥菜$28吾係紐西蘭大磨菇$32燒原條甜粟米$38/條川燒豆腐$28推介😋👍燒雙重芝士牛油果$28牛油果🥑控必食！黑松露芝士牛油焗雜茹$48
主食:麻辣鮑魚撈烏冬$118「吃貨」必點主食😆
甜品:蜂蜜燒鳳梨$28燒芝麻湯圓$28好有新意同好食😌
啤酒:Suntory(S)black$58特飲:青檸柚孑梳打$64青檸話梅梳打$32
"
2023-07-08,4,4,4,4,4,"
周邊餐廳小店林立，距離柯士甸站約7分鐘步程，主打風味串燒，嚟得餐廳嘅睇嚟都係熟客仔，早咗嚟到估唔到平日未到晚飯時段都咁多人！落地玻璃嘅大門，晏晝嚟到應該係另一番味道，夜晚嘅感覺就好似居酒屋咁，有種舒服自在嘅親切感🤭同朋友嚟開一邊品嚐串燒一邊傾偈💕
