time,taste,environment,service,hygiene,indigestible,comments
2023-11-15,5,5,5,5,5,"
心之食堂今日HappyFriday,森仔放工同女朋友去左銅鑼灣食好西，迎接假期🥳今次搵返一間之前食過，感覺幾好嘅：心之食堂❤️佢位於銅鑼灣耀華街百樂中心，係時代行過去超方便。而餐廳🍴空間還好，座位不是太多，有充裕的空間👍🏻談天吹水好地方。最令森仔encore嘅原因係其優質嘅食物和高性價比🤭🤭🤭胡椒豬骨湯煮蜆$78此個湯品味道真係一流！胡椒味濃，帶有微辣。而豬骨嘅精華也十分入味秋涼下飲胡椒豬骨湯真係超正，驅寒🙌🏻🙌🏻
三文魚腩刺身$68呢個剌身真係超級鮮甜肥美油脂分布超正，有一種入口即溶嘅感覺好新鮮阿😋份量十足，足足有五大片，片片厚切👍🏻👍🏻
原條鰻魚石頭鍋飯$118這個又係森仔必點。除左女朋友鍾意❤️食鰻魚之外，佢真係大件夾抵食。大大條原條鰻魚上枱，燒汁味道惹味，再帶有點點燒焦的脆邊😊肉質亦肥美，啖啖肉！最正係佢石鍋飯，熱🔥辣辣上枱，令到有一定飯焦🤭飯焦的香脆口感正！配上燒汁和鰻魚一齊食，正😚
香蔥石板牛舌$68呢條譽為是日性價比之冠！因為估唔到$68，份量如此多！牛舌都係大大件，有無數咁多件。而香蔥燒汁汁煮時，令牛舌都很入味和稔身，非常美味！
蒜蓉焗生蠔🦪$48這個生蠔🦪燒得也不錯，蒜蓉醬香濃😚生蠔肉質也不錯，鮮甜而焗得恰好！值得一試。
心之魚生飯$98呢個魚生飯外形一流，啱晒打卡😄佢整個心形邪惡包$78帶子加海膽加脆紫菜，口感一流又鮮甜，又creammy，又有脆咬口👍🏻👍🏻過引。特別係海膽嘅美味，超級正！整個創意菜式都不得了，yummy
芒果🥭芝士蛋糕🍰芒果🥭果幾濃！而芝士蛋糕🍰也夠creammy同入口即溶，有啲似食緊雪糕🍦，正！"
2023-10-24,5,5,5,5,5,"
呢間居酒屋就係銅鑼灣百樂中心，店舖裝修好有日本風格，環境舒適，食材高質，用Qrcode落單，夠哂方便嘩，真係超級多蟹籽嘅[日式蟹籽沙律$58]超級足料嘅沙律，沙律菜新鮮好味。即叫即燒嘅[蒜燒大扇貝$68]個size好大，口感鮮滑爽嫩，厚肉又肥美，食到lamlam脷，蒜蓉好香再嚟就係[燒雞軟骨$38]兩串雞軟骨，細細粒，咬落口感脆卜卜。[厚燒牛舌心$58]一串三件，每件都好厚身，油脂較豐富，燒得好正，肉質口感軟腍，濃郁牛味，咬落去好juicy必叫[心之蛋卷$88]用茄汁畫咗個心型圖案，加上沙律醬，厚身又餡料滿滿嘅玉子蛋，入面塞滿半溶芝士、蟹籽及三文魚，每一口都口感豐富有層次[胡椒豬骨湯煮蜆$78]個湯鮮甜好飲，胡椒味香濃，蜆肉份量都好多下，蜆肉肉質鮮甜，連啲蛙蛙菜都入哂味，飲完個湯可以暖下身添即叫即燒嘅[蒜香烤焗茄子$68]超大件，雖然要等45min，但值得等咁耐，聞落超香蒜香味，茄子外皮燒得香口，茄子口感軟綿綿又滑又惹味色彩繽紛嘅[彩虹卷$68]每邊都黏住唔同嘅食材，包括有蟹籽、海苔、魚子，每個口味都唔同，中間位置包住鬆脆嘅天婦羅蝦及青瓜。[鐵板豆腐$48]熱辣辣放係鐵板上嘅豆腐，外皮口感香脆，個醬汁同豆腐好夾，好味道藍白色嘅[藍碟花白桃乳酸$48]甜度啱啱好，解渴好飲。另一杯就係[蜂蜜柚子茶$48]潤喉好飲心之食堂銅鑼灣耀華街3號百樂中心12樓1203室"
2023-10-23,4,5,4,5,4,"
閨蜜話想去銅鑼灣shopping之後搵間可以慢慢傾計嘅餐廳我就搵到呢間居酒屋菜式創新又唔貴一試果然無去錯😋🔸胡椒豬骨湯煮蜆$78通常我地食開清酒煮蜆或者昆布湯煮蜆胡椒豬骨湯可能係fusion潮洲菜我帶住滿滿疑惑先飲一啖湯哇好鮮甜蜆好肥美配埋娃娃菜神奇地又有d日式feel🎌
🔸海膽蟹子杯$78好靚呀用香檳杯裝住好似雞尾酒咁蟹子嘅份量都幾多啖啖卜卜聲海膽上仲有d魚子醬真係奢侈到極緻🍸
🔸邪惡包（2件）$88顧名思義好邪惡呀🔥食左肯定要努力做運動但肯定唔捨得唔食嘅組合用刺身帶子夾住煎鵝肝嘅生菜包兩個都係我最鐘意食嘅食材不過無諗過可以一齊食仲咁夾🥠
🔸心之蛋卷$88切開佢原來有半熟芝士流出黎煎到啱啱好好juicy🥚🧀
🔸燒BB露荀$38BB露荀比一般嘅露荀幼好多燒過好香食落無乜粗纖維大大啖食得好暢快🥬
🔸火焰鐵板牛柳串（2串)$88重頭戲黎啦兩大串牛柳插喺鮮甜菠蘿上面🍍已經睇頭十足店員仲即場表演一加酒一點火大火即時將牛柳包圍好睇之餘仲有實際作用令肉嘅表面多一份焦香同酒香🥩
🔸原條鰻魚石鍋飯$118原條鰻魚浮誇咁搭喺石鍋上面鰻魚汁加左落飯度撈勻每粒飯都入晒味珍珠米夠煙靭貼住石鍋嘅飯焦脆卜卜🐠
總體黎講每道菜嘅處理同配搭都好有心機用料上乘價錢相宜值得介紹比身邊朋友🫶🏻
🍽️心之食堂(銅鑼灣)📍銅鑼灣耀華街3號百樂中心12樓1203室
"
2023-10-16,4,4,4,4,4,"
成日聽人話呢一間餐廳性價比高而且見個火焰鐵板牛柳串幾吸引，一於嚟試吓～《秋葵刺身沙律💲88》《胡麻蕃茄💲38》沙律菜同角切魚生都夠新鮮，份量都多～
《彩虹卷💲68》卷住有炸蝦、蟹子、青瓜、牛油果、魚鬆粉，頂部放有黑魚子～外層仲有白芝麻，口感好豐富！
《蒜香燒蠔(2只)💲48》既鮮甜又夠肥美多汁～
 《火焰鐵板牛柳串(2串)💲88》喺面前點火一定係打卡位～牛柳粒嫩滑夾雜住甜甜嘅紅椒，仲配咗薯角同埋juicy嘅菠蘿，幾提味～
 《鹽燒雞翼(2串)💲58》每串有2隻雞中翼～雞皮微脆香口，肉嫩有汁～《鹽燒三文魚頭💲78》好大個魚頭，仲連埋魚鰭位置，多肉又嫩滑，加啲檸檬汁好提鮮～ 《蟹肉忌廉餅💲38》即炸好香脆，入面好creamy~ 《鰻魚茶漬飯💲58》原來都幾香濃，湯吸得快，最後差不多喺鰻魚汁撈飯，都幾惹味～ 
《鐵板豆腐💲48》香口又嫩滑～"
2023-08-01,5,5,5,5,,"
居酒屋位於銅鑼灣timesquare附近的商廈，雖處於鬧市區但人流不算太多。小店比較少人知曉，但食物質素高！每道菜除了睇得，食得更睇得～以居酒屋傳統格調洋溢著濃濃日本風，木質桌椅同燈飾充滿和風，彷彿置身於日本的小巷中有炸物，燒物，刺身，卷物，石鍋飯等等給予選擇~🌈胡椒豬骨湯煮蜆$78🥰推薦🥰清甜豬骨同娃娃菜將蜆的鮮甜吊出，香胡椒為湯增加香辣的味道，湯底好鮮甜又暖胃，呢道好味到不得了，一定要叫！🌈蒜片牛柳粒石鍋飯$108🥰推薦🥰牛柳粒唔韌且肉汁濃郁，飯粒充滿牛肉蒜片嘅精華，連脆香的飯焦一齊食，香氣四溢！牛柳粒同飯的份量夠兩人食，呢個價錢食到咁高質素真係回曬本！🌈火焰鐵板牛柳串$88牛柳串上枱後，店員點上火再淋上酒，兩串牛柳串立即充滿熊熊火焰，燒過嘅牛柳粒肉汁被鎖着，外香內嫩。底下仲有鮮甜的菠蘿唔怕食滯🌈彩虹卷$68內裡有炸蝦，肉質彈牙飯卷四面都灑上唔同食材吉列大蝦外脆內爽彈，飯卷沾滿芝麻、蟹籽，口感豐富❣️🌈原條日本燒魷魚$98原條大大隻的魷魚燒完沾上照燒汁，煙韌彈牙的肉質唔會燒得過老。🌈燒鲭魚飯$68呢個心型飯除左eyecatching仲好抵食!即場燒製的鹽燒鯖魚邊都燒到好脆且一點魚腥味都冇淋上豉油汁更鮮味。🌈心之蛋卷$88即叫即做嘅玉子燒上有兩大個心心sosweet~內有流心芝士、三文魚同蟹籽，沾上沙律醬好味！🌈可樂$18有質素的小店一定要給予支持！"
2023-10-20,5,5,5,5,5,"
