time,taste,environment,service,hygiene,indigestible,comments
2023-11-07,5,5,5,,,"
第一次去呢度食晚餐，環境舒服雅致，藍白隔的座椅有點復古風。服務親切有禮。我同生先都選咗ChefTasteMenu.由Starter到Dessert,每道菜式嘅用料、製作和擺盤都很有講究。我哋並加了一打每只$10的生蠔。生蠔好生鮮，鮮甜中帶有新鮮嘅海水味。如果來慶生、慶祝周年等等，還有一張即影即有相回贈。我覺得在一間有歷史嘅建築，食一個舒適的晚餐很值回票價。
"
2023-11-05,3,1,3,,,"
昨天是星期六，一早訂了位和朋友食午餐，開始的時候情況尚算正常，朋友叫了長通粉，我則叫了個魚扒，侍應未己即告知因為今天是星期六，用餐時間只能限於90分鐘，這個我沒有太大的在意，不久前菜湯以及麵包即上枱，我們吃到一半，侍應便上主菜，我們坐的是兩人細枱，根本放不下兩個前菜和兩個主菜，我很愕然的問侍應，我們還未吃完前菜，為什麼這麼快上主菜，侍應木然站在那裏，沒有回答，我在說一次，枱面根本放不下四碟東西，而且我們還沒有吃完前菜，怎可能上主菜？這時候侍應才很不情願的先把主菜拿走，我真的很不明白，悅滿軒不是快餐店，為何上菜如此匆匆，完全沒有西餐廳的禮儀。另外我們在用餐時間，侍應已經不只一次上錯別人的主菜和咖啡，總括一句，餐廳食物的水準只是一般，我選擇它是因為餐廳位於饒宗頤博物館，可以順道帶朋友參觀一下博物館而已，但餐廳的服務着實令人不敢恭維，相信不會再有下次"
2023-09-30,2,1,2,,,"
中秋同太太去撐枱腳，訂咗七點，服務員打俾我問可唔可以早啲到，因為七點多客怕出菜會慢，我改咗六點，但塞車六點十分先到，點咗一客湯，半打生𧐢（優惠價$10隻），沙律加兩個主菜。頭半個鐘上咗餐飽、湯同生蠔，之後一直等到七點四十分催服務員先上沙律，點知係俾錯另一款沙律，咁我就問佢其他主菜會唔會又落錯單，佢又答我唔到。最後決定連沙律都唔食，放低兩佰現金喺枱走人，費事繼續等又唔知俾錯啲乜俾我，反正廚房咁忙都唔知食物質素保唔保持到。原先預算花上千元的西餐，變咗去美孚食茶餐廳，慳咗唔少但敗興而回。老實講如果冇咁嘅容量就唔好接咁多訂枱，隨左一兩枱點意粉等上菜較快外，其他人都喺度等，有啲一枱十個人個幾鐘頭只飲湯及食蠔，真係叫人好難再幫襯。
"
2023-08-18,4,5,5,5,4,"
想揾間氣氛好嘅餐廳慶祝朋友生日同updated近況，對比左好幾間，最後決定打卡HouseofJoy。呢間餐廳令我同朋友發現屬於香港嘅世外桃源，有種外國小鎮平靜安寧、遠離城市煩囂嘅感覺。-一坐底就有4塊堅果餐包餐包外脆内軟，配埋軟滑且有淡淡海鮮味嘅牛油，唔錯。-法國泥蟹湯💰88我地叫左一碗forshare，waiter好貼心地拎埋隻碗比我地。湯嘅口感香濃順滑，配上啖啖蟹肉，半碗好似有d唔夠喉添。
-香煎法國鵝肝配法國甜包💰188我麻麻地中意食鵝肝，不過呢個好正，入口即溶，配埋法包食完全唔覺得膩。如果覺得膩，仲有舊蜜糖黑醋烤無花果消濟。
-蟹肉扭指麵配蟹膏蛋黃忌廉汁💰198扭指麵個口感好彈牙好得意，每一啖都食到蟹肉，不過要小心有蟹殼碎混雜其中。蟹膏蛋黃忌廉汁好creamy，好易濟。
-蘋果木煙熏西班牙乳豬💰388Waiter好貼心地幫我地將2大舊乳豬分成6細舊。雖然乳豬外皮色澤較淺，但係層皮好香脆，肉質嫩滑又夠Juicy。
-熱情果拼盤💰98訂位嘅時候特登寫埋朋友個名，最後出黎得“HappyBirthday”，有少少失望。送左一張即影即有，但係Waiter用錯mode，搞到死亡白臉😂拼盤有：熱情果法式焦糖燉蛋、熱情果千層酥、雪葩焦糖燉蛋無熱情果味，上層焦糖厚到有d苦，燉蛋甜到漏、裏面有好多籽（唔知係雲呢拿籽定係搞碎左嘅熱情果籽）熱情果千層酥餅底好淋，無酥脆嘅感覺。成個甜品拼盤得雪葩清新解膩又好食。
-侍應服務態度好好，好積極推薦菜式同換餐碟。Btw今次同行嘅朋友唔食牛羊，下次會再黎試下HouseofJoy嘅牛羊扒。
"
2023-08-12,4,5,5,5,4,"
住附近，聽聞呢間餐廳出名，所以book枱試一試，在OpenRicebook枱有八八折😁美孚地鐵站行過嚟，大約10至15分鐘。Book咗枱一去到就即刻可以入座，平日嘅關係唔太多客人，目測6枱客。多數客人都係嚟餐廳慶祝生日或者紀念日，因為途中有客人唱生日歌，亦有另一枱客人送花⋯我比較特別一個人過嚟食法國菜😌枱面餐牌，有個生蠔set$188，唔使諗即刻order三隻新鮮生蠔，一盒魚子醬（冇睇錯係一盒）連埋一杯SpankingWine生蠔，新鮮肥美，淡淡海水味，都算大隻食落夠Juice，魚子醬唔喊，粒粒爽口😋配淡口氣泡酒，剛剛好唔會搶走食物鮮味😉再嚟一個，澳洲藍青口西班牙辣肉腸忌廉汁配薯條$178青口夠嫩滑，辣肉腸忌廉汁唔會太鹹，如果有個飯可以撈飯食添😌薯條炸得夠熱香脆一個人食晒，夠晒飽，而且兩樣嘢加埋$400唔使，除咗呢度仲可以，去邊度搵咁好食嘅法國菜呢？而且餐廳外面嘅景色優美，食完飯可以行一圈影吓相🤩
"
2023-08-08,5,5,4,4,3,"
去過饒宗頤文化館好多次，平時都係睇完就走，今次終於有機會試吓佢嗰個餐廳喺中國文化濃厚嘅地方食西餐，都算係一種中西合璧，香港特色嘅fusion我今次揀咗食豬鞍扒，諗住應該穩陣啲，第一次試，哈哈😆雖然個扒好厚，但係煎得好好，外脆裏邊鎖住咗肉汁。一啲都唔韌，再加埋啲伴碟賣相都幾吸引個湯就係南瓜湯，都好飲，有南瓜蓉喺裏面餐廳嘅裝潢都幾特別，係依個充滿文化氣息嘅地方，參觀完之後再享用美味嘅西餐。享受一刻嘅寧靜"
2023-07-21,5,4,5,5,4,"
前幾日去咗《悅滿軒》食飯，每一款都好好食✨
✨PanFriedAtlanticCodFilledw/SeafoodkumbuCrabMeatSauce✨西洋黑鱈魚煎到岩岩好，仲會有蜆，青口，蝦都好新鮮，蟹肉昆布汁連埋海鮮泡，味道好有層次。
✨SuceeCorn.iokkaidoScallops.Caviar✨法式粟米濃湯好甜好creamy，倒入北海道刺生帶子一齊食，真係有驚喜！另外仲要特別加咗啲法國魚子醬非常之高級。
✨GrilledSpainCuttlefishw/SquidInkRisotto,TomatoFrica✨烤原隻西班牙墨魚好搶眼，墨魚汁意大利飯都好入味！
