time,taste,environment,service,hygiene,indigestible,comments
2023-10-25,5,4,5,4,5,"旺角的老字號成都老碼頭火鍋六週年了！推岀了超級多週年慶祝優惠，萬勿錯過✨➀7:30pm前離座或9:30pm後入座68折，其餘時段亦可享88折優惠➁每人第一杯生啤只需$9➂FB/IG打卡送免費百事生可樂🥤➃每日頭十個訂座，把此優惠的貼文截圖及經由FB/IG@oldpier.hotpot.hk或Whatsapp成功訂座，即可獲Prime極品牛小排半份，價值$178.ᐟ.ᐟ.ᐟ🔸宮庭藥膳湯秋日點這個養生的藥膳湯底感覺很溫潤滋補。而自助火鍋醬料方面，一定要試試總廚推介的老碼頭火鍋秘制香油，除了可以提升食物鮮味，剛燙好的食物在油碟沾一沾有降溫的功效，如果吃麻辣火鍋的話，也能降低食物的辣度🌶️🌶️碼頭海鮮盤
🔹碼頭海鮮盤有齊海蝦、蟶子、鮑魚仔、蜆和脆鯇魚片，非常豐富而且新鮮大大份擺盤很精緻，尤其蜆肉很鮮甜，必點之一！ 手切極品PRIME牛小排
🔸手切極品PRIME牛小排肉質很好，油脂分布平均🐮輕輕一涮就可以品嚐了，牛味十分香濃🔹手打龍蝦肉蝦丸蝦滑內有粒粒龍蝦肉，口感彈牙順德魚腐🔸順德魚腐吸飽湯汁的魚腐，很惹味
🔹手工西洋菜餃餃子都是鍾情西洋菜餃🥟西洋菜和豬肉比例剛好，味道香濃🔸蔬菜點了䈑筍條和粟米，份量也不少！吃火鍋叫一點蔬菜感覺飲食更均衡健康哈哈🔹飲品$9生啤的優惠可選Hoegaarden或藍妹，點了杯Hoegaarden，冰涼暢快，好抵飲！而最近超紅的百事生可樂有強勁氣泡，的確比普通百事好喝，爽～🔖吃完之後去門口有部機可以7秒去除火鍋味道，很貼心
"
2023-09-07,4,4,3,4,4,"
超強颱風「蘇拉」襲港的前一晚，我與太太就在這間之前曾經來過，店舖裡裡外外都帶點兒清宮古典味道的火鍋店吃了一頓火鍋晚餐。
未吃火鍋前，先點了一份「麻香海蜇」（原價$38/折後價$30.4）做前菜，原來這小食除了麻香外，還有點辣勁，辣得都幾開胃。
鍋底點了較為便宜的「宮廷藥膳湯」（原價$128/折實價$102.4），味道較清，也較健康，在把火鍋料泡湯之前，喝它一兩碗，都不錯。
打邊爐當然要吃肥牛，「澳洲雪花肥牛」（原價$92/折實價$73.6半份）是價錢較相宜的選擇。這肥牛的質素都不錯，肉色鮮明，稍灼之後，都幾嫩滑。不過份量不多，就吃得不太暢快。
「老碼頭筷子牛肉」（原價$88/折實價$70.4）賣相特別，細長條狀，淺褐色的筷子牛肉，撒上了少許白芝麻，味道香辣，肉質煙韌而有嚼頭，帶來肥牛以外的另類口感和風味。
「爽脆牛黃喉」（原價$48/折實價$38.4半份）的賣點是爽脆，不但我喜歡，太太也同樣喜歡。
同樣地以口感取勝的還有「珊瑚蚌」（原價$68/折實價$54.4半份），鮮艷的色澤，爽脆的口感，也是我喜歡的火鍋配料。
除了肥牛外，「即炸響鈴」（原價$48/折實價$38.4）也是我吃火鍋幾近必點之物，索了火鍋湯的響鈴，著實吸引。
相比起炸響鈴，「順德魚腐」（原價$36/折實價$28.8半份）我就覺得質素平平，不太喜歡。
還有餃，是「手工西洋菜餃」（原價$$38/折實價$30.4半份），不算特別，都算好吃。
蔬菜只點了「皇帝菜」（原價$36/折實價$28.8），這與冬天才有的「茼蒿菜」有如孿生兄弟般帶著一股獨特而濃烈的味道的蔬菜，我與太太都愛吃。
還叫了「稻庭烏冬」（原價$32/折實價$25.6），一份兩個的稻庭烏冬，兩夫妻正好一人一個，夠飽肚。
"
2023-07-31,5,5,5,5,5,"
𓉕𓉕位於旺角塘尾道的「成都老碼頭火鍋」可算是老字號火鍋店。古色古香的裝修令店子外型亮眼，令附近經過都一眼見到。素聞食材也高質素，收藏多時終於約朋友訂座到訪。𓇳鮮淆豬骨湯$108我們點了基本湯底豬骨湯。𥚃面有鮮菇、紅棗、大蔥、薑片，材料簡單但真材實料，湯底清甜鮮味。𓇳澳洲雪花肥牛$168高質素的雪花肥牛！油脂分布均勻，油花漂亮又有牛味，我們很快消耗一碟又再加單呢。𓇳手打芝士墨魚丸(半份)$62半份有四粒，墨魚丸口感彈牙，芝士爆漿！鮮淆豬骨湯𓇳桂花蚌(半份)$82&珊瑚蚌(半份)$68桂花蚌和珊瑚蚌都非常新鮮肥美。很喜歡他們有半份的選項，兩人份量都可多試幾款食物。𓇳即炸響鈴$48這𥚃的響鈴確是鬆脆，淥三秒剛剛好。𓇳蛋餃(半份)$35蛋餃是這裡的招牌菜式，蛋皮比普通餃子皮多了一份蛋香，是好吃的。半份有五隻，性價比高。澳洲雪花肥牛澳洲雪花肥牛手打芝士墨魚丸(半份)桂花蚌(半份)&珊瑚蚌(半份)𓇳唐生菜$29&蘿蔔$29這裡的蔬菜份量不少，而且高質素。唐生菜新鮮翠綠，蘿蔔味道鮮甜，通透無根，上品。𓇳泰國椰青$39本想試試著名的杞子龍眼菊花蜜，可惜售罄。點了泰國椰青，鮮甜清爽，消暑一流！老碼頭火鍋，果然名不虛傳。食材高質而且招呼周到，點菜上菜的速度都十分迅速，店員有禮，值得推介。𓉕𓉕📸plsfollowmyIG:manman.hygge蛋餃"
2023-07-26,5,4,4,4,3,"
近排天氣咁熱都無影響我食火鍋一團火🔥🔥朋友同我講呢間成都火鍋店高質食材👍🏻都約朋友一齊去食好西👯‍♀️😙日本A4牛頸脊真係完全我嘅賣飛佛😍😍😍每篇博博晶凝通透雪花同牛肉分布平均，喺湯裏面滾10秒啱啱好夠熟，而且牛肉味好香濃，真係一碟唔夠🤭🤭🤭手切極品牛小排牛小排亦都係我最愛嘅部位😁厚肉得嚟味道比較香濃，咬落去爽口而且唔會油膩👍🏻👍🏻澳洲雪花肥牛一般打邊爐必食雪花肥牛，薄薄一片色澤分明望落去晶凝通透，而油脂分布都好平均，咬一口唔會話太油膩，而吸收晒湯底嘅精華，牛魔王必食😈🐮牧場鮮豬面頰肉大大碟嘅面頰肉真係好靚，店員都有講過將面頰骨放入湯底，第一次食好嫩滑，且好香嘅豬肉嘅味道更🐽🐷😃手打黑松露牛丸牛丸打到好結實，好重牛肉嘅羶味再加上黑松露配搭第一次食，牛丸同黑松露兩者夾埋都幾夾😲而我就覺得黑松露嘅味道唔係太濃，如果重口味嘅黑松露咁就Perfect啦😋咸蛋流沙魚蛋丸推介一定要試下，依隻飛一般嘅魚蛋，咬咗啖爆滿嘅流沙鹹蛋超香濃配魚蛋夠晒Perfect💯💯💯鮮蝦雲吞雲吞皮比較薄透，包入豬肉餡夠晒新鮮，而且又帶牙蝦肉好大粒又香口，我想encore多一碟😗皇帝雞件嫩滑口感雞皮一點唔會好多油分，而且佢嘅斬件大大件，啖啖肉好滋味😂娃娃菜新鮮嘅娃娃菜，超甜爽口索晒湯底嘅豬骨煲底零舍香甜🤩Order咗一支西瓜汁，消暑解渴鮮榨西瓜汁超甜，仲要西瓜起沙超好飲🍹😋"
2023-07-25,5,5,5,4,4,"
今日雖然打風🌬，但係Duck嫂🦆心思思要出街食晚飯，又想食火鍋🥘，想起附近有間火鍋店“成都老碼頭火鍋”，正好來個快閃火鍋餐過下口癮😆。店舖裝修中國🇨🇳味道濃厚，顯得古色古香，座位舒適闊落🥰。自助醬料及水果吧$25/位調味醬汁選擇多，尤其自家製乾碟和秘制香油，味道特別香🥰，一定要試下😋。任食水果今日係西瓜🍉和桃🍑，西瓜🍉非常之甜。鮮淆豬骨湯$108豬骨味🐖香濃味道清甜，飲過就知真材實料無加味精，湯底仲加咗好多配料如菇🍄、火腿🥓、大蔥及杞子，有得飲又可以食😋。日本A4和牛牛頸脊(全份)$398.一上枱已經好吸睛，牛肉片🐂油花豐滿均勻，色澤粉嫩，肉質軟滑😋，油味香濃，令人回味無窮🤤。舌尖上的牛舌(半份)$68薄牛舌👅一碟有十片，口感爽口Q彈，輕輕一灼已經食得🥰，蘸上自己調配嘅醬汁一齊食😍，更加好味😋。手打龍蝦肉蝦丸(4粒)$68蝦丸🦐質感Q彈，蝦味香濃，裡面再包有一舊龍蝦肉🦞，一口咬下，蝦嘅香味非常澎湃，有驚喜😍。老友鬼鬼(墨魚滑)(半份)$58一碟有4️⃣件，油炸鬼上加有墨魚滑🦑，墨魚滑口感Q彈帶墨魚香味🦑，放入湯中灼熟後，油炸鬼吸滿湯汁，軟腍鮮香😋，味道同口感同樣豐富🥰。滑溜溜鴨血$36一碟有7️⃣件，每件大約1️⃣cm厚，口感軟嫩滑溜🥰，無異味無腥味，非常好食又抵食😋。總括而言，餐廳環境舒適，坐得舒服；食物高水準，而且可以叫半份，店員服務勤快，7點半前埋單有68折，真係值得回頭再試。"
2023-11-10,4,4,4,4,4,"
✨成都老碼頭火鍋（旺角）呢排涼翻啲朋友話想打邊爐呢間由門面到店內都有種古色古香嘅感覺～呢到啲火鍋配料可以半份咁叫兩個人都可以試多啲唔同野食～自助區果到除左有醬料仲有水果可以食✨✨養顏花膠雞湯（半隻雞）好足料好濃郁仲有大大舊花膠係入面湯底就咁飲已經好正雞肉都滑飲左好多碗湯
✨芝士小籠包小籠包形狀嘅芝士丸幾好食～
✨雪花肥牛牛味濃份量比較少🤪不過好好食
✨珊瑚蚌爽脆夠新鮮打邊爐都幾中意叫佢黎烚吓烚吓
✨涼拌魚皮好爽口幾好食調味又唔會太辣
✨娃娃菜、萵筍食啲菜健康下✨整體都幾新鮮仲拎左啲西瓜🍉食😍"
2023-10-30,5,4,5,5,5,"
近排天氣涼咗,去咗打邊爐暖暖身！宮庭式裝修充滿古色古香,餐廳一共有兩層,餐廳環境舒適,座位闊落,店員服務態度好好👍🏻照顧周到,整體食物高水準,食材新鮮,擺盤講究,而且款款都可以叫半份,真係值得一試！🌟重點係7:30pm前離座或9:30pm後入座,即可獲68折優惠,其餘時段亦可享88折！仲有$9藍妹/Hoegaarden生啤飲🍺,打卡即送免費百事生可樂😎！
呢度有自助醬料及水果吧,調味醬汁選擇多,而當日嘅任食水果係西瓜同桔🍊🍲宮庭藥膳湯湯底用咗好多藥材,有玉竹、紅棗、桂圓、黨參、杞子等等,湯底好濃藥材味,十分滋補！🥩必試-手切Prime極品牛小排油花非常豐富,油脂分佈均勻,肉質鮮嫩,牛肉味濃
𓎩滋補花膠筒-花膠筒大大件,口感滑嫩,含豐富嘅骨膠原,非常滋補,食完已經想encore多一碟！𓎩爽滑豬潤-好香好爽滑,完全冇豬潤嘅腥味,係我鍾意嘅質感！𓎩炸芋頭-外皮香脆,內裏好綿密,芋香味濃💜𓎩鴨腸-用一個立體筷子支架🥢,賣相好特別,好吸睛🤩！味道鮮美,嚼勁十足！𓎩即炸響鈴-全部大大嚿,新鮮即叫即炸,香脆可口！𓎩炸魚皮-炸至色澤金黃,口感鬆脆,唔會太油膩𓎩牛胸爽-泛著牛油香味,口感脆而爽口,帶點韌勁𓎩油豆腐串-大件又厚身,充分吸收晒湯汁嘅精華𓎩幼竹笋尖-口感清甜爽脆𓎩台灣水蓮菜-色澤翠綠,口感清甜爽脆𓎩魚皮餃-皮薄餡靚,餃皮魚味香濃,厚身爽滑
"
2023-10-28,4,4,4,4,4,"
門面已經古色古香，內裡空間大，打邊爐好舒適。同其他好多火鍋店一樣有醬料區，但最不一樣就係有自己一罐罐既油碟，充滿自己特色，可以降低食物溫度。火鍋料選擇都好豐富，又有其他小食揀。入座打咭已送百事生可樂，微信點餐再送汽水，真係飲品錢都慳返。不過最正都係訂座截圖贈送Prime極品牛小排半份，你以為送既野唔會係正野，佢就送高質牛，雪花紋靚，仲要冰鎮，入口香嫩，食呢個都賺返。價錢仲有惠優:19:30前離座或21:30後入座，有68折，其餘時段都有88折。打邊爐飲啤酒既，$9藍妹/Hoegaarden生啤。宮庭藥膳湯藥膳湯清清地，感覺健康，藥膳味唔會膩，不同的火鍋材料都岩。日本A4牛頸脊脂肪較少，有咬口，味道鮮甜。蒙古羊肉片羊肉羶香，口感爽。老友鬼鬼（墨魚滑）油炸鬼配墨魚滑，只需輕輕一灼，墨魚滑好彈牙。七彩繽紛丸子拼稻庭烏冬（一客兩個)一次上七款(彈牙牛筋丸，龍蝦沙律丸，順德魚腐，黒椒馬啼豬肉丸，咸蛋流沙魚蛋丸，碼頭鮮蝦脆肉腸，芝士小籠包)，每款兩粒，岩晒二人火鍋又唔食得多，連埋稻庭烏冬一樣一客兩個。即炸響鈴脆卜卜的即炸響鈴，秒速入火鍋湯就要食。手工韭菜餃飽滿，唐生菜新鮮爽脆。
"
2023-10-24,5,5,5,5,5,"
原來呢間火鍋店喺內地有好多間分店，環境古色古香，感覺好有特色！
鋪頭好大，有兩層，都幾多人食～最鐘意佢啲火鍋配料大部份都可以選擇半份，兩個人都可以叫多幾樣！醬料區好齊全，仲有秘製醬料及自家製香油！而且仲有生果任食，呢日就有西瓜及棗子，棗子好脆好甜，我食咗好多粒😂可以劃紙仔落單或者WeChat落單，WeChat落單仲有罐裝飲品送，我要咗罐可樂鴛鴦湯底，分別揀咗鮮淆豬骨湯底及成都原味無渣紅油麻辣湯底小辣～鮮淆豬骨湯底，濃郁鮮甜！麻辣湯底，好香呀，開頭唔算辣，之後越食越辣，好過癮，嗜辣之士必食呀！
