time,taste,environment,service,hygiene,indigestible,comments
2023-10-18,5,5,5,5,4,"
#chuchu食在太子📍朝
門面好fancy，入到去仲好似去咗日本咁！暗暗地其實好有氣氛，好啱同另一半嚟拍拖，又或者放工同同事呀朋友嚟食串燒飲翻兩杯吹下水！💡太子地鐵站行過嚟3分鐘就到，地點係正中間，方便大家！宜家仲好似唔同時段有優惠！—————————————————————❣️三點刺身盛$198有赤蝦、油甘魚腩、三文魚腩，油甘魚腩、三文魚腩好厚身，全部都好鮮甜！
.❣️燒味淋魚乾$88🐷最愛嘅雞泡魚乾！比平時出面嘅仲好食，再煙煙韌韌多啲，送酒超啱，份量都唔孤寒，可以由頭食到尾！
.❣️A4和牛薄燒$158塊A4和牛油花好靚！店員會係正面前用火槍燒塊A4和牛，一路燒一路聞到啲牛香！包住香蔥蒜片，仲有檸檬同柚子鹽調味，好有層次！一定要用曬所有配料‼️‼️
.❣️甲羅燒$128甲羅燒賣相超靚，有蟹膏、蟹肉、蟹籽、蔥花同鵪鶉蛋！先將蟹肉蟹膏嗰啲全部撈好曬，放係燒過嘅鱈魚乾上面食，超濃蟹味仲有啲蟹籽脆卜卜，食落好有口感，層次感十足！
.❣️邪惡雞肉棒$52真係好邪惡，有芝士係雞肉棒上面燒過，雞肉棒啖啖肉！
.❣️雞軟骨$32雞軟骨燒到面頭好香！入面肉仲好嫩！.❣️雞皮$32雞皮真係要日本居酒屋先會有！燒得好脆，但又咁會好乾，好香！！
.❣️柚子味噌燒羊架$198廚師推介！又係會係面前放火，點知呢個火仲勁！🐷拍片嗰陣冇expect到個火都嚇一嚇（可以睇吓條片🤣）視覺味覺嘅享受！肉質鮮嫩，好juicy，好易咬！其實🐷唔係好鐘意羊臊味，呢個聞落去好濃羊臊味，不過因為佢邊邊搽咗啲青醬同有蔥，所以食落非常好！
.❣️清酒煮蜆$88隻隻蜆都好大隻，隻隻都好肥美，超鮮甜，仲食到淡淡嘅清酒味！
.❣️日本果酒（蜜桃）$58❣️日本果酒（蘋果）$58嚟得居酒屋一定要飲翻兩杯啦，今次嗌左果酒，有三款口味可以揀，高知柚子/山梨密桃/青森蘋果，🐷同朋友揀咗蜜桃同蘋果，兩杯都大大杯！酒精濃度唔算高！蘋果有啲似AppleCider，好易入口，好飲
.💬食左好多嘢，真係樣樣都好出色！#chuchu推介好耐冇食過高質嘅串燒日料，收工嚟chillchill真係好爽！
—————————————————————不專業評分👅好味指數:8.5/10💰性價比:8/10👍🏻推薦:8/10—————————————————————🏡地址:朝(太子)太子大南街39號地舖🕑營業時間:18:00-02:00—————————————————————#chuchu食日本野———————————————————Follow🐷@chuchu_hkfoodietag埋你啲朋友仔like下我啲po♥️需要你的支持喔🥺🙆🏻‍♀🐷💬每一篇食評都好認真打架"
2023-10-05,5,5,5,5,5,"
上次黎朝Asa居酒屋果陣，正值是我的生日月🎂，今次咁岩又系生日月。😅😅不過就算系咪生日月，餐廳水準依舊不錯👍🏻，地方細細，人流都算多。都系果句：提早book位呀‼️我最欣賞餐廳服務態度，極力推介不同款式的菜式，包括酒品。之前就試過佢地的柚子酒，非常特別！今次就一試日本果酒（$58/杯），分了幾種口味，我同大佬揀了甜甜的白桃味，以及清爽的蘋果味，酒精濃度不高，岩晒小酌一杯的大家。黎到居酒屋點少得串燒呢😋😋根據店員推介，就選了幾款串燒，炭燒的味道，新鮮海鮮的爽口，蔬菜的香甜，另外還有檸檬🍋和柚子鹽🫙，配合起來非常合適。如果大家想打卡的話📸，我力推【A4和牛薄燒✨】店員在你面前火炙肥美的A4和牛，燒出油滋滋的感覺，味道甘香，包裹香蔥蒜片，層次感十足。🐷豚肉蘆筍卷$68🍤天婦羅紅蝦$28/隻🪱鹽燒白鰻串$68🐔大葱雞肉串$35🐔汁燒雞心頂$38🐮A4和牛薄燒$128🍠日本蕃薯$38🦐珍寶大虎蝦$168日本果酒豚肉蘆筍卷天婦羅紅蝦鹽燒白鰻串大蔥雞肉串汁燒雞心頂A4和牛薄燒日本蕃薯珍寶大虎蝦"
2023-10-02,5,5,5,5,5,"
「調教。朋友」太子隱世居酒屋🏮🍽️朝(太子)@asaizakayahk🏡太子大南街39號地舖～～～～～～～～～～～～～～～～～～～～～🐠中拖羅($98)＋🐟油甘魚($68)＋🐡左口魚裙邊($78)三款刺身夠凍夠新鮮，拖羅同油甘魚厚切夠肥美，經炙燒既左口魚裙邊魚油勁香入口帶著微暖既溫度，入口即溶，簡直就係一種享受。🥳🥩汁燒牛肋肉($48)牛肋肉肥瘦均勻，就算燒過肉質咬落軟腍牛味都夠濃，再加左醬汁特別有風味。😋🦀甲羅燒($128)甲羅燒既份量十足，有蟹膏、蟹肉、蟹籽、蔥花及鵪鶉蛋，先將蟹肉蟹膏撈勻，再放上燒過既鱈魚乾上一齊食，濃厚既蟹味配埋卜卜脆既蟹籽及蛋汁，食落層次口感好惹味。😍😍🐣德島阿波尾雞翼($32)阿波尾雞翼燒到金黃香口，食落爽脆嫩滑，雞肉味濃夠juicy，絕對係串燒必叫之選。🔥🍳🍗月見雞肉棒($48)由雞肉及雞肉軟骨製成既雞肉棒，燒出黎唔會好乾，肉汁依然留左雞肉棒中，將蛋黃及秘製醬汁拌勻，雞肉棒沾上醬汁一齊食真係一流。👍🏻🧀日本芝士年糕($38)燒到金黃色既年糕，用紫菜包住芝士流心年糕，軟糯口感芝士咸香唔錯唔錯。😉🌱燒秋葵($32)＋銀杏($38)＋山芋($48)燒蔬菜系列都有驚喜喎！🤩燒過既秋葵冇左滑潺潺既口感，而且外面爽脆內裏多汁。🤪銀杏燒得火候就岩岩好，只係落左少量既鹽調味，咬落軟糯微咸，拎黎當零食或者佐酒都一定會令你愛上。🥰燒山芋相反就比較少地方有得order，由於處理山芋需要花功夫，今次燒既時間岩岩好，燒到乾身口感爽脆，食落就好似食緊厚切薯片咁，有興趣既朋友都可以order試試。👍🏻
"
2023-09-28,4,4,4,4,4,"
男朋友喜歡串燒,search完決定黎呢間多好評居酒屋晚餐🏮三點刺身盛$198赤蝦甜,劍魚腩肥美,三文魚都唔錯.豚腩串/豚肉紫蘇串$38前者肥肉經燒過逼出油脂,入口爽彈帶肉汁油香,仲有切碎蒜蓉增添風味.後者以薄切豬肉捲住紫蘇葉,紫蘇葉清香同豚肉味好夾,亦balance左油膩感大蔥雞肉串$35比起平時食嘅足料多.雞肉大大舊燒得嫩,中間蔥燒得香,好食燒白鰻串$68魚皮外表燒得金黃微脆,魚肉厚實簡單以椒鹽調味已味道唔錯唐揚魷魚鬚$58炸粉好薄身而且加左海苔,食落更添香味.而且炸得乾身唔油膩.外層金黃脆香而中間魷魚煙韌彈牙,好食🦑牛舌$98好大一碟,牛舌口感有咬口得黎,煮timing剛好,中間仲係嫩紅,牛味rich明太子玉子燒$98好似之前去日本築地市場食新鮮整好嘅玉子燒咁,熱辣辣嫩嫩甜甜的.明太子就只有塗係上面,所以如果係明太子粉絲就未必會滿足日本柚子唧唧啫哩酒易入口,好香柚子香味,仲有djelly係入面,我自己好鐘意"
2023-09-25,5,5,5,5,5,"
📍朝@asaizakayahk今次去左間高質既居酒屋🏮門面裝修已經好有格調，入到去氣氛都好唔錯，置身於日本既感覺🏯食物種類都好多，有串燒、刺身、炸物等等應有盡有，總會搵到你想食嘅野🤓✌️豚肉菜包卷🐽豚肉菜包卷$58豚肉燒至焦香，再包著生菜一齊食；🤤一口咬落去，肉汁係口到爆開，勁juicy😋特別既係落左舖頭既秘製醬汁，味道酸酸甜甜咁，幾fresh🌿唐揚魷魚鬚🦑唐揚魷魚鬚$58炸完既魷魚鬚一啲都唔覺得好油膩，炸得幾乾身～炸粉好薄身，加入左海苔，所以食落好香，好加分🌟魷魚好煙韌彈牙，做到外脆內軟嘅效果，亦都係伴酒小菜之選！清酒煮蜆🍶清酒煮蜆$88係伴碟上已經好有心思，砌到成朵花🌼咁～蜆幾大隻亦都幾肥美，食到淡淡嘅清酒味，帶點甜味！食到最後都忍唔住飲埋啲湯🤣有酒味亦有海鮮嘅鮮味😇豆腐🥢豆腐$32豆腐做到外脆內軟嘅效果，外層好脆口，但入面嘅質地好嫩滑😚而個醬油絕對係昇華左呢道菜既關鍵，味道咸咸地好似燒汁😍配埋蔥花一齊食好match,亦都減低左油膩感！月見雞肉棒🐥月見雞肉棒$48雞肉棒食落爽口彈牙，仲食到雞嘅軟骨😚沾滿月見蛋黃醬汁一齊食，兩者嘅味道配合得好好😋呢個一定係居酒屋必點嘅串燒👍🏻😚厚燒羊扒🐮厚燒羊扒$78名副其實嘅厚燒，超級厚！！肉質鮮嫩，唔會覺得好靭～咬落去有肉汁！！！仲有淡淡的羊臊味🐑同時亦食得到羊肉嘅鮮味🤩雞腎🐣雞腎$32一串有6粒，都幾大粒～食落比想像中爽口👍🏻佢有另外再調味過，味道咸咸地～明太子飯團🍙明太子燒飯團$38飯團表面燒到燒黃色，似平時食到嘅飯焦，外層食落卜卜脆😌明太子放喺飯團面，份量啱啱好😇包埋紫菜一齊食，唔錯！呢個飯團都好飽肚😝日本果酒 & 威士忌梅酒🍑日本果酒（蜜桃味）$58果酒有三款口味可以揀：高知柚子/山梨密桃/青森蘋果，朋友就試咗蜜桃味～係水果味偏重嘅酒，味道甜甜地，比較容易入口，啱晒想試吓飲酒嘅朋友😆🥃威士忌梅酒$78Whiskey味好重！睇返原來有成14%酒精濃度🤓啱曬中意飲酒既朋友～白米雪糕&柚子雪葩🍨白米雪糕&🍧柚子雪葩（$48@1）甜品當然唔少得啦！試左兩款甜品後，比較推薦白米雪糕，有淡淡既米香～😌為成餐飯作完美既句號😋⭐️好味指數：9.5/10📍朝(太子)太子大南街39號地舖#太子#朝#居酒屋#威士忌梅酒#果酒#串燒#刺身#飯團#明太子#豚肉#月見雞肉串#sake#主題居酒屋#朝ASA#隱世小店#清酒祭#柚子酒#hkfoodie
"
2023-11-17,5,4,5,5,5,"
🏠香港人不嬲都中意日本嘅美食，而當中嘅居酒屋佔日本美食文化嘅重要部分，好多日本嘅朋友都會在每日放工之後約埋去居酒屋度吹下水relax下。今日就同朋友仔去左太子嘅朝Asa居酒屋度食晚飯，居酒屋裝修簡潔，座位舒適，空間感唔錯，整體佈置上令人有一種置身於日本居酒屋嘅感覺。我地今日就叫左1️⃣五點刺身盛+日本高知柚子果酒💬整體上餐廳嘅食物質素十分唔錯，特別推介佢哋嘅串燒，不僅種類豐富，而且每道菜的份量也很足，讓客人可以盡情享受美食。而且佢地選用嘅食材新鮮，讓食品更加美味和健康。所以值得推介俾中意食日式居酒屋美食嘅大家黎試下。
"
2023-11-15,5,4,5,4,5,"
朋友介紹，原來太子大南街嗰邊都有間幾高質的居酒屋，星期日晚就和男朋友去試吓。入座時間比較早，所以人流還OK。9點前入座有8折優惠😳店員都會主動介紹Menu上嘅推薦款～食食吓因為有很多串燒上枱，店員還主動把隔籬吉枱幫我們拼在一起👍🏻唐揚魷魚鬚$58有少少蒜味好好食，魷魚應該是新鮮的很軟，炸得酥脆金黃，外脆內軟。唐揚魷魚鬚$58明太子燒飯團$38有飯焦的香氣和脆卜卜，內裡是香軟的飯粒，配外層明太子醬和紫菜吃很豐富。香葱吞拿魚蓉卷$88最愛吞拿魚蓉🥰好好味啲都唔錯腥～香葱吞拿魚蓉卷$88點了兩款刺身～中拖羅$98我好似沒特別吃過中拖羅所以比較不到😂，這次吃到口感偏爽而且不肥的。帆立貝$88帶點微甜又新鮮軟滑的口感信州味噌燒蠔$38隻超推薦！隻蠔大大隻好厚肉，味噌醬汁結合燒過後很惹味，一定要試～信州味噌燒蠔$38汁燒牛肋肉$48箍牙都吃到的牛肉粒，肉質不韌而且多汁，食得好滋味。汁燒牛肋肉$48豚腩串$38可能影完相攤凍了，覺得有點肥和韌。豆腐$32燒得外脆內軟，豆腐都幾滑。茄子$38茄子酥軟多汁，中間的醬味道有點似港式甜醬，讓人回味無窮。大葱雞肉串$35雞肉幾鮮嫩，和香葱結合，烤得香氣撲鼻。明太子雞肉棒$52明太子雞肉棒$52雞肉棒都幾彈牙，配濃郁的明太子醬，口感豐富。明太子雞肉棒$52蟹肉茶碗蒸$58配料很豐富，有鮮美的蟹肉、魚子、鮮菇、白果，除了賣相很一樣，蒸蛋亦非常嫩滑，保留了蟹肉的鮮甜，吃過後不會再想吃連鎖壽司店的茶碗蒸🤣蟹肉茶碗蒸$58日本果酒-蜜桃味$58有清新的蜜桃甜味，基本上沒有酒味，好易入口～但飲完後個零鐘真的會覺得眼訓。可樂$20
"
2023-11-02,1,4,3,3,1,"
