time,taste,environment,service,hygiene,indigestible,comments
2023-11-07,5,5,5,4,5,"
上星期六去咗旺角T.O.P嘅柞木炭家食lunch🐂下午嘅lunchset都幾抵食，除咗燒烤set，亦有唔同嘅飯，湯，水冷麵等等可以選擇。熱愛燒肉，當然揀燒烤set☺️首先係和牛牛舌特選，牛舌薄薄地但味道突出👍🏻和牛上肋肉好有肉汁，牛小排最正，牛味濃郁又軟嫩，另外仲有肉眼上蓋，每款都有2件。另外叫咗一set柞木特選燒烤定食，同樣有和牛上肋肉，另外可以再自選兩款😚彥陽和牛必點，好juicy，汁燒黑毛豬五花肉，燒起上嚟帶焦香🤤
特別一讚職員都好nice好helpful，整體都好滿意😀"
2023-11-06,2,3,3,3,2,"
多數人去《柞木炭家》都係食燒肉，但夜晚9點距離閂門只有一個鐘，但又為咗滿足韓迷突然想食水冷麵嘅願望，唯有叫兩個飯麵速食，結果係令人失望嘅！🥢雪梨水冷麵$95⭐️
呢個水冷麵超唔掂超hea，個麵嚟到係黐實晒，好明顯係無過冷河，呢啲基本野係人都識，至於味道更加無言，客人只需加醋同芥辣去調味，但我哋調極個味都係奇怪，從未食過一個又貴但唔好味嘅水冷麵囉！🥢栗子牛肋骨煲$198⭐️⭐️⭐️⭐️
相反呢個煲就好正，有4、5嚿牛肋骨，又腍又入味，肥瘦適中，醬汁甜中帶咸伴白飯一流，煲裡面仲有紅蘿蔔、白籮蔔、南瓜，全部都夠腍，呢個煲值得推介。二人共消費：$322
"
2023-11-01,4,4,4,4,3,"
位於旺角T.O.P.內的韓式燒烤。前菜每枱5,6碟，服務員告訴我們每枱加$40前菜就可以任食。另外，蒜片和芝士粟米就可以任食。🔸烤鰻魚$280服務員會幫手燒埋，份量有點少，而且都多細骨，不太推薦🔸五花腩配水果醬汁$128最後店員姐姐仲送左個Tiramisu俾我地食！"
2023-10-08,4,4,4,4,3,"
不得不吃的韓燒。咁啱撞正生日優惠全單有八折。要讚一讚服務員嘅態度超級好。今次點左四人餐：牛舌、牛肋肉、牛肉石頭鍋飯、帶子同海鮮煎餅都好好食，醃料醬汁好均勻，啲肉都好腍，唔硬。不過泡菜同其他醃製小食比較鹹。"
2023-09-20,5,4,4,4,4,"Foodrating:8.5/10⭐️✔️講到韓燒，本人覺得呢間係香港Top3之一，無論係牛/豬/海鮮都好味！（今次已經係食第4次，每次去啲食物質素都好平均）✔️環境舒適，有indoor/outdoor位揀，就算indoor油煙味都吾算好重✔️職員細心，會幫你燒完再剪埋，靚靚咁上碟——————————————————FOOD:-濟州活鰻魚Jejueel$280(🔥Superrecommended!每次黎都必叫！燒得好香脆又無骨）-澳洲八爪魚腳Australianoctopusfeet$278(🔥Recommended!又係每次都必食既）-韓牛肋眼上蓋Hanwoobonelessribeyecap$328（職員介紹，牛味幾濃郁，口感煙煙韌韌，值得一試嘅）-汁燒豬皮Housemarinatedporkrinds$92（🔥Highlyrecommended!鍾意食豬皮嘅一定要叫，本身已經醃製左，燒完之後仲惹味！）-帶子燒Grilledscallop$125（中規中矩，帶子幾鮮甜）
"
2023-09-17,4,4,4,4,4,"
星期六下午接近三點來到這間餐廳，仍然有好多食客，證明呢度都幾受歡迎餐廳位於旺角T.O.P商場5樓，唔算好就腳，不過勝在地鐵站一出就係商場，落雨都唔怕一坐低叫完嘢食，我哋就開始食泡菜，每台枱面都有一盅泡菜，可以自己剪，仲可以無限添加前菜：好味的醃蘿蔔、菠菜芽菜，這些都可以無限添加餐飲：青檸梳打人蔘雞湯：熱辣辣的人蔘雞湯，好懷念的韓國風味雖然人蔘味唔算好重，不過成隻烏雞都算足料，裏面仲有糯米、紅棗，都幾滋補燉牛筋牛舌：好大碟的「小食」，煮得非常入味，牛舌夠淋唔會靭，配搭南瓜、洋蔥等蔬菜都非常好味整體而言，餐廳環境都算不錯，座位寬敞，侍應們服務亦算殷勤，上菜、加水都算快，食物質素和價錢都合理，下次想過來試試這裏的燒肉"
2023-09-16,1,1,1,1,1,"
我同朋友3人到貴店光顧，7點13分入座，8點15分便要求結帳及離座。1小時就趕人走，但仲要漏單，上菜後15分鐘。都未食得完就趕住收碟，總共千幾埋單。用餐時間少之又少。不會再度開光顧。
"
2023-09-10,4,4,3,4,3,"
當日我朋友二人叫了二人套餐，因為朋友不想吃豬皮的關係，叫侍應安排可否換上其他食物代替，侍應因應要求很好地安排換上豬腩肉取代豬皮！下單後侍應會送上泡菜，泡菜使用鹹蝦醃製，所以有獨特鮮味！侍應會安排幫你把泡菜煎開一小片，方便進食！除泡菜外，還會送上其他小菜！小菜可以免費添加！首先送上和牛壽司，侍應會安排把和牛表面燒至3成熟，令不敢吃生牛肉的顧客又能試到和牛壽司的滋味。接着是上燒肉盤，燒肉盤的份量也充足，二人份剛好，但未能清楚寫明每片肉是什麼，要憑肉眼自己去分辨！所有肉的肉質不錯，也比較新鮮！配搭幾款燒肉醬一起食用，燒肉醬的味道比較特別，好像是特別調配的，未在其他韓燒店嘗試過這個味道！最後上的甜品tiramisu,甜品不知道是否外購的，不是自己做的，所以非常普通！整體服務也不錯，但侍應不會主動去補充小菜和蔬菜，補充的份量也一次比一次少！
"
2023-07-22,4,5,5,5,5,"
揀咗幾款招牌菜式，其中最吸引我嘅係牛肋眼上蓋，個牛肋係嚟自澳洲，紋理好細緻，帶少少油花，將佢放上火爐慢慢燒烤，啲肉汁即刻迸發出嚟，香氣四溢。等咗一陣，牛肉熟得剛剛好，切咗一片，入口即化，肉質嫩滑，真係令人讚嘆。另外一款甕漬牛肋骨，好特別嘅做法。佢哋將牛肋骨同埋香料放入大甕度，然後密封發酵數日，令肉質更加入味。上桌嘅時候，我地已經嗅到佢啲香味。啖一口，啲肉軟軟嫩嫩，骨頭仲可以輕鬆脫落，啲醬汁都吸收得好入味，真係啱哂啲愛呷骨嘅食家。至於牛舌三吃，就係有三款唔同燒法嘅牛舌，分別係原味、黑椒同埋紅酒汁燒法。我個人最鍾意黑椒燒法，啲牛舌經過炭火燒烤，表面微微焦香，再加上黑椒醬汁，啖落有微辣同埋濃郁嘅黑椒味，啲牛舌都咬唔斷口。原味同紅酒汁燒法都好好味，滿足咗唔同口味嘅人。食完飯，我哋都坐住繼續飲啤酒，講吓啲笑話，真係過足瘾。個店舖環境整潔，員工態度都好好，服務態度唔得咁好，食物嘅美味程度就增加咗唔少。而家炭家，係我同班朋友固定嘅燒烤聚腳地啦！
"
2023-07-06,3,4,4,4,3,"
阿妹帶埋男友由英國返黎所以都係要抽個時間同佢地食個飯既因為佢男友有韓國國籍，所以一於食返個韓國野太突然決定食，好彩OPENRICE仲可以卜到台卜到6︰30，我同另一個妹早左幾個字去到原來諗住等齊人先入座，但門口位好好笑容既小姐話可以入座先等夠鐘先可以計90分鐘，唔洗我地企係門口等齊人之後我地叫左個2人餐2人餐有五花肉、醬油蝦、和牛肩肉、龍蝦、水冷麵另外我地再叫左個大醬油蟹配飯同埋海鮮煎蔥餅一ORDER完就上前菜勁多，仲要係可以無限REFILL前菜樣樣試下都已經2成飽
前菜王道套餐2人餐黎講肉係相對少左D既，王道套餐2人餐$788不過肉係好新鮮，完全唔係果D黑黑放左好耐咁既樣所以燒出黎超有肉味仲好JUICY不過龍蝦得1隻開邊黎講細左D唔夠食而水冷麵就正正常常同平時差唔多無話特別驚喜大醬油蟹配飯大醬油蟹配飯$285呢個味道唔錯，之前去韓國都無食過成日聽人講話會好腥，但呢個又唔會撈勻再配埋紫菜食唔會好重味唔差啵海鮮煎蔥餅
海鮮煎蔥餅$132一上台就話原來都幾大碟，都幾足料個底唔會好厚粉，都幾乎係每啖都有料食不過真食食唔哂最後要打包仲要呢個打包完返屋企聽日返蒸都好味wo下次再同朋友去試要ENCORE呢個價錢黎講係貴左D既，不過我覺得食埋服務既話係OK餐廳既待應係好有禮貌好HELPFUL特別帶位同埋單果位小姐，有禮貌又好笑容果然係門口擔當，其他上菜或落單既待應都好好有咩需要又會好快咁幫你，VERYGOOD！
"
2023-06-23,2,3,2,1,1,"
