time,taste,environment,service,hygiene,indigestible,comments
2023-09-09,5,4,4,4,4,"
荃灣校長燒肉兩小時放題$238，除燒烤，也有火鍋、刺身，壽司、點心、炸物、小食、熟食……等，還有湯、甜品及飲品，還可自制沙律……刺身要了三文魚、鮮帶子，及要了鰻魚壽司……，三文魚軟滑油香，鮮帶子很鮮味。小食有炸薯角、洋蔥圈、麥樂雞、炸魚皮……熟食有鼓椒炒蜆、炆排骨、東風螺、貴妃雞……點心有蝦餃、燒賣、牛肉球……等等。還有節瓜粟米紅蘿蔔瘦肉湯，好清甜。主角燒烤肉類有很多款式，豬、牛、羊、海鮮……，丸類、腸類、蔬菜類都有，全部自助自取。牛仔骨厚薄適中，特別好牛味！牛五花肥瘦適中，很易熟，又香牛味，所以很喜愛！水牛城雞中翼、肉質帶嫩，很香。多春魚魚子特別香及爽口。韓風大醬牛肉片、韓醬豚肉、孜香豬扒、土匪雞中翼.......最愛韓風大醬牛肉片夠厚又入味.....還有非常多的款式，魷魚鬚、海蝦、香草魚柳、煙鴨胸片、照燒雞扒、麻辣豬扒、黑椒薄牛扒、一口牛、韓式豬肋骨、香草腸......，也有很多丸類、餃類.....而且還可以一邊食燒烤一邊食火鍋，餐廳款式多且頗高質，食得好開心……甜品的款式也不少，食得相當滿足……"
2023-06-03,5,5,4,4,4,"
夜晚黃金時段唔使等位都能夠即時安排入座，即刻開餐～但唔使排隊又唔代表食物質素唔好，只係因為呢個場地方夠晒大！兩小時燒肉x火鍋雙重放題成人收費最平$138一位，週末晚黃金時段都係$248，環境幾企理，座位夠寬敞，現場所見衛生狀況唔差，加埋過百款食物飲品選擇，性價比非常高！首先講下飲品，基本罐裝汽水，果汁茶酒都有供應，而且有個暖櫃提供熱飲，雪櫃旁仲有室溫飲品，相當貼心。更正既係有個自助花茶區，仲有埋功效同配搭建議，正！我沖左杯蒲公英，甜葉菊，紅棗，玫瑰，山楂，好清甜，好飲！飲品選擇都咁多，食物當然更多！沙律，冷盤，辣炒熱盤，刺身，壽司，炸物之外，仲有放題比較少見既蒸點心！蝦餃燒賣真係要趁熱食，辣炒蜆同辣東風螺幾惹味，刺身除左三文魚，虎蝦，帶子等，仲有大大隻赤蝦，鮮甜爽口！正呀！講左咁耐，餐廳主打其實係燒烤加火鍋，食物區有成七十款海鮮，肉類，丸類及蔬菜等，唔少本身已經醃過調味好，直接燒完唔使再點醬都夠好味。我推介羊架，香草魚柳，韓醬豚肉，麻辣雞扒。以往韓燒成日要換鐵板，但呢度響鐵板上鋪左張紙，連燒多春魚都唔會痴底！只係有汁既醃肉令張紙變黑，所以燒左2個鐘都只係換過一次紙！至於火鍋，三款湯底，個煲仲可以揀鴛鴦鍋，再次感受到餐廳在安排上的細心。甜品部分有糕點，布甸，軟雪糕以及雪條等等好多選擇！今期款蜜糖牛奶味雪糕好特別，不過唔太合我口味，眾多甜品中，我最愛始唔識始終係朱古力雪糕批！
"
2023-05-29,4,4,4,4,4,"
#chuchu食在荃灣📍校長燒肉日韓料理餐廳佢開咗好多年，🐷一路都想試，今日終於去試吓！有𨋢上一層，全層都係，地方好大！座位闊落，坐得好舒服！會播住耳熟能詳嘅歌！—————————————————————❣️燒肉x火鍋雙重放題$248價錢真係好可觀！好抵！仲要係好多野食，咩種類都有！過百款野食飲品！
🥩肉類韓式燒烤大部分都係醃過的！味道都唔錯，牛肉有韓風大醬牛肉片、一口牛同黑椒味牛扒！雞有雞翼雞扒，都有好多種味，土匪雞翼，水牛城雞翼都有，仲有雞腎雞軟骨！豬就有韓式豬腩片呀，豬頸肉，五花肉！
🍲火鍋料有幾款湯底可以自己揀，豬骨，麻辣同壽喜燒，自己拎個鍋斟好，拎翻去就得！
選擇超多，其實有啲料我諗打邊爐同燒肉都互通的，除咗肥牛同豬肉之外，仲有豆卜、山根、公仔面同烏冬…….同埋蔬菜區！
🍣刺身壽司刺身選擇好多！三文魚、帆立貝、赤蝦、虎蝦、玉子、希靈魚…….
🍤炸物有好多選擇，麥樂雞、炸春卷、薯條、薯角，全部都係熱辣辣同脆嘅！
🧇點心小炒竟然中式都有！燒賣，牛肉球嗰啲都有！仲有炒蜆，花螺
🥤🧋飲品飲品選擇種類好多，連美顔花茶都有！汽水、包裝茶呀都有！仲好貼心連暖嘅都有，好欣賞佢晚市可以任飲酒！啤酒、清酒同梅酒都有！
🍦甜品好多選擇！有得自己唧雪糕（不過🐷去嗰日咁啱壞左）不過都有好多包裝嘅雪糕雪條，連新出嘅芝士奶蓋甜筒都有！仲有自家製啫喱、布甸、椰汁西米露同埋涼粉！🐷試左個斑斕布甸都好唔錯！
.💬食到好飽，捧住個肚走🤰🏻—————————————————————不專業評分👅好味指數:7.5/10💰性價比:9/10👍🏻推薦:7/10—————————————————————🏡地址:校長燒肉日韓料理(沙咀道)(荃灣)荃灣沙咀道298號翡翠廣場2樓👉🏻元朗、觀塘、大埔都有🕑營業時間：11:00-22:00（4-5落場）—————————————————————#chuchu打邊爐#chuchu食放題buffet#chuchu食甜品—————————————————————Follow🐷@chuchu_hkfoodietag埋你啲朋友仔like下我啲po♥️需要你的支持喔🥺🙆🏻‍♀🐷💬每一篇食評都好認真打架#香港美食#hkfood#852food#相機食先#香港好去處#hkfoodie#hkblogger#hkfoodiestagram#週末好去處#食好西#美食推薦#好食#食食食#tasty#美食#飲品#甜品#follow#like#like4like#人氣食店#eatwithfoodiez"
2023-11-14,3,4,4,4,5,"
近排涼涼地特別想食燒肉和打邊爐一向知道荃灣多野食🍽️黎到「校長燒肉」任飲任食日韓放題無論肉類🥩和熟食選擇非常之多有壽司🍣、炸物🍤、湯水🥣、中式點心🥟、糖水甜品🍮、雪糕🍦⋯⋯好適合一家大細來總有一款合你心意我地由燒🔥肉開始全部羊雞牛豬肉已經有哂醃料和醬料自己可以再點醬汁推薦一口牛和雞翼燒到外脆內軟啖啖肉店員亦好細心燒完一轉就會換鐵板紙燒波蘿又係好開心另外我亦好鐘意人參雞湯每日無湯不歡的我可以豪氣地飲多幾碗好入味用料十足炸物點心亦唔錯有誠意仲要讚一讚自助茶區有十幾款💐花茶選擇食得太多肉飲杯茶清清濃膩感最後燒完肉想食番多啲菜平衡下我地換做任食火鍋煮了一大堆菜🥬雪糕已經飽到食唔落自助餐式放題午餐平均不到$200/人座位闊落環境算乾淨食物選擇過百款性價比什高絕對要encore！"
2023-10-29,4,4,4,4,5,"
任飲任食🍻日韓燒肉🥩🥓🍗去過元朗、觀塘，今次荃灣📍呢間係地舖有reception俾咗一人一張升級刺身通行證但係原來可以用唔止一次所以我貼咗係身不過最後都食唔到兩次，因為有好多其他嘢食每人可以揀三款刺身我揀咗希靈魚、三文魚、虎蝦環境食物都相似✔️今次一邊燒烤，一邊打埋邊爐🤩一次過滿足2個心願✨😋😋
有燉湯，好滋潤，必飲有熟食夾糖都有lol有好多款甜品不過我最後淨係食frozenyogurt,因為已經食到好飽！"
2023-10-22,4,5,5,4,5,"
