time,taste,environment,service,hygiene,indigestible,comments
6天前,4,3,3,3,3,"
最近實在太忙，假日好想大吃大喝放鬆下，見好耐冇食放題，上網見到介紹極尚大喜屋有榴槤仲要幾抵食，假日午市放題任食3小時每位$258，一於去叔轉唔想等Book定位，提早少許去到已經見到好多人，估唔到午市都咁受歡迎。
餐廳面積頗大，都幾多卡位，但因為我地3人，2人位再加張枱同櫈，感覺有點擠迫。
自助吧有小食、雪糕、甜品及飲品，最正係有酒飲。
事不宜遲即刻落單，又係第一轉落刺身先，仲有花膠、乳鴿、鮑魚及爆鱔球等，咁中式既貴野都有。
飲品有都多選擇，酒有梅酒、清酒及果酒等，見有熱清酒即飲，凍凍地飲都幾正。
蟲草花杞子烏雞湯，自助吧拎，飲下湯水。
刺身，第一轉必係精相精美(同點得多)，三文魚、赤蝦、甜蝦、北寄貝、赤貝、馬刀貝、蠑螺、帶子、池魚及油甘魚等，刺身厚切大件，肥美新鮮。
皇牌燒乳鴿，必食之選，脆皮肉滑又油香，估唔到幾好味。
花雕醉口感爽彈，但冇乜鮮味，花雕酒味都淡。
極尚花膠盛宴，好彩係叫左一客，因為份量都幾多，花膠好大件，但味道較淡。
川燒廣島蠔，唔算好肥美，但夠惹味。
薑蔥爆鱔球，入口香脆，魚肉爽口鮮香又惹味，不俗。
鵝肝，好大件鵝肝，但味道唔算香口，正常味道。
鹽燒牛舌，香口惹味。
孜然燒雞腎串，口感彈韌幾惹味。
蒲燒鰻魚，正常水準。
鮑魚皇帝蟹皇粥，粥底鮮甜幾好味。
麻辣酸菜魚鍋，竟然有酸菜魚即試下，味道酸酸辣辣，暖身又開胃，魚肉夠爽滑呢。
脆炸貓山王，入外脆內煙韌，榴槤肉尚算多，但油膩。
脆皮炸鮮奶，內脆內嫩滑，甜甜的奶香味。
蟹粉扒豆苗，食左好多肉，係時候食下菜，豆苗脆嫩味道不俗。忟豬手及雞翼，正常水準。芝麻雞翼，正常水準。
極品金枕頭榴蓮燒，對榴蓮控來講係必食之選，同時又係賣點之一，榴蓮大件多肉，入口有微微的焦香，果肉香甜美味，根據放題定律第一轉一定係比好野你既，其後⋯
幾轉之後開始好細粒同一pat嘢，放題慣例化境⋯
極尚榴蓮椰王奶凍，都係榴蓮控必食之選之一，榴蓮甘甜，配上軟滑的奶凍及椰子味道增添多份清甜。
都係嘆杯啡。
洛神花茶。
Haagendazs密瓜味雪糕，幾好味。食物多選擇，味道不俗，上菜都幾快，不過當日冇左海膽手卷同泰式虎蝦真可惜，下次有機再食。
"
