time,taste,environment,service,hygiene,indigestible,comments
2023-08-07,5,4,4,4,,"
觀壙鱷魚恤中心的極尚大喜屋日式放題，座位舒適，款式多，質素高。自助區范圍頗大，有凍食、熟食、小食、沙律、甜品、水果、汽水、啤酒、清酒、梅酒……等，任取任食~~自助區的海鮮冷盤，灼蝦及蜆，非常吸睛，也非常鮮甜。連可愛的小龍蝦都有，食得很是滋味~~還有網上點的壽司、刺身、一品料理、燒物、天婦羅……等等，非常多款式……刺身要了三文魚、赤貝赤蝦、螺片、油甘魚、北海道帶子泰式虎蝦……，非常新鮮鮮味！壽司要了平目魚壽司、吞拿魚壽司、蒜香牛油帶子壽司、花之戀壽司，都很新鮮，尤其是花之戀壽司，油香的三文魚帶著蟹子脆卜卜的口感……！龍蝦沙律伴櫻花蝦多士，細細件，有龍蝦牛油香及櫻花一粒粒的口感，很特別。燒物中的燒香草羊鞍連王牌燒乳鴿王也有調味非常好，也非常香口！香草牛油煮大蜆，細細隻，很鮮甜！放題頗高質，任飲任食2小時，至於甜品，真是很多款式，食得滿足……"
2023-05-25,4,4,4,4,5,"
❤️💛🧡放題就係啖啖肉🥩每星期都好期待食放題，將悲憤化為食量真係講得冇錯！🥹心情點都好，安排一餐放題，咩煩惱都冇晒！😛依間放題有好多分店，今次就食觀塘分店！😚晚市放題$298❣️晚市放題❣️$2982個鐘足夠食飽飽，依度食品咁多🤣淨係睇都已經一飽眼福！食埋落肚仲幸福！刺身❤️刺身❤️刺身係每次放題第一步驟！新鮮又開胃，選擇仲好多添！咩款都嗌啲，好食嘅再encore！🤪赤蝦、甜蝦，爽嫩又鮮甜！三文魚依然係首選，厚切更能食到佢嘅魚油香！
三文魚刺身🤎鹽燒牛舌🤎串燒牛舌爽脆，肉味都好濃！🍢少少嘅鹹香，令牛肉更鮮香！
鹽燒牛舌🩵醉鮑魚🩵原隻鮑魚真係好吸引！花雕酒嘅味道並無覆蓋鮑魚鮮甜，食落去味道更豐富！🍶肉質爽彈，仲好juicy添！😍
醉鮑魚🧡王牌燒乳鴿王🧡自從依度更新咗餐單，每次都會嗌乳鴿！🤤大大份，啖啖肉！趁熱食肉汁豐富又鮮嫩！越食越上癮！😏王牌燒乳鴿王🤍甜品🤍自助區有好多甜品，雪糕、泡芙、小蛋糕、慕絲杯等等！🧁雪糕仲係Häagen-Dazs！作為泡芙女孩👧🏻最愛就係爆餡小泡芙！想食啲香口嘢都可以選擇爆谷呀！🍿
甜品爆谷💚沙律及小食💚如果想解膩，可以喺沙律吧夾啲菜菜小食🤭過下口癮又解到膩！🥗
依間放題嘅食品選擇真係太多啦！一次係唔會食得完㗎！睇嚟下次都要再嚟食🥰建議大家提早幾日訂位！我都係預早訂先有位咋！walk-in可能冇位或有排等呀！BTW記得savepost，方便向店員查詢有關放題套餐啦❣️
📍極尚大喜屋📍觀塘開源道79號鱷魚恤中心3樓
"
2023-08-18,4,4,4,,,"
觀塘APM附近有兩間食日式放題嘅餐廳，每次去到都會有條人龍🫢，今次就揀左係鱷魚恤中心嘅極尚大喜屋，午市放題$258加一就可以任飲任食3個鐘，環境好大可惜當天6人被安排好迫嘅卡位，坐得就唔係幾舒服🥸
出面有自助Bar，有一啲小食、海鮮、沙律、炸物同甜品野飲任拎，最欣賞雪糕櫃有任食嘅Häagen-Dazs，都有3-4種口味🤓之後番埋位就可以用QRCode自助落野食，野食超過100種，花多眼亂，當中最特別當然係乳鴿任食🤪，真係熱辣辣上枱，仲保持到肉汁，燒鰻魚都大大件，可以Encore，午市可以3個鐘慢慢食，慢慢傾😋
👍🏻推薦食物❣️乳鴿❣️鹽燒牛舌❣️蒲燒鰻魚❣️牛油煮大蜆❣️花膠❌不推薦食物❣️油甘魚刺身❣️創作壽司❣️蒜蓉粉絲蒸扇貝🏦是次消費總額$1702.8（人均消費$283.8）🍴須加一服務費👅好味度：8.5（10分滿分）個肚容量有限🤣，所以真係試唔晒所有野食，但以呢個價錢，性價比高，野食都上得足同快，所以回頭率高👍🏻
"
2023-11-17,5,5,5,5,5,"
